,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0.0,1,0.166,-4.724,1,0.0476,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628
17,0.254,https://api.spotify.com/v1/audio-analysis/7tFiyTwD0nx5a1eklYtX2J,0.397,354320,0.396,7tFiyTwD0nx5a1eklYtX2J,0.0,3,0.268,-9.91,1,0.05,142.913,4,https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J,audio_features,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.227
18,0.323,https://api.spotify.com/v1/audio-analysis/6FyRXC8tJUh863JCkyWqtk,0.767,258639,0.709,6FyRXC8tJUh863JCkyWqtk,0.0,1,0.0676,-4.47,1,0.336,171.993,4,https://api.spotify.com/v1/tracks/6FyRXC8tJUh863JCkyWqtk,audio_features,spotify:track:6FyRXC8tJUh863JCkyWqtk,0.72
19,0.0765,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,229320,0.552,6zeeWid2sgw4lap2jV61PZ,0.334,0,0.104,-10.278,0,0.097,97.949,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ,0.112
20,0.164,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.335,241107,0.625,0bYg9bo50gSsH3LtXe2SQn,0.0,7,0.0708,-7.462,1,0.0386,150.277,4,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.346
21,0.0192,https://api.spotify.com/v1/audio-analysis/0EwS8XJQspgrj1zSUXhFkl,0.901,132331,0.598,0EwS8XJQspgrj1zSUXhFkl,0.0,1,0.0791,-6.934,1,0.17,117.9,4,https://api.spotify.com/v1/tracks/0EwS8XJQspgrj1zSUXhFkl,audio_features,spotify:track:0EwS8XJQspgrj1zSUXhFkl,0.355
22,0.088,https://api.spotify.com/v1/audio-analysis/2E124GmJRnBJuXbTb4cPUB,0.931,179405,0.387,2E124GmJRnBJuXbTb4cPUB,0.0,1,0.136,-9.127,1,0.412,125.978,4,https://api.spotify.com/v1/tracks/2E124GmJRnBJuXbTb4cPUB,audio_features,spotify:track:2E124GmJRnBJuXbTb4cPUB,0.376
23,0.103,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.896,145543,0.671,78QR3Wp35dqAhFEc2qAGjE,0.0,1,0.552,-6.977,0,0.289,112.502,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.358
24,0.685,https://api.spotify.com/v1/audio-analysis/7wC5eZcFS1Q1BsQ35DU6H4,0.654,210376,0.316,7wC5eZcFS1Q1BsQ35DU6H4,0.0333,0,0.117,-14.351,1,0.109,145.074,4,https://api.spotify.com/v1/tracks/7wC5eZcFS1Q1BsQ35DU6H4,audio_features,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4,0.186
25,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800,0.68,0d2iYfpKoM0QCKvcLCkBao,0.0,6,0.116,-7.648,0,0.321,89.391,4,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,audio_features,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319
26,0.568,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,0.851,235545,0.541,7fa9MBXhVfQ8P8Df9OEbD8,0.0,0,0.13,-6.825,1,0.0505,124.959,4,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,audio_features,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,0.448
27,0.349,https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf,0.511,239836,0.566,0s3nnoMeVWz3989MkNQiRf,0.0,6,0.34,-7.23,0,0.2,83.903,4,https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf,audio_features,spotify:track:0s3nnoMeVWz3989MkNQiRf,0.218
28,0.0412,https://api.spotify.com/v1/audio-analysis/26jYPsHHSOxCTz4cLt6SbQ,0.754,163086,0.728,26jYPsHHSOxCTz4cLt6SbQ,0.0,6,0.106,-7.61,0,0.0809,140.007,4,https://api.spotify.com/v1/tracks/26jYPsHHSOxCTz4cLt6SbQ,audio_features,spotify:track:26jYPsHHSOxCTz4cLt6SbQ,0.594
29,0.0643,https://api.spotify.com/v1/audio-analysis/4CH66Rxcjcj3VBHwmIBj4T,0.78,94246,0.492,4CH66Rxcjcj3VBHwmIBj4T,0.0313,5,0.174,-3.4,0,0.0671,143.983,4,https://api.spotify.com/v1/tracks/4CH66Rxcjcj3VBHwmIBj4T,audio_features,spotify:track:4CH66Rxcjcj3VBHwmIBj4T,0.374
