Artists;presence_in_top_per_month;followers;posts
e-40;2;;
ryanadams&thecardinals;2;;
littledragon;2;;
donelljones;2;;
sublimewithrome;2;;
garynuman;2;;
davidcook;2;;
jimmyeatworld;2;;
trin-i-tee5:7;2;;
daddyyankee;2;;
galantis;2;;
valeriejune;2;;
faithevans;2;;
rebelution;2;;
manchesterorchestra;2;;
tune-yards;2;;
ericacampbell;2;;
chromeo;2;;
jacquees;2;;
brandy;2;;
djquik;2;;
elevationworship;2;;
joenichols;2;;
theamityaffliction;2;;
dragonforce;2;;
thelox;2;;
joshuaradin;2;;
hezekiahwalker;2;;
seal;2;;
grangersmith;2;;
flyinglotus;2;;
plies;2;;
chrisbotti;2;324.0;13.0
ninjasexparty;2;561409.0;1106.0
ricardoarjona;2;3194409.0;1463.0
cults;2;81.0;1.0
thewhitestripes;2;1053.0;0.0
flatbushzombies;2;454618.0;153.0
nickjonas&theadministration;2;;
ghostb.c.;2;;
smokepurpp;2;3427731.0;88.0
low;2;29268.0;1030.0
gloriana;2;;
mewithoutyou;2;35008.0;808.0
tamia;2;2035.0;0.0
duranduran;2;257612.0;3306.0
t-pain;2;;
craigmorgan;2;208.0;37.0
gretchenwilson;2;370.0;2235.0
thejanedeargirls;2;;
down;2;;
paparoach;2;663593.0;1855.0
thecanadiantenors;2;209.0;4.0
charice;2;1302.0;1582.0
4troops;2;;
yeahyeahyeahs;2;122326.0;164.0
thedevintownsendproject;2;;
blindpilot;2;15882.0;320.0
whiskeymyers;2;102471.0;928.0
krizzkaliko;2;191513.0;1622.0
upchurch;2;277.0;38.0
brianwilson;2;16.0;2.0
heart;2;1761.0;64.0
starlito/dontrip;2;;
gloriaestefan;2;459817.0;1904.0
landaueugenemurphy,jr.;2;;
mudvayne;2;;
djholiday+guccimane;2;;
webbie;2;299.0;380.0
travisbarker;2;2098601.0;2771.0
luiscoronel;2;5030.0;43.0
betweentheburiedandme;2;25.0;1.0
ringostarr;2;606.0;517.0
stylesp;2;1.0;0.0
lykkeli;2;307596.0;2072.0
ericpaslay;2;164137.0;955.0
insaneclownposse;2;28.0;26.0
motionlessinwhite;2;743.0;0.0
statikselektah;2;88.0;0.0
walkerhayes;2;150488.0;457.0
thefrontbottoms;2;164434.0;726.0
djdrama;2;954910.0;5026.0
hillaryscott&thescottfamily;2;;
brettdennen;2;26727.0;949.0
ashleymonroe;2;786.0;95.0
theflaminglips;2;14.0;4.0
thebirthdaymassacre;2;20466.0;195.0
pimpc;2;1578.0;8.0
barenakedladies;2;14.0;0.0
redfang;2;77.0;0.0
reospeedwagon;2;20.0;76.0
setitoff;2;145033.0;2398.0
robyn;2;;
theswonbrothers;2;81088.0;1091.0
savestheday;2;25817.0;714.0
frankieballard;2;134252.0;1456.0
hanson;2;124893.0;430.0
brianmcknight;2;76.0;18.0
keane;2;;
mika;2;;
thirdeyeblind;2;;
raelynn;2;;
twista;2;;
depechemode;2;;
anidifranco;2;;
dreamtheater;2;;
pjharvey;2;;
claywalker;2;;
toriamos;2;;
blackrebelmotorcycleclub;2;;
thenewpornographers;2;;
chayanne;2;;
neilyoung&crazyhorse;2;;
thekennywayneshepherdband;2;;
dr.dog;2;;
mintcondition;2;;
da't.r.u.t.h.;2;;
staind;2;;
themowgli's;2;;
tierracali;2;;
quavo;2;;
trampledbyturtles;2;;
joebudden;2;;
todddulaney;2;;
gherbo;2;;
twodoorcinemaclub;2;;
lennykravitz;2;;
oddfuture;2;;
johntravolta&olivianewton-john;2;;
suicidesilence;2;;
howtodestroyangels;2;;
bigdaddyweave;2;;
emmure;2;;
bandalosrecoditos;2;;
diggy;2;;
johnhiatt;2;;
grizzlybear;2;;
lucius;2;;
juanluisguerra440;2;;
"royceda5'9""";2;;
jaronandthelongroadtolove;2;;
curren$y;2;;
brandonheath;2;;
india.arie;2;;
preservationhalljazzband;2;;
sixx:a.m.;2;;
jossstone;2;;
trentreznorandatticusross;2;;
beverlycrawford;2;;
shyglizzy;2;;
marieosmond;2;;
ironandwine;2;;
mayerhawthorne;2;;
moneybaggyo&youngboyneverbrokeagain;2;;
wildflag;2;;
whitechapel;2;;
cannibalcorpse;2;;
vincegill&paulfranklin;2;;
nevershoutnever;2;;
grimes;2;;
exodus;2;;
luthervandross;2;;
summerwalker;2;;
lalahhathaway;2;;
dvsn;2;;
willienelson/merlehaggard;2;;
entershikari;2;;
twenty88;2;;
leannrimes;2;;
kottonmouthkings;2;;
timmcgraw&faithhill;2;;
djpoetnamelife;2;;
stephenmalkmusandthejicks;2;;
okgo;2;;
boardsofcanada;1;;
gyptian;1;;
johnnywinter;1;;
mavisstaples;1;;
japandroids;1;;
bornofosiris;1;;
infantsorrow;1;;
devo;1;;
98degrees;1;;
thedearhunter;1;;
gregoryalanisakov;1;;
devildriver;1;;
sarahbrightman;1;;
meganhilty;1;;
jonnylang;1;;
morrissey;1;;
patbenatar;1;;
dayshell;1;;
jefferyaustin;1;;
dovecameron;1;;
michaelbolton;1;;
jarsofclay;1;;
triplee;1;;
albertkingwithstevierayvaughan;1;;
dawnrichard;1;;
b.b.king;1;;
originallondoncastrecording;1;;
stevemartinandthesteepcanyonrangers;1;;
brianculbertson;1;;
noahandthewhale;1;;
bobweir;1;;
trapt;1;;
losplebesdelranchodearielcamacho;1;;
kareno;1;;
aurora;1;;
jamesvincentmcmorrow;1;;
wakey!wakey!;1;;
prophetsofrage;1;;
johnp.kee;1;;
faithnomore;1;;
johnst.john;1;;
thechieftains;1;;
hurrayfortheriffraff;1;;
overkill;1;;
bettywrightandtheroots;1;;
pinkguy;1;;
feedme;1;;
lydia;1;;
deadcandance;1;;
caseydonahewband;1;;
mr.ray&thelittlesunshinekids;1;;
theaquabats!;1;;
keithjarrett/charliehaden;1;;
toadthewetsprocket;1;;
zachwilliams;1;;
mariabamford;1;;
redman;1;;
luismiguel;1;;
rhettwalkerband;1;;
wittlowry;1;;
deluge;1;;
revtheory;1;;
chimaira;1;;
tycho;1;;
chino&nacho;1;;
thegetupkids;1;;
hopsin;1;;
deathfromabove1979;1;;
katevoegele;1;;
alesana;1;;
kalinandmyles;1;;
willdowning;1;;
noelgallagher'shighflyingbirds;1;;
fatjoe&remyma;1;;
emilywest;1;;
dracorosa;1;;
bwb;1;;
llcoolj;1;;
ronaldisley;1;;
calumscott;1;;
hayescarll;1;;
thekills;1;;
jodeemessina;1;;
titlefight;1;;
ourlastnight;1;;
sirsly;1;;
thearcs;1;;
jmoss;1;;
majidjordan;1;;
bobdylanandtheband;1;;
purenrg;1;;
kurtcobain;1;;
sammyadams;1;;
lostemerarios;1;;
johnp.keeandnewlife;1;;
kevinrudolf;1;;
londonsymphonyorchestra;1;;
theglitchmob;1;;
kevinhart;1;;
cleanbandit;1;;
bishopbriggs;1;;
sebadoh;1;;
dimmuborgir;1;;
bryan&katietorwalt;1;;
starsinstereo;1;;
wizkid;1;;
12stones;1;;
fromashestonew;1;;
deanmartin;1;;
volcanochoir;1;;
goradio;1;;
iamtheavalanche;1;;
lorettalynn;1;;
dr.kokastien;1;;
bobbyv;1;;
kishibashi;1;;
brotherali;1;;
steveearle;1;;
chinx;1;;
andrewbelle;1;;
bryanferry;1;;
sayanything;1;;
everlast;1;;
glennfrey;1;;
eve;1;;
matisyahu;1;;
dailey&vincent;1;;
wheelerwalkerjr.;1;;
thewombats;1;;
jodeci;1;;
ohland;1;;
thechieftainsfeaturingrycooder;1;;
thegrascals;1;;
intocable;1;;
attila;1;;
londongrammar;1;;
placidodomingo;1;;
jamiecullum;1;;
thedangeroussummer;1;;
familyforce5;1;;
hillsongyoung&free;1;;
buddyguy;1;;
jdmcphersonfeaturingjimmysuttonandalexhall;1;;
youngbloodhawke;1;;
smith&myers;1;;
foxygen;1;;
streetlightmanifesto;1;;
slightlystoopid;1;;
paulthorn;1;;
travis;1;;
montgomerygentry;1;;
grahamnash;1;;
fitforaking;1;;
rm;1;;
gracepotter;1;;
guyclark;1;;
ringsofsaturn;1;;
derekminor;1;;
minusthebear;1;;
conormaynard;1;;
billcallahan;1;67.0;4.0
siggno;1;13.0;0.0
muddywaters;1;30.0;9.0
dustyspringfield;1;66.0;152.0
emilyosment;1;1942786.0;955.0
neilyoung+promiseofthereal;1;;
djskribble;1;24057.0;5215.0
kathleenedwards;1;;
willhoge;1;12067.0;398.0
massiveattack;1;;
junkiexl;1;83.0;59.0
tommyjamesandtheshondells;1;408.0;109.0
war;1;112.0;0.0
quicksand;1;24.0;0.0
skylargrey;1;274227.0;399.0
cescru;1;65774.0;397.0
jamesmorrison;1;37.0;12.0
missyhiggins;1;0.0;294.0
theoakridgeboys;1;15191.0;544.0
babyface;1;299988.0;178.0
ricolove;1;189.0;92.0
roddyricch;1;502319.0;37.0
justintownesearle;1;14709.0;140.0
georgethorogood;1;77.0;3.0
dadalife;1;375373.0;2286.0
takingbacksunday;1;87934.0;1239.0
stonetemplepilots;1;5.0;0.0
ashtonshepherd;1;6.0;0.0
dyingfetus;1;19.0;0.0
aaronneville;1;8532.0;269.0
marshmello;1;8160.0;0.0
dixiechicks;1;402.0;436.0
jungle;1;2571.0;41.0
catpower;1;105.0;3.0
freeway&jakeone;1;;
ellafitzgerald;1;776.0;7.0
thieverycorporation;1;48088.0;674.0
jacksonbrownedavidlindley;1;;
jerryleelewis;1;81.0;21.0
thundercat;1;5.0;0.0
lights;1;484588.0;1684.0
jimjones;1;482.0;7.0
wizkhalifa&curren$y;1;;
thewalkmen;1;4178.0;89.0
blakemills;1;41.0;1.0
iananderson;1;149.0;17.0
joshrouse;1;881.0;446.0
damien;1;;
discobiscuits;1;;
catstevens;1;367.0;606.0
marvingaye;1;73.0;56.0
johnprine;1;84.0;3.0
thecure;1;2634.0;1.0
quandorondo;1;484.0;205.0
hilaryduff;1;10650053.0;2238.0
kreayshawn;1;308797.0;293.0
dianebirch;1;10657.0;4218.0
umphrey'smcgee;1;;
stickfigure;1;;
jimjames;1;;
dukeellington;1;;
oneokrock;1;;
theafters;1;;
sleep;1;;
juicyjwizkhalifa;1;;
connorchristian&southerngothic;1;;
evansblue;1;;
imeldamay;1;;
p.o.d.;1;;
icedearth;1;;
thetingtings;1;;
smithwesterns;1;;
marqueshouston;1;;
iconforhire;1;;
revocation;1;;
sergiovega;1;;
msmr;1;;
ibeyi;1;;
melodygardot;1;;
paul&lindamccartney;1;;
benjaminbooker;1;;
clintblack;1;;
mormontabernaclechoir;1;;
duelo;1;;
ghosttown;1;;
thekooks;1;;
hollyn;1;;
companyofthieves;1;;
joshualedet;1;;
marty;1;;
ab-soul;1;;
pussnboots;1;;
eels;1;;
birdy;1;;
archenemy;1;;
verticalchurchband;1;;
johnlennon&yokoono;1;;
milesdavis&johncoltrane;1;;
codyjinks;1;;
soulfly;1;;
oneeskimo;1;;
therobertglaspertrio;1;;
laceysturm;1;;
davidfoster;1;;
clayaiken;1;;
davematthews&timreynolds;1;;
sensesfail;1;;
caleb+kelsey;1;;
broods;1;;
djskeepresentsthegame;1;;
8ball&mjg;1;;
donaldfagen;1;;
neilyoungandbluenotecafe;1;;
wecameasromans;1;;
mattmorris;1;;
geneautry;1;;
farruko;1;;
gerardway;1;;
ryanbingham&thedeadhorses;1;;
thelittlewillies;1;;
kennylattimore;1;;
joji;1;;
lindseybuckingham/christinemcvie;1;;
forthefallendreams;1;;
grinderman;1;;
milogreene;1;;
rodneycrowell;1;;
ryanstar;1;;
crosses;1;;
raekwon;1;;
soulasylum;1;;
canon;1;;
houndmouth.;1;;
cimorelli;1;;
duffy;1;19652.0;218.0
sammyhagar&thecircle;1;;
alicecooper;1;;
katedmonson;1;;
thefloacist;1;;
theoriginal7ven;1;;
india.arie&joesample;1;;
steveearleandthedukes;1;;
conangray;1;;
forallthosesleeping;1;;
brianfallon;1;;
liljon;1;;
blackcountrycommunion;1;;
neckdeep;1;;
volumes;1;;
jojo;1;;
alinabaraz;1;;
jordanfeliz;1;;
estelle;1;;
newboyz;1;;
gunit;1;;
richardthompson;1;;
blackmilk;1;;
crystalcastles;1;;
londonsymphonyorchestra(williams);1;;
davidgilmour;1;;
kaliuchis;1;;
karmin;1;;
blacklips;1;;
mursand9thwonder;1;;
jjgrey&mofro;1;;
chloekohanski;1;;
youblewit!;1;;
dreezy;1;;
neilfinn;1;;
cheaptrick;1;;
djenferno;1;;
bleedingthrough;1;;
philvassar;1;;
shelbylynne;1;;
kamasiwashington;1;;
loreenamckennitt;1;;
memphismayfire;1;;
tanlines;1;;
michellechamuel;1;;
mikeshinoda;1;;
chunk!no,captainchunk!;1;;
thedodos;1;;
lauramarling;1;;
the101stringsorchestra;1;;
lewisblack;1;;
ginuwine;1;;
daley;1;;
meghanlinsey;1;;
lenka;1;;
kxm;1;;
donaldlawrence;1;;
sylvanesso;1;;
nellyfurtado;1;;
damienrice;1;;
kurtvile;1;;
forte;1;;
gorillazoe;1;;
freddiegibbs;1;;
davidbyrne&st.vincent;1;;
filter;1;;
withintemptation;1;;
kirstin;1;;
joannanewsom;1;;
benfoldswithymusic/nashvillesymphony(guerrero);1;;
lloyd;1;;
behemoth;1;;
issues;1;;
jillianedwards;1;;
themelvins;1;;
blonderedhead;1;;
joshkaufman;1;;
swans;1;;
thenewbroadwaycastrecording;1;;
raury;1;;
krishnadas;1;;
agnethafaltskog;1;;
limpbizkit;1;;
prozak;1;;
diplo;1;;
dethklok;1;;
thegreaterallencathedral;1;;
eazy-e;1;;
paulanka;1;;
dillonfrancis;1;;
benedictinesofmary,queenofapostles;1;;
lissie;1;;
fourplay;1;;
losinquietosdelnorte;1;;
sevynstreeter;1;;
puddleofmudd;1;;
futureislands;1;;
clamscasino;1;;
courtneybarnett/kurtvile;1;;
wzrd;1;;
recklesskelly;1;;
yellabeezy;1;;
espinozapaz;1;;
theholdsteady;1;;
ithebreather;1;;
thebooks;1;;
n.o.r.e.a.k.a.p.a.p.i.;1;;
rogerwaters;1;;
christopherowens;1;;
timeflies;1;;
robbierobertson;1;;
ohwonder;1;;
barrettbaber;1;;
will.i.am;1;;
drewbaldridge;1;;
ashanti;1;;
tesseract;1;;
enigma;1;;
bretmichaels;1;;
parquetcourts;1;;
theboothbrothers;1;;
benjamingibbard;1;;
nitastrauss;1;;
pallbearer;1;;
andyblack;1;;
delasoul;1;;
warrenhaynes;1;;
benharperwithcharliemusselwhite;1;;
wethekings;1;;
mannymanuel;1;;
thedavebrubeckquartet;1;;
eyessettokill;1;;
shekinahgloryministry;1;;
k'naan;1;;
moneybaggyo&yogotti;1;;
dodie;1;;
yogotti&mikewillmade-it;1;;
thewallflowers;1;;
dreamcar;1;;
traviscottrell;1;;
iwrestledabearonce;1;;
thedeparted;1;;
perfectpussy;1;;
darwilliams;1;;
tysegall;1;;
mayday!;1;;
noahgundersen;1;;
dorothynorwood;1;;
butchwalker;1;;
matchbox20;1;;
billyfgibbons;1;;
jordandavis;1;;
vicentefernandez;1;;
storyoftheyear;1;;
runnerrunner;1;;
mikestud;1;;
foals;1;;
allisoniraheta;1;;
jadakiss;1;;
zzward;1;;
lilyallen;1;;
sethavett&jessicaleamayfield;1;;
stevevai;1;;
colvin&earle;1;;
polyphia;1;;
thespillcanvas;1;;
pharoahemonch;1;179119.0;1867.0
sting&shaggy;1;;
sharonvanetten;1;;
michaelfranti&spearhead;1;;
plumb;1;100.0;73.0
chetfaker;1;206.0;294.0
hardworkingamericans;1;;
vashawnmitchell;1;283528.0;3238.0
davidbyrne&fatboyslim;1;;
warofages;1;16472.0;1321.0
uglygod;1;3227087.0;29.0
avant;1;;
placebo;1;136.0;3.0
whitesnake;1;144796.0;1620.0
secrets;1;8083.0;0.0
mogwai;1;223.0;112.0
joesatriani;1;378254.0;161.0
dario;1;;
tobiasjessojr.;1;;
emery;1;457.0;819.0
shellac;1;;
j.i.d;1;477.0;74.0
actionbronson;1;8240.0;10.0
arcangel;1;9420787.0;7257.0
watain;1;9.0;0.0
hastetheday;1;0.0;1.0
danieltosh;1;306.0;0.0
nataliajimenez;1;33901.0;352.0
davidcrosby;1;1025.0;301.0
meatloaf;1;19034.0;4693.0
jonghyun;1;224.0;6.0
jamiexx;1;52.0;23.0
sticktoyourguns;1;644.0;5.0
stacybarthe;1;35.0;0.0
haileesteinfeld;1;10911458.0;1041.0
blitzentrapper;1;9452.0;545.0
danielrossen;1;0.0;0.0
domkennedy;1;422.0;65.0
monstermagnet;1;39.0;0.0
geraldlevert;1;38.0;3.0
thetwilightsingers;1;58.0;0.0
gymclassheroes;1;40355.0;89.0
heartlessbastards;1;7835.0;486.0
citizencope;1;34403.0;547.0
atomsforpeace;1;;
k.d.langandthesissboombang;1;;
typhoon;1;2969.0;1755.0
cutcopy;1;0.0;5.0
sunkilmoon;1;26.0;1.0
88rising;1;609847.0;890.0
sammyhagarwithvicjohnson;1;;
animalcollective;1;20.0;0.0
unitedpursuit;1;95761.0;465.0
askylitdrive;1;22527.0;403.0
youngdro;1;123.0;0.0
slashfeaturingmyleskennedy;1;;
frightenedrabbit;1;143.0;0.0
copeland;1;42.0;1.0
sullyerna;1;93934.0;619.0
gherbo&southside;1;;
elgrancombo;1;38.0;0.0
gwar;1;59280.0;698.0
heymonday;1;27.0;0.0
leamichele;1;5353958.0;2632.0
aesoprock;1;187.0;33.0
kellyprice;1;373.0;59.0
marcbroussard;1;;
theramones;1;;
souljaboy;1;;
paulwall;1;;
anamanaguchi;1;;
alkalinetrio;1;;
dondria;1;;
patrickstump;1;;
emmylouharris&rodneycrowell;1;;
sanctuary;1;;
shwayzeandcisco;1;;
alex&sierra;1;;
theblackangels;1;;
amandapalmer&thegrandtheftorchestra;1;;
skylarlaine;1;;
nataliemaines;1;;
wisin;1;;
shane&shane;1;;
amonamarth;1;;
nicklowe;1;;
caseyjames;1;;
z-ro;1;;
foxyshazam;1;;
rlgrime;1;;
thiswildlife;1;;
lostprophets;1;;
lakestreetdive;1;;
santigold;1;;
housefires;1;;
pjmorton;1;;
birdman&jacquees;1;;
teenamarie;1;;
rickieleejones;1;;
kb;1;;
goodiemob;1;;
mormontabernaclechoir/orchestraattemplesquarewithnataliecole(wilberg);1;;
quincyjones;1;;
bookert.jones;1;;
azizansari;1;;
tromboneshorty;1;;
avriel&thesequoias;1;;
hollywoodvampires;1;;
triptykon;1;;
chicago;1;;
jessicareedy;1;;
yusuf;1;;
sleepwave;1;;
jasonnelson;1;;
peterwolf;1;;
naswiththenationalsymphonyorchestra;1;;
johnnyswim;1;;
angelolsen;1;;
blazeyadeadhomie;1;;
richardmarx;1;;
audioslave;1;;
marcoantoniosolis;1;;
brokensocialscene;1;;
swindoe;1;;
wynonna;1;;
traceythorn;1;;
bobice;1;;
steveholy;1;;
slaine;1;;
steventyler;1;;
thebrooklyntabernaclechoir;1;;
robertglasperexperiment;1;;
impendingdoom;1;;
jdilla;1;;
jonsi;1;;
milaj;1;;
wu-tang/mathematics;1;;
canaansmith;1;;
avatar;1;;
elliottsmith;1;;
jmascis;1;;
treyanastasio;1;;
devindawson;1;;
deathangel;1;;
strayfromthepath;1;;
rageagainstthemachine;1;;
dasracist;1;;
emmylouharris;1;;
chelywright;1;;
perrycomo;1;;
otherwise;1;;
talibkweli&stylesp;1;;
thesword;1;;
mistyedwards;1;;
shakeygraves;1;;
dominicansistersofmary;1;;
guccimane&wakaflockaflame;1;;
exo;1;;
michellewilliams;1;;
robertrandolph&thefamilyband;1;;
jonbatiste;1;;
nateruess;1;;
simonedinnerstein/kammerorchester/staatskapelleberlin;1;;
theohhellos;1;;
burnthepriest;1;;
beartooth;1;;
tomjones;1;;
patgreen;1;;
joeyfeek;1;;
shobaraka;1;;
guster;1;;
adoredelano;1;;
cradleoffilth;1;;
aimeemann;1;;
williambeckett;1;;
gregoryporter;1;;
bandofskulls;1;;
kennyloggins;1;;
jessicasanchez;1;;
$uicideboy$;1;;
moby;1;;
neilyoung/internationalharvesters;1;;
alejandrosanz;1;;
girls;1;;
steveearle&thedukes(&duchesses);1;;
sisyphus;1;;
rancid;1;;
johnnewman;1;;
korynhawthorne;1;;
calebjohnson;1;;
californiabreed;1;;
theorbfeaturingdavidgilmour;1;;
meiko;1;;
duaneallman;1;;
tremonti;1;;
mushroomhead;1;;
kimburrell;1;;
dispatch;1;;
sufjanstevens,nicomuhly,brycedessner&jamesmcalister;1;;
tinacampbell;1;;
wearethefallen;1;;
nataliakills;1;;
kixbrooks;1;;
yanni;1;;
letoyaluckett;1;;
robbailey&thehustlestandard;1;;
againstme!;1;;
williampatrickcorgan;1;;
theafghanwhigs;1;;
mindlessselfindulgence;1;;
richardsmallwoodwithvision;1;;
theavalanches;1;;
dangerkids;1;;
megmyers;1;;
chrislane;1;;
jidenna;1;;
philiph.anselmo&theillegals;1;;
jacksonbrowne;1;;
dizzywright;1;;
quasimoto;1;;
building429;1;;
jessicahernandez&thedeltas;1;;
isaiahrashad;1;;
puscifer;1;;
cassidy;1;;
skimasktheslumpgod;1;;
lecraexzaytoven;1;;
betrayingthemartyrs;1;;
emilyannroberts;1;;
katherinejenkins;1;;
donwilliams;1;;
okkervilriver;1;;
jeffthebrotherhood;1;;
samcooke;1;;
bryanlanning;1;;
ghost;1;;
citygirls;1;;
chrisjamison;1;;
slaughterhouse;1;;
wynonna&thebignoise;1;;
thecranberries;1;;
afinefrenzy;1;;
godspeedyou!blackemperor;1;;
jimmyfallon;1;;
tonybennett&dianakrall;1;;
purityring;1;;
juanvelez;1;;
unspoken;1;;
kamelot;1;;
londonphilharmonicorchestra;1;;
swollenmembers;1;;
charlieworsham;1;;
phosphorescent;1;;
highonfire;1;;
woe,isme;1;;
blackjoelewis&thehoneybears;1;;
caribou;1;;
3ballmty;1;;
tesla;1;;
childrenofbodom;1;;
savages;1;;
him;1;;
robertotapia;1;;
2amclub;1;;
talibkweli+hi-tekarereflectioneternal;1;;
thechipmunks;1;;
mattmcandrew;1;;
after7;1;;
kaskade;1;;
alinabaraz&galimatias;1;;
fearfactory;1;;
superfruit;1;;
swornin;1;;
thestringcheeseincident;1;;
thrivingivory;1;;
jerrygarcia;1;;
kingkrule;1;;
juliamichaels;1;;
karenclark-sheard;1;;
nahkoandmedicineforthepeople;1;;
theearlsofleicester;1;;
jeffbridges;1;;
katiearmiger;1;;
marlenebrehm;1;;
lucyhale;1;;
whydon'twe;1;;
joelcrouse;1;;
serjtankian;1;;
gregoryalanisakovwiththecoloradosymphony;1;;
crowdedhouse;1;;
jane'saddiction;1;;
madeleinepeyroux;1;;
travisbarker&yelawolf;1;;
testament;1;;
dio;1;;
mattwertz;1;;
jamielawson;1;;
wu-tang;1;;
sunnysweeney;1;;
blackmountain;1;;
shooterjennings;1;84216.0;929.0
eden;1;52050.0;2117.0
addisonagen;1;531.0;54.0
knucklepuck;1;150.0;96.0
foreigner/styx;1;;
misterwives;1;81332.0;709.0
stereoskyline!;1;;
boburnham;1;702908.0;241.0
newfoundglory;1;138395.0;1409.0
chrisjanson;1;398.0;55.0
patmetheny;1;0.0;0.0
iration;1;181670.0;2973.0
bobschneider;1;0.0;0.0
i'mwithher;1;;
nickcave&thebadseeds;1;;
twiztid;1;69.0;0.0
timesofgrace;1;57.0;5.0
greenriverordinance;1;9124.0;902.0
jennylewis;1;159.0;0.0
popcaan;1;3867.0;0.0
theblackdahliamurder;1;813.0;4030.0
georgeharrison;1;4239.0;1058.0
brynncartelli;1;191769.0;65.0
emilysaliers;1;6435.0;226.0
jonathannelson;1;105.0;85.0
pedrofernandez;1;159.0;0.0
statechamps;1;55.0;2.0
afrojack;1;3818468.0;36.0
jamesotto;1;10808.0;786.0
ghostfacekillah;1;4571.0;0.0
caseyabrams;1;;
templeofthedog;1;89775.0;172.0
jimmyneedham;1;24486.0;921.0
shadowsfall;1;;
americanfootball;1;783.0;138.0
reginaspektor;1;139398.0;464.0
brookesimpson;1;1967.0;85.0
peteyorn;1;16454.0;897.0
j.j.hairston&youthfulpraise;1;;
thecadillacthree;1;;
freddiegibbs&madlib;1;;
tignotaro;1;;
iseestars;1;73.0;12.0
davekoz;1;203.0;35.0
soja;1;1263.0;0.0
richbrian;1;3734.0;1.0
delbert&glen;1;;
lilxan;1;;
ourladypeace;1;19830.0;961.0
backstreetboys;1;1592439.0;1848.0
theblackcrowes;1;4.0;0.0
redmarlow;1;24664.0;235.0
locashcowboys;1;;
bethhart;1;49.0;0.0
thedamnwells;1;;
thefarm;1;5099.0;13.0
selah;1;127974.0;348.0
roscoedash;1;22.0;12.0
primus;1;80.0;3.0
woodkid;1;1260.0;1004.0
nothingmore;1;151.0;244.0
jjlawhorn;1;0.0;10.0
meth/ghost/rae;1;;
brendalee;1;;
elviscostelloandtheroots;1;;
carcass;1;185.0;1.0
dinosaurjr.;1;;
bestcoast;1;;
joshthompson;1;;
yo-yoma;1;;
keithrichards;1;;
pixies;1;;
otep;1;;
menomena;1;;
luisfonsi;1;;
donaldlawrence&co.;1;;
infearandfaith;1;;
thegreen;1;;
max;1;;
therecordcompany;1;;
mitski;1;;
jasoncrabb;1;;
soil;1;;
ladispute;1;;
alisonkrauss;1;;
stonetemplepilotswithchesterbennington;1;;
above&beyond;1;;
metroboomin;1;;
dirtyprojectors;1;;
apocalyptica;1;;
shekukanneh-mason;1;;
bloodonthedancefloor;1;;
themonksofnorcia;1;;
glenhansard;1;;
marylambert;1;;
cyndilauper;1;;
rufuswainwright;1;;
thefaceless;1;;
kimwalker-smith;1;;
andymineo;1;;
verucasalt;1;;
slayer;1;;
imogenheap;1;;
wax;1;;
highlandsworship;1;;
angels&airwaves;1;;
dominicansistersofmary-motheroftheeucharist;1;;
chloexhalle;1;;
heislegend;1;;
bonobo;1;;
brookefraser;1;;
anaisabelle;1;;
giorgiomoroder;1;;
mutemath;1;;
keithharkin;1;;
takeoff;1;;
joshuadavis;1;;
gaithervocalband;1;;
lindsayell;1;;
theboth;1;;
gideon;1;;
locash;1;;
baroness;1;;
muramasa;1;;
m.ward;1;;
ladytron;1;;
davekoz/geraldalbright/mindiabair/richardelliot;1;;
flobots;1;;
themaddenbrothers;1;;
expire;1;;
traviemccoy;1;;
chiddybang;1;;
loveandtheft;1;;
kierrasheard;1;;
selena;1;;
thecrystalmethod;1;;
trevorhall;1;;
jasoncastro;1;;
masonjennings;1;;
carlypearce;1;;
erichutchinson;1;;
fouryearstrong;1;;
facetoface;1;;
audramcdonald;1;;
underoath;1;;
lauramvula;1;;
theinternet;1;;
meshuggah;1;;
arminvanbuuren;1;;
lil'boosie;1;;
motioncitysoundtrack;1;;
anthonyjeselnik;1;;
handslikehouses;1;;
bonethugs-n-harmony;1;;
deltron3030;1;;
prince&3rdeyegirl;1;;
knifeparty;1;;
deeppurple;1;;
badbooks;1;;
boosiebadazzandc-murder;1;;
sebastianyatra;1;;
larrythecableguy;1;;
thewillisclan;1;;
prof;1;;
glassanimals;1;;
thalia;1;;
yolandaadams;1;;
ritawilson;1;;
lostigresdelnorte;1;;
smokepurpp&murdabeatz;1;;
surferblood;1;;
chrissiehynde;1;;
craigwayneboyd;1;;
escapethefate;1;;
daveeast;1;;
kerli;1;;
slaves;1;;
loslobos;1;;
nothing;1;;
yeasayer;1;;
russelldickerson;1;;
leestrobel;1;;
lindyconant&thecircuitriders;1;;
originalcastrecording;1;;
theknife;1;;
justinnozuka;1;;
theclassiccrime;1;7520.0;425.0
clipse;1;;
richiesambora;1;;
mormontabernaclechoir/orchestraattemplesquare;1;;
theboxerrebellion;1;;
tinietempah;1;;
temples;1;;
lay;1;;
yes;1;;
saigon;1;;
theairbornetoxicevent;1;;
chuckbrown&thechuckbrownband;1;;
machinehead;1;;
williamcontrol;1;;
michaelray;1;;
lilboosie,webbie,liltrill&trillfam;1;;
dirtyloops;1;;
snakehips;1;;
jasonbolandandthestragglers;1;;
goodcharlotte;1;;
gateway;1;;
stars;1;;
everfound;1;;
