,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
845,Judas Priest,True,99316,137095,34003,1326,4.947368421052632
846,Housefires,False,0,0,0,0,0.0
847,Jason Nelson,True,132564,1317,263,37434,7.673076923076923
848,Chris Jamison,True,87826,5829,572,5304,4.107638888888889
849,LCD Soundsystem,True,170482,13281,16259,484,0.5279937791601866
850,City Girls,True,3187,551,196,7,0.7205882352941176
851,Ghost,True,23767,2608,689,4554,4.532203389830508
852,Bryan Lanning,False,0,0,0,0,0.0
853,The Cranberries,True,109430,220178,89104,362,0.500999600159936
854,Passion,True,13787462,1054081,307524,13752,3.1531531531531534
855,Isaiah Rashad,True,444254,235414,71920,48562,2.1639344262295084
856,Anthony Green,True,105417,25669,3474,11342,12.39344262295082
857,Tina Campbell,True,2822,306,23,24607,8.91851851851852
858,"Sufjan Stevens, Nico Muhly, Bryce Dessner & James McAlister",False,0,0,0,0,0.0
859,The String Cheese Incident,True,32937,1904,337,6946,12.202702702702704
860,Amos Lee With The Colorado Symphony,False,0,0,0,0,0.0
861,Superfruit,True,393879,211380,21014,5936,9.8125
862,Black Label Society,True,756685,104415,18571,26631,13.861386138613861
863,Moneybagg Yo & Yo Gotti,False,0,0,0,0,0.0
864,Sarah McLachlan,True,227780,73451,9096,5338,4.035294117647059
865,Parachute,True,116769,27513,3640,17953,8.369565217391305
866,Redman,True,646747,49334,10193,6885,8.365853658536585
867,Phillip Phillips,True,640883,21528,3035,12706,4.6
868,Keith Richards,True,1108586,746097,138396,1801,2.2823529411764705
869,The Sword,True,24350,2914,663,3725,2.3333333333333335
870,Chely Wright,True,52993,12792,1560,33390,31.11111111111111
871,Tamela Mann,True,133590,7504,879,5194,3.841463414634146
872,The Offspring,True,247052,37555,7367,6168,5.283653846153846
873,Pantera,True,712986,116773,48521,930,1.048841059602649
874,Wu-Tang,True,653151,188213,66402,12012,17.54794520547945
875,Pete Yorn,True,1338577,3309,260,7819,12.759493670886076
876,London Symphony Orchestra (Williams),False,0,0,0,0,0.0
877,The Shins,True,58171,18546,4551,431,0.784966112138016
878,Pat Green,True,52682,6203,1644,731,0.926829268292683
879,London Grammar,True,158152,54281,8681,1594,2.5990888382687927
880,Elliott Smith,True,4523,7306,526,332,2.0310880829015545
881,Avatar,True,44461,20568,5039,1091,1.68
882,Black Stone Cherry,True,91759,17551,2928,5393,7.2592592592592595
883,Alkaline Trio,True,83711,27716,5745,1020,0.5718774548311076
884,Blind Pilot,True,17427,4041,479,1345,1.7641509433962264
885,Ces Cru,False,0,0,0,0,0.0
886,State Champs,True,151891,39836,4720,18052,46.2
887,The National,True,897778,800,435,114030,229.83333333333334
888,A Great Big World,True,59354,9907,2003,5895,7.7924528301886795
889,David Nail,True,270710,5775,230,21598,27.847826086956523
890,Rich Brian,True,1398443,4655532,828463,19273,4.465949820788531
891,Juanes,True,11585482,66242,11525,10548,6.695652173913044
892,The Record Company,True,7527,2429,313,4394,6.638709677419355
893,Nas,True,2251248,104421,29261,5251,1.3658536585365855
894,Anthrax,True,515833,39660,8278,10562,5.149425287356322
895,MAX,True,7739,544,208,5424,5.392857142857143
896,Marvin Gaye,False,0,0,0,0,0.0
