,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
1160,The Oh Hellos,True,13433,3071,288,3168,4.379310344827586
1161,Goo Goo Dolls,True,140600,49036,6251,4185,6.6091370558375635
1162,Ben Folds With yMusic/Nashville Symphony (Guerrero),False,0,0,0,0,0.0
1163,The ARCS,True,79449,6739,1243,2177,4.101010101010101
1164,HellYeah,True,347023,26305,4630,4887,4.395348837209302
1165,Alina Baraz,True,127577,1213536,305119,178,0.619430693069307
1166,ONE OK ROCK,True,1530581,2390039,559902,1387,1.8538812785388128
1167,Cody Simpson,True,7501583,42415,9072,35580,31.620689655172413
1168,3OH!3,True,167779,21151,5078,6902,1.2352941176470589
1169,Celtic Woman,True,37297,10541,1446,3598,3.5
1170,The Flaming Lips,True,997162,904,136,5039,1.288
1171,Van Halen,True,320157,15375,11848,74,0.17278025368529312
1172,Dreezy,True,174661,59823,21667,11437,25.9
1173,Gregg Allman,True,170173,13988,2684,2888,6.664383561643835
1174,Ryan Bingham,True,45845,42256,4442,6079,2.440959409594096
1175,Garbage,True,156649,30217,4633,20029,34.054054054054056
1176,Ringo Starr,True,1885204,1408988,262407,1077,2.2948929159802307
1177,Tasha Cobbs,True,248638,3402,319,44536,1.3125
1178,David Gilmour,True,106466,109838,27731,491,0.9466840052015605
1179,Band Of Horses,True,213930,14083,2424,2240,1.24212271973466
1180,Chloe X Halle,True,160018,303485,50927,31352,9.357142857142858
1181,Grace Potter,True,121903,5815,971,6081,1.2118644067796611
1182,Mike Shinoda,True,1028904,292397,37174,6527,19.366666666666667
1183,The Avalanches,True,41830,19592,3041,1677,3.745819397993311
1184,Francesca Battistelli,False,0,0,0,0,0.0
1185,Yella Beezy,False,0,0,0,0,0.0
1186,Kimbra,True,137577,10572,1319,8963,4.770700636942675
1187,"Chunk! No, Captain Chunk!",True,70327,13845,4041,3884,1.4126268320180384
1188,Marshmello,True,1332452,630373,92785,7880,14.208955223880597
1189,Red Fang,True,30507,2744,671,3679,1.674101610904585
1190,Hollyn,False,0,0,0,0,0.0
1191,Johnnyswim,True,32864,6981,508,13556,10.625
1192,Clams Casino,True,79426,4319,512,10744,3.7011494252873565
1193,PJ Harvey,True,104013,28294,12182,163,0.32176749703440094
1194,Roger Waters,True,252605,367751,90823,593,4.406557377049181
1195,Charles Jenkins & Fellowship Chicago,False,0,0,0,0,0.0
1196,Jason Mraz,True,5735041,56842,8830,3961,8.277777777777779
1197,Emily Ann Roberts,False,0,0,0,0,0.0
1198,Ani DiFranco,True,54798,10016,1964,1485,3.3157894736842106
1199,Pearl Jam,True,3592677,211661,34775,7230,15.28048780487805
1200,Chrisette Michele,True,609511,3916,633,26629,5.401826484018265
1201,Pink Guy,False,0,0,0,0,0.0
1202,Dove Cameron,True,1436697,419340,31265,15483,18.307692307692307
1203,Kamasi Washington,True,48975,35462,7416,6536,1.96
1204,Iron Maiden,True,2188111,178167,31079,5934,10.716814159292035
1205,Common,True,5325898,726315,238612,12160,15.709302325581396
1206,G Unit,False,0,0,0,0,0.0
1207,Metro Boomin,True,2772647,605682,174255,174301,25.454545454545453
1208,Matt Maher,True,136455,11386,1411,13841,6.670588235294118
1209,A Perfect Circle,True,166491,64039,14224,433,3.7643504531722054
1210,Dominican Sisters Of Mary - Mother Of The Eucharist,False,0,0,0,0,0.0
1211,Majid Jordan,True,306567,226233,79380,643,1.7995283018867925
1212,Carly Pearce,True,39596,38017,3305,20252,43.81481481481482
1213,$uicideBoy$,False,0,0,0,0,0.0
