,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0,0.153,0.841,212500,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0,0.22899999999999998,95.948,4,0.591,99
1,0.128,0.745,136032,0.715,0.0,1,0.182,-3.3680000000000003,0,0.245,94.51299999999999,4,0.342,77
2,0.0893,0.7609999999999999,192405,0.672,9.77e-06,1,0.14,-5.8870000000000005,1,0.212,160.077,3,0.43700000000000006,76
3,0.0141,0.8170000000000001,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.06200000000001,4,0.158,97
4,0.0115,0.82,135739,0.691,0.0,6,0.344,-6.646,0,0.0723,142.02700000000002,4,0.6829999999999999,76
5,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96
6,0.191,0.687,214290,0.792,0.0,5,0.16699999999999998,-2.7489999999999997,1,0.0452,100.015,4,0.6709999999999999,97
7,0.071,0.826,225199,0.615,0.0,8,0.0965,-7.979,0,0.21899999999999997,98.056,4,0.5429999999999999,95
8,0.00513,0.8340000000000001,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.00799999999998,4,0.446,95
9,0.551,0.753,158053,0.498,0.0,2,0.0706,-5.61,1,0.0504,89.95,4,0.927,95
10,0.0834,0.772,128769,0.812,0.0,0,0.115,-3.995,0,0.153,97.40700000000001,4,0.655,75
11,0.172,0.635,217822,0.902,0.0,0,0.125,-3.5589999999999997,1,0.109,102.06299999999999,4,0.28600000000000003,91
12,0.371,0.5720000000000001,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.79899999999999,4,0.32299999999999995,92
13,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.28800000000000003,94
14,0.9790000000000001,0.498,199931,0.10400000000000001,7.859999999999999e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205,93
15,0.19399999999999998,0.7290000000000001,183907,0.625,0.009859999999999999,4,0.248,-5.266,1,0.0315,146.034,4,0.261,93
16,0.0691,0.7190000000000001,187436,0.7040000000000001,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,93
17,0.254,0.397,354320,0.396,0.0,3,0.268,-9.91,1,0.05,142.91299999999998,4,0.22699999999999998,81
18,0.32299999999999995,0.767,258639,0.7090000000000001,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72,89
19,0.0765,0.596,229320,0.552,0.33399999999999996,0,0.10400000000000001,-10.277999999999999,0,0.09699999999999999,97.949,4,0.11199999999999999,86
20,0.16399999999999998,0.335,241107,0.625,0.0,7,0.0708,-7.462000000000001,1,0.0386,150.27700000000002,4,0.34600000000000003,88
21,0.0192,0.9009999999999999,132331,0.598,0.0,1,0.0791,-6.934,1,0.17,117.9,4,0.355,73
22,0.08800000000000001,0.9309999999999999,179405,0.387,0.0,1,0.136,-9.127,1,0.41200000000000003,125.978,4,0.376,90
23,0.10300000000000001,0.8959999999999999,145543,0.6709999999999999,0.0,1,0.552,-6.977,0,0.289,112.50200000000001,4,0.358,85
