Artistes;followers;posts
usher;8061006.0;60.0
professorgreenftemelisande;;
traviemccoyftbrunomars;;
yungenftyxngbane;;
wilkinson;;
charlenesoraia;1732.0;817.0
ducksauce;36.0;12.0
rihannaftcalvinharris;;
klangkarussellftwillheard;;
beyonce;120976678.0;1710.0
5secondsofsummer;;
lumineers;16.0;9.0
mnek&zaralarsson;;
mikeposner;272723.0;18.0
loudluxuryftbrando;;
grl;73930.0;184.0
silkcityftdualipa;;
labrinthfttinietempah;;
michaelbuble;2069079.0;762.0
galantis;;
jamesbay;30.0;3.0
labrinthftemelisande;;
lawson;5170.0;1914.0
kdafttinietempah&katyb;;
nelly;2225744.0;2021.0
lilpeep&xxxtentacion;;
lilyallen;936999.0;254.0
lsdftsia/diplo/labrinth;;
robinthicke/kendricklamar;;
fun;17319.0;141.0
ottoknows;140336.0;583.0
kingsofleon;558077.0;132.0
kanyewest/jayz/bigsean;;
kungsvscookin'on3burners;;
chrisbrown;263569.0;175.0
nickiminajftrihanna;70.0;20.0
justinbieber&bloodpop;;
nf;;
lorde;2723.0;119.0
owlcity/carlyraejepsen;;
calvinharris/florencewelch;;
cherylcole;9567.0;0.0
galantis&hooknsling;;
professorgreenfttorikelly;;
ceelogreen;241410.0;1572.0
sigala/eyre/trainorftmontana;;
deanlewis;164.0;4.0
jeremihftyg;;
lmfao;8516.0;74.0
arcticmonkeys;1091393.0;85.0
londongrammar;187419.0;181.0
wiley/skepta/jme/msd;;
powermusicworkout;165.0;21.0
joemcelderry;;
katyperryftsnoopdogg;;
manicstreetpreachers;2259.0;18.0
sam&thewomp;;
beatles;12.0;2.0
wankelmut&emmalouise;;
pitbull/ne-yo/afrojack/nayer;;
fray;109.0;1.0
eminemftlilwayne;;
carlyraejepsen;1783020.0;3430.0
gyptian;270.0;9.0
djfreshftravaughn;;
justinbieberfthalsey;;
blackeyedpeas;144.0;47.0
davidguettaftne-yo/akon;;
chainsmokersftphoeberyan;;
tenwalls;632.0;99.0
mariahcarey;7539092.0;2067.0
eminemftsia;;
fareastmovement/cataracs/dev;;
rihannaftdavidguetta;;
portugaltheman;210994.0;1707.0
lizzy/fredo/youngt&bugsey;;
guetta/afrojack/xcx/montana;;
willyoung;39.0;123.0
elizadoolittle;943.0;468.0
benhaenowftkellyclarkson;;
breachftandreyatriana;;
selenagomezftasaprocky;;
brandonflowers;151738.0;32.0
slowmovingmillie;3.0;0.0
sigmaftbirdy;;
louisajohnson;562.0;332.0
omi;146440.0;749.0
ollymursfttraviemccoy;;
hardycaprioftoneacen;;
eminemftbeyonce;;
jay-z/kanyewest/otisredding;;
waze&odysseyvsrkelly;;
vampsftmatoma;;
6ix9ine/minaj/murdabeatz;;
gorillazftdaley;;
juicewrld;1611.0;50.0
davidguettaftanne-marie;;
aleshadixon;;
peterandre;1005701.0;1362.0
djkhaled/bieber/quavo/chance;;
digitalfarmanimals/cashcash;;
westlife;80354.0;11.0
ladygaga&rkelly;;
