Song, Artist, Last Week, Peak Position, Weeks on Chart
"Hell: The Sequel (EP)","Bad Meets Evil",-,1,1
"
Dream With Me
","
Jackie Evancho
",-,-,-
"
21
","
Adele
",1,1,17
"
Born This Way
","
Lady Gaga
",2,1,4
"
My Kinda Party
","
Jason Aldean
",7,2,33
"
All Things Bright And Beautiful
","
Owl City
",-,-,-
"
15 Minutes: Fame... Can You Take It?
","
Barry Manilow
",-,-,-
"
Pieces Of Me
 ","
Ledisi
",-,-,-
"
This Is Country Music
","
Brad Paisley
",8,2,4
"
The Book Of Mormon
","
Original Broadway Cast Recording
",3,3,4
"
NOW 38
","
Various Artists
",9,2,7
"
 Wasting Light
","
Foo Fighters
",26,1,10
"
Sigh No More
","
Mumford & Sons
",13,2,65
"
NOW That's What I Call Country: Volume 4
","
Various Artists
",-,-,-
"
You Get What You Give
","
Zac Brown Band
",20,1,39
"
Teenage Dream
","
Katy Perry
",15,1,43
"
Set The World On Fire
","
Black Veil Brides
",-,-,-
"
Journey's Greatest Hits
","
Journey
",101,10,173
"
Speak Now
","
Taylor Swift
",22,1,34
"
Ronnie Dunn
","
Ronnie Dunn
",5,5,2
"
Ukulele Songs
","
Eddie Vedder
",11,4,3
"
Codes And Keys
","
Death Cab For Cutie
",10,3,3
"
Nothing But The Best
","
Frank Sinatra
",-,2,119
"
Doo-Wops & Hooligans
","
Bruno Mars
",17,3,37
"
All 6's & 7's
","
Tech N9ne
",4,4,2
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",111,26,188
"
19
","
Adele
",24,10,87
"
The Flood
","
Of Mice & Men
",-,-,-
"
A Treasure
","
Neil Young/International Harvesters
",-,-,-
"
My World 2.0
","
Justin Bieber
",41,1,65
"
Rolling Papers
","
Wiz Khalifa
",29,2,12
"
Loud
","
Rihanna
",30,3,31
"
The Band Perry
","
The Band Perry
",32,4,36
"
Lemonade Mouth
","
Soundtrack
",31,4,10
"
Find Me
","
Christina Grimmie
",-,-,-
"
Pink Friday
","
Nicki Minaj
",34,1,30
"
Circuital
","
My Morning Jacket
",18,5,3
"
Mirrorball: Live & More
","
Def Leppard
",16,16,2
"
Glee: The Music, Season Two Volume 6
","
Soundtrack
",21,4,4
"
Revelator
","
Tedeschi Trucks Band
",12,12,2
"
Recovery
","
Eminem
",45,1,52
"
F.A.M.E.
","
Chris Brown
",27,1,13
"
Need You Now
","
Lady Antebellum
",43,1,73
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",55,24,32
"
Nothing Like This
","
Rascal Flatts
",46,6,31
"
Holding Onto Strings Better Left To Fray
","
Seether
",35,2,5
"
Hot Sauce Committee Part Two
","
Beastie Boys
",25,2,7
"
Greatest Hits
","
Foo Fighters
",175,11,35
"
The Dark Side Of The Moon
","
Pink Floyd
",-,1,779
"
McCartney
","
Paul McCartney
",-,1,48
"
Hemingway's Whiskey
","
Kenny Chesney
",51,1,38
"
Never Say Never: The Remixes (EP)
","
Justin Bieber
",37,1,18
"
Maybach Music Group Presents: Self Made: Vol. I
","
Various Artists
",33,5,4
"
Love?
","
Jennifer Lopez
",38,5,7
"
Hello Fear
","
Kirk Franklin
",44,5,13
"
King Kong
","
Gorilla Zoe
",-,-,-
"
Torches
","
Foster The People
",40,8,4
"
Greatest Hits... So Far!!!
","
P!nk
 ",36,5,31
"
Femme Fatale
","
Britney Spears
",23,1,12
"
The Foundation
","
Zac Brown Band
",69,9,135
"
Lungs
","
Florence + The Machine
",56,14,55
"
The Fame
","
Lady Gaga
",47,2,138
"
Dirty Work
","
All Time Low
",6,6,2
"
Paper Airplane
","
Alison Krauss + Union Station
",48,3,10
"
lovestrong.
","
Christina Perri
",49,4,6
"
All I Want Is You
","
Miguel
",57,37,24
"
Born Free
","
Kid Rock
",67,5,31
"
The Fame Monster (EP)
","
Lady Gaga
",88,5,74
"
Brothers
","
The Black Keys
",76,3,57
"
So Beautiful Or So What
","
Paul Simon
",65,4,10
"
2
","
Black Country Communion
",-,-,-
"
NKOTBSB
","
NKOTBSB
",39,7,4
"
Suburbia I've Given You All And Now I'm Nothing
","
The Wonder Years
",-,-,-
