Song, Artist, Last Week, Peak Position, Weeks on Chart
"Lucky Old Sun","Kenny Chesney",-,1,1
"
Paper Trail
","
T.I.
",1,1,3
"
Gossip In The Grain
 ","
Ray LaMontagne
",-,-,-
"
Death Magnetic
","
Metallica
",2,1,6
"
Jennifer Hudson
","
Jennifer Hudson
",4,2,3
"
Rock N Roll Jesus
","
Kid Rock
",7,1,54
"
Perfect Symmetry
","
Keane
",-,-,-
"
Year Of The Gentleman
","
Ne-Yo
",8,2,5
"
Little Honey
","
Lucinda Williams
",-,-,-
"
Covers
","
James Taylor
",10,4,3
"
Something Else
","
Robin Thicke
",12,3,3
"
Tha Carter III
","
Lil Wayne
",13,1,19
"
Little Bit Of Everything
","
Billy Currington
",-,-,-
"
The Recession
","
Young Jeezy
",15,1,7
"
A Little Bit Longer
","
Jonas Brothers
",16,1,10
"
Fearless
","
Jazmine Sullivan
",14,6,4
"
Good Girl Gone Bad
","
Rihanna
",17,2,72
"
Love On The Inside
","
Sugarland
",20,1,13
"
Appeal To Reason
","
Rise Against
",3,3,2
"
Spirit
 ","
Leona Lewis
",22,1,28
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",26,3,23
"
One Of The Boys
","
Katy Perry
",23,9,18
"
Viva La Vida or Death And All His Friends
","
Coldplay
",31,1,18
"
LAX
","
The Game
",21,2,8
"
Greatest Hits 3
","
Tim McGraw
",9,9,2
"
Mamma Mia!
","
Soundtrack
",25,1,15
"
The Bootleg Series Vol. 8: Tell Tale Signs: Rare And Unreleased 1989-2006
","
Bob Dylan
",6,6,2
"
Learn To Live
","
Darius Rucker
",27,5,5
"
All Hope Is Gone
","
Slipknot
",28,1,8
"
Closer: The Best Of Sarah McLachlan
","
Sarah McLachlan
",11,11,2
"
Taylor Swift
","
Taylor Swift
",39,5,104
"
Only By The Night
","
Kings Of Leon
",29,5,4
"
WOW Hits 2009
","
Various Artists
",37,33,2
"
Don't Forget
","
Demi Lovato
",24,2,4
"
Be OK
","
Ingrid Michaelson
",-,-,-
"
Dig Out Your Soul
","
Oasis
",5,5,2
"
No Molestar
","
Marco Antonio Solis
",19,19,2
"
Breakout
","
Miley Cyrus
",35,1,13
"
Nightmare Revisited
","
Various Artists
",36,31,3
"
Kellie Pickler
","
Kellie Pickler
",34,9,3
"
Yo-Yo Ma & Friends: Songs Of Joy & Peace
","
Yo-Yo Ma
",-,-,-
"
Doll Domination
","
The Pussycat Dolls
",30,4,4
"
NOW 28
","
Various Artists
",46,2,20
"
The Block
","
New Kids On The Block
",38,2,7
"
The March
","
Unearth
",-,-,-
"
19
","
Adele
",129,46,19
"
Camp Rock
","
Soundtrack
",48,3,18
"
You Are My Sunshine
","
Copeland
",-,-,-
"
NOW That's What I Call Country
","
Various Artists
",51,7,8
"
Raising Sand
","
Robert Plant / Alison Krauss
",127,2,50
"
Joe Thomas, New Man
","
Joe
",43,8,4
"
A Place To Land
","
Little Big Town
",-,24,12
"
Joy To The World
","
Faith Hill
",63,51,3
"
Kala
","
M.I.A.
",58,18,30
"
The Illusion Of Progress
","
Staind
",55,3,9
"
Black Butterfly
","
Buckcherry
",41,8,5
"
Rockferry
","
Duffy
",52,4,23
"
Carnival Ride
","
Carrie Underwood
",62,1,52
"
Peace On Earth
","
Casting Crowns
",56,56,2
"
Nick & Norah's Infinite Playlist
","
Soundtrack
",44,44,3
"
Christmas Duets
","
Elvis Presley
",-,-,-
"
Indestructible
 ","
Disturbed
",60,1,20
"
Saving Abel
","
Saving Abel
",65,53,26
"
Life Is Not A Waiting Room
","
Senses Fail
",18,18,2
"
The Glass Passenger
","
Jack's Mannequin
 ",40,8,3
"
That Lonesome Song
","
Jamey Johnson
",69,28,11
"
Brass Knuckles
","
Nelly
",45,3,5
"
Dreamer
","
Haste The Day
",-,-,-
"
Greatest Hits: Limited Edition
","
Tim McGraw
",83,10,22
"
Love & Life
","
Eric Benet
",59,11,6
"
Revelation
","
Journey
",61,5,20
"
3 Doors Down
","
3 Doors Down
",76,1,22
"
Troubadour
","
George Strait
",74,1,29
"
Break Up The Concrete
","
Pretenders
",32,32,2
"
Jonas Brothers
","
Jonas Brothers
",72,5,63
"
Scars & Souvenirs
 ","
Theory Of A Deadman
",78,26,29
"
Hello Love
","
Chris Tomlin
",66,9,7
"
We Global
","
DJ Khaled
",77,7,5
"
New Surrender
","
Anberlin
",50,13,3
"
Daughtry
","
Daughtry
",85,1,100
"
Way To Normal
","
Ben Folds
",54,11,3
"
Multi Dimensional Warrior
","
Santana
",-,-,-
"
Dear Science
","
TV On The Radio
",67,12,4
"
Oracular Spectacular
","
MGMT
",87,60,33
"
Swan Songs
","
Hollywood Undead
",81,22,7
"
Fleet Foxes
","
Fleet Foxes
",75,67,20
"
What Am I Waiting For
","
Heidi Newfield
",80,10,11
"
Lady Antebellum
","
Lady Antebellum
",96,4,27
"
The Way I See It
","
Raphael Saadiq
",79,19,5
"
Tina!
","
Tina Turner
",70,61,3
"
35 Biggest Hits
","
Toby Keith
",89,2,24
"
Here I Stand
","
Usher
",98,1,21
"
Do You Know
","
Jessica Simpson
",71,4,6
"
Time The Conqueror
","
Jackson Browne
 ",68,20,4
"
Golden Age Of Song
","
Various Artists
",73,40,3
"
Overcome
","
All That Remains
",84,16,5
"
Minutes To Midnight
","
Linkin Park
",94,1,75
"
 Call Me Irresponsible
","
Michael Buble
",115,1,77
"
The Sound Of Madness
","
Shinedown
",106,8,17
"
Colors: Live
","
Between The Buried And Me
 ",-,-,-
"
Sleep Through The Static
 ","
Jack Johnson
",90,1,37
"
Forever More
","
Tesla
",33,33,2
"
Worlds Collide
","
Apocalyptica
",119,59,18
"
Good Time
","
Alan Jackson
",116,1,33
"
Pocketful Of Sunshine
","
Natasha Bedingfield
",114,3,39
"
Shogun
","
Trivium
",64,23,3
"
One World (Soundtrack)
","
The Cheetah Girls
",91,13,9
"
Revelation
","
Third Day
",88,6,12
"
Graffiti The World
","
Rehab
",97,90,14
"
Thirsty
","
Marvin Sapp
",95,28,61
"
Scream
","
Tokio Hotel
",186,39,19
"
Landing Gear
","
Devin The Dude
",47,47,2
"
The Ultimate Hits
","
Garth Brooks
",118,3,50
"
Jordin Sparks
","
Jordin Sparks
",109,10,48
"
Big Bad World
","
Plain White T's
",100,33,4
"
A Twist In My Story
","
Secondhand Serenade
",107,44,17
"
Nothing But The Best
","
Frank Sinatra
",110,2,23
"
As I Am
","
Alicia Keys
",121,1,49
"
Acid Tounge
","
Jenny Lewis
",82,24,4
"
Goin' All Out
","
Dan Evans
",57,57,2
"
Kidz Bop 14
","
Kidz Bop Kids
",103,8,12
"
Greatest Hits
","
New Kids On The Block
",101,22,10
"
Coco
","
Colbie Caillat
",111,5,66
"
Exclusive
","
Chris Brown
",108,4,50
"
Greatest Hits
","
Joe
",-,-,-
"
Vamonos Pa'l Rio
","
Los Pikadientes de Caborca
",105,52,8
"
Rebel
","
Lecrae
",92,60,3
"
Act Two
","
Celtic Thunder
",102,61,5
"
Metro Station
","
Metro Station
",130,39,26
"
I Turn To You
","
Richie McDonald
",126,126,3
"
 Finding Beauty In Negative Spaces
","
Seether
",131,9,52
"
Where The Light Is: John Mayer Live In Los Angeles
","
John Mayer
",138,5,16
"
Twilight Of The Thunder God
","
Amon Amarth
",86,50,3
"
August Rush
","
Soundtrack
",175,33,30
"
It Won't Be Soon Before Long
","
Maroon 5
",151,1,74
"
Still Feels Good
","
Rascal Flatts
",139,1,56
"
RIOT!
","
Paramore
",132,15,71
"
The Way Of All Flesh
","
Gojira
",-,-,-
"
Mothership
","
Led Zeppelin
",125,7,49
"
Talento De Barrio (Soundtrack)
","
Daddy Yankee
",141,13,10
"
Weezer
","
Weezer
",133,4,20
"
The Way Of The Fist
","
Five Finger Death Punch
",142,107,30
"
Crazy Ex-Girlfriend
","
Miranda Lambert
",146,6,77
"
Lost In The Sound Of Separation
","
Underoath
",123,8,7
"
Sex And The City
","
Soundtrack
",117,2,16
"
Do You Believe In Gosh?
","
Mitch Hedberg
",122,18,6
"
Elephants... Teeth Sinking Into Heart
","
Rachael Yamagata
",53,53,2
"
5th Gear
","
Brad Paisley
",165,3,70
"
Hard Candy
","
Madonna
",153,1,25
"
Palabras Del Silencio
","
Luis Fonsi
",99,15,8
"
Rise And Fall, Rage And Grace
","
The Offspring
",120,10,18
"
Tennessee Pusher
","
Old Crow Medicine Show
",167,50,4
"
Just Who I Am: Poets & Pirates
","
Kenny Chesney
",178,3,58
"
Idolos: De Mexico Para El Mundo
","
Various Artists
",134,77,5
"
Beautiful Eyes (EP)
","
Taylor Swift
",152,9,14
"
The Royalty/La Realeza
","
RKM & Ken-Y
",112,32,6
"
Pebble To A Pearl
","
Nikka Costa
",-,-,-
"
American Man: Greatest Hits Volume II
","
Trace Adkins
",177,22,46
"
Who We Are
","
Lifehouse
",168,14,69
"
Long Road Out Of Eden
","
Eagles
",161,1,51
"
Radio Retaliation
","
Thievery Corporation
",128,35,4
"
Greatest Hits
","
Craig Morgan
",113,113,3
"
Raw Footage
","
Ice Cube
",143,5,9
"
The Altar And The Door
","
Casting Crowns
",149,2,58
"
Another Cinderella Story
","
Soundtrack
",184,165,3
"
All Sides
","
O.A.R.
",170,13,14
"
Shine
","
Estelle
",104,38,25
"
Narrow Stairs
","
Death Cab For Cutie
",156,1,23
"
Continuum
","
John Mayer
",188,2,110
"
Greatest Hits
","
Keith Urban
",176,11,47
"
Simple Times
","
Joshua Radin
",147,34,5
"
Time Flies
","
John Michael Montgomery
",-,-,-
"
Untitled
","
Nas
",159,1,14
"
Avenged Sevenfold
","
Avenged Sevenfold
",185,4,51
"
What If We
","
Brandon Heath
",160,73,9
"
Metamorphosis
","
Maysa
",-,-,-
"
The Quilt
","
Gym Class Heroes
",145,14,6
"
Loyalty To Loyalty
","
Cold War Kids
",135,21,4
"
Do You Believe Me Now
","
Jimmy Wayne
",183,27,8
"
Fight With Tools
","
Flobots
",169,15,24
"
Live In Gdansk
","
David Gilmour
",140,26,4
"
Para Siempre
","
Vicente Fernandez
",193,38,47
"
Definition Of Real
","
Plies
",124,2,19
"
95/08
","
Enrique Iglesias
",182,18,30
"
Still Unforgettable
","
Natalie Cole
",137,19,6
"
Songs For You, Truths For Me
","
James Morrison
",148,49,3
"
A Lovely Way To Spend Christmas
","
Kristin Chenoweth
",-,-,-
