Song, Artist, Last Week, Peak Position, Weeks on Chart
"I Am...Sasha Fierce","Beyonce",-,1,1
"
Dark Horse
","
Nickelback
",-,-,-
"
David Cook
","
David Cook
",-,-,-
"
Fearless
","
Taylor Swift
",1,1,2
"
The Promise
","
Il Divo
",-,-,-
"
Twilight
","
Soundtrack
",5,1,3
"
NOW 29
","
Various Artists
",3,3,2
"
High School Musical 3: Senior Year
","
Soundtrack
",7,2,5
"
And Winter Came...
","
Enya
",8,8,2
"
Black Ice
","
AC/DC
",6,1,5
"
David Archuleta
","
David Archuleta
",2,2,2
"
Thr33 Ringz
","
T-Pain
",4,4,2
"
Safe Trip Home
","
Dido
",-,-,-
"
Paper Trail
","
T.I.
",10,1,8
"
The New Game
","
Mudvayne
",-,-,-
"
Joy To The World
","
Faith Hill
",24,16,8
"
The Foundation
","
Zac Brown Band
",-,-,-
"
Evolver
","
John Legend
",12,4,4
"
Funhouse
","
P!nk
",11,2,4
"
Rock N Roll Jesus
","
Kid Rock
",17,1,59
"
Cities 97 Sampler: Live From Studio C: 20th Anniversary
","
Various Artists
",-,-,-
"
Greatest Hits Volume 1
","
Rascal Flatts
",15,6,4
"
Keeps Gettin' Better: A Decade Of Hits
","
Christina Aguilera
",9,9,2
"
All Wrapped Up! (EP)
","
Various Artists
",53,24,2
"
Christmas Duets
","
Elvis Presley
",56,25,6
"
Yo-Yo Ma & Friends: Songs Of Joy & Peace
","
 Yo-Yo Ma
",27,20,6
"
Breakout
","
Miley Cyrus
",43,1,18
"
A Little Bit Longer
","
Jonas Brothers
",28,1,15
"
Take It To The Limit
","
Hinder
",16,4,3
"
Incanto
","
Andrea Bocelli
",14,8,3
"
Love On The Inside
","
Sugarland
",20,1,18
"
Love's Crazy
","
Slim
",-,-,-
"
Death Magnetic
","
Metallica
",19,1,11
"
Startin' Fires
","
Blake Shelton
",-,-,-
"
Soul
","
Seal
",13,13,2
"
Gutta
","
DJ Khaled Presents Ace Hood
",-,-,-
"
Lucky Old Sun
","
Kenny Chesney
",18,1,6
"
Good Girl Gone Bad
","
Rihanna
",31,2,77
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",29,3,28
"
Taylor Swift
","
Taylor Swift
",21,5,109
"
Tha Carter III
","
Lil Wayne
",26,1,24
"
NBC Sounds Of The Season: The Julianne Hough Holiday Collection (EP)
","
Julianne Hough
",68,42,3
"
Peace On Earth
","
Casting Crowns
",35,33,7
"
Year Of The Gentleman
","
Ne-Yo
",23,2,10
"
The Essential NOW That's What I Call Christmas
","
Various Artists
",55,45,5
"
What A Night! A Christmas Album
","
Harry Connick, Jr.
",49,46,3
"
Jennifer Hudson
","
Jennifer Hudson
",33,2,8
"
Christmasville
","
Mannheim Steamroller
",72,48,5
"
A Swingin' Christmas
","
Tony Bennett Feat. The Count Basie Big Band
",89,49,4
"
 Spirit
","
Leona Lewis
",45,1,33
"
My Love: Essential Collection
","
Celine Dion
",30,8,4
"
One Of The Boys
","
Katy Perry
",38,9,23
"
That Don't Make Me A Bad Guy
","
Toby Keith
",25,5,4
"
Viva La Vida or Death And All His Friends
","
Coldplay
",36,1,23
"
5to Piso
","
Ricardo Arjona
",-,-,-
"
Learn To Live
","
Darius Rucker
",40,5,10
"
Carnival Ride
","
Carrie Underwood
",34,1,57
"
A Winter Symphony
","
Sarah Brightman
",52,38,3
"
The Last Chair Violinist
","
SPM
",-,-,-
"
Only By The Night
","
Kings Of Leon
",39,5,9
"
Troubadour
","
George Strait
",37,1,34
"
Play
","
Brad Paisley
",22,9,3
"
Mamma Mia!
","
Soundtrack
",44,1,20
"
The Recession
","
Young Jeezy
",42,1,12
"
Covers
","
James Taylor
",48,4,8
"
Fearless
","
Jazmine Sullivan
",51,6,9
"
The Best Of NOW That's What I Call Music! 10th Anniversary
","
Various Artists
",32,32,2
"
WOW Hits 2009
","
Various Artists
",41,31,7
"
Jeff Dunham's Don't Come Home For Christmas
","
Jeff Dunham
",178,69,3
"
The Definitive Rod Stewart
","
Rod Stewart
",-,-,-
"
Hit Man: David Foster & Friends
","
David Foster
",46,46,2
"
19
","
Adele
",69,11,24
"
Something Else
","
Robin Thicke
",47,3,8
"
Camp Rock
","
Soundtrack
",60,3,23
"
A New Hallelujah
","
Michael W. Smith
",54,19,4
"
Saving Abel
","
Saving Abel
",77,53,31
"
The Christmas Collection
","
Amy Grant
",76,76,6
"
The Fame
","
Lady Gaga
",67,17,4
"
Winter Wonderland
","
Various Artists
",66,42,3
"
A Candlelight Christmas
","
Mannheim Steamroller
",71,68,5
"
All Hope Is Gone
","
Slipknot
",61,1,13
"
That Lonesome Song
","
Jamey Johnson
",70,28,16
"
Don't Forget
","
Demi Lovato
",73,2,9
"
Rockferry
","
Duffy
",74,4,28
"
NOW That's What I Call Country
","
Various Artists
",62,7,13
"
Lady Antebellum
","
Lady Antebellum
",59,4,32
"
The Sound
","
Mary Mary
",63,7,5
"
LAX
","
The Game
",58,2,13
"
Jonas Brothers
","
Jonas Brothers
",79,5,68
"
The Renaissance
","
Q-Tip
",50,11,3
"
Disney: Fairy Tale Holiday 2008 (EP)
","
Various Artists
",166,91,2
