Song, Artist, Last Week, Peak Position, Weeks on Chart
"Love Yourself: Tear","BTS",-,1,1
"
beerbongs & bentleys
","
Post Malone
",1,1,4
"
Harder Than Ever
","
Lil Baby
",-,-,-
"
 And Justice For None
","
Five Finger Death Punch
",-,-,-
"
Invasion Of Privacy
","
Cardi B
",7,1,7
"
The Greatest Showman
","
Soundtrack
",5,1,24
"
KOD
","
J. Cole
",6,1,5
"
Reckless
","
NAV
",-,-,-
"
Black Panther: The Album, Music From And Inspired By
","
Soundtrack
",9,1,15
"
Die Lit
","
Playboi Carti
",3,3,2
"
Stoney
","
Post Malone
",13,4,76
"
Culture II
","
Migos
",12,1,17
"
Rearview Town
","
Jason Aldean
",15,1,6
"
reputation
","
Taylor Swift
",18,1,28
"
Goodbye & Good Riddance
","
Juice WRLD
",-,-,-
"
?
","
XXXTENTACION
",14,1,10
"
÷ (Divide)
","
Ed Sheeran
",16,1,64
"
Deadpool 2
","
Soundtrack
",-,-,-
"
SR3MM
","
Rae Sremmurd, Swae Lee & Slim Jxmmi
",11,6,3
"
Evolve
","
Imagine Dragons
",19,2,48
"
Electric Light
","
James Bay
",-,-,-
"
Tell Me How You Really Feel
","
Courtney Barnett
",-,-,-
"
Kane Brown
","
Kane Brown
",21,5,77
"
Beautiful Trauma
","
P!nk
",2,1,32
"
DAMN.
","
Kendrick Lamar
",22,1,58
"
American Teen
","
Khalid
",26,4,64
"
Voicenotes
","
Charlie Puth
",4,4,2
"
Activated
","
Tee Grizzley
",10,10,2
"
Light Of Mine
","
KYLE
",-,-,-
"
The World Is Yours
","
Rich The Kid
",25,2,8
"
Until Death Call My Name
","
YoungBoy Never Broke Again
",17,7,4
"
My Dear Melancholy, (EP)
","
The Weeknd
",24,1,8
"
Camila
","
Camila Cabello
",33,1,19
"
13 Reasons Why, Season 2
","
Soundtrack
",-,-,-
"
Hamilton: An American Musical
","
Original Broadway Cast Recording
",27,3,139
"
Cosmic
","
Bazzi
",29,14,7
"
F.A.M.E.
","
Maluma
",-,-,-
"
Luv Is Rage 2
","
Lil Uzi Vert
",32,1,39
"
Life Of A Dark Rose
","
Lil Skies
",34,10,20
"
Part Of The Light
","
Ray LaMontagne
",-,-,-
"
Simi
","
BlocBoy JB
",30,28,3
"
Mean Girls
","
Original Broadway Cast Recording
",-,-,-
"
The Thrill Of It All
","
Sam Smith
",84,1,29
"
Ctrl
","
SZA
",38,3,50
"
More Life
","
Drake
",37,1,62
"
This One's For You
","
Luke Combs
 ",36,5,51
"
Views
","
Drake
",41,1,108
"
Life Changes
","
Thomas Rhett
",44,1,37
"
Dua Lipa
","
Dua Lipa
",53,27,47
"
24K Magic
","
Bruno Mars
",40,2,79
"
17
","
XXXTENTACION
",46,2,39
"
Bobby Tarantino II
","
Logic
",43,1,11
"
Graffiti U
","
Keith Urban
",31,2,4
"
Odisea
","
Ozuna
",47,22,39
"
Greatest Hits
","
Queen
",66,11,289
"
Dex Meets Dexter
","
Famous Dex
",45,12,7
"
Traveller
","
Chris Stapleton
",48,1,141
"
All Your Fault, Pt. 2 (EP)
","
Bebe Rexha
",52,33,36
"
DAY69
","
6ix9ine
",49,4,13
"
Inspiration
","
Sheku Kanneh-Mason
",-,-,-
"
Heartbreak On A Full Moon
 ","
Chris Brown
",55,3,30
"
Take Care
","
Drake
",56,1,273
"
hopeless fountain kingdom
","
Halsey
",67,1,51
"
Starboy
","
The Weeknd
",58,1,78
"
Ready (EP)
","
Ella Mai
",72,65,4
"
Brett Young
","
Brett Young
",65,18,67
"
Without Warning
","
21 Savage, Offset & Metro Boomin
",60,4,30
"
Love Yourself: Her
","
BTS
",159,7,31
"
Beach House 3
","
Ty Dolla $ign
",39,11,13
"
Tranquility Base Hotel + Casino
","
Arctic Monkeys
",8,8,2
"
Tell Me You Love Me
 ","
Demi Lovato
",63,3,34
"
Project Baby Two
","
Kodak Black
",68,2,40
"
Moana
","
Soundtrack
",70,2,79
"
The Beautiful & Damned
","
G-Eazy
",69,3,23
"
Red Pill Blues
","
Maroon 5
",59,2,29
"
Speak Your Mind
","
Anne-Marie
",64,31,4
"
Perception
","
NF
",71,1,33
"
Curtain Call: The Hits
","
Eminem
",73,1,394
"
NOW 66
","
Various Artists
",42,20,3
"
ATTENTION ATTENTION
","
Shinedown
",35,5,3
"
Number Ones
","
Michael Jackson
",57,13,222
"
Diamonds
","
Elton John
",75,23,28
"
British Blues Explosion: Live
","
Joe Bonamassa
",-,-,-
"
What Makes You Country
","
Luke Bryan
",82,1,24
"
Vide Noir
","
Lord Huron
",-,9,2
"
Love, Simon
","
Soundtrack
",101,37,10
"
2014 Forest Hills Drive
","
J. Cole
",76,1,181
"
Good Thing
","
Leon Bridges
 ",51,3,3
"
x
","
Ed Sheeran
",78,1,205
"
H.E.R.
","
H.E.R.
",81,56,31
"
Disobey
","
Bad Wolves
",23,23,2
"
Culture
 ","
Migos
",88,1,69
"
Birds In The Trap Sing McKnight
","
Travis Scott
",83,1,90
"
Drip Season 3
","
Gunna
",77,55,16
"
Night Visions
","
Imagine Dragons
",90,2,295
"
Lil Boat 2
","
Lil Yachty
",80,2,11
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",87,5,523
"
Illuminate
","
Shawn Mendes
",102,1,86
"
good kid, m.A.A.d city
","
Kendrick Lamar
",94,2,291
"
A Decade Of Destruction
","
Five Finger Death Punch
",86,29,25
"
California Sunrise
","
 Jon Pardi
",91,11,99
"
Beauty Behind The Madness
","
The Weeknd
",92,1,143
"
1989
","
Taylor Swift
",97,1,180
"
Journey's Greatest Hits
","
Journey
",98,10,513
"
Rumours
","
Fleetwood Mac
",85,1,271
"
There's Really A Wolf
 ","
Russ
",96,7,55
"
Legion: XX
","
Burn The Priest
",-,-,-
"
Man Of The Woods
","
Justin Timberlake
",74,1,16
"
Montevallo
","
Sam Hunt
",108,3,187
"
Golden Hour
 ","
Kacey Musgraves
",54,4,8
"
"Awaken, My Love!"
","
Childish Gambino
",61,5,72
"
Too Hard
","
Lil Baby
",114,80,23
"
Blurryface
","
twenty one pilots
",100,1,158
"
Chronicle The 20 Greatest Hits
","
Creedence Clearwater Revival Feat. John Fogerty
",106,22,368
"
Dirty Computer
","
Janelle Monae
",62,6,4
"
Trolls
","
 Soundtrack
",112,3,87
"
Nothing Was The Same
","
Drake
",107,1,238
"
The Bigger Artist
","
A Boogie Wit da Hoodie
",103,4,34
"
Trip
","
Jhene Aiko
",93,5,35
"
Dig Your Roots
","
Florida Georgia Line
",111,2,90
"
Dont Smile At Me
","
Billie Eilish
",105,105,22
"
Wide Awaaaaaake!
","
Parquet Courts
",-,-,-
"
Carry Fire
","
Robert Plant
",-,14,4
"
ANTI
","
Rihanna
",104,1,122
"
Freudian
","
Daniel Caesar
",109,25,37
"
Greatest Hits
","
Tom Petty And The Heartbreakers
",113,2,268
"
When Legends Rise
","
Godsmack
",89,8,4
"
Greatest Hits So Far...
","
Zac Brown Band
",116,20,165
"
Metallica
","
Metallica
",125,1,484
"
Death Of A Bachelor
","
Panic! At The Disco
",128,1,123
"
Greatest Hits
","
Guns N' Roses
",120,3,436
"
A Love Letter To You
","
Trippie Redd
",117,64,40
"
In The Lonely Hour
","
Sam Smith
",119,2,206
"
Doo-Wops & Hooligans
","
Bruno Mars
",122,3,376
"
T R A P S O U L
","
Bryson Tiller
",127,8,139
"
From A Room: Volume 1
","
Chris Stapleton
",99,2,55
"
Memories Don't Die
","
Tory Lanez
",115,3,12
"
Because The Internet
","
Childish Gambino
",79,7,138
"
Coloring Book
","
Chance The Rapper
",123,8,106
"
If You're Reading This It's Too Late
","
Drake
",129,1,170
"
From The Fires
","
Greta Van Fleet
",137,36,26
"
Greatest Hits
","
Bob Seger & The Silver Bullet Band
",165,8,226
"
Tangled Up
","
Thomas Rhett
",135,6,133
"
Greatest Hits
","
The Notorious B.I.G.
",155,1,129
"
War & Leisure
","
Miguel
",132,9,25
"
The Life Of Pablo
","
Kanye West
",126,1,109
"
Happy Endings
","
Old Dominion
",152,7,35
"
Texoma Shore
","
Blake Shelton
",124,4,25
"
Revival
","
Eminem
",131,1,23
"
Beware The Book Of Eli
","
Ski Mask The Slump God
",50,50,2
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",121,5,94
"
Greatest Hits... So Far!!!
","
P!nk
",133,5,131
"
Fifty Shades Freed
","
Soundtrack
",95,5,15
"
The Voice: The Complete Season 14 Collection
","
Brynn Cartelli
",-,-,-
"
Ember
","
Breaking Benjamin
",110,3,6
"
Memories...Do Not Open
","
The Chainsmokers
",145,1,59
"
Reloaded: 20 #1 Hits
","
Blake Shelton
",136,5,112
"
Everybody
","
Logic
",139,1,55
"
7
","
Beach House
",20,20,2
"
Issa Album
","
21 Savage
",142,2,46
"
Huncho Jack, Jack Huncho
","
Huncho Jack
",140,3,22
"
Back In Black
","
AC/DC
",149,4,309
"
AI YoungBoy
","
YoungBoy Never Broke Again
",146,24,42
"
Meaning Of Life
","
Kelly Clarkson
",187,2,20
"
1
","
The Beatles
",150,1,318
"
GEMINI
","
Macklemore
",191,2,35
"
Gold -- Greatest Hits
","
ABBA
",179,36,136
"
The Click
","
AJR
",170,61,23
"
Live In No Shoes Nation
","
Kenny Chesney
",-,1,20
"
Abbey Road
","
The Beatles
",153,1,260
"
Grateful
","
DJ Khaled
",181,1,48
"
The Hits
","
Billy Joel
",160,34,16
"
Flower Boy
","
Tyler, The Creator
",147,2,44
"
Sparkle Hard
","
Stephen Malkmus And The Jicks
",-,-,-
"
Woodstock
","
Portugal. The Man
",177,32,49
"
From A Room: Volume 2
","
Chris Stapleton
",144,2,25
"
Purpose
","
Justin Bieber
",169,1,131
"
25
","
Adele
",151,1,131
"
I Can Only Imagine: The Very Best Of MercyMe
","
MercyMe
",118,23,12
"
Playboi Carti
","
Playboi Carti
",138,12,57
"
Pretty Girls Like Trap Music
 ","
2 Chainz
",171,2,49
"
If I Know Me
","
Morgan Wallen
",157,72,4
"
Dangerous Woman
","
Ariana Grande
",176,2,98
"
