Song, Artist, Last Week, Peak Position, Weeks on Chart
"Bad Boys II","Soundtrack",-,1,1
"
Jackpot
","
Chingy
",-,-,-
"
Dangerously In Love
","
Beyonce
",2,1,4
"
Red Dirt Road
","
Brooks & Dunn
",-,-,-
"
Chapter II
","
Ashanti
",1,1,3
"
Fallen
","
Evanescence
",3,3,20
"
Get Rich Or Die Tryin'
","
50 Cent
",5,1,24
"
Dance With My Father
 ","
Luther Vandross
",4,1,6
"
Come Away With Me
","
Norah Jones
",8,1,73
"
Wave On Wave
","
Pat Green
",-,-,-
"
Hotel Paper
","
Michelle Branch
",6,2,4
"
Meteora
","
Linkin Park
",12,1,17
"
St. Anger
","
Metallica
",7,1,7
"
The Very Best Of Cher
","
Cher
",10,4,16
"
Thankful
","
Kelly Clarkson
",13,1,14
"
Dutty Rock
","
Sean Paul
",16,9,36
"
Limelite, Luv & Niteclubz
","
Da Brat
",-,-,-
"
After The Storm
","
Monica
",14,1,5
"
The Lizzie McGuire Movie
","
Soundtrack
",17,6,13
"
A Rush Of Blood To The Head
","
Coldplay
",23,5,47
"
 14 Shades Of Grey
","
Staind
",24,1,9
"
Unleashed
","
Toby Keith
",22,1,52
"
Da Unbreakables
","
Three 6 Mafia
",21,4,4
"
From There To Here: Greatest Hits
","
Lonestar
",20,7,7
"
Bare
","
Annie Lennox
",18,4,6
"
2 Fast 2 Furious
","
Soundtrack
",19,5,8
"
Sounds Of Summer:The Very Best Of The Beach Boys
","
The Beach Boys
",25,16,6
"
One Heart
","
Celine Dion
",28,2,17
"
The Young And The Hopeless
","
Good Charlotte
",35,7,42
"
Meet Me In Margaritaville: Jimmy Buffett The Ultimate Collection
","
Jimmy Buffett
",27,9,14
"
Audioslave
","
Audioslave
",31,7,35
"
Elephunk
","
The Black Eyed Peas
",34,32,4
"
Hail To The Thief
","
Radiohead
",26,3,6
"
Kings Of Crunk
","
Lil Jon & The East Side Boyz
",41,15,38
"
Greatest Hits Collection, Volume I
","
Trace Adkins
",9,9,2
"
0304
","
Jewel
",29,2,7
"
Charlie's Angels: Full Throttle
","
Soundtrack
",15,12,4
"
Chocolate Factory
","
R. Kelly
",30,1,22
"
Elephant
","
The White Stripes
",36,6,16
"
He's Keith Murray
","
Keith Murray
",-,-,-
"
Stripped
","
Christina Aguilera
",39,2,38
"
My Private Nation
","
Train
",33,6,7
"
Street Dreams
","
Fabolous
",48,3,20
