Song, Artist, Last Week, Peak Position, Weeks on Chart
"Lost Highway","Bon Jovi",-,1,1
"
Icky Thump
","
The White Stripes
",-,-,-
"
5th Gear
","
Brad Paisley
",-,-,-
"
Big Dog Daddy
","
Toby Keith
",1,1,2
"
Memory Almost Full
","
Paul McCartney
",3,3,3
"
Minutes To Midnight
","
Linkin Park
",6,1,6
"
Back To Black
","
Amy Winehouse
",10,6,15
"
It Won't Be Soon Before Long
","
Maroon 5
",4,1,5
"
From Nothin' To Somethin'
","
Fabolous
",2,2,2
"
Epiphany
","
T-Pain
",5,1,3
"
Rockstar Mentality
","
Shop Boyz
",-,-,-
"
Good Girl Gone Bad
","
Rihanna
",7,2,3
"
Double Up
","
R. Kelly
",11,1,4
"
Who We Are
","
Lifehouse
",-,-,-
"
The Dutchess
","
Fergie
",23,3,40
"
The Best Damn Thing
","
Avril Lavigne
",18,1,10
"
Daughtry
","
Daughtry
",13,1,31
"
Taylor Swift
","
Taylor Swift
",24,13,35
"
Between Raising Hell And Amazing Grace
","
Big & Rich
",12,6,3
"
Call Me Irresponsible
","
Michael Buble
",16,1,8
"
Some Hearts
","
Carrie Underwood
",22,2,84
"
The Police
","
The Police
",21,11,3
"
We The Best
","
DJ Khaled
",8,8,2
"
Instant Karma: The Amnesty International Campaign To Save Darfur
","
Various Artists
",15,15,2
"
Because Of You
","
Ne-Yo
",28,1,8
"
Notebook Paper
","
Huey
",-,-,-
"
The Traveling Wilburys Collection
","
Traveling Wilburys
",9,9,2
"
All The Right Reasons
","
Nickelback
",29,1,90
"
I Am
","
Chrisette Michele
",-,-,-
"
Wild Hope
","
Mandy Moore
",-,-,-
"
Relentless
","
Jason Aldean
",27,4,4
"
Hannah Montana
","
Soundtrack
",41,1,35
"
Insomniac
","
Enrique Iglesias
",17,17,2
"
NOW 24
","
Various Artists
",32,1,13
"
Era Vulgaris
","
Queens Of The Stone Age
",14,14,2
"
Every Second Counts
","
Plain White T's
",45,36,17
"
El Cartel: The Big Boss
","
Daddy Yankee
",25,9,3
"
Konvicted
","
Akon
",35,2,32
"
FutureSex/LoveSounds
","
Justin Timberlake
",37,1,41
"
The Sweet Escape
","
Gwen Stefani
",38,3,29
"
Eat Me, Drink Me
","
Marilyn Manson
",30,8,3
"
The Evolution Of Robin Thicke
","
Robin Thicke
",34,5,38
"
Let It Go
","
Tim McGraw
",33,1,13
"
RIOT!
","
Paramore
",20,20,2
"
Strength & Loyalty
","
Bone Thugs-N-Harmony
",39,2,7
"
Black Rain
","
Ozzy Osbourne
",31,3,5
"
Me And My Gang
","
Rascal Flatts
",36,1,64
"
Infinity On High
","
Fall Out Boy
",43,1,20
"
Extreme Behavior
","
Hinder
",46,6,73
"
Timbaland Presents Shock Value
","
Timbaland
",60,5,12
"
The Definition Of X: Pick Of The Litter
","
DMX
",26,26,2
"
Sex Love & Pain
","
Tank
",40,2,6
"
Cold Summer: The Authorized Mixtape
","
Young Jeezy Presents U.S.D.A.
",42,4,5
"
Corinne Bailey Rae
","
Corinne Bailey Rae
",53,4,53
"
Sky Blue Sky
","
Wilco
",49,4,6
"
I'm Not Dead
","
P!nk
",51,6,49
"
Something To Talk About
","
Eddie Levert Sr. & Gerald Levert
",19,19,2
"
Loose
","
Nelly Furtado
",54,1,53
"
Lies For The Liars
","
The Used
",48,5,5
"
Continuum
","
John Mayer
",50,2,41
"
The Paramour Sessions
","
Papa Roach
",133,16,23
"
Enjoy The Ride
","
Sugarland
",58,4,33
"
A Hundred Miles Or More: A Collection
","
Alison Krauss
",52,10,12
"
B'Day
","
Beyonce
",62,1,42
"
The Reminder
","
Feist
",71,16,8
"
Street Love
","
Lloyd
",79,2,15
"
Special Occasion
","
Bobby Valentino
",66,3,7
"
Luvanmusiq
","
Musiq Soulchild
",68,1,15
