Song, Artist, Last Week, Peak Position, Weeks on Chart
"Encore","Eminem",-,1,2
"
Destiny Fulfilled
","
Destiny's Child
",19,2,2
"
Crunk Juice
","
Lil Jon & The East Side Boyz
",31,3,2
"
Merry Christmas With Love
","
Clay Aiken
",-,-,-
"
Greatest Hits
","
Shania Twain
",2,2,2
"
R&G (Rhythm & Gangsta): The Masterpiece
","
Snoop Dogg
",-,-,-
"
Greatest Hits 2
","
Toby Keith
",3,3,2
"
Now 17
","
Various Artists
",5,1,3
"
Confessions
","
Usher
",8,1,35
"
Powerballin'
","
Chingy
",172,10,2
"
50 Number Ones
","
George Strait
",10,1,7
"
Greatest Hits: My Prerogative
","
Britney Spears
",4,4,2
"
Suit
","
Nelly
",9,1,10
"
Stardust... The Great American Songbook Vol. III
","
Rod Stewart
",11,1,5
"
Genius Loves Company
","
Ray Charles
",15,2,12
"
rearviewmirror: Greatest Hits 1991-2003
","
Pearl Jam
",-,-,-
"
Here For The Party
","
Gretchen Wilson
",13,2,28
"
Ray (Soundtrack)
","
Ray Charles
",14,9,5
"
Christmas Celebration
","
Mannheim Steamroller
",57,19,6
"
R.U.L.E.
","
Ja Rule
",7,7,2
"
American Idiot
","
Green Day
",22,1,9
"
Andrea
","
Andrea Bocelli
",16,16,2
"
Real Talk
","
Fabolous
",6,6,2
"
Live Like You Were Dying
","
Tim McGraw
",18,1,13
"
Hilary Duff
","
Hilary Duff
",24,2,8
"
Songs About Jane
","
Maroon 5
",34,6,80
"
Greatest Hits
","
Neil Young
",-,-,-
"
Still Not Getting Any...
","
Simple Plan
",20,3,4
"
Feels Like Today
 ","
Rascal Flatts
",27,1,8
"
Horse Of A Different Color
","
Big & Rich
",25,6,29
"
Thug Matrimony: Married To The Streets
","
Trick Daddy
",21,2,4
"
Goodies
","
Ciara
",30,3,8
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",62,26,6
"
Sweat
","
Nelly
",39,2,10
"
The Capitol Albums Vol. 1
","
The Beatles
",-,-,-
"
Miracle
","
Celine Dion
",28,4,6
"
When I Fall In Love
","
Chris Botti
",146,37,7
"
 Themeaddict: WWE The Music V6
","
Soundtrack
",-,-,-
"
One Love
","
New Edition
",12,12,2
"
eMOTIVe
","
A Perfect Circle
",26,2,3
"
Under My Skin
","
Avril Lavigne
",38,1,26
"
JoJo
","
JoJo
",56,4,22
"
A Very Larry Christmas
","
Larry The Cable Guy
",-,-,-
"
The Beautiful Letdown
","
Switchfoot
",36,16,87
