Song, Artist, Last Week, Peak Position, Weeks on Chart
"Handwritten","Shawn Mendes",-,1,1
"
Furious 7
","
Soundtrack
",1,1,5
"
 Love Somebody
","
Reba
",-,-,-
"
Cherry Bomb
","
Tyler, The Creator
",-,-,-
"
Into The Wild Life
","
Halestorm
",-,-,-
"
Fifty Shades Of Grey
","
Soundtrack
",3,2,10
"
1989
","
Taylor Swift
",5,1,25
"
In The Lonely Hour
","
Sam Smith
",6,2,44
"
 x
","
Ed Sheeran
",9,1,43
"
If You're Reading This It's Too Late
","
Drake
",8,1,10
"
V
","
Maroon 5
",4,1,33
"
Title
","
Meghan Trainor
",10,1,14
"
Montevallo
","
Sam Hunt
",15,3,25
"
To Pimp A Butterfly
","
Kendrick Lamar
",7,1,5
"
Empire: Original Soundtrack From Season 1
","
Soundtrack
",12,1,6
"
TALKING IS HARD
","
WALK THE MOON
",19,16,20
"
Pain Killer
","
Little Big Town
",58,7,26
"
Second Hand Heart
","
Dwight Yoakam
",-,-,-
"
The Pinkprint
","
Nicki Minaj
",16,2,18
"
Anything Goes
","
Florida Georgia Line
",31,1,27
"
The Album About Nothing
","
Wale
",11,1,3
"
Barter 6
","
Young Thug
",-,-,-
"
Dark Sky Paradise
","
Big Sean
",17,1,8
"
Hozier
","
Hozier
",26,2,28
"
Uptown Special.
","
Mark Ronson
",21,5,14
"
American Beauty / American Psycho
","
Fall Out Boy
",13,1,13
"
My House (EP)
","
Flo Rida
",14,14,2
"
My Everything
","
Ariana Grande
",22,1,34
"
Nick Jonas
","
Nick Jonas
",20,6,23
"
How Can It Be
","
Lauren Daigle
",-,-,-
"
The Outsiders
","
Eric Church
",46,1,62
"
Instant Gratification
","
Dance Gavin Dance
",-,-,-
"
2014 Forest Hills Drive
","
J. Cole
",27,1,19
"
Future Hearts
","
All Time Low
",2,2,2
"
Ludaversal
","
Ludacris
",18,3,3
"
Southern Style
","
Darius Rucker
",24,7,3
"
Smoke + Mirrors
","
Imagine Dragons
",25,1,9
"
Queen Of The Clouds
","
Tove Lo
",37,14,29
"
Crash My Party
","
Luke Bryan
",61,1,88
"
Platinum
","
Miranda Lambert
",74,1,46
"
Listen
","
David Guetta
",47,22,20
"
NOW That’s What I Call ACM Awards: 50 Years
","
Various Artists
",48,42,3
"
Eyes Wide Open
","
Sabrina Carpenter
",-,-,-
"
Reflection
","
Fifth Harmony
",38,5,11
"
Spring Break... Checkin' Out
","
Luke Bryan
",39,3,6
"
1000 Forms Of Fear
","
Sia
",29,1,38
"
Kidz Bop 28
","
Kidz Bop Kids
",30,10,4
"
Old Boots, New Dirt
","
Jason Aldean
",50,1,28
"
Wanted On Voyage
","
George Ezra
",42,19,12
"
Carrie & Lowell
","
Sufjan Stevens
",36,10,3
"
Cole Swindell
","
Cole Swindell
",64,3,59
