Song, Artist, Last Week, Peak Position, Weeks on Chart
"All The Way...A Decade Of Song","Celine Dion",-,1,5
"
Millennium
","
Backstreet Boys
",3,1,31
"
...Baby One More Time
","
Britney Spears
",4,1,49
"
Christina Aguilera
","
Christina Aguilera
",6,1,17
"
Supernatural
","
Santana
",5,1,27
"
Faith: A Holiday Album
","
Kenny G
",7,6,5
"
Come On Over
","
Shania Twain
",8,2,111
"
Rainbow
","
Mariah Carey
",12,2,7
"
Willennium
","
Will Smith
",10,5,5
"
Tha G-Code
","
Juvenile
",-,-,-
"
Now 3
","
Various Artists
",9,9,2
"
Fly
","
Dixie Chicks
",17,1,16
"
S & M
","
Metallica With Michael Kamen Conducting The San Francisco Symphony Orchestra
",13,2,4
"
Born Again
","
The Notorious B.I.G.
",1,1,2
"
Breathe
","
Faith Hill
",15,1,6
"
Issues
","
Korn
",14,1,5
"
A Little Bit Of Mambo
","
Lou Bega
",18,3,17
"
Dr. Dre -- 2001
","
 Dr. Dre
",11,2,5
"
Ricky Martin
","
Ricky Martin
",19,1,32
"
The Magic Of Christmas
","
Garth Brooks
",16,7,4
"
Devil Without A Cause
","
Kid Rock
",21,5,51
"
Affirmation
","
Savage Garden
",22,6,6
"
Significant Other
","
Limp Bizkit
",23,1,26
"
Sacred Arias
","
Andrea Bocelli
 ",25,24,6
"
Human Clay
","
Creed
",26,1,12
"
Enema Of The State
","
Blink-182
",27,9,29
"
Totally Hits
","
Various Artists
",28,14,6
"
Pokemon: The First Movie
","
Soundtrack
",24,8,6
"
98 Degrees And Rising
","
98 Degrees
",30,14,60
"
Back At One
","
Brian McKnight
",31,7,13
"
Astro Lounge
","
Smash Mouth
",32,6,28
"
A Place In The Sun
","
Tim McGraw
",40,1,33
"
'N Sync
","
'N Sync
",37,2,91
"
A Rosie Christmas
","
Rosie O'Donnell
",20,20,7
"
This Christmas
","
98 Degrees
",29,27,9
"
The Battle Of Los Angeles
","
Rage Against The Machine
",38,1,7
"
The Writing's On The Wall
","
Destiny's Child
",46,6,21
"
LeAnn Rimes
","
LeAnn Rimes
",39,8,8
"
400 Degreez
","
Juvenile
",36,9,59
"
Charlotte Church
","
Charlotte Church
",42,40,5
"
Joy: A Holiday Collection
","
Jewel
",34,32,7
"
Beastie Boys Anthology: The Sounds Of Science
","
Beastie Boys
 ",43,19,4
"
LFO
","
LFO
",47,21,17
"
Unleash The Dragon
","
Sisqo
",33,18,3
"
Europop
","
Eiffel 65
",56,45,3
"
World Wrestling Federation: WWF The Music Volume 4
","
Jim Johnston
",49,4,7
"
Listener Supported
","
Dave Matthews Band
",45,15,4
"
Under The Influence
","
Alan Jackson
",50,9,8
"
Enrique
","
Enrique Iglesias
",48,33,4
"
On The 6
","
Jennifer Lopez
",51,8,29
"
Backstreet Boys
","
 Backstreet Boys
",52,4,123
"
Wide Open Spaces
","
Dixie Chicks
",57,4,99
"
This Desert Life
","
Counting Crows
",60,8,7
"
Californication
","
Red Hot Chili Peppers
",63,3,28
"
Next Friday
","
Soundtrack
",-,-,-
"
Voice Of An Angel
","
Charlotte Church
",54,28,40
"
WoW 2000: The Year's 30 Top Christian Artists And Songs
","
Various Artists
",53,29,8
"
Marc Anthony
","
Marc Anthony
",55,8,12
"
A Christmas To Remember
","
Amy Grant
",44,36,9
"
So Good Together
","
Reba McEntire
",62,28,4
"
Nastradamus
","
Nas
",41,7,4
"
There Is Nothing Left To Lose
","
Foo Fighters
",65,10,7
"
Tha Block Is Hot
","
Lil Wayne
 ",58,3,7
"
A Love Like Ours
","
Barbra Streisand
",64,6,13
"
In...The Life Of Chris Gaines
","
Garth Brooks
",68,2,12
"
Fanmail
","
TLC
",67,1,43
"
Brand New Day
","
Sting
 ",73,15,12
"
Sweet Kisses
","
Jessica Simpson
",72,65,4
"
Mirrorball
","
Sarah McLachlan
",76,3,27
"
 Live Era '87 -- '93
","
Guns N' Roses
",66,45,3
"
The Tunnel
","
Funkmaster Flex & Big Kap
",35,35,2
"
The Science Of Things
","
Bush
",74,11,8
"
When The Pawn...
 ","
Fiona Apple
",70,13,6
"
Clapton Chronicles: The Best Of Eric Clapton
","
Eric Clapton
",80,20,10
"
Midnite Vultures
","
Beck
",69,34,4
"
Let There Be... EVE--Ruff Ryders' First Lady
","
Eve
",83,1,14
"
Lonely Grill
","
Lonestar
",81,28,29
"
Amplified
","
Q-Tip
",59,28,3
"
Dizzy Up The Girl
","
Goo Goo Dolls
",89,15,65
"
Now 2
","
Various Artists
",75,3,21
"
Blue
","
Third Eye Blind
",78,40,4
"
Emotion
","
Martina McBride
",94,19,14
"
Early Days: The Best Of Led Zeppelin Volume One
","
Led Zeppelin
 ",79,71,4
"
MTV Unplugged
","
Alanis Morissette
",85,63,4
"
14:59
","
Sugar Ray
",88,17,49
"
Everywhere We Go
","
Kenny Chesney
",86,51,42
"
So Real
","
Mandy Moore
 ",77,77,2
"
Mary
","
Mary J. Blige
",87,2,18
"
A Christmas Story
","
Point Of Grace
",61,35,11
"
Godsmack
","
Godsmack
",98,22,50
"
End Of Days
","
Soundtrack
",82,20,6
"
The Distance To Here
","
Live
",92,4,11
"
Forever
","
Puff Daddy
",91,2,17
"
My Love Is Your Love
","
Whitney Houston
",99,13,57
"
The Best Man
","
Soundtrack
",96,16,10
"
Rave Un2 The Joy Fantastic
","
Prince
",104,18,6
"
MTV Party To Go 2000
","
Various Artists
",108,97,2
"
5
","
Lenny Kravitz
",100,28,84
"
Train
","
Train
",109,76,23
"
Chant Down Babylon
","
Bob Marley
",106,79,5
"
Heart And Soul: New Songs From Ally McBeal (TV Soundtrack)
","
Vonda Shepard
",103,60,6
"
Sogno
","
Andrea Bocelli
",116,4,38
"
Methods Of Mayhem
","
Methods Of Mayhem
",71,71,2
"
Title Of Record
","
Filter
",113,30,17
"
Believe
","
Cher
",110,4,58
"
Blackout!
","
Method Man & Redman
",97,3,12
