Song, Artist, Last Week, Peak Position, Weeks on Chart
"The King Is Dead","The Decemberists",-,1,1
"
Kidz Bop 19
","
Kidz Bop Kids
",-,-,-
"
Science & Faith
","
The Script
",-,-,-
"
Hard Times And Nursery Rhymes
","
Social Distortion
",-,-,-
"
 Low Country Blues
","
Gregg Allman
",-,-,-
"
Doo-Wops & Hooligans
","
Bruno Mars
",4,3,16
"
Teenage Dream
","
Katy Perry
",13,1,22
"
Speak Now
","
Taylor Swift
",3,1,13
"
Pink Friday
","
Nicki Minaj
",5,2,9
"
Sigh No More
","
Mumford & Sons
",9,8,44
"
 Some Kind Of Trouble
","
James Blunt
",-,-,-
"
Loud
","
Rihanna
",8,3,10
"
My Kinda Party
","
Jason Aldean
",11,2,12
"
Country Strong
","
Soundtrack
",6,6,7
"
Greatest Hits... So Far!!!
","
P!nk
",19,14,10
"
My Beautiful Dark Twisted Fantasy
","
Kanye West
",10,1,9
"
Recovery
","
Eminem
",14,1,31
"
Love Letter
","
 R. Kelly
",17,6,6
"
Born Free
","
Kid Rock
",16,5,10
"
Brothers
","
The Black Keys
",12,3,36
"
Live On Ten Legs
","
Pearl Jam
",-,-,-
"
The Beginning
","
 The Black Eyed Peas
",22,6,8
"
Need You Now
","
Lady Antebellum
",25,1,52
"
Best Night Of My Life
","
Jamie Foxx
",21,6,5
"
Showroom Of Compassion
","
Cake
",1,1,2
"
No Mercy
","
T.I.
",24,4,7
"
Cannibal
","
Ke$ha
",39,15,9
"
Thank You Happy Birthday
","
Cage The Elephant
",2,2,2
"
Glee: The Music, Season Two: Volume 4
","
Soundtrack
",20,5,8
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",41,5,11
"
Tron: Legacy (Soundtrack)
","
Daft Punk
",18,4,7
"
You Get What You Give
","
Zac Brown Band
",31,1,18
"
Steel Magnolia
","
Steel Magnolia
",7,7,2
"
I Am Not A Human Being
 ","
Lil Wayne
",27,1,17
"
Hemingway's Whiskey
","
Kenny Chesney
",28,1,17
"
Leaving Eden
","
Brandon Heath
",-,-,-
"
Nothing Like This
","
Rascal Flatts
",33,6,10
"
My World 2.0
","
Justin Bieber
",40,1,44
"
Lungs
","
Florence + The Machine
",30,14,34
"
The Incredible Machine
","
Sugarland
",38,1,14
"
The Lady Killer
","
Cee Lo Green
",43,9,11
"
Country Strong: More Music From The Motion Picture
","
Soundtrack
",23,23,3
"
Number One Hits
","
Tim McGraw
",34,27,8
"
The Hymn Of A Broken Man
","
Times Of Grace
",-,-,-
"
Calling All Hearts
","
Keyshia Cole
",26,9,5
"
NOW 36
","
Various Artists
",29,4,11
"
The Band Perry
","
The Band Perry
",37,4,15
"
 No Boys Allowed
","
Keri Hilson
",36,11,5
"
The Social Network (Soundtrack)
","
Trent Reznor And Atticus Ross
",72,20,7
"
Michael
","
Michael Jackson
",32,3,6
"
Illuminations
","
Josh Groban
",35,4,10
"
Burlesque
","
Soundtrack
",49,18,9
"
BTR (Soundtrack)
","
Big Time Rush
",42,3,15
"
Save Me, San Francisco
","
Train
",44,17,63
"
Journey's Greatest Hits
","
Journey
",78,10,152
"
A Year Without Rain
","
Selena Gomez & The Scene
",45,4,18
"
The Fame
","
Lady Gaga
",50,2,117
"
A Thousand Suns
","
Linkin Park
",47,1,19
"
III/IV
","
Ryan Adams & The Cardinals
",-,59,2
"
Animal
","
Ke$ha
",48,1,55
"
Passion, Pain & Pleasure
","
Trey Songz
",56,2,19
"
Last Train To Paris
","
 Diddy - Dirty Money
",51,7,6
"
Thank Me Later
","
Drake
",53,1,32
"
Just Charlie
","
Charlie Wilson
",65,19,7
"
Come Around Sundown
","
Kings Of Leon
",46,2,14
"
Rehab: The Overdose
","
Lecrae
",15,15,2
"
Caldwell County (EP)
","
Eric Church
",-,-,-
"
Farmer's Daughter
","
Crystal Bowersox
",54,28,6
"
Charleston, SC 1966
","
Darius Rucker
",52,2,15
"
The E.N.D.
","
The Black Eyed Peas
",73,1,85
"
Revolution
","
Miranda Lambert
",57,8,69
"
The Suburbs
","
Arcade Fire
",61,1,25
"
Kari Jobe
","
Kari Jobe
",69,63,11
"
And If Our God Is For Us...
","
Chris Tomlin
",63,17,10
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",60,24,11
"
Carolina
","
Eric Church
",96,17,56
"
My Worlds Acoustic
","
Justin Bieber
",66,7,9
"
Man On The Moon II: The Legend Of Mr. Rager
 ","
Kid Cudi
",55,3,11
"
Free Wired
","
Far*East Movement
",119,24,11
"
Get Closer
","
Keith Urban
",71,7,10
"
 The Foundation
","
Zac Brown Band
",70,9,114
"
WOW Hits 2011
","
Various Artists
",67,26,16
"
4X4=12
","
deadmau5
",58,47,7
"
34 Number Ones
","
Alan Jackson
",62,37,9
"
Enjoy Yourself
","
Billy Currington
",79,9,18
"
Intimacy: Album III
","
Kem
",88,2,23
"
Now Or Never
","
Tank
",68,35,6
"
Libra Scale
","
Ne-Yo
",75,9,9
"
5.0
","
Nelly
",76,10,10
"
Love Me Back
","
Jazmine Sullivan
",86,17,8
"
Hands All Over
","
Maroon 5
",89,2,18
"
The Dark Side Of The Moon
","
Pink Floyd
",148,1,776
"
Fearless
","
Taylor Swift
",82,1,115
"
Danger Days: The True Lives Of The Fabulous Killjoys
","
My Chemical Romance
",92,8,9
"
Ritual
","
White Lies
",-,-,-
"
Flockaveli
","
Waka Flocka Flame
",85,6,16
"
All American Nightmare
","
Hinder
",84,37,7
"
Asylum
","
Disturbed
",91,1,21
"
The Grascals & Friends: Country Classics With A Bluegrass Spin
","
The Grascals
",113,99,2
"
What Separates Me From You
","
A Day To Remember
",80,11,10
"
Judge Jerrod & The Hung Jury
","
Jerrod Niemann
",105,7,27
"
Teflon Don
","
Rick Ross
",97,2,27
"
Born Again
","
newsboys
",81,4,16
"
Rocket Man: Number Ones
","
Elton John
",-,9,40
"
Chronicle The 20 Greatest Hits
","
Creedence Clearwater Revival Feat. John Fogerty
",99,67,53
"
Bullets In The Gun
","
Toby Keith
",90,1,16
"
19
","
Adele
",118,10,66
"
Nightmare
","
Avenged Sevenfold
",93,1,26
"
Awake
","
Skillet
",112,2,74
"
Hits Alive
","
Brad Paisley
",101,9,12
"
World Is China
","
Various Artists
",-,-,-
"
War Is The Answer
","
Five Finger Death Punch
",94,7,64
"
Viva El Principe
","
Cristian Castro
",98,98,5
"
Dye It Blonde
","
Smith Westerns
",-,-,-
"
Play On
","
Carrie Underwood
",106,1,64
"
My Darkest Days
","
My Darkest Days
",109,38,14
"
Cage The Elephant
","
Cage The Elephant
",59,59,74
"
Glee: Season One: The Music Volume 1
","
Soundtrack
",104,4,64
"
Man On The Moon: The End Of Day
","
Kid Cudi
",114,4,63
"
Crazy Love
","
Michael Buble
",95,1,68
"
NOW 35
","
Various Artists
",108,2,21
"
Taylor Swift
","
Taylor Swift
",120,5,222
"
The Legacy Project
","
John P. Kee
",-,-,-
"
 Disney Princess: The Ultimate Song Collection
","
Various Artists
",-,-,-
"
Rock Symphonies
","
David Garrett
",-,41,6
"
Kaleidoscope Heart
","
Sara Bareilles
",103,1,20
"
Abbey Road
","
The Beatles
",115,1,158
"
Glee: The Music, Volume 3: Showstoppers:
","
Soundtrack
",107,1,36
"
The Script
","
The Script
",-,64,48
"
Curtain Call: The Hits
","
 Eminem
",137,1,101
"
Kidz Bop 18
","
Kidz Bop Kids
",83,5,27
"
Number Ones
","
Michael Jackson
",128,13,93
"
I Got You Babe
","
Various Artists
",-,-,-
"
Greatest Hits
","
Neil Young
",-,27,18
"
Cape Dory
","
Tennis
",-,-,-
"
Hannah Montana Forever
","
Soundtrack
",151,11,14
"
Tangled
 ","
Soundtrack
",121,99,9
"
Broken Bells
","
Broken Bells
",102,7,38
"
Euphoria
","
Enrique Iglesias
",126,10,29
"
Sale El Sol
","
Shakira
",124,7,14
