Song, Artist, Last Week, Peak Position, Weeks on Chart
"Scorpion","Drake",-,1,4
"
beerbongs & bentleys
","
Post Malone
",3,1,13
"
Mamma Mia! Here We Go Again
","
 Soundtrack
",20,3,2
"
?
","
XXXTENTACION
",4,1,19
"
Invasion Of Privacy
","
Cardi B
",5,1,16
"
Goodbye & Good Riddance
","
Juice WRLD
",6,6,10
"
Rolling Papers 2
","
Wiz Khalifa
",2,2,2
"
The Greatest Showman
","
Soundtrack
",7,1,33
"
reputation
","
Taylor Swift
",14,1,37
"
Harder Than Ever
","
Lil Baby
",8,3,10
"
This One's For You
","
Luke Combs
",10,4,60
"
Red Pill Blues
 ","
Maroon 5
",9,2,38
"
Evolve
","
Imagine Dragons
",15,2,57
"
÷ (Divide)
","
Ed Sheeran
",17,1,73
"
Stoney
","
Post Malone
",16,4,85
"
EVERYTHING IS LOVE
","
The Carters
",12,2,6
"
Pray For The Wicked
","
Panic! At The Disco
",13,1,5
"
17
","
XXXTENTACION
",18,2,48
"
Culture II
","
Migos
",19,1,26
"
BEASTMODE 2
","
Future
",11,3,3
"
Mamma Mia!
","
Soundtrack
",89,1,66
"
Hamilton: An American Musical
","
Original Broadway Cast Recording
",27,3,148
"
ye
","
Kanye West
",22,1,8
"
Rearview Town
","
Jason Aldean
",21,1,15
"
Gold -- Greatest Hits
","
ABBA
",86,25,140
"
Hive Mind
","
The Internet
",-,-,-
"
Youngblood
","
5 Seconds Of Summer
",26,1,6
"
American Teen
","
Khalid
",29,4,73
"
Dan + Shay
","
Dan + Shay
",23,6,5
"
Until Death Call My Name
","
YoungBoy Never Broke Again
",28,7,13
"
KOD
","
J. Cole
",25,1,14
"
DAMN.
","
Kendrick Lamar
",30,1,67
"
Shawn Mendes
","
Shawn Mendes
",24,1,9
"
Kane Brown
","
Kane Brown
",31,5,86
"
Camila
","
Camila Cabello
",35,1,28
"
Expectations
","
Bebe Rexha
",32,13,5
"
Traveller
","
Chris Stapleton
",34,1,150
"
Greatest Hits
","
Queen
",45,11,298
"
The World Is Yours
","
Rich The Kid
",48,2,17
"
Dont Smile At Me
","
Billie Eilish
",38,38,31
"
The Essential Michael Jackson
","
Michael Jackson
",33,33,235
"
Real Hasta La Muerte
","
Anuel AA
",51,42,2
"
Graffiti U
","
Keith Urban
",141,2,13
"
Luv Is Rage 2
","
Lil Uzi Vert
",39,1,48
"
Brett Young
","
Brett Young
",42,18,76
"
Life Changes
","
Thomas Rhett
",37,1,46
"
Views
 ","
Drake
",46,1,117
"
Perception
","
NF
",52,1,42
"
Cosmic
","
Bazzi
",44,14,16
"
Black Panther: The Album, Music From And Inspired By
","
Soundtrack
",43,1,24
"
Ctrl
","
SZA
",50,3,59
"
13 Reasons Why, Season 2
","
Soundtrack
",40,26,10
"
Life Of A Dark Rose
","
Lil Skies
",57,10,29
"
Ready (EP)
","
Ella Mai
",36,29,13
"
Heartbreak On A Full Moon
","
Chris Brown
",53,3,39
"
Odisea
","
Ozuna
",54,22,48
"
24K Magic
","
Bruno Mars
",56,2,88
"
 H.E.R.
","
H.E.R.
",68,56,40
"
More Life
","
Drake
",59,1,71
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",58,5,532
"
Love Yourself: Tear
","
BTS
",49,1,10
"
Moana
","
Soundtrack
",67,2,88
"
Voicenotes
","
Charlie Puth
",73,4,11
"
Night Visions
","
Imagine Dragons
",70,2,304
"
DAY69
","
6ix9ine
",91,4,22
"
Curtain Call: The Hits
","
Eminem
 ",69,1,403
"
Testing
","
A$AP Rocky
",63,4,9
"
Redemption
","
Jay Rock
",55,13,6
"
Take Care
","
Drake
",71,1,282
"
Journey's Greatest Hits
","
Journey
",72,10,522
"
Tell Me You Love Me
","
Demi Lovato
",99,3,43
"
SR3MM
","
Rae Sremmurd, Swae Lee & Slim Jxmmi
",61,6,12
"
Chronicle The 20 Greatest Hits
 ","
Creedence Clearwater Revival Feat. John Fogerty
",76,22,377
"
hopeless fountain kingdom
","
Halsey
",66,1,60
"
Starboy
","
The Weeknd
",80,1,87
"
Head In The Clouds
","
88rising
",-,-,-
"
Diamonds
","
Elton John
",82,23,37
"
 Blurryface
","
twenty one pilots
",64,1,167
"
Appetite For Destruction
","
Guns N' Roses
",62,1,191
"
Dua Lipa
","
Dua Lipa
",75,27,56
"
Die Lit
","
Playboi Carti
",78,3,11
"
Legends Of The Summer (EP)
","
Meek Mill
",41,9,3
"
Greatest Hits
","
Tom Petty And The Heartbreakers
",81,2,277
"
1989
","
Taylor Swift
",90,1,189
"
x
","
Ed Sheeran
",88,1,214
"
My Dear Melancholy, (EP)
","
The Weeknd
",85,1,17
"
KIDS SEE GHOSTS
","
KIDS SEE GHOSTS
",74,2,7
"
Greatest Hits So Far...
","
Zac Brown Band
",87,20,174
"
And Justice For None
","
Five Finger Death Punch
",103,4,10
"
Rumours
","
Fleetwood Mac
",92,1,280
"
The Beautiful & Damned
","
G-Eazy
",98,3,32
"
Project Baby Two
","
Kodak Black
",94,2,49
"
Simi
","
BlocBoy JB
",84,28,12
"
What Makes You Country
","
Luke Bryan
",95,1,33
"
Coloring Book
","
Chance The Rapper
",164,8,115
"
Beauty Behind The Madness
","
The Weeknd
",100,1,152
"
Speak Your Mind
","
Anne-Marie
",97,31,13
"
Montevallo
","
Sam Hunt
",101,3,196
"
The Thrill Of It All
","
Sam Smith
",104,1,38
"
Freudian
","
Daniel Caesar
",135,25,46
"
Birds In The Trap Sing McKnight
","
Travis Scott
",106,1,99
"
I met you when I was 18. (the playlist)
","
 Lauv
",96,50,8
"
Trolls
","
Soundtrack
",107,3,96
"
Dig Your Roots
","
Florida Georgia Line
",102,2,99
"
Bobby Tarantino II
","
Logic
",105,1,20
"
Kidz Bop 38
","
Kidz Bop Kids
",47,47,2
"
Greatest Hits
","
Bob Seger & The Silver Bullet Band
",113,8,235
"
Love, Simon
","
Soundtrack
",112,37,19
"
Drip Season 3
","
Gunna
",110,55,25
"
In The Lonely Hour
","
Sam Smith
",109,2,215
"
The Mountain
","
Dierks Bentley
",121,3,7
