Song, Artist, Last Week, Peak Position, Weeks on Chart
"1","The Beatles",-,1,1
"
Now 5
","
Various Artists
",-,-,-
"
Lovers Rock
","
Sade
",-,-,-
"
Sound Loaded
","
Ricky Martin
",-,-,-
"
tp-2.com
","
R. Kelly
",1,1,2
"
Stankonia
","
OutKast
",2,2,3
"
Chocolate Starfish And The Hot Dog Flavored Water
","
Limp Bizkit
",3,1,5
"
The Dynasty Roc La Familia (2000 -- )
","
JAY-Z
",4,1,3
"
Conspiracy Of One
","
The Offspring
",-,-,-
"
Country Grammar
","
Nelly
",6,1,21
"
Who Let The Dogs Out
","
Baha Men
",12,5,15
"
All That You Can't Leave Behind
","
U2
",5,3,3
"
Holy Wood (In The Shadow Of The Valley Of Death)
","
Marilyn Manson
",-,-,-
"
Charlie's Angels
","
Soundtrack
",7,7,4
"
Human Clay
","
Creed
",10,1,60
"
Didn't See Me Coming
","
Keith Sweat
",-,-,-
"
Greatest Hits
","
Lenny Kravitz
",11,2,4
"
H-N-I-C
","
Prodigy
",-,-,-
"
Oops!...I Did It Again
","
Britney Spears
",13,1,27
"
No Strings Attached
","
'N Sync
",14,1,35
"
Awake
","
Godsmack
",9,5,3
"
Dream A Dream
","
Charlotte Church
",47,22,5
"
Hotshot
","
Shaggy
",23,23,15
"
The Better Life
","
3 Doors Down
",17,7,41
"
Totally Hits 3
","
Various Artists
",-,-,-
"
Back For The First Time
","
Ludacris
",16,4,5
"
The Mark, Tom, And Travis Show (The Enema Strikes Back!)
","
Blink-182
",8,8,2
"
Revelation
","
98 Degrees
",19,2,8
"
Rule 3:36
","
Ja Rule
",18,1,6
"
Beware Of Dog
","
Lil Bow Wow
",24,8,8
"
The Marshall Mathers LP
","
Eminem
",22,1,26
"
Aijuswanaseing (I Just Want To Sing)
","
Musiq Soulchild
",-,-,-
"
Music
","
Madonna
",21,1,9
"
When Somebody Loves You
","
Alan Jackson
",15,15,2
"
Let's Get Ready
","
Mystikal
",20,1,8
"
My Kind Of Christmas
","
Christina Aguilera
",34,34,4
"
Breathe
","
Faith Hill
",27,1,54
"
Aaron's Party (Come Get It)
","
Aaron Carter
",26,16,8
"
Mad Season
","
matchbox twenty
",25,3,26
"
No Angel
","
Dido
",31,31,27
"
The Collection: Volume Two
","
Bone Thugs-N-Harmony
",-,-,-
"
Fly
","
Dixie Chicks
",35,1,64
"
Christina Aguilera
","
Christina Aguilera
",33,1,65
"
[Hybrid Theory]
","
Linkin Park
",28,16,4
"
The Writing's On The Wall
","
Destiny's Child
",32,5,69
"
Infest
","
Papa Roach
",30,5,30
"
Another Rosie Christmas
","
Rosie O'Donnell
",70,47,4
"
Rugrats In Paris: The Movie
","
Soundtrack
",93,48,2
"
WOW-2001: The Year's 30 Top Christian Artists And Hits
","
Various Artists
",37,36,3
"
Exposed
","
Chante Moore
",-,-,-
"
Now 4
","
Various Artists
",29,1,18
"
My Favorite Headache
","
Geddy Lee
",-,-,-
"
One Voice
","
Billy Gilman
",36,22,22
"
 Greatest Hits
","
Kenny Chesney
",38,13,8
"
Crush
","
Bon Jovi
",41,9,23
"
Can't Take Me Home
","
P!nk
",40,26,33
"
Platinum Christmas
","
Various Artists
",-,-,-
"
Classic Christmas
","
Billy Gilman
",77,58,5
"
Dr. Seuss' How The Grinch Stole Christmas
","
Soundtrack
",69,59,2
"
The Collector's Series Volume One
","
 Celine Dion
",45,28,4
"
Who Is Jill Scott? Words And Sounds Vol. 1
","
Jill Scott
",52,41,18
"
Maroon
","
Barenaked Ladies
",48,5,10
"
Brand New Me
","
John Michael Montgomery
",43,15,8
"
Warning:
","
Green Day
",46,4,7
"
The Ecleftic: 2 Sides II A Book
","
Wyclef Jean
",44,9,13
"
Something Like Human
","
Fuel
",59,17,9
"
Brand New Day
","
 Sting
",60,9,60
"
The Last Of A Dying Breed
","
Scarface
",42,7,7
"
My Thoughts
","
Avant
",58,45,28
"
White Ladder
","
David Gray
",81,70,14
"
A Nu Day
","
Tamia
",55,46,4
"
Stoned Immaculate -- The Music Of The Doors
","
Various Artists
",-,-,-
"
Kid A
","
Radiohead
",49,1,7
"
 The Sickness
","
Disturbed
",57,29,30
"
A Collection Of His Greatest Hits
","
Babyface
",-,-,-
"
Universal Smash Hits
","
Various Artists
",50,43,4
"
Millennium
","
Backstreet Boys
",84,1,79
"
Forever
","
Spice Girls
",39,39,2
"
Californication
","
Red Hot Chili Peppers
",64,3,76
"
Mountain High...Valley Low
","
Yolanda Adams
",67,24,37
"
(Breach)
","
The Wallflowers
",54,13,6
"
Riding With The King
","
B.B. King & Eric Clapton
",83,3,23
"
Verdi
","
Andrea Bocelli
",80,23,10
"
Coyote Ugly
 ","
Soundtrack
",63,10,16
"
I Hope You Dance
","
Lee Ann Womack
",88,17,26
"
If I Could Tell You
","
Yanni
",73,20,7
