Song, Artist, Last Week, Peak Position, Weeks on Chart
"To Pimp A Butterfly","Kendrick Lamar",-,1,1
"
Empire: Original Soundtrack From Season 1
","
Soundtrack
",1,1,2
"
Strangers To Ourselves
","
Modest Mouse
",-,-,-
"
Fifty Shades Of Grey
","
Soundtrack
",4,2,6
"
1989
","
Taylor Swift
",5,1,21
"
If You're Reading This It's Too Late
","
Drake
",7,1,6
"
x
","
Ed Sheeran
",8,1,39
"
FROOT
","
Marina And The Diamonds
",-,-,-
"
In The Lonely Hour
","
Sam Smith
",6,2,40
"
V
","
Maroon 5
",9,1,29
"
Title
","
Meghan Trainor
",11,1,10
"
Furious 7
","
Soundtrack
",-,-,-
"
Madness
","
Sleeping With Sirens
",-,-,-
"
Tracker
","
Mark Knopfler
",-,-,-
"
Spring Break... Checkin' Out
","
Luke Bryan
",3,3,2
"
Dark Sky Paradise
","
Big Sean
",10,1,4
"
Run
","
AWOLNATION
",-,-,-
"
Even So Come
","
Passion
",-,-,-
"
The Pinkprint
","
Nicki Minaj
",13,2,14
"
Montevallo
","
Sam Hunt
",15,3,21
"
Rebel Heart
","
Madonna
",2,2,2
"
Uptown Special.
","
Mark Ronson
",17,5,10
"
Hozier
","
Hozier
",14,2,24
"
American Beauty / American Psycho
","
 Fall Out Boy
",16,1,9
"
My Everything
","
Ariana Grande
",20,1,30
"
Smoke + Mirrors
","
Imagine Dragons
",18,1,5
"
NOW 53
","
Various Artists
",19,2,7
"
2014 Forest Hills Drive
","
J. Cole
",22,1,15
"
Piece By Piece
","
Kelly Clarkson
",12,1,3
"
Nick Jonas
","
Nick Jonas
",23,6,19
"
TALKING IS HARD
","
WALK THE MOON
",28,26,16
"
First Kiss
","
Kid Rock
",21,2,4
"
Fan Of A Fan: The Album
","
Chris Brown & Tyga
",25,7,4
"
SremmLife
","
Rae Sremmurd
",24,5,11
"
Queen Of The Clouds
","
Tove Lo
",44,14,25
"
Anything Goes
","
Florida Georgia Line
",34,1,23
"
Globalization
","
Pitbull
",27,18,17
