Song, Artist, Last Week, Peak Position, Weeks on Chart
"21","Adele",-,1,35
"
Come To The Well
","
Casting Crowns
",-,-,-
"
Clear As Day
","
Scotty McCreery
",4,1,3
"
Evanescence
","
Evanescence
",1,1,2
"
Duets II
","
Tony Bennett
",6,1,5
"
Tha Carter IV
","
Lil Wayne
",9,1,8
"
 Own The Night
","
Lady Antebellum
",8,1,6
"
The Good, The Bad, The Sexy
","
Joe
",-,-,-
"
American Capitalist
","
Five Finger Death Punch
",3,3,2
"
Wildflower
","
Lauren Alaina
",5,5,2
"
Cole World: The Sideline Story
","
J. Cole
",11,1,4
"
The Great Escape Artist
","
Jane's Addiction
",-,-,-
"
Torches
","
Foster The People
",12,8,22
"
Footloose (2011)
","
Soundtrack
",16,14,4
"
Hurry Up, We're Dreaming.
","
M83.
",-,-,-
"
Watch The Throne
","
Jay Z Kanye West
 ",13,1,11
"
My Kinda Party
","
Jason Aldean
",14,2,51
"
Tailgates & Tanlines
","
Luke Bryan
",20,2,11
"
NOW 39
","
Various Artists
",19,3,11
"
19
","
Adele
",22,10,105
"
4
","
Beyonce
",24,1,17
"
Eleven
","
Martina McBride
",10,10,2
"
Sorry For Party Rocking
 ","
LMFAO
",31,12,18
"
Ashes & Fire
","
Ryan Adams
",7,7,2
"
Halfway To Heaven
","
Brantley Gilbert
",28,4,10
"
 Born This Way
","
Lady Gaga
",33,1,22
"
Conditions Of My Parole
","
Puscifer
",-,-,-
"
Rebels On The Run
","
Montgomery Gentry
",-,-,-
"
The Whole Love
","
Wilco
",21,5,4
"
Sigh No More
","
Mumford & Sons
 ",36,2,83
"
#1 Girl
","
Mindless Behavior
",45,7,5
"
Where It All Begins
","
Lalah Hathaway
",-,-,-
"
A.N.T. Farm
","
Soundtrack
",29,29,2
"
Beyond The Sun
","
Chris Isaak
",-,-,-
"
Hands All Over
","
Maroon 5
",38,2,53
"
Metals
","
Feist
",23,7,3
"
 I'm With You
","
Red Hot Chili Peppers
",34,2,8
"
A Modern Day Prodigal Son
","
Brantley Gilbert
",-,-,-
"
Take A Back Road
","
Rodney Atkins
",25,8,3
"
Free
","
Kierra Sheard
",-,-,-
"
Chief
","
Eric Church
",37,1,13
"
WOW Hits 2012
","
Various Artists
",39,35,4
"
Speak Now
","
Taylor Swift
",41,1,52
"
Hell: The Sequel (EP)
","
Bad Meets Evil
",40,1,19
"
Neighborhoods
","
Blink-182
",26,2,4
"
Here For A Good Time
","
George Strait
",35,3,7
"
Soul Punk
","
Patrick Stump
",-,-,-
"
Songs Of The Ungrateful Living
","
Everlast
",-,-,-
"
The Band Perry
","
The Band Perry
",48,4,54
"
Red River Blue
","
Blake Shelton
",43,1,15
"
Unbroken
","
Demi Lovato
",32,4,5
"
Days
","
Real Estate
",-,-,-
"
Still Winning
","
Johnny Gill
",17,17,2
"
You Get What You Give
","
Zac Brown Band
",51,1,57
"
A Place Where The Sun Is Silent
","
Alesana
",-,-,-
"
When The Sun Goes Down
","
Selena Gomez & The Scene
",53,3,17
"
Hell On Heels
","
Pistol Annies
",46,5,9
"
Condensate
","
The Original 7ven
",-,-,-
"
Teenage Dream
","
Katy Perry
",44,1,61
"
Hunter Hayes
","
Hunter Hayes
",18,18,2
"
III
","
Family Force 5
",-,-,-
"
Pink Friday
","
Nicki Minaj
",58,1,48
"
Until The Whole World Hears
","
Casting Crowns
",64,4,68
"
Vice Verses
","
Switchfoot
",54,8,4
"
The Awakening Of Le'Andria Johnson (EP)
","
Le'Andria Johnson
",52,24,7
"
Doo-Wops & Hooligans
","
Bruno Mars
",57,3,55
"
Dystopia
","
Iced Earth
",-,-,-
"
Loud
","
Rihanna
",66,3,49
"
Scary Monsters And Nice Sprites (EP)
","
Skrillex
",74,69,20
"
Dream With Me
","
Jackie Evancho
",67,2,19
"
Outlaws Like Me
","
Justin Moore
",65,5,18
"
Biophilia
","
Bjork
",27,27,2
"
The Dark Side Of The Moon
","
Pink Floyd
",59,1,784
