Song, Artist, Last Week, Peak Position, Weeks on Chart
"21","Adele",-,1,13
"
Holding Onto Strings Better Left To Fray
","
Seether
",-,-,-
"
NOW 38
","
Various Artists
",2,2,3
"
My Kinda Party
","
Jason Aldean
",10,2,29
"
Sigh No More
","
Mumford & Sons
",12,2,61
"
Hot Sauce Committee Part Two
","
Beastie Boys
",6,2,3
"
Turtleneck & Chain
","
The Lonely Island
",3,3,2
"
Never Say Never: The Remixes (EP)
","
Justin Bieber
",11,1,14
"
Helplessness Blues
","
Fleet Foxes
",8,4,3
"
Il Volo
","
Il Volo
",-,-,-
"
Rome
","
Danger Mouse & Daniele Luppi Starring Jack White & Norah Jones
",-,-,-
"
Love?
","
Jennifer Lopez
",9,5,3
"
Michael Grimm
","
Michael Grimm
",-,-,-
"
lovestrong.
","
Christina Perri
",4,4,2
"
Give Till It's Gone
","
Ben Harper
",-,-,-
"
19
","
Adele
",15,10,83
"
Lemonade Mouth
","
Soundtrack
",13,4,6
"
Doo-Wops & Hooligans
","
Bruno Mars
",18,3,33
"
The Way It Was
","
Parachute
",-,-,-
"
Wasting Light
","
Foo Fighters
",17,1,6
"
Disc-Overy
","
Tinie Tempah
",-,-,-
"
My World 2.0
","
Justin Bieber
",27,1,61
"
F.A.M.E.
","
Chris Brown
",20,1,9
"
In Your Dreams
","
 Stevie Nicks
",16,6,3
"
Teenage Dream
","
Katy Perry
",22,1,39
"
Rolling Papers
","
Wiz Khalifa
",23,2,8
"
One True God
","
NewSong
",-,-,-
"
So Beautiful Or So What
","
Paul Simon
",25,4,6
"
Move Like This
","
The Cars
",7,7,2
"
Speak Now
","
Taylor Swift
",26,1,30
"
 The Book Of Mormon
","
Original Broadway Cast Recording
",-,-,-
"
Goblin
","
Tyler, The Creator
",5,5,2
"
Greatest Hits... So Far!!!
","
P!nk
",28,5,27
"
Femme Fatale
","
Britney Spears
",29,1,8
"
You Get What You Give
","
Zac Brown Band
",33,1,35
"
The Fame
","
Lady Gaga
",42,2,134
"
Pink Friday
","
Nicki Minaj
",37,1,26
"
Loud
","
Rihanna
",35,3,27
"
Hello Fear
","
Kirk Franklin
",34,5,9
"
Glee: The Music Presents: The Warblers
","
Soundtrack
",36,2,5
"
Too Cool To Care
","
New Boyz
",-,-,-
"
Dispatch (EP)
","
Dispatch
",-,-,-
"
Paper Airplane
","
 Alison Krauss + Union Station
",31,3,6
"
The Band Perry
","
The Band Perry
",53,4,32
"
Pirates Of The Caribbean: On Stranger Tides
","
Soundtrack
",-,-,-
"
Stone Rollin'
","
Raphael Saadiq
",14,14,2
"
Nothing Like This
","
Rascal Flatts
",48,6,27
"
Need You Now
","
Lady Antebellum
",39,1,69
"
NOW 37
","
Various Artists
",40,1,15
"
Recovery
","
Eminem
",47,1,48
"
All I Want Is You
","
Miguel
",49,37,20
"
The Ultimate Collection
","
Sade
",30,7,3
"
Matthew Morrison
","
Matthew Morrison
",24,24,2
"
Every Chance I Get
","
Colt Ford
",46,26,3
"
Lasers
","
Lupe Fiasco
",43,1,11
"
Gravity Happens
 ","
Kate Voegele
",-,-,-
"
Songs For Japan
","
Various Artists
",45,5,9
"
Stronger
","
Sara Evans
",56,6,11
"
Lungs
","
Florence + The Machine
",55,14,51
"
The Beginning
","
The Black Eyed Peas
",52,6,25
"
Glee: The Music, Season Two: Volume 5
","
Soundtrack
",61,3,11
"
Hillbilly Joker
","
Hank Williams III
",-,-,-
"
American Tragedy
","
Hollywood Undead
",57,4,7
"
musiqinthemagiq
","
Musiq Soulchild
",44,8,3
"
Late Nights & Early Mornings
","
Marsha Ambrosius
",59,2,12
"
Country Strong
","
Soundtrack
",60,6,22
"
Randy Travis
","
Randy Travis
",63,63,3
"
A New Hallelujah
","
Michael W. Smith
",64,19,44
"
Destroyed
","
Moby
",-,-,-
"
I Remember Me
","
Jennifer Hudson
",54,2,9
"
BTR (Soundtrack)
","
Big Time Rush
",67,3,32
"
The King Of Limbs
","
Radiohead
",62,3,8
"
Town Line (EP)
","
Aaron Lewis
",71,7,12
"
Revolution
","
Miranda Lambert
",69,8,86
"
Man In Motion
","
Warren Haynes
",19,19,2
"
My Worlds Acoustic
","
Justin Bieber
",70,7,25
"
Brothers
","
The Black Keys
",74,3,53
"
Kelly
","
Kelly Price
",51,36,3
"
The Lady Killer
","
Cee Lo Green
",68,9,28
"
Love Letter
","
R. Kelly
",83,6,23
"
Rumours
","
Fleetwood Mac
",38,1,137
"
Hemingway's Whiskey
","
Kenny Chesney
",86,1,34
"
Opus Collection
","
Roy Orbison
",65,65,2
"
Born Free
","
 Kid Rock
",72,5,27
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",77,24,28
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",80,5,28
"
The Incredible Machine
","
Sugarland
",66,1,31
"
 This Is Gonna Hurt
","
Sixx: A.M.
",50,10,3
"
Save Me, San Francisco
","
Train
",92,17,80
"
The Foundation
","
Zac Brown Band
",81,9,131
"
Drama y Luz
","
Mana
",58,5,6
"
Thompson Square
","
Thompson Square
",100,15,15
"
Something Big
","
Mary Mary
",73,10,8
"
VH1 Storytellers
","
Johnny Cash & Willie Nelson
",75,56,10
"
My World (EP)
","
Justin Bieber
",93,5,78
"
I Am Not A Human Being
","
Lil Wayne
",88,1,34
"
Running From A Gamble
","
Company Of Thieves
",-,-,-
"
Follow Me Down
","
Sarah Jarosz
",-,-,-
"
Barton Hollow
","
The Civil Wars
",118,12,16
"
Simple Math
","
Manchester Orchestra
",21,21,2
"
Laugh Now...Laugh Later
","
Face To Face
",-,-,-
"
The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection
","
Lynyrd Skynyrd
",89,60,42
"
Kidz Bop 19
","
Kidz Bop Kids
",128,2,18
"
The Best Of Aerosmith: 20th Century Masters...
","
Aerosmith
",95,67,7
"
Endgame
","
Rise Against
",103,2,10
"
Journey's Greatest Hits
","
Journey
",90,10,169
"
Goodbye Lullaby
","
Avril Lavigne
 ",98,4,11
"
The Best Of Eric Clapton: 20th Century Masters The Millennium Collection
","
Eric Clapton
",94,66,21
"
Awake
","
Skillet
",123,2,91
"
Who You Are
","
Jessie J
",112,11,6
"
Donny & Marie
","
Donny & Marie Osmond
",84,30,3
"
The Marshall Mathers LP
","
Eminem
",97,1,96
"
Number One Hits
","
Tim McGraw
",105,27,25
"
Chronicle The 20 Greatest Hits
","
Creedence Clearwater Revival Feat. John Fogerty
",116,67,70
"
Pl3dge
","
Killer Mike
",-,-,-
"
Prince Royce
","
Prince Royce
",107,77,28
"
Extended Versions
 ","
Creedence Clearwater Revisited
",104,74,13
"
The Road From Memphis
","
Booker T. Jones
",85,85,2
"
Nightmare
","
Avenged Sevenfold
",132,1,43
"
Greatest Hits
","
Huey Lewis & The News
",87,70,19
"
My Beautiful Dark Twisted Fantasy
","
Kanye West
",120,1,26
"
Queens Of The Stone Age
","
Queens Of The Stone Age
",-,-,-
"
 Born Again
","
newsboys
",113,4,32
"
The Song Remains Not The Same
","
Black Label Society
",41,41,2
"
Lights
","
Ellie Goulding
",76,76,4
"
The Best Of Boyz II Men: 20th Century Masters The Millennium Collection
","
Boyz II Men
",101,70,13
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",111,54,184
"
The Suburbs
","
Arcade Fire
",119,1,42
"
Hands All Over
","
Maroon 5
",127,2,31
"
Extended Versions
","
Foreigner
",117,88,7
"
An Afternoon In The Garden
","
Elvis Presley
",114,85,10
"
Cannibal
","
Ke$ha
",108,15,26
"
Science & Faith
","
The Script
",124,3,17
"
Fast Five
","
Soundtrack
",91,60,4
"
The E.N.D.
","
The Black Eyed Peas
",125,1,102
"
Greatest Hits, Vol. 1
","
Hank Williams Jr.
",122,101,8
"
Extended Versions
","
Bad Company
",110,82,8
"
Burlesque
","
Soundtrack
",121,18,26
"
And If Our God Is For Us...
","
Chris Tomlin
",190,17,27
"
Number Ones
","
Michael Jackson
",145,13,110
"
Tron: Legacy (Soundtrack)
","
Daft Punk
",129,4,24
"
All At Once
","
The Airborne Toxic Event
",126,17,4
"
WOW Gospel 2011: The Year's 30 Top Gospel Artists And Songs
","
Various Artists
",139,29,16
"
Ramble At The Ryman
","
Levon Helm
",-,-,-
"
Enjoy Yourself
","
Billy Currington
",146,9,35
"
Blessings
","
Laura Story
",164,102,6
"
Super Hits
","
Roy Orbison
",135,104,8
"
Mothership
","
Led Zeppelin
",189,7,111
"
War Is The Answer
","
Five Finger Death Punch
",149,7,81
"
Tangled
","
Soundtrack
",131,44,17
"
Becoming
","
Yolanda Adams
",99,99,2
"
Carolina
","
Eric Church
",154,17,73
"
Hard Bargain
","
Emmylou Harris
",96,18,4
"
Martin Scorsese Presents The Blues: Stevie Ray Vaughan
","
Stevie Ray Vaughan
",137,99,8
"
Animal
","
Ke$ha
",142,1,72
"
Loverboy
","
Brett Dennen
",-,55,3
"
Hundred More Years
","
Francesca Battistelli
",151,16,12
"
I Am Very Far
","
Okkervil River
",32,32,2
"
Super Hits
","
Janis Joplin
",140,113,7
"
Dark Horse
","
Nickelback
",162,2,128
"
The Best Of George Strait: 20th Century Masters The Millennium Collection
","
George Strait
",143,76,28
"
50 Silly Songs
","
The Countdown Kids
",144,99,7
"
A Year Without Rain
","
Selena Gomez & The Scene
",173,4,35
"
Intimacy: Album III
","
Kem
",170,2,40
"
Greatest Hits
","
Bob Seger & The Silver Bullet Band
",167,8,165
"
The Love Album
","
Kim Burrell
",-,-,-
"
Come Around Sundown
","
Kings Of Leon
",178,2,29
"
Metallica
","
Metallica
",-,1,282
"
Give The Drummer Some
","
Travis Barker
",-,9,5
"
Sublime
","
Sublime
",-,13,106
"
Teflon Don
","
Rick Ross
",186,2,40
"
4X4=12
","
deadmau5
",172,47,23
"
The Best Of Barry White: 20th Century Masters The Millennium Collection
","
Barry White
",141,100,15
"
Fearless
","
Taylor Swift
",161,1,132
"
WOW Hits 2011
","
Various Artists
",182,26,33
"
Greatest Hits
","
Foo Fighters
",-,11,31
"
Listen To The Sound
","
Building 429
",115,115,2
"
Burst Apart
","
The Antlers
",82,82,2
"
The Fame Monster (EP)
","
Lady Gaga
",176,5,70
"
Until The Whole World Hears
","
Casting Crowns
",197,4,59
"
Angles
","
 The Strokes
",136,4,9
"
Greatest Hits Volume 1
","
Rascal Flatts
",191,6,107
"
Curtain Call: The Hits
","
Eminem
",160,1,118
"
Super Hits
","
Willie Nelson
",163,125,10
"
The Remix
","
Lady Gaga
",193,6,22
"
Judge Jerrod & The Hung Jury
","
Jerrod Niemann
",165,7,44
"
The Second Decade of Rock & Roll 1981-1991
","
REO Speedwagon
",148,108,8
"
Icon: Josh Turner
","
Josh Turner
",-,114,3
"
Vices & Virtues
","
Panic! At The Disco
",179,7,9
"
Country Strong: More Music From The Motion Picture
","
Soundtrack
",171,23,10
