Song, Artist, Last Week, Peak Position, Weeks on Chart
"Measure Of A Man","Clay Aiken",-,1,1
"
Chicken*N*Beer
","
Ludacris
",1,1,2
"
 Hard
","
Jagged Edge
",-,-,-
"
Speakerboxxx/The Love Below
","
OutKast
",2,1,4
"
The Movie Album
","
Barbra Streisand
",-,-,-
"
Life For Rent
","
Dido
",4,4,3
"
Elvis: 2nd To None
","
Elvis Presley
",3,3,2
"
Sacred Love
","
Sting
",6,3,3
"
Metamorphosis
","
Hilary Duff
",9,1,8
"
Some Devil
","
Dave Matthews
",5,2,4
"
The R. In R&B Collection: Volume One
","
R. Kelly
",8,4,4
"
The Long Road
","
Nickelback
",10,6,4
"
Heavier Things
","
John Mayer
",12,1,6
"
Results May Vary
","
Limp Bizkit
",11,3,4
"
Jackpot
","
Chingy
",18,2,14
"
 Dangerously In Love
","
Beyonce
",19,1,17
"
Long Time Coming
","
Jonny Lang
",-,-,-
"
Away From The Sun
","
3 Doors Down
",21,8,49
"
Grand Champ
","
DMX
",16,1,5
"
Cheers
","
Obie Trice
",17,5,4
"
Too Hot For T.V.
","
Bad Boy's Da Band
",7,2,3
"
Fallen
","
Evanescence
",23,3,33
"
Bette Midler Sings The Rosemary Clooney Songbook
","
Bette Midler
",24,14,3
"
Totally Hits 2003
","
Various Artists
",13,13,2
"
Greatest Hits Volume II And Some Other Stuff
","
Alan Jackson
",22,1,10
"
The Remixes
","
Mariah Carey
",-,-,-
"
The Essential Simon & Garfunkel
","
Simon & Garfunkel
",-,-,-
"
Kings Of Crunk
","
Lil Jon & The East Side Boyz
",27,14,51
"
Meteora
","
Linkin Park
",32,1,30
"
Nu-Mixx Klazzics
","
2Pac
",15,15,2
"
Come Away With Me
","
Norah Jones
",29,1,86
"
Da Skool Boy Presents Murphy's Law
","
Murphy Lee
",26,8,4
"
 Martina
","
Martina McBride
",25,7,3
"
Get Rich Or Die Tryin'
","
50 Cent
",33,1,37
"
A Rush Of Blood To The Head
","
Coldplay
",35,5,60
"
Seal IV
","
Seal
",31,3,6
"
 Thirteenth Step
","
A Perfect Circle
",28,2,5
"
Live And Swingin': The Ultimate Rat Pack Collection
","
Frank Sinatra, Dean Martin & Sammy Davis Jr
",-,-,-
"
Motown
","
Michael McDonald
",45,39,13
"
XIII
","
Mushroomhead
",-,-,-
"
12 Memories
","
Travis
",-,-,-
"
Seasons
","
Sevendust
",14,14,2
"
Past, Present & Future
","
Rob Zombie
",37,11,4
"
Drankin' Patnaz
","
YoungBloodZ
",36,5,8
"
Kill Bill Vol. 1
","
Soundtrack
",115,45,2
"
World Wide Underground (EP)
","
Erykah Badu
",30,3,5
"
Chapter II
","
Ashanti
",40,1,16
"
Shadow Zone
","
Static-X
",20,20,2
"
Comin' From Where I'm From
","
Anthony Hamilton
",43,33,4
"
The Lizzie McGuire Movie
","
Soundtrack
",50,6,26
"
More Than You Think You Are
","
matchbox twenty
",55,6,48
"
Me & My Brother
","
Ying Yang Twins
",39,11,5
"
MTV2 Headbangers Ball
","
Various Artists
",34,34,2
"
 14 Shades Of Grey
","
Staind
",61,1,22
"
Bad Boys II
","
Soundtrack
",48,1,14
"
Elephunk
","
The Black Eyed Peas
",58,26,17
"
Love & Life
","
Mary J. Blige
",47,1,8
"
The Young And The Hopeless
","
Good Charlotte
",60,7,55
"
Almost There
","
MercyMe
",78,37,82
"
Stripped
","
Christina Aguilera
",57,2,51
"
See If I Care
","
Gary Allan
",42,17,3
"
Audioslave
","
Audioslave
",66,7,48
"
Dutty Rock
","
Sean Paul
",65,9,49
"
Up!
","
Shania Twain
",63,1,48
"
WOW Hits 2004
","
Various Artists
",51,51,2
"
 American IV: The Man Comes Around
","
Johnny Cash
",53,22,40
"
Just Because I'm A Woman: Songs Of Dolly Parton
","
Various Artists
",-,-,-
"
Now 13
","
Various Artists
",62,2,13
"
Dance With My Father
","
Luther Vandross
",67,1,19
"
The Fighting Temptations
","
Soundtrack
",41,19,6
"
Elephant
","
The White Stripes
",69,6,29
"
American Idol: The Great Holiday Classics
","
Various Artists
",-,-,-
"
Deliverance
","
Bubba Sparxxx
",59,10,5
"
In This Skin
","
Jessica Simpson
",127,10,9
"
The Cheetah Girls (EP)
","
Soundtrack
",71,71,10
"
Unleashed
","
Toby Keith
",77,1,65
"
Trapt
","
Trapt
",74,42,39
"
Songs About Jane
","
Maroon 5
",70,47,23
"
Natural Selection
","
Fuel
",68,15,4
"
No Pads, No Helmets...Just Balls
","
Simple Plan
",81,36,46
"
Melt
","
Rascal Flatts
",72,5,51
"
Bow Wow: Unleashed
","
Bow Wow
",76,3,9
"
The Neptunes Present... Clones
","
Various Artists
",54,1,9
"
Justified
","
Justin Timberlake
",86,2,50
"
Tha Smokin' Nephew
","
Baby Bash
",83,48,4
"
War All The Time
","
Thursday
",93,7,5
"
The Very Best Of Cher
","
Cher
",82,4,29
"
Halloween
","
Mannheim Steamroller
",105,88,3
"
So Damn Happy
","
Aretha Franklin
",56,33,5
"
Stumble Into Grace
","
Emmylou Harris
",75,58,4
"
Totally Country Vol. 3
","
Various Artists
",80,37,4
"
Emotions
","
Will Downing
",-,-,-
"
Thankful
","
Kelly Clarkson
",92,1,27
"
Trap Muzik
","
T.I.
",73,4,9
"
It Had To Be You ... The Great American Songbook
","
Rod Stewart
",139,4,52
"
Kidz Bop 4
","
Kidz Bop Kids
",91,14,10
"
Coral Fang
","
The Distillers
",-,-,-
"
Room For Squares
","
John Mayer
",85,8,95
"
Chocolate Factory
","
R. Kelly
",98,1,35
"
33
","
Luis Miguel
",89,43,3
"
Hotel Paper
","
Michelle Branch
",103,2,17
"
School Of Rock
","
Soundtrack
",95,95,3
"
A Mark, A Mission, A Brand, A Scar
","
Dashboard Confessional
",87,2,10
"
No Shoes, No Shirt, No Problems
","
Kenny Chesney
",94,1,78
"
From There To Here: Greatest Hits
","
Lonestar
",113,7,20
"
Birth Of A Prince
","
RZA
",49,49,2
"
Golden Road
","
Keith Urban
",109,11,54
"
Wave On Wave
","
Pat Green
",121,10,14
"
The Second Decade: 1993-2003
","
Michael W. Smith
",38,38,2
"
My Baby Don't Tolerate
","
Lyle Lovett
",88,63,3
"
The Wind
","
Warren Zevon
",96,12,8
"
All I Want For Christmas Is A Real Good Tan
","
Kenny Chesney
",137,112,2
"
My Private Nation
 ","
Train
",111,6,20
"
Worship Together: Be Glorified
","
Various Artists
",-,103,8
"
Tim McGraw And The Dancehall Doctors
","
Tim McGraw
",117,2,47
"
The Best Of Bonnie Raitt On Capitol 1989-2003
","
Bonnie Raitt
",90,47,3
"
Stacie Orrico
","
Stacie Orrico
",120,59,30
"
The American Farewell Tour
","
Alabama
",64,64,2
"
Chicago
","
Soundtrack
 ",119,2,40
"
Get Born
","
Jet
",79,79,2
"
Stop All The World Now
","
Howie Day
",46,46,2
"
Moodring
","
Mya
",130,3,13
"
Welcome Interstate Managers
","
Fountains Of Wayne
",140,123,17
"
Freaky Friday
","
Soundtrack
",112,19,12
"
Ocean Avenue
","
Yellowcard
",143,99,13
"
Martin Scorsese Presents The Best Of The Blues
","
Soundtrack
",114,92,8
"
Waiting For My Rocket To Come
","
Jason Mraz
",116,55,31
"
Faceless
","
Godsmack
",134,1,28
"
Unwrapped
","
Gloria Estefan
",102,39,4
"
Long Black Train
 ","
Josh Turner
",-,-,-
"
The Beautiful Letdown
","
Switchfoot
",144,85,30
"
2:35 PM
","
Calvin Richardson
",101,65,6
"
Throne Room
","
CeCe Winans
",118,32,6
"
Thyrty: 30th Anniversary Collection (Limited Edition)
","
Lynyrd Skynyrd
",124,16,10
"
Young Hearts: Complete Greatest Hits
","
The Steve Miller Band
",106,37,5
"
In Keeping Secrets Of Silent Earth: 3
","
Coheed And Cambria
",52,52,2
"
The Eminem Show
","
Eminem
",146,1,74
"
Shaman
","
Santana
",151,1,52
"
Voyageur
","
Enigma
",125,94,3
"
Animals Should Not Try To Act Like People
","
Primus
",44,44,2
"
De Durango A Chicago
","
Grupo Montez de Durango
",128,88,3
"
So Long, Astoria
","
The Ataris
",122,24,33
"
The Journey: The Very Best Of Donna Summer
","
Donna Summer
",164,111,3
"
Obrigado Brazil
","
Yo-Yo Ma
",123,58,12
"
Street Dreams
","
Fabolous
",132,3,33
"
Josh Groban
","
Josh Groban
",159,8,97
"
CMT Presents: Most Wanted, Volume 1
","
Various Artists
",99,80,3
"
Dierks Bentley
","
Dierks Bentley
",135,26,9
"
Kemistry
","
Kem
",145,90,31
"
Comfort Woman
 ","
MeShell Ndegeocello
",-,-,-
"
2 Fast 2 Furious
","
Soundtrack
",126,5,21
"
Confession
","
Ill Nino
",104,37,3
"
The Best Of Pantera: Far Beyond The Great Southern Cowboys' Vulgar Hits!
","
 Pantera
",110,38,4
"
Elv1s: 30 #1 Hits
","
Elvis Presley
",142,1,51
"
Dear Catastrophe Waitress
","
Belle And Sebastian
",84,84,2
"
The Essential Johnny Cash
","
Johnny Cash
",131,102,6
"
Subject
","
Dwele
",108,108,7
"
Sounds Of Summer:The Very Best Of The Beach Boys
","
The Beach Boys
",148,16,19
"
Greatest Hits: HIStory -- Volume 1
","
Michael Jackson
",-,85,24
"
Red Star Sounds Presents Def Jamaica
","
Various Artists
",-,-,-
"
Let Go
","
Avril Lavigne
",161,2,72
"
After The Storm
","
Monica
",162,1,18
"
St. Anger
","
Metallica
",149,1,20
"
Worship Together: I Could Sing Of Your Love Forever
","
Various Artists
",133,39,40
"
Deja Entendu
","
Brand New
",184,63,18
"
On And On
","
Jack Johnson
",168,3,24
"
The Soul Sessions (EP)
","
Joss Stone
",147,147,4
"
Cocky
 ","
Kid Rock
",156,3,100
"
Page Avenue
","
Story Of The Year
",-,104,3
"
Red Dirt Road
","
Brooks & Dunn
",158,4,14
"
Reloaded: Greatest Hits
","
Tom Jones
",-,-,-
"
The Artist In The Ambulance
","
Thrice
",-,16,12
"
Smile Empty Soul
","
Smile Empty Soul
",136,94,17
"
Saxophonic
","
Dave Koz
",129,129,2
"
Want One
","
Rufus Wainwright
",141,60,4
"
The All-American Rejects
","
The All-American Rejects
",163,25,37
"
0304
","
Jewel
",154,2,20
"
Un Dia Normal
","
Juanes
",174,110,19
"
Meet Me In Margaritaville: Jimmy Buffett The Ultimate Collection
","
Jimmy Buffett
",173,9,27
"
Walk Witt Me
","
Sheek Louch
",100,9,5
"
Sing The Sorrow
","
AFI
",152,5,32
"
All Hits At The House Of Blues
","
Raphael Saadiq
",-,-,-
"
My Town
","
Montgomery Gentry
",170,26,50
"
Three Days Grace
","
Three Days Grace
",194,184,2
"
Greatest Hits Collection, Volume I
","
Trace Adkins
",179,9,15
"
Hail To The Thief
","
Radiohead
",169,3,19
"
Transatlanticism
","
Death Cab For Cutie
",97,97,2
"
Volcano
","
Edie Brickell
",-,-,-
"
Chris Cagle
 ","
Chris Cagle
",193,15,22
"
Wooden Leather
","
Nappy Roots
",138,12,8
"
One Heart
","
Celine Dion
",177,2,30
"
Couldn't Have Said It Better
","
Meat Loaf
",185,85,4
"
Mud On The Tires
","
Brad Paisley
",181,8,13
"
The Matrix Reloaded: The Album
","
Soundtrack
",-,5,15
"
One By One
","
Foo Fighters
",-,3,48
"
Nellyville
","
Nelly
",186,1,69
"
Liz Phair
","
Liz Phair
",199,27,17
"
Radio Disney Jams Vol. 6
","
Various Artists
",176,105,6
"
No Stranger To Shame
","
Uncle Kracker
",190,43,40
"
Live
","
Alison Krauss + Union Station
",-,36,43
