Song, Artist, Last Week, Peak Position, Weeks on Chart
"High Hopes","Bruce Springsteen",-,1,1
"
Frozen
","
Soundtrack
",1,1,8
"
 Kidz Bop 25
","
Kidz Bop Kids
",-,-,-
"
Beyonce
","
Beyonce
",2,1,6
"
That Girl
","
Jennifer Nettles
",-,-,-
"
Fading West (Soundtrack)
","
Switchfoot
",-,-,-
"
Pure Heroine
","
Lorde
",5,3,16
"
The Marshall Mathers LP 2
","
Eminem
",4,1,11
"
PRISM
","
Katy Perry
",7,1,13
"
Night Visions
","
Imagine Dragons
",9,2,72
"
The River & The Thread
","
Rosanne Cash
",-,-,-
"
Bad Blood
","
Bastille
",21,11,20
"
Midnight Memories
","
One Direction
",6,1,8
"
Write You A Song
","
Jon Pardi
",-,-,-
"
Bangerz
","
Miley Cyrus
",8,1,15
"
Here's To The Good Times
","
Florida Georgia Line
",12,4,59
"
Black Panties
","
R. Kelly
",10,4,6
"
Nothing Was The Same
","
Drake
",11,1,17
"
Crash My Party
","
Luke Bryan
",13,1,23
"
Inside Llewyn Davis
","
Soundtrack
",14,14,8
"
My Own Lane
","
Kid Ink
",3,3,2
"
Give The People What They Want
","
Sharon Jones And The Dap-Kings
",-,-,-
"
Only King Forever
","
Elevation Worship
",-,-,-
"
The Heist
","
Macklemore & Ryan Lewis
",25,2,67
"
NOW 48
","
Various Artists
",15,3,10
"
The 20/20 Experience (2 Of 2)
","
Justin Timberlake
",16,1,16
"
Unorthodox Jukebox
","
Bruno Mars
",27,1,58
"
Blame It All On My Roots: Five Decades Of Influences
","
Garth Brooks
",18,1,8
"
Native
","
OneRepublic
",17,4,43
"
Because The Internet
","
Childish Gambino
",20,7,6
"
AM
","
Arctic Monkeys
",23,6,19
"
All The Little Lights
","
Passenger
",26,26,25
"
Cowboy Like Me
","
Cody Johnson
",-,-,-
"
Sail Out (EP)
","
Jhene Aiko
",30,8,9
"
ARTPOP
","
Lady Gaga
",22,1,10
"
Closer To The Truth
","
 Cher
",-,3,15
"
Foreverly
","
Billie Joe + Norah
",19,19,8
"
Born To Die
","
Lana Del Rey
",35,2,103
"
Lucinda Williams
","
 Lucinda Williams
",-,-,-
"
Crazy Life
","
Home Free
",-,-,-
"
Night Train
","
Jason Aldean
 ",41,1,66
"
True
","
Avicii
",34,5,18
"
The Truth About Love
","
P!nk
",48,1,70
"
Based On A True Story ...
","
Blake Shelton
",38,3,43
"
The Blessed Unrest
","
Sara Bareilles
",28,2,24
"
Love And War
","
Tamar Braxton
",46,2,20
"
Britney Jean
","
Britney Spears
",29,4,7
