Song, Artist, Last Week, Peak Position, Weeks on Chart
"21","Adele",-,1,48
"
Kidz Bop 21
","
Kidz Bop Kids
",-,-,-
"
El Camino
","
The Black Keys
",3,2,7
"
Take Care
","
Drake
",4,1,10
"
Talk That Talk
","
Rihanna
",7,3,9
"
TM:103: Hustlerz Ambition
","
Young Jeezy
",6,3,5
"
Identity
","
James Fortune & FIYA
",-,-,-
"
Clancy's Tavern
","
Toby Keith
",22,5,13
"
Mylo Xyloto
","
Coldplay
",8,1,13
"
Here And Now
","
Nickelback
",9,2,9
"
This Means War
","
Attack Attack!
",-,-,-
"
Joyful Noise
","
Soundtrack
",21,12,2
"
Sorry For Party Rocking
","
LMFAO
",11,5,31
"
Stronger
","
Kelly Clarkson
",14,2,13
"
19
","
Adele
",16,10,118
"
NOW 40
","
Various Artists
",10,3,11
"
Own The Night
","
Lady Antebellum
",17,1,19
"
Tailgates & Tanlines
","
Luke Bryan
",18,2,24
"
Ceremonials
","
Florence + The Machine
",15,6,12
"
Give Us Rest Or (A Requiem Mass In C [The Happiest Of All Keys])
","
David Crowder Band
",2,2,2
"
Watch The Throne
","
Jay Z Kanye West
",26,1,24
"
The Band Perry
","
The Band Perry
",24,4,67
"
My Life II...The Journey Continues (Act 1)
","
Mary J. Blige
",28,5,9
"
My Kinda Party
","
Jason Aldean
",25,2,64
"
Bangarang (EP)
","
Skrillex
",19,15,4
"
Which Side Are You On?
","
Ani DiFranco
",-,-,-
"
 Beautiful Things
","
Anthony Green
",-,-,-
"
Sigh No More
","
Mumford & Sons
",30,2,96
"
Clear As Day
","
Scotty McCreery
",34,1,16
"
Tha Carter IV
","
Lil Wayne
",29,1,21
"
Torches
","
Foster The People
",32,8,35
"
Lioness: Hidden Treasures
","
Amy Winehouse
",31,5,7
"
Fallen Empires
","
Snow Patrol
",5,5,2
"
Speak Now
","
Taylor Swift
",53,1,65
"
Lungs
","
Florence + The Machine
",47,14,86
"
Hands All Over
","
Maroon 5
",37,2,66
"
Number One Hits
","
Tim McGraw
",48,27,55
"
Halfway To Heaven
","
Brantley Gilbert
",41,4,23
"
Voyageur
","
Kathleen Edwards
",-,-,-
"
Back To Love
","
Anthony Hamilton
",23,12,6
"
4
","
Beyonce
",33,1,30
"
Break The Spell
","
Daughtry
",36,8,9
"
Teenage Dream
","
Katy Perry
",39,1,74
"
Chief
","
Eric Church
",43,1,26
"
Doo-Wops & Hooligans
","
Bruno Mars
",40,3,68
"
The Best Of Etta James: 20th Century Masters The Millennium Collection
","
Etta James
",162,46,9
"
Hits And More
","
Martina McBride
",-,-,-
"
Journey's Greatest Hits
","
Journey
",62,10,198
"
Scary Monsters And Nice Sprites (EP)
","
Skrillex
",52,49,33
"
Born This Way
","
Lady Gaga
",35,1,35
"
Lana Del Rey (EP)
","
Lana Del Rey
",20,20,2
"
Nothing But The Beat
","
David Guetta
",68,5,18
