Song, Artist, Last Week, Peak Position, Weeks on Chart
"Viva La Vida or Death And All His Friends","Coldplay",-,1,1
"
Tha Carter III
","
Lil Wayne
",1,1,2
"
 Camp Rock
","
Soundtrack
",-,-,-
"
NOW 28
","
Various Artists
",3,2,3
"
Definition Of Real
","
Plies
",2,2,2
"
Here I Stand
","
Usher
",5,1,4
"
Good Girl Gone Bad
","
Rihanna
",124,2,55
"
Indestructible
","
Disturbed
",4,1,3
"
One Of The Boys
","
Katy Perry
",-,-,-
"
Rise And Fall, Rage And Grace
","
The Offspring
",-,-,-
"
Nostradamus
","
Judas Priest
",-,-,-
"
Revelation
","
Journey
",6,5,3
"
Weezer
","
Weezer
",10,4,3
"
3 Doors Down
","
3 Doors Down
",11,1,5
"
Flavors Of Entanglement
","
Alanis Morissette
",8,8,2
"
Rock N Roll Jesus
 ","
Kid Rock
",19,1,37
"
Spirit
","
Leona Lewis
",14,1,11
"
Rockferry
","
Duffy
",15,4,6
"
Taylor Swift
","
Taylor Swift
",16,5,87
"
Seeing Sounds
","
N*E*R*D
",7,7,2
"
The Declaration
","
Ashanti
",13,6,3
"
Sex And The City
","
Soundtrack
",12,2,4
"
E=MC2
","
Mariah Carey
",21,1,10
"
Evil Urges
","
My Morning Jacket
",9,9,2
"
Exclusive
","
Chris Brown
 ",23,4,33
"
35 Biggest Hits
","
Toby Keith
",18,2,7
"
Narrow Stairs
","
Death Cab For Cutie
",27,1,6
"
Perfectly Clear
","
Jewel
",25,8,3
"
CTE Presents: My Life: The True Testimony
","
Blood Raw
",-,-,-
"
All I Intended To Be
","
Emmylou Harris
",22,22,2
"
Sleep Through The Static
","
Jack Johnson
",32,1,20
"
Death Before Dishonor
","
2 Pistols
",-,-,-
"
Carnival Ride
","
Carrie Underwood
",33,1,35
"
Nothing But The Best
","
Frank Sinatra
",17,2,6
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",35,3,6
"
Hard Candy
","
Madonna
",31,1,8
"
Jonas Brothers
","
Jonas Brothers
",53,5,46
"
iCarly
","
Soundtrack
",28,28,2
"
Total Club Hits
","
DJ Skribble
",30,30,2
"
Fight With Tools
","
Flobots
",37,15,7
"
Una Noche En Madrid: Marco Antonio Solis En Vivo
","
Marco Antonio Solis
",56,41,2
"
II Trill
","
Bun-B
",29,2,5
"
NOW 27
","
Various Artists
",41,2,15
"
Seeing Things
","
Jakob Dylan
",24,24,2
"
At Mount Zoomer
","
Wolf Parade
",-,-,-
"
Coco
","
Colbie Caillat
",46,5,49
"
Enjoy The Ride
","
Sugarland
",48,4,85
"
Just Who I Am: Poets & Pirates
","
Kenny Chesney
",39,3,41
"
Back When I Knew It All
","
Montgomery Gentry
",20,20,2
"
Home Before Dark
","
Neil Diamond
",26,1,7
"
Good Time
","
Alan Jackson
",38,1,16
"
The Ultimate Hits
","
Garth Brooks
",43,3,33
"
Pocketful Of Sunshine
","
Natasha Bedingfield
",45,3,22
"
19
","
Adele
",62,54,2
"
Trilla
","
Rick Ross
",50,1,15
"
Thirsty
","
Marvin Sapp
",64,53,44
"
Juno
","
Soundtrack
",49,1,25
"
Metro Station
","
Metro Station
",63,58,9
"
Alvin And The Chipmunks
","
Soundtrack
",54,5,29
"
Encanto
","
Sergio Mendes
",61,60,2
"
Julianne Hough
","
Julianne Hough
",44,3,5
"
Troubadour
","
George Strait
",36,1,12
"
Minutes To Midnight
","
Linkin Park
",70,1,58
"
Raising Sand
","
Robert Plant / Alison Krauss
",59,2,35
"
Disneymania 6: Music Stars Sing Disney... Their Way!
","
Various Artists
",40,22,5
"
Para Siempre
","
Vicente Fernandez
",47,38,30
"
NOW That's What I Call Classic Rock
","
Various Artists
",34,20,3
"
Jordin Sparks
","
Jordin Sparks
",66,10,31
"
Lay It Down
","
Al Green
",42,9,4
"
Sunset Man
","
James Otto
",58,3,11
