Song, Artist, Last Week, Peak Position, Weeks on Chart
"The 20/20 Experience","Justin Timberlake",-,1,1
"
Same Trailer Different Park
","
Kacey Musgraves
",-,-,-
"
Unorthodox Jukebox
","
Bruno Mars
",5,1,15
"
Spring Break... Here To Party
","
Luke Bryan
",3,1,3
"
The Truth About Love
","
P!nk
",11,1,27
"
Night Visions
","
Imagine Dragons
",12,2,29
"
What About Now
","
Bon Jovi
",1,1,2
"
Les Miserables
","
Soundtrack
",59,1,14
"
Babel
","
Mumford & Sons
",9,1,26
"
Unapologetic
","
Rihanna
",13,1,18
"
The Next Day
","
David Bowie
",2,2,2
"
NOW 45
","
Various Artists
",15,3,7
"
Some Nights
","
fun.
",16,3,57
"
The Heist
","
Macklemore & Ryan Lewis
",17,2,24
"
Earth Rocker
","
Clutch
",-,-,-
"
Here's To The Good Times
","
Florida Georgia Line
",14,7,16
"
The World From The Side Of The Moon
","
Phillip Phillips
",18,4,18
"
Red
 ","
Taylor Swift
",22,1,22
"
The Lumineers
","
The Lumineers
",19,2,51
"
People, Hell And Angels
","
Jimi Hendrix
",10,2,3
"
21
","
 Adele
",23,1,109
"
Pitch Perfect
","
Soundtrack
",27,3,22
"
Old Sock
","
Eric Clapton
",7,7,2
"
Overexposed
","
Maroon 5
",35,2,39
"
good kid, m.A.A.d city
","
Kendrick Lamar
",29,2,22
"
Take Me Home
","
One Direction
",40,1,19
"
Tornado
","
Little Big Town
",36,2,28
"
Passione
","
Andrea Bocelli
",25,2,8
"
Night Train
","
Jason Aldean
",45,1,23
"
Vida
","
Draco Rosa
",-,-,-
"
Two Lanes Of Freedom
","
Tim McGraw
",37,2,7
"
Shake It Up: I <3 Dance
","
Soundtrack
",41,26,3
"
All Around The World
","
 Mindless Behavior
",6,6,2
"
All That Echoes
","
Josh Groban
",26,1,7
"
Specter At The Feast
","
Black Rebel Motorcycle Club
",-,-,-
"
Girl On Fire
","
Alicia Keys
",38,1,17
"
FutureSex/LoveSounds
","
Justin Timberlake
",98,1,87
"
Kidz Bop 23
","
Kidz Bop Kids
",33,2,10
"
Boys & Girls
","
Alabama Shakes
",28,6,47
"
Sigh No More
","
Mumford & Sons
",46,2,157
"
Greatest Hits: Chapter One
","
Kelly Clarkson
",53,11,18
"
Chief
","
Eric Church
",57,1,87
"
Hunter Hayes
","
Hunter Hayes
",55,17,58
"
Blown Away
","
Carrie Underwood
",56,1,47
"
Tailgates & Tanlines
","
Luke Bryan
",51,2,85
"
My Head Is An Animal
","
 Of Monsters And Men
",39,6,51
"
Sound City -- Real To Reel
","
Soundtrack
",8,8,2
"
2013 Grammy Nominees
","
Various Artists
",47,2,9
"
Doo-Wops & Hooligans
","
Bruno Mars
",58,3,127
"
Long.Live.A$AP
","
A$AP Rocky
",52,1,10
"
+
","
Ed Sheeran
",24,5,41
"
Anthems (EP)
","
Anthrax
",-,-,-
"
NOW 44
","
Various Artists
",62,2,20
"
The Walking Dead: AMC Original Soundtrack - Vol. 1 (EP)
","
Soundtrack
",92,54,2
"
Trilogy
","
The Weeknd
",60,4,19
"
Rebel Soul
","
Kid Rock
",142,5,18
"
Up All Night
","
One Direction
",78,1,54
"
Memphis
","
Boz Scaggs
",49,17,3
"
Muchacho
","
Phosphorescent
",-,-,-
"
Let The Future Begin
","
Passion
",4,4,2
"
Kaleidoscope Dream
","
Miguel
",71,3,25
"
The Legend Of Johnny Cash
","
Johnny Cash
",76,5,110
"
Best Days
","
Tamela Mann
",86,14,28
"
More Than Words
","
Brian McKnight
",-,-,-
"
Justified
","
Justin Timberlake
",111,2,75
"
Set You Free
","
Gary Allan
",63,1,9
"
Four The Record
","
Miranda Lambert
",74,3,71
"
The Hurt & The Healer
","
MercyMe
",101,7,26
"
Global Warming
","
Pitbull
",31,14,18
"
Trouble Man: Heavy Is The Head
","
T.I.
",64,2,14
"
Burning Lights
","
Chris Tomlin
",69,1,11
"
Believe: Acoustic
","
Justin Bieber
",80,1,8
"
The 2nd Law
","
Muse
",85,2,25
"
Based On A T.R.U. Story
","
2 Chainz
",91,1,32
"
Born To Die
","
Lana Del Rey
",83,2,60
"
The Invisible Way
","
Low
",-,-,-
"
Believe
","
Justin Bieber
",90,1,40
"
El Camino
","
The Black Keys
",81,2,68
"
Amok
","
Atoms For Peace
",72,2,4
"
Deep Roots
","
Steven Curtis Chapman
",68,68,2
"
WOW Hits 2013
","
Various Artists
",97,35,26
"
Ultra Music Festival: 2013
","
Various Artists
",-,-,-
"
CrazySexyCool
","
TLC
",138,3,104
"
Rev. Floyd Flake Presents: The Worship Expierence
","
The Greater Allen Cathedral
",-,-,-
"
Release The Panic
","
Red
",84,7,7
"
Hard 2 Love
","
Lee Brice
",99,5,46
"
Cocky
","
Kid Rock
",107,3,112
"
The Best Of Eric Clapton: 20th Century Masters The Millennium Collection
","
Eric Clapton
",128,66,77
"
Journey's Greatest Hits
","
Journey
",124,10,253
"
R.E.V.O
","
Walk Off The Earth
",-,-,-
"
Eye On It
","
tobyMac
",102,1,30
"
Love, Charlie
","
Charlie Wilson
",88,4,8
"
O.N.I.F.C.
","
Wiz Khalifa
",100,2,16
"
Uncaged
","
Zac Brown Band
",103,1,37
"
Old Yellow Moon
","
Emmylou Harris & Rodney Crowell
",89,29,4
"
Lindsey Stirling
","
Lindsey Stirling
",117,81,19
"
The Twilight Saga: Breaking Dawn: Part 2
","
Soundtrack
",43,3,18
"
The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection
","
Lynyrd Skynyrd
",137,60,109
"
Megalithic Symphony
","
AWOLNATION
",125,87,72
"
WOW Gospel 2013
 ","
Various Artists
",105,43,8
"
The Blue Room
","
Madeleine Peyroux
",87,62,3
"
Halfway To Heaven
","
Brantley Gilbert
",119,4,84
"
Heartthrob
","
Tegan And Sara
",95,3,8
"
Zion
","
Hillsong UNITED
",93,5,4
"
Welcome Oblivion
","
How To Destroy Angels
",195,30,3
"
Greatest Hits... So Far!!!
","
P!nk
",150,5,76
"
Only A Shadow
","
Misty Edwards
",-,-,-
"
The Hobbit: An Unexpected Journey
","
Soundtrack
",-,30,9
"
Kings & Queens
","
Audio Adrenaline
",70,70,2
"
The Very Best Of The Eagles
","
Eagles
",131,3,83
"
Girls: Volume 1: Music From The HBO Original Series
","
Soundtrack
",-,66,4
"
Our Version Of Events
","
Emeli Sande
",106,28,19
"
Finally Rich
","
Chief Keef
",126,29,14
"
The Dark Side Of The Moon
 ","
Pink Floyd
",177,1,828
"
Up All Night
","
Kip Moore
",110,6,43
"
Temper Temper
","
Bullet For My Valentine
",116,13,6
"
An Awesome Wave
","
alt-J
",118,84,15
"
Halcyon
","
Ellie Goulding
",135,9,24
"
A Messenger
","
Colton Dixon
",120,15,8
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",149,18,260
"
The Taylor Swift Holiday Collection (EP)
","
Taylor Swift
",-,20,39
"
My Kinda Party
","
Jason Aldean
",147,2,124
"
Cold Fact
","
Rodriguez
",121,78,13
"
Woman To Woman
","
Keyshia Cole
",112,10,18
"
Joyas Prestadas: Pop
","
Jenni Rivera
",143,51,15
"
Take Care
","
Drake
",160,1,66
"
Pluto
","
Future
",115,8,46
"
Michael Buble
","
Michael Buble
",141,47,70
"
Grace (EP)
","
Tasha Cobbs
",-,61,3
"
Like A Rose
","
Ashley Monroe
",123,43,3
"
Casey Abrams
","
Casey Abrams
",-,101,2
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",122,5,49
"
The Golden Age
","
Woodkid
",-,-,-
"
Super Hits
","
Willie Nelson
",178,98,47
"
Changed
","
Rascal Flatts
",148,3,51
"
Teenage Dream
","
Katy Perry
",169,1,135
"
Wild Ones
","
Flo Rida
",-,14,37
"
Extended Versions
","
Creedence Clearwater Revisited
",183,74,33
"
Channel Orange
","
Frank Ocean
",130,2,37
"
How Great Is Our God: The Essential Collection
","
Chris Tomlin
",136,40,27
"
Blunderbuss
","
Jack White
",151,1,42
"
 Come To The Well
","
Casting Crowns
",181,2,64
"
Bangarang (EP)
","
Skrillex
",163,14,59
"
Signed And Sealed In Blood
","
Dropkick Murphys
",104,9,11
"
The Band Perry
","
The Band Perry
",152,4,121
"
Silver Side Up
","
Nickelback
",154,2,84
"
19
","
Adele
",145,4,179
"
The Best Of Aerosmith: 20th Century Masters...
","
Aerosmith
",192,67,55
"
Into The Light
","
Matthew West
",134,51,9
"
The Foundation
","
Zac Brown Band
",161,9,224
"
The Acoustic Sessions {Volume One}
","
Casting Crowns
",-,35,5
"
Scary Monsters And Nice Sprites (EP)
","
Skrillex
",190,49,88
"
Amaryllis
","
Shinedown
",-,4,33
"
How Country Feels
","
Randy Houser
",155,11,9
"
Best Of The Temptations-The 60's: 20th Century Masters...
","
The Temptations
",157,73,45
"
Chronicle The 20 Greatest Hits
","
Creedence Clearwater Revival Feat. John Fogerty
",167,52,143
"
Warrior
","
Ke$ha
",166,6,16
"
Mythology
","
Celtic Thunder
",127,51,5
"
In Time
","
The Mavericks
",146,39,4
"
The Piano Guys
","
The Piano Guys
",140,44,16
"
Nashville: Season 1: Volume 1
","
Soundtrack
",156,14,15
"
Sofia The First: Songs From The Hit Disney Junior Series
","
Soundtrack
",-,149,4
"
Miracle
","
Third Day
",-,10,16
"
Love For Levon: A Benefit To Save The Barn
","
 Various Artists
",-,-,-
"
1
","
The Beatles
",-,1,140
"
Rocket Man: Number Ones
","
Elton John
",-,9,65
"
Beautiful Death Machine
","
Swollen Members
 ",-,-,-
"
All-Time Greatest Hits
 ","
The Drifters
",199,168,2
"
Jesus Piece
","
The Game
",159,6,15
"
NOW 43
","
Various Artists
",198,1,31
"
La Misma Gran Senora
","
Jenni Rivera
",171,38,15
"
Gold
","
Britt Nicole
",168,41,9
"
4
","
Beyonce
",188,1,58
"
It Happens All The Time
","
Megan Hilty
",96,96,2
"
The Best Of Three Dog Night: 20th Century Masters...
","
Three Dog Night
",200,109,51
"
Rock Of Ages
","
Soundtrack
",-,5,22
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",197,18,87
"
Recovery
","
Eminem
",-,1,137
"
Until Now
","
Swedish House Mafia
",174,14,17
"
Devil
","
Lydia
",-,-,-
"
Paradise (EP)
","
Lana Del Rey
",-,10,16
"
Red River Blue
","
Blake Shelton
",182,1,88
"
 18 Months
","
Calvin Harris
",-,19,12
"
Beyond Hell/Above Heaven
","
Volbeat
",196,161,14
"
Extended Versions
","
Bad Company
",-,82,21
"
Need You Now
","
Plumb
",132,56,4
"
Ceremonials
","
Florence + The Machine
",-,6,71
"
Greatest Hits
","
Guns N' Roses
",-,3,263
"
The Happiness Waltz
","
Josh Rouse
",-,-,-
"
Skydog: The Duane Allman Retrospective
","
Duane Allman
",-,-,-
"
Searching For Sugar Man (Soundtrack)
","
Rodriguez
",164,76,14
"
R.E.D
","
Ne-Yo
",-,4,17
"
Sticks & Stones
","
Cher Lloyd
",-,9,19
"
Songs About Jane
","
Maroon 5
",-,6,118
"
When It Was Now
","
Atlas Genius
",180,34,5
"
Utopia (EP)
","
Kerli
",-,-,-
"
Mothership
","
Led Zeppelin
",-,7,148
"
Thriller
","
Michael Jackson
",-,1,182
"
Greatest Hits
","
Fleetwood Mac
",189,14,40
"
Chapter V
","
 Trey Songz
",187,1,26
