Song, Artist, Last Week, Peak Position, Weeks on Chart
"Back To Basics","Christina Aguilera",-,1,1
"
The Phoenix
","
Lyfe Jennings
",-,-,-
"
Dangerous Man
","
Trace Adkins
",-,-,-
"
Unappreciated
","
Cherish
",-,-,-
"
The Cheetah Girls 2
","
Soundtrack
",-,-,-
"
 NOW 22
","
Various Artists
",3,1,6
"
Port Of Miami
","
Rick Ross
",1,1,2
"
Second Round's On Me
","
Obie Trice
",-,-,-
"
Step Up
","
Soundtrack
",6,6,2
"
All The Right Reasons
","
Nickelback
",10,1,46
"
St. Elsewhere
","
Gnarls Barkley
",8,4,15
"
Phobia
","
Breaking Benjamin
",2,2,2
"
Kidz Bop 10
","
Kidz Bop Kids
",7,3,3
"
Cassie
","
Cassie
",4,4,2
"
PCD
","
The Pussycat Dolls
",15,5,49
"
Me And My Gang
","
Rascal Flatts
",12,1,20
"
Your Man
","
Josh Turner
",25,2,30
"
High School Musical
","
Soundtrack
",14,1,32
"
Extreme Behavior
","
Hinder
",22,19,29
"
LeToya
","
LeToya
",11,1,4
"
New Joc City
","
Yung Joc
",16,3,11
"
A Girl Like Me
","
Rihanna
",20,5,17
"
Highway Companion
","
Tom Petty
",17,4,4
"
A Fever You Can't Sweat Out
","
Panic! At The Disco
",23,13,37
"
Year Of The Dog...Again
","
DMX
",9,2,3
"
Come What(ever) May
","
Stone Sour
",18,4,3
"
Stadium Arcadium
","
Red Hot Chili Peppers
",26,1,15
"
Loose
","
Nelly Furtado
",21,1,9
"
Greatest Hits Vol 2: Reflected
","
Tim McGraw
",33,2,21
"
How To Save A Life
","
The Fray
",30,19,33
"
Some Hearts
","
Carrie Underwood
",32,2,40
"
Corinne Bailey Rae
","
Corinne Bailey Rae
",34,17,9
"
In My Own Words
","
Ne-Yo
",29,1,25
"
Foiled
","
Blue October
",41,29,20
"
Taking The Long Way
","
Dixie Chicks
",27,1,13
"
In My Mind
 ","
Pharrell Williams
",24,3,4
"
Brand New Girlfriend
","
Steve Holy
",19,19,2
"
Testimony: Vol. 1, Life & Relationship (Bonus Track Edition)
","
India.Arie
",31,1,8
"
Stand Still, Look Pretty
","
 The Wreckers
",40,14,13
"
If You're Going Through Hell
","
Rodney Atkins
",37,3,5
"
Christ Illusion
","
Slayer
",5,5,2
"
Decemberunderground
","
AFI
",38,1,11
"
Snakes On A Plane: The Album
","
Soundtrack
",-,-,-
"
Eye To The Telescope
","
KT Tunstall
",47,33,28
"
Eyes Open
","
Snow Patrol
",53,34,15
"
American V: A Hundred Highways
","
Johnny Cash
",36,1,7
"
Cars
","
Soundtrack
",42,6,11
"
Two Lights
","
Five For Fighting
",28,8,3
"
15
","
Buckcherry
",45,41,19
"
The Big Bang
","
Busta Rhymes
",44,1,10
"
Zombies! Aliens! Vampires! Dinosaurs!
","
Hellogoodbye
",13,13,2
"
White Trash With Money
","
Toby Keith
",51,2,19
"
Ghetto Story
","
Cham
",-,-,-
"
Don't You Fake It
","
The Red Jumpsuit Apparatus
",56,25,5
"
Back To Bedlam
","
James Blunt
",54,2,46
"
Oral Fixation Vol. 2
","
Shakira
",52,5,38
"
NOW 21
","
Various Artists
",50,2,20
"
Precious Memories
 ","
Alan Jackson
",57,4,25
"
A Beautiful Lie
","
Thirty Seconds To Mars
",48,42,18
"
Sacred
","
Los Lonely Boys
",49,2,5
"
Into The Rush
","
Aly & AJ
",39,36,53
"
The Road To Here
","
Little Big Town
",63,51,46
"
It's Time
","
Michael Buble
",66,7,80
"
The Legend Of Johnny Cash
","
Johnny Cash
",62,5,43
"
Greatest Hits
","
Guns N' Roses
",58,3,126
"
My Ghetto Report Card
","
E-40
",76,3,23
"
Chris Brown
","
Chris Brown
",72,2,38
"
The Road And The Radio
","
Kenny Chesney
",68,1,41
"
Amore
","
Andrea Bocelli
",70,3,29
"
10,000 Days
","
Tool
",60,1,16
"
One - X
","
Three Days Grace
",61,5,10
"
Move Along
","
The All-American Rejects
",65,6,58
"
Feels Like Today
","
Rascal Flatts
",69,1,99
"
Flyleaf
","
Flyleaf
",85,60,26
"
Hillbilly Deluxe
","
Brooks & Dunn
",79,3,51
"
 Smackers Presents: Girl Next
","
Various Artists
",-,-,-
"
King
","
T.I.
",55,1,21
"
The Sound Of Revenge
","
Chamillionaire
",64,10,39
"
Dusk And Summer
","
Dashboard Confessional
",59,2,8
"
Be Here
","
Keith Urban
",73,3,100
"
The Eraser
","
Thom Yorke
",75,2,6
"
Retaliation
","
Dane Cook
",80,4,56
"
Breakaway
","
 Kelly Clarkson
",78,3,90
"
Yanni Live!: The Concert Event
","
Yanni
",-,-,-
"
The Breakthrough
","
Mary J. Blige
",77,1,35
"
Laugh Now, Cry Later
","
Ice Cube
",67,4,11
"
The Trinity
","
Sean Paul
",86,7,47
"
Modern Day Drifter
","
Dierks Bentley
",84,6,67
"
Time Well Wasted
","
Brad Paisley
",83,2,53
"
Reprieve
","
Ani DiFranco
",46,46,2
"
That's How They Do It In Dixie: The Essential Collection
","
Hank Williams Jr.
",74,16,8
"
Bless The Broken Road - The Duets Album
","
Selah
",43,43,2
"
Have A Nice Day
","
 Bon Jovi
",137,2,48
"
Black Holes And Revelations
","
Muse
",82,9,6
"
Feedback
","
Jurassic 5
",88,15,4
"
 In Between Dreams
","
Jack Johnson
",97,2,77
