Song, Artist, Last Week, Peak Position, Weeks on Chart
"The Breakthrough","Mary J. Blige",-,1,1
"
Unpredictable
","
Jamie Foxx
",-,-,-
"
Duets: The Final Chapter
","
The Notorious B.I.G.
",-,-,-
"
Curtain Call: The Hits
","
Eminem
",1,1,3
"
Some Hearts
","
Carrie Underwood
",2,2,6
"
The Emancipation Of Mimi
","
 Mariah Carey
",7,1,37
"
NOW 20
","
Various Artists
",3,1,8
"
The Road And The Radio
","
Kenny Chesney
",5,1,7
"
All The Right Reasons
","
Nickelback
",6,1,12
"
Breakaway
","
Kelly Clarkson
",8,3,56
"
Monkey Business
","
The Black Eyed Peas
",9,2,29
"
Chris Brown
","
Chris Brown
",14,2,4
"
Amarantine
","
Enya
",12,6,5
"
The Legend Of Johnny Cash
","
Johnny Cash
",10,10,9
"
Feels Like Today
 ","
Rascal Flatts
",13,1,65
"
The Real Thing
","
Bo Bice
",4,4,2
"
Confessions On A Dance Floor
","
Madonna
",15,1,6
"
From Under The Cork Tree
","
Fall Out Boy
",18,9,34
"
Fireflies
","
Faith Hill
",26,1,21
"
American Idiot
","
 Green Day
",16,1,66
"
Songs About Me
","
Trace Adkins
",29,11,40
"
Hypnotize
","
System Of A Down
",27,1,5
"
Tha Carter II
","
Lil Wayne
",21,2,3
"
Reba: #1's
","
Reba McEntire
",30,12,5
"
Be Here
","
Keith Urban
",28,3,66
"
PCD
","
The Pussycat Dolls
",32,5,15
"
Timeless
","
Martina McBride
",23,3,10
"
See You On The Other Side
","
Korn
",17,3,3
"
Comin' To Your City
","
Big & Rich
",25,7,6
"
Twice The Speed Of Life
","
Sugarland
",31,16,49
"
Get Rich Or Die Tryin'
","
Soundtrack
 ",33,2,7
"
#1's
","
Destiny's Child
",36,1,9
"
Late Registration
","
Kanye West
",35,1,17
"
Ludacris Presents...Disturbing Tha Peace
","
Ludacris And DTP
",11,11,2
"
All Jacked Up
","
Gretchen Wilson
",39,1,13
"
Most Wanted
","
 Hilary Duff
",34,1,19
"
Thanks For The Memory... The Great American Songbook Vol. IV
","
Rod Stewart
",38,2,10
"
Barrio Fino: En Directo
","
Daddy Yankee
",24,24,2
"
Christmas Songs
","
Diana Krall Feat. The Clayton/Hamilton Jazz Orchestra
",20,17,8
"
Demon Days
","
Gorillaz
",41,6,31
"
Love. Angel. Music. Baby.
","
Gwen Stefani
",40,5,57
"
Oral Fixation Vol. 2
","
Shakira
",37,5,4
"
X&Y
","
Coldplay
",51,1,29
"
The Christmas Collection
","
Il Divo
",22,14,9
"
Modern Day Drifter
","
Dierks Bentley
",49,6,33
"
Have A Nice Day
","
Bon Jovi
",48,2,14
"
It's Time
","
Michael Buble
",50,7,46
"
Bullet In A Bible
","
Green Day
",42,8,6
"
Back To Bedlam
","
James Blunt
",54,47,12
"
Walk The Line
","
Soundtrack
",52,31,6
"
I Am Me
","
Ashlee Simpson
",47,1,10
"
Sweatsuit
","
Nelly
",60,26,5
"
All That I Am
","
Santana
",58,2,8
"
Unplugged
","
Alicia Keys
",59,1,11
"
12 Songs
","
Neil Diamond
",45,4,7
"
Ain't Nobody Worryin'
","
Anthony Hamilton
",19,19,2
"
The Great Divide
","
Scott Stapp
",57,19,5
"
WOW Hits 2006
","
Various Artists
",53,42,12
"
Hillbilly Deluxe
","
Brooks & Dunn
",70,3,17
"
Ten Thousand Fists
","
Disturbed
",61,1,14
"
Let's Get It: Thug Motivation 101
","
Young Jeezy
",65,2,22
"
A Little More Personal (Raw)
","
Lindsay Lohan
",46,20,3
"
What The Game's Been Missing!
","
Juelz Santana
",62,9,5
"
Now 19
 ","
Various Artists
",55,1,23
"
The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe
","
Soundtrack
",43,43,2
"
Doin' Somethin' Right
","
Billy Currington
",63,11,10
