Song, Artist, Last Week, Peak Position, Weeks on Chart
"Babel","Mumford & Sons",-,1,21
"
2013 Grammy Nominees
","
Various Artists
",11,2,4
"
Unorthodox Jukebox
","
Bruno Mars
",8,2,10
"
Red
","
Taylor Swift
",12,1,17
"
All That Echoes
","
Josh Groban
",1,1,2
"
The Lumineers
","
The Lumineers
",10,2,46
"
Some Nights
","
fun.
",14,3,52
"
NOW 45
","
Various Artists
",3,3,2
"
Passione
","
Andrea Bocelli
",5,2,3
"
Overexposed
","
Maroon 5
",20,2,34
"
The Truth About Love
","
P!nk
",23,1,22
"
Two Lanes Of Freedom
","
Tim McGraw
",2,2,2
"
Temper Temper
","
Bullet For My Valentine
",-,-,-
"
El Camino
","
The Black Keys
",29,2,63
"
Unapologetic
","
Rihanna
",17,1,13
"
Pitch Perfect
","
Soundtrack
",13,3,17
"
Hunter Hayes
","
Hunter Hayes
",27,17,53
"
Believe: Acoustic
","
Justin Bieber
",6,1,3
"
21
","
Adele
",22,1,104
"
Boys & Girls
","
Alabama Shakes
",43,8,42
"
+
","
Ed Sheeran
",32,5,36
"
Night Visions
","
Imagine Dragons
",31,2,24
"
Kidz Bop 23
","
Kidz Bop Kids
",18,2,5
"
Set You Free
","
Gary Allan
",16,1,4
"
Tornado
","
Little Big Town
",28,2,23
"
Long.Live.A$AP
","
A$AP Rocky
",24,1,5
"
Blown Away
","
Carrie Underwood
",41,1,42
"
Girl On Fire
","
Alicia Keys
",33,1,12
"
Here's To The Good Times
","
Florida Georgia Line
",21,10,11
"
Take Me Home
","
One Direction
",30,1,14
"
Reckless
","
Jeremy Camp
 ",-,-,-
"
Sigh No More
","
Mumford & Sons
",39,2,152
"
The Heist
","
Macklemore & Ryan Lewis
",19,2,19
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",99,18,255
"
The World From The Side Of The Moon
","
Phillip Phillips
",36,4,13
"
good kid, m.A.A.d city
","
Kendrick Lamar
",26,2,17
"
Night Train
","
Jason Aldean
",37,1,18
"
 Les Miserables
","
Soundtrack
",35,1,9
"
Kaleidoscope Dream
","
Miguel
",58,3,20
"
Tailgates & Tanlines
","
Luke Bryan
",44,2,80
"
Uncaged
","
Zac Brown Band
",69,1,32
"
Channel Orange
","
Frank Ocean
",46,2,32
"
SMASH: Bombshell
","
Soundtrack
",-,-,-
"
Love, Charlie
","
Charlie Wilson
",25,4,3
"
Greatest Hits: Chapter One
","
Kelly Clarkson
",48,11,13
"
Journey's Greatest Hits
","
Journey
",139,10,248
"
Chief
","
Eric Church
",49,1,82
"
Trouble Man: Heavy Is The Head
","
T.I.
",38,2,9
"
NOW 44
","
Various Artists
",42,2,15
"
The Foundation
","
Zac Brown Band
",156,9,219
"
Release The Panic
","
Red
",7,7,2
"
Ceremonials
","
Florence + The Machine
",91,6,67
"
Rebel Soul
","
Kid Rock
",53,5,13
"
Blunderbuss
","
Jack White
",95,1,37
"
Believe
","
Justin Bieber
",52,1,35
"
The 2nd Law
","
Muse
",65,2,20
"
My Head Is An Animal
","
Of Monsters And Men
",50,6,46
"
Ultra Dance 14
","
Various Artists
",-,-,-
"
No Love Lost
","
Joe Budden
",15,15,2
"
Up All Night
","
One Direction
",67,1,49
"
Woman To Woman
","
Keyshia Cole
",56,10,13
"
Trilogy
","
The Weeknd
",66,4,14
"
WOW Gospel 2013
","
Various Artists
",47,43,3
"
Doo-Wops & Hooligans
","
Bruno Mars
",85,3,122
"
Based On A T.R.U. Story
","
2 Chainz
",51,1,27
"
Burning Lights
","
Chris Tomlin
",60,1,6
"
Four The Record
","
Miranda Lambert
",84,3,66
"
 O.N.I.F.C.
","
Wiz Khalifa
",57,2,11
"
Nashville: Season 1: Volume 1
","
Soundtrack
",62,14,10
"
Stronger
","
Kelly Clarkson
",128,2,65
"
Face The Music
","
Avant
",40,40,2
"
Heartthrob
","
Tegan And Sara
",45,3,3
"
How Country Feels
","
Randy Houser
",71,11,4
"
WOW Hits 2013
 ","
Various Artists
",77,35,21
"
Celebration Day
","
Led Zeppelin
",105,9,13
"
Global Warming
","
Pitbull
",82,14,13
"
The Afterman: Descension
","
Coheed And Cambria
",9,9,2
"
Rumours
","
Fleetwood Mac
",64,1,153
"
4
","
Beyonce
",79,1,53
"
Making Mirrors
","
Gotye
",144,6,45
"
Pasion
","
Andrea Bocelli
",87,59,3
"
Hard 2 Love
","
Lee Brice
",88,5,41
"
A Messenger
","
Colton Dixon
",55,15,3
"
Thriller
","
Michael Jackson
",80,1,178
"
Red River Blue
","
Blake Shelton
",130,1,83
"
Holy Fire
","
Foals
",-,-,-
"
Finally Rich
","
Chief Keef
",83,29,9
"
Eye On It
","
tobyMac
",110,1,25
"
Joyas Prestadas: Pop
","
Jenni Rivera
",96,51,10
"
 19
","
Adele
",121,4,174
"
Born To Die
","
Lana Del Rey
",86,2,55
"
Ultimate Hits: Rock And Roll Never Forgets
","
Bob Seger & The Silver Bullet Band
",-,19,46
"
La Misma Gran Senora
","
Jenni Rivera
",92,38,10
"
The Road To Red Rocks: Live
","
Mumford & Sons
",54,54,2
"
The Legend Of Johnny Cash
 ","
Johnny Cash
",119,5,105
"
Regions Of Light And Sound Of God Audio
","
Jim James
",34,34,2
"
Warrior
","
Ke$ha
",93,6,11
"
12-12-12 The Concert For Sandy Relief
","
Various Artists
",94,9,7
"
I Will Always Love You: The Best Of Whitney Houston
","
Whitney Houston
",108,14,14
"
NOW That's What I Call Love Songs
","
Various Artists
",102,100,4
"
Pluto
","
 Future
",100,8,41
"
Jesus Piece
","
The Game
",104,6,10
"
Halfway To Heaven
","
Brantley Gilbert
",111,4,79
"
 Brothers
","
The Black Keys
",162,3,134
"
Greatest Hits
","
Guns N' Roses
",-,3,261
"
Greatest Hits
","
Jewel
",73,73,2
"
Bangarang (EP)
","
Skrillex
",127,14,54
"
Aim And Ignite
","
fun.
",-,71,13
"
Curtain Call: The Hits
","
Eminem
",70,1,179
"
Best Days
","
Tamela Mann
",107,14,23
"
Notes From The Underground
","
Hollywood Undead
",113,2,6
"
Halcyon
","
Ellie Goulding
",117,9,19
"
Wild Ones
","
Flo Rida
",97,14,33
"
Rocket Man: Number Ones
","
Elton John
",98,9,63
"
Cold Fact
","
Rodriguez
",106,78,8
"
Cocky
","
Kid Rock
",141,3,107
"
Get Up!
","
Ben Harper With Charlie Musselwhite
",78,27,3
"
Chronicle The 20 Greatest Hits
","
 Creedence Clearwater Revival Feat. John Fogerty
",-,52,138
"
Signed And Sealed In Blood
","
Dropkick Murphys
",145,9,6
"
Wretched And Divine: The Story Of The Wild Ones
","
Black Veil Brides
",114,7,6
"
Take Care
","
Drake
",149,1,61
"
Recovery
","
Eminem
",72,1,133
"
Pink Friday: Roman Reloaded
","
Nicki Minaj
",126,1,46
"
Speak Now
","
Taylor Swift
",115,1,121
"
The Hurt & The Healer
","
MercyMe
",-,7,22
"
My Kinda Party
","
Jason Aldean
",148,2,119
"
New Hometown
","
Connor Christian & Southern Gothic
",-,-,-
"
Teenage Dream
","
Katy Perry
",133,1,130
"
An Awesome Wave
","
alt-J
",118,84,10
"
Changed
","
Rascal Flatts
",120,3,46
"
The Story Of Your Life
","
Matthew West
",134,42,12
"
The Very Best Of Neil Diamond: The Studio Recordings
","
Neil Diamond
",-,45,34
"
Safe Haven
","
Soundtrack
",-,-,-
"
The Archive (EP)
","
Imagine Dragons
",-,-,-
"
Chapter V
","
Trey Songz
",161,1,21
"
Until Now
","
Swedish House Mafia
",103,14,12
"
Lead With Your Heart
","
The Tenors
",89,21,5
"
R.E.D
","
Ne-Yo
",137,4,15
"
Hummingbird
","
Local Natives
",76,12,3
"
Man On The Moon: The End Of Day
","
Kid Cudi
",-,4,78
"
The Band Perry
","
The Band Perry
",154,4,116
"
Our Version Of Events
","
Emeli Sande
",81,28,14
"
The Dark Side Of The Moon
","
Pink Floyd
",-,1,823
"
The Strange Case Of...
","
Halestorm
",186,15,32
"
California 37
","
Train
",143,4,44
"
 Parrandera Rebelde y Atrevida
","
Jenni Rivera
",-,146,2
"
Megalithic Symphony
","
AWOLNATION
",132,87,67
"
Miracle
","
Third Day
",-,10,14
"
You Get What You Give
","
Zac Brown Band
",199,1,120
"
Hands All Over
","
Maroon 5
",-,2,120
"
Love Songs
","
Destiny's Child
",122,72,3
"
Sublime
","
Sublime
",-,13,115
"
Kiss
","
Carly Rae Jepsen
",155,6,20
"
The Acoustic Sessions {Volume One}
","
Casting Crowns
",129,35,4
"
Greatest Hits... So Far!!!
","
P!nk
",184,5,71
"
Dreams And Nightmares
","
Meek Mill
",140,2,16
"
Hope On The Rocks
","
Toby Keith
",188,6,16
"
The Best Of Eric Clapton: 20th Century Masters The Millennium Collection
","
Eric Clapton
",198,66,72
"
Fearless
","
Taylor Swift
",185,1,215
"
Paradise (EP)
","
Lana Del Rey
",123,10,14
"
Welcome To The Fishbowl
","
Kenny Chesney
",-,2,33
"
Joyas Prestadas: Banda
","
Jenni Rivera
",138,74,11
"
Doin' My Thing
","
Luke Bryan
",193,6,97
"
The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection
","
Lynyrd Skynyrd
",-,60,104
"
The Carpenter
","
The Avett Brothers
",197,4,20
"
Ten
","
Pearl Jam
",-,2,253
"
 Amaryllis
","
Shinedown
",175,4,31
"
North
","
matchbox twenty
",150,1,23
"
The Divinity Of Purpose
","
Hatebreed
",109,20,3
"
Lindsey Stirling
","
Lindsey Stirling
",142,81,14
"
Blak And Blu
","
Gary Clark Jr.
",166,6,17
"
Lotus
","
Christina Aguilera
",159,7,14
"
Love Never Fails.
","
Various Artists
",-,-,-
"
House Of Gold & Bones: Part 1
","
Stone Sour
",147,7,12
"
Talk That Talk
","
Rihanna
",131,3,55
"
My True Story
","
Aaron Neville
",101,45,4
"
 FutureSex/LoveSounds
","
Justin Timberlake
",-,1,82
"
God Forgives, I Don't
","
Rick Ross
",151,1,23
"
I Am...Sasha Fierce
","
Beyonce
",116,1,86
"
Fortune
","
Chris Brown
",182,1,30
"
Michael Buble
","
Michael Buble
",-,47,65
"
 Scary Monsters And Nice Sprites (EP)
","
Skrillex
",183,49,83
"
NOW That's What I Call Disney
","
Various Artists
",191,34,13
"
La Gran Senora
","
Jenni Rivera
",160,118,10
"
Greatest Hits Volume 1
","
Rascal Flatts
",-,6,135
"
Hello My Name Is...
","
Bridgit Mendler
",152,30,16
"
Tapestry
 ","
Carole King
",-,1,309
"
Up All Night
","
Kip Moore
",-,6,39
"
Searching For Sugar Man (Soundtrack)
","
Rodriguez
 ",125,76,9
"
NOW 43
","
Various Artists
",174,1,28
"
Koi No Yokan
","
Deftones
",157,11,14
"
Number One Hits
","
Tim McGraw
",135,27,81
"
The Best Of Simon & Garfunkel
","
Simon & Garfunkel
",-,43,10
"
The Perks Of Being A Wallflower
","
Soundtrack
",-,-,-
"
NOW That's What I Call Country: Volume 5
","
Various Artists
",179,13,27
"
Greatest Hits II
","
Kenny Chesney
",-,3,89
"
Las Bandas Romanticas de America 2013
","
Various Artists
",181,113,4
"
Electric
","
Richard Thompson
",75,75,2
"
Confessions
","
Usher
",-,1,102
"
Own The Night
","
Lady Antebellum
",-,1,67
