Song, Artist, Last Week, Peak Position, Weeks on Chart
"The Truth About Love","P!nk",-,1,1
"
Kanye West Presents GOOD Music Cruel Summer
","
Various Artists
",-,-,-
"
Battle Born
","
The Killers
",-,-,-
"
Away From The World
","
Dave Matthews Band
",1,1,2
"
Tornado
","
Little Big Town
",2,2,2
"
Kiss
","
Carly Rae Jepsen
",-,-,-
"
Shields
","
Grizzly Bear
",-,-,-
"
Tempest
","
Bob Dylan
",3,3,2
"
The Carpenter
","
The Avett Brothers
",4,4,2
"
The Sound Of The Life Of The Mind
","
Ben Folds Five
",-,-,-
"
All Over The Road
","
Easton Corbin
",-,-,-
"
21
","
Adele
",12,1,83
"
Mirage Rock
","
Band Of Horses
",-,-,-
"
Overexposed
","
Maroon 5
",11,2,13
"
Coexist
","
 The xx
",5,5,2
"
Night Visions
","
Imagine Dragons
",7,2,3
"
The Lumineers
","
The Lumineers
",17,11,25
"
3 Pears
","
Dwight Yoakam
",-,-,-
"
North
","
matchbox twenty
",8,1,3
"
Up All Night
","
One Direction
",15,1,28
"
NOW 43
","
Various Artists
",9,1,7
"
Based On A T.R.U. Story
","
2 Chainz
",13,1,6
"
Bad
","
Michael Jackson
",-,1,96
"
Some Nights
","
fun.
",18,3,31
"
Hillbilly Jedi
","
Big & Rich
",-,-,-
"
Tailgates & Tanlines
","
Luke Bryan
",26,2,59
"
Believe
","
Justin Bieber
",20,1,14
"
Blown Away
","
Carrie Underwood
",24,1,21
"
Sigh No More
","
Mumford & Sons
",30,2,131
"
Channel Orange
","
Frank Ocean
",25,2,11
"
E.B.A.H.
","
Tech N9ne
",-,-,-
"
Eye On It
","
tobyMac
",16,1,4
"
Charmer
","
Aimee Mann
",-,-,-
"
Teenage Dream
","
Katy Perry
",46,1,109
"
The Purple EP
","
Down
",-,-,-
"
Tomorrowland
","
Ryan Bingham
",-,-,-
"
La Futura
","
ZZ Top
",6,6,2
"
Chapter V
","
Trey Songz
",21,1,5
"
Chief
","
Eric Church
",31,1,61
"
Hunter Hayes
","
Hunter Hayes
",41,18,32
"
My Head Is An Animal
","
Of Monsters And Men
",35,6,25
"
Gravity
","
Lecrae
",14,3,3
"
Glee: Season Four: Britney 2.0 (EP)
","
Soundtrack
",-,-,-
"
Mourning In America And Dreaming In Color
","
Brother Ali
",-,-,-
"
Uncaged
 ","
Zac Brown Band
",29,1,11
"
Bad: 25
","
Michael Jackson
",-,-,-
"
God Forgives, I Don't
","
Rick Ross
",28,1,8
"
The Legend Of Johnny Cash
","
Johnny Cash
",151,5,85
"
California 37
","
Train
",33,4,23
"
Austin & Ally (Soundtrack)
","
Ross Lynch
",27,27,2
"
I Bet On Sky
","
Dinosaur Jr.
",-,-,-
"
 Fifty Shades Of Grey: The Classical Album
","
Various Artists
",22,22,2
"
Living Things
","
Linkin Park
",34,1,13
"
Close The Distance
","
Go Radio
",-,-,-
"
El Camino
","
The Black Keys
",52,2,42
"
Kidz Bop 22
","
Kidz Bop Kids
",36,3,10
"
Undisputed
","
DMX
",19,19,2
"
Place Of Freedom
","
Highlands Worship
",-,-,-
"
My Kinda Party
","
Jason Aldean
",45,2,99
"
Fortune
","
Chris Brown
",40,1,12
"
The Lateness Of The Hour
","
Alex Clare
",64,48,19
"
Best Days
","
Tamela Mann
 ",37,14,6
"
Halfway To Heaven
","
Brantley Gilbert
",55,4,58
"
+
","
Ed Sheeran
",58,5,15
"
Love This Giant
","
David Byrne & St. Vincent
",23,23,2
"
Looking 4 Myself
","
Usher
",49,1,15
"
Live Across America
","
Josh Turner
",56,48,4
"
Sun
","
Cat Power
",32,10,3
"
Floral Green
","
Title Fight
",-,-,-
"
Welcome To The Fishbowl
","
Kenny Chesney
",50,2,14
"
Journey's Greatest Hits
","
Journey
",138,10,233
"
Love Is A Four Letter Word
","
Jason Mraz
",54,2,23
"
Ceremonials
","
Florence + The Machine
",65,6,47
"
Declaration Of Independence
","
Colt Ford
",47,5,7
"
Keep Your Eyes Open EP (Songs From The Reckoning Sessions)
","
NEEDTOBREATHE
",-,-,-
"
Born To Die
","
Lana Del Rey
",71,2,34
"
Life Is Good
","
Nas
",63,1,10
"
Keith Harkin
","
 Keith Harkin
",-,-,-
"
 The Spirit Indestructible
","
Nelly Furtado
",-,-,-
"
19
","
Adele
",80,4,153
"
Lindsey Stirling
","
Lindsey Stirling
",-,-,-
