Song, Artist, Last Week, Peak Position, Weeks on Chart
"American Beauty / American Psycho","Fall Out Boy",-,1,1
"
1989
","
Taylor Swift
",2,1,13
"
Title
","
Meghan Trainor
",1,1,2
"
x
","
Ed Sheeran
",4,1,31
"
B4.Da.$$
","
Joey Bada$$
",-,-,-
"
The Pinkprint
","
Nicki Minaj
",6,2,6
"
What A Terrible World, What A Beautiful World
","
The Decemberists
",-,-,-
"
The Pale Emperor
","
Marilyn Manson
",-,-,-
"
In The Lonely Hour
","
Sam Smith
",7,2,32
"
Uptown Special.
","
Mark Ronson
",5,5,2
"
V
","
Maroon 5
",8,1,21
"
2015 Grammy Nominees
","
Various Artists
",-,-,-
"
Kidz Bop 27
","
Kidz Bop Kids
",3,3,2
"
Tetsuo & Youth
","
Lupe Fiasco
",-,-,-
"
Hozier
","
Hozier
",9,2,16
"
2014 Forest Hills Drive
","
J. Cole
",10,1,7
"
Montevallo
","
Sam Hunt
",13,3,13
"
No Cities To Love
","
Sleater-Kinney
",-,-,-
"
FOUR
","
One Direction
",16,1,10
"
Vulnicura
","
Bjork
",-,-,-
"
Guardians Of The Galaxy: Awesome Mix Vol. 1
","
Soundtrack
",14,1,26
"
My Everything
","
Ariana Grande
",15,1,22
"
1000 Forms Of Fear
","
Sia
",19,1,26
"
SremmLife
","
Rae Sremmurd
 ",17,5,3
"
Chapter One
","
Ella Henderson
",11,11,2
"
Native
","
OneRepublic
",22,4,96
"
Greatest Hits: Decade #1
","
Carrie Underwood
",18,4,7
"
Girls In Peacetime Want To Dance
","
Belle And Sebastian
",-,-,-
"
Anything Goes
","
Florida Georgia Line
",27,1,15
"
Old Boots, New Dirt
","
Jason Aldean
",21,1,16
"
Church Songs
 ","
Vertical Church Band
",-,-,-
"
 Globalization
","
Pitbull
",30,18,9
"
Frozen
","
Soundtrack
",25,1,61
"
We Are All We Need
","
Above & Beyond
",-,-,-
"
BRINGING BACK THE SUNSHINE
","
Blake Shelton
",53,1,17
"
Nick Jonas
","
Nick Jonas
",28,6,11
"
Crash My Party
","
Luke Bryan
",26,1,76
"
The Hunger Games: Mockingjay, Part I
","
Soundtrack
",24,18,10
"
Annie
","
Soundtrack
",20,12,9
"
Into The Woods
","
Soundtrack
",23,8,6
"
Reality Show
","
Jazmine Sullivan
",12,12,2
"
Reclassified
","
Iggy Azalea
",31,16,9
"
Dream Your Life Away
","
Vance Joy
",41,17,20
"
For You
","
Selena Gomez
",35,24,9
"
Motion
","
Calvin Harris
",37,5,12
"
Beyonce
","
Beyonce
",39,1,59
"
Fear And Saturday Night
","
Ryan Bingham
",-,-,-
"
+
","
Ed Sheeran
",47,5,128
"
Save Rock And Roll
","
Fall Out Boy
",61,1,92
"
Night Visions
","
Imagine Dragons
",45,2,125
"
NOW 52
","
Various Artists
",36,2,13
"
AM
","
Arctic Monkeys
",44,6,72
"
Born To Die
","
Lana Del Rey
",64,2,156
"
X
","
Chris Brown
",48,2,19
"
The Outsiders
","
Eric Church
",51,1,50
"
Black Messiah
","
D'Angelo And The Vanguard
",43,5,6
"
PRISM
","
Katy Perry
",69,1,65
"
Rock Or Bust
","
AC/DC
",40,3,8
"
Man Against Machine
","
Garth Brooks
",33,4,11
"
Sweet Talker
","
Jessie J
",29,10,13
"
Queen Of The Clouds
","
Tove Lo
",57,14,17
"
TALKING IS HARD
","
WALK THE MOON
",58,26,8
"
5 Seconds Of Summer
","
5 Seconds Of Summer
",55,1,27
"
 Here's To The Good Times
","
Florida Georgia Line
",60,4,112
"
Blacc Hollywood
","
Wiz Khalifa
",56,1,23
"
Unorthodox Jukebox
","
Bruno Mars
",62,1,104
"
Sadnecessary
","
Milky Chance
",59,17,14
"
These Things Happen
","
G-Eazy
",67,3,28
"
Love In The Future
","
John Legend
",89,4,71
"
Nothing Was The Same
","
 Drake
",72,1,67
"
Partners
","
Barbra Streisand
",81,1,19
"
Greatest Hits
","
Fleetwood Mac
",104,14,69
"
Greatest Hits So Far...
","
Zac Brown Band
",65,20,11
"
Doo-Wops & Hooligans
","
Bruno Mars
",80,3,210
"
I Dont Dance
","
Lee Brice
",74,5,20
"
Lost On The River
","
The New Basement Tapes
",52,23,11
"
The Marshall Mathers LP 2
","
Eminem
",75,1,64
"
Pure Heroine
","
Lorde
",73,3,69
"
Bring You Back
","
Brett Eldredge
",116,11,12
"
Talk Dirty
","
Jason Derulo
",66,4,39
"
good kid, m.A.A.d city
","
Kendrick Lamar
",87,2,117
"
People Keep Talking
","
Hoodie Allen
",90,8,8
"
Back In Black
","
AC/DC
",76,4,201
"
Trilogy
","
The Weeknd
",106,4,47
"
United We Are
","
Hardwell
",-,-,-
"
Ignite The Night
","
Chase Rice
",63,3,21
"
Prayer
","
Robin Schulz
",42,42,7
"
Sundown Heaven Town
","
Tim McGraw
",78,3,19
"
Bad Blood
","
Bastille
",105,11,73
"
Night Train
","
Jason Aldean
",-,1,105
"
21
","
Adele
",91,1,205
"
Trigga
","
Trey Songz
",85,1,30
