Song, Artist, Last Week, Peak Position, Weeks on Chart
"Country Grammar","Nelly",-,1,8
"
Oops!...I Did It Again
","
Britney Spears
",2,1,14
"
The Marshall Mathers LP
","
Eminem
",4,1,13
"
 Now 4
","
Various Artists
",3,1,5
"
Human Clay
","
Creed
",6,1,47
"
No Strings Attached
","
'N Sync
",5,1,22
"
The Better Life
","
3 Doors Down
",8,7,28
"
Infest
","
Papa Roach
",7,5,17
"
Brand New Day
","
Sting
",11,9,47
"
Nutty Professor II: The Klumps
","
Soundtrack
",10,4,6
"
Coyote Ugly
","
Soundtrack
",19,11,3
"
The Writing's On The Wall
","
Destiny's Child
",13,5,56
"
Californication
","
Red Hot Chili Peppers
",14,3,63
"
Riding With The King
","
B.B. King & Eric Clapton
 ",12,3,10
"
The Heat
","
Toni Braxton
",17,2,17
"
Art Official Intelligence: Mosaic Thump
","
De La Soul
",9,9,2
"
Ryde Or Die Vol. II
","
Various Artists
",15,2,7
"
Dr. Dre -- 2001
","
Dr. Dre
",16,2,40
"
The Source Hip-Hop Music Awards 2000--The Album
","
Various Artists
",-,-,-
"
My Name Is Joe
","
Joe
",18,2,18
"
Christina Aguilera
","
Christina Aguilera
",20,1,52
"
One Voice
","
Billy Gilman
",22,22,9
"
...And Then There Was X
","
DMX
",23,1,35
"
Breathe
","
Faith Hill
",26,1,41
"
Crush
","
 Bon Jovi
",28,9,10
"
The History Of Rock
","
Kid Rock
",21,2,12
"
Fly
","
Dixie Chicks
",27,1,51
"
Songs From An American Movie Vol. One: Learning How To Smile
","
Everclear
",25,9,6
"
Mad Season
","
matchbox twenty
",24,3,13
"
I Got That Work
","
Big Tymers
",38,3,14
"
Mirror Mirror
","
Kelly Price
",30,5,8
"
On How Life Is
","
Macy Gray
",33,4,56
"
When The Smoke Clears Sixty 6, Sixty 1
","
Three 6 Mafia
",32,6,10
"
Sweet Kisses
","
Jessica Simpson
",35,25,39
"
The Notorious KIM
","
Lil' Kim
",34,4,8
"
Mountain High...Valley Low
","
Yolanda Adams
",39,36,24
"
The Sickness
","
Disturbed
",41,37,17
"
Supernatural
","
Santana
",31,1,62
"
The Big Picture
","
Big L
",29,13,3
"
Welcome II Nextasy
","
Next
",37,12,9
"
Can't Take Me Home
","
P!nk
 ",42,26,20
"
Burn
","
Jo Dee Messina
",36,19,3
"
Sooner Or Later
","
BBMak
",40,38,14
"
Unleash The Dragon
","
Sisqo
",43,2,38
"
Play
","
Moby
",49,45,54
"
I Hope You Dance
","
Lee Ann Womack
",45,17,13
"
White Pony
","
Deftones
",48,3,9
"
Devil Without A Cause
","
Kid Rock
",47,4,86
"
Mission: Impossible 2
","
Soundtrack
",44,2,15
"
Make Yourself
","
Incubus
",56,50,38
"
Mer De Noms
","
A Perfect Circle
",54,4,13
"
Like Water For Chocolate
","
Common
",57,16,21
"
From The Bottom To The Top
","
Sammie
",46,46,23
"
Marc Anthony
","
Marc Anthony
",50,8,47
"
Vol. 3... Life And Times Of S. Carter
","
JAY-Z
",51,1,34
"
People Like Us
","
Aaron Tippin
",61,53,4
"
SPM Presents: The Purity Album
","
SPM
",-,-,-
"
Kirk Franklin Presents 1NC
","
Kirk Franklin Presents 1NC
",-,-,-
"
Who Let The Dogs Out
","
Baha Men
",103,59,2
"
Horrorscope
","
Eve 6
",53,34,4
"
Significant Other
","
Limp Bizkit
",58,1,61
"
Millennium
","
Backstreet Boys
",62,1,66
"
Emotional
","
Carl Thomas
",74,9,18
"
Whitney: The Greatest Hits
","
Whitney Houston
",55,5,14
"
Monsters Of Rap
","
Various Artists
",63,52,4
"
Totally Hits 2
","
Various Artists
",52,13,12
"
Affirmation
","
Savage Garden
",60,6,41
"
Anarchy
","
Busta Rhymes
",59,4,9
"
All The Way...A Decade Of Song
","
Celine Dion
",67,1,40
"
Inside Job
","
Don Henley
",65,7,13
"
The Whole Shebang
","
SHeDAISY
",75,70,67
"
My Thoughts
","
Avant
",66,45,15
"
Lucy Pearl
","
Lucy Pearl
",79,26,13
"
Godsmack
","
Godsmack
",76,22,85
"
Everything You Want
","
Vertical Horizon
",81,40,33
"
Wheatus
","
Wheatus
",-,-,-
"
Romeo Must Die -- The Album
","
Soundtrack
",69,3,21
"
Fear Of Flying
","
Mya
",86,15,17
"
J.E. Heartbreak
","
Jagged Edge
",72,8,31
"
Skull & Bones
","
Cypress Hill
",70,5,17
"
Now You See Inside
","
SR-71
",85,81,9
"
Enrique
","
Enrique Iglesias
",73,33,39
"
The Fundamental Elements Of Southtown
","
P.O.D.
",68,51,33
"
No Angel
","
Dido
",92,84,14
"
Return Of Saturn
","
No Doubt
",78,2,19
"
Come On Over
","
Shania Twain
",83,2,146
"
Goodfellas
","
504 Boyz
",71,2,16
"
...Baby One More Time
","
Britney Spears
",64,1,84
"
The Madding Crowd
","
Nine Days
",82,67,14
"
The Slim Shady LP
","
Eminem
",84,2,78
"
The Abba Generation
","
A*Teens
",77,71,14
"
I Wanna Be With You
","
Mandy Moore
",80,21,15
"
Art And Life
","
Beenie Man
",89,68,6
"
Who Is Jill Scott? Words And Sounds Vol. 1
","
Jill Scott
",109,94,5
"
Vavoom!
","
The Brian Setzer Orchestra
",88,62,3
"
Thankful
","
Mary Mary
",93,59,16
"
Wide Open Spaces
","
Dixie Chicks
",94,4,134
"
Ideal
","
Ideal
",91,83,32
"
Hotshot
","
Shaggy
",87,87,2
"
Fortress
","
Sister Hazel
",106,63,8
"
A Place In The Sun
","
Tim McGraw
",96,1,68
"
Enema Of The State
","
Blink-182
",95,9,64
"
Lonely Grill
","
Lonestar
",100,28,64
"
No. 4
","
Stone Temple Pilots
",98,6,33
"
Where I Wanna Be
","
Donell Jones
",99,35,45
"
Unrestricted
","
Da Brat
",97,5,19
"
Slipknot
","
Slipknot
",104,51,58
"
Blue
","
Third Eye Blind
",120,40,39
"
2000 B.C. (Before Can-I-Bus)
","
Canibus
",90,23,5
"
Issues
","
Korn
",108,1,40
"
Lara Fabian
","
Lara Fabian
",101,85,12
"
Quality Control
","
Jurassic 5
",105,43,9
"
Dizzy Up The Girl
","
Goo Goo Dolls
",107,15,100
"
Offerings: A Worship Album
","
Third Day
",114,66,6
"
Spit
","
Kittie
",111,79,32
"
Shaft
","
Soundtrack
",102,1,70
"
How Do You Like Me Now?!
","
Toby Keith
",112,85,33
"
Binaural
","
Pearl Jam
",117,2,14
"
Farmhouse
","
Phish
",124,12,14
