Song, Artist, Last Week, Peak Position, Weeks on Chart
"Fearless","Taylor Swift",-,1,6
"
A Different Me
","
Keyshia Cole
",-,-,-
"
Intuition
","
Jamie Foxx
",-,-,-
"
 Circus
","
Britney Spears
",2,1,3
"
I Am...Sasha Fierce
","
Beyonce
",3,1,5
"
Dark Horse
","
Nickelback
",4,2,5
"
Twilight
","
Soundtrack
",5,1,7
"
Folie A Deux
","
Fall Out Boy
",-,-,-
"
Black Ice
","
AC/DC
",8,1,9
"
NOW 29
","
Various Artists
",7,3,6
"
808s & Heartbreak
","
Kanye West
",6,1,4
"
The Point Of It All
","
Anthony Hamilton
",-,-,-
"
David Cook
","
David Cook
",10,3,5
"
Da REAList
","
Plies
",-,-,-
"
When The World Comes Down
","
The All-American Rejects
",-,-,-
"
And Winter Came...
","
Enya
",13,8,6
"
High School Musical 3: Senior Year
","
Soundtrack
",9,2,9
"
Mamma Mia!
 ","
Soundtrack
",34,1,24
"
Joy To The World
","
Faith Hill
",14,13,12
"
The Promise
","
Il Divo
",16,5,5
"
Funhouse
","
P!nk
",19,2,8
"
David Archuleta
","
David Archuleta
",21,2,6
"
A Little Bit Longer
","
Jonas Brothers
",22,1,19
"
Christmas Duets
","
Elvis Presley
",17,17,10
"
 Taylor Swift
","
Taylor Swift
",28,5,113
"
Yo-Yo Ma & Friends: Songs Of Joy & Peace
","
Yo-Yo Ma
",33,20,10
"
 Breakout
","
Miley Cyrus
",20,1,22
"
Rock N Roll Jesus
","
Kid Rock
",27,1,63
"
Greatest Hits Volume 1
","
Rascal Flatts
",23,6,8
"
Love On The Inside
","
Sugarland
",31,1,22
"
Freedom
","
Akon
",18,7,3
"
Day & Age
","
The Killers
",25,6,4
"
Chinese Democracy
","
Guns N' Roses
",29,3,4
"
Paper Trail
","
T.I.
",30,1,12
"
Death Magnetic
","
Metallica
",40,1,15
"
Viva La Vida or Death And All His Friends
","
Coldplay
",41,1,27
"
Good Girl Gone Bad
","
Rihanna
",39,2,81
"
Incanto
","
Andrea Bocelli
",35,8,7
"
Theater Of The Mind
","
Ludacris
",24,5,4
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",42,3,32
"
Peace On Earth
","
Casting Crowns
",37,24,11
"
What A Night! A Christmas Album
","
Harry Connick, Jr.
",36,20,7
"
iSouljaBoyTellem
","
Soulja Boy Tell'em
",-,-,-
"
One Of The Boys
","
Katy Perry
",43,9,27
"
A Swingin' Christmas
","
Tony Bennett Feat. The Count Basie Big Band
",38,28,8
"
The Essential NOW That's What I Call Christmas
","
Various Artists
",32,30,9
"
Lucky Old Sun
","
Kenny Chesney
",44,1,10
"
The Foundation
","
Zac Brown Band
",48,17,5
"
Tha Carter III
","
Lil Wayne
",47,1,28
"
Learn To Live
","
Darius Rucker
",53,5,14
"
Winter Wonderland
","
Various Artists
",120,42,7
"
onmyradio
","
Musiq Soulchild
",11,11,2
"
WOW Hits 2009
","
Various Artists
",45,31,11
"
Carnival Ride
","
Carrie Underwood
",50,1,61
"
Thr33 Ringz
","
T-Pain
",46,4,6
"
Universal Mind Control
","
Common
",12,12,2
"
Soul
","
Seal
",49,13,6
"
That Don't Make Me A Bad Guy
 ","
Toby Keith
",56,5,8
"
Evolver
","
John Legend
",51,4,8
"
Troubadour
","
George Strait
",57,1,38
"
Year Of The Gentleman
","
Ne-Yo
",52,2,14
"
Spirit
","
Leona Lewis
",59,1,37
"
 Camp Rock
","
Soundtrack
",54,3,27
"
19
","
Adele
",63,11,28
"
Take It To The Limit
","
Hinder
",60,4,7
"
Human
","
Brandy
",15,15,2
"
Christmasville
","
Mannheim Steamroller
",55,48,9
"
Holiday Spirits
","
Straight No Chaser
",70,68,4
"
My Love: Essential Collection
","
Celine Dion
",62,8,8
"
Hit Man: David Foster & Friends
","
David Foster
",58,46,6
"
 That Lonesome Song
","
Jamey Johnson
",68,28,20
"
A New Hallelujah
","
Michael W. Smith
",75,19,8
"
Jonas Brothers
","
Jonas Brothers
",64,5,72
"
All Wrapped Up! (EP)
","
Various Artists
",91,24,6
"
Only By The Night
","
Kings Of Leon
",78,5,13
"
The Priests
 ","
The Priests
",66,66,3
"
Play
","
Brad Paisley
",79,9,7
"
All Hope Is Gone
","
Slipknot
",80,1,17
"
A Winter Symphony
 ","
Sarah Brightman
",65,38,7
"
Covers
","
James Taylor
",72,4,12
"
Keeps Gettin' Better: A Decade Of Hits
","
Christina Aguilera
",85,9,6
"
Don't Forget
","
Demi Lovato
",69,2,13
"
The Fame
","
Lady Gaga
",83,17,8
"
The Greatest Songs Of The Eighties
","
Barry Manilow
",67,14,4
"
 Jennifer Hudson
","
Jennifer Hudson
",81,2,12
"
X: Ten
","
Trace Adkins
",71,32,4
"
Avant
","
Avant
",26,26,2
"
Speaking Louder Than Before
","
Jeremy Camp
",94,38,4
"
Lady Antebellum
","
Lady Antebellum
",87,4,36
"
Rockferry
","
Duffy
",84,4,32
"
Indestructible
","
Disturbed
",107,1,29
"
NOW That's What I Call Country
","
Various Artists
",88,7,17
"
NBC Sounds Of The Season: The Julianne Hough Holiday Collection (EP)
","
Julianne Hough
",103,42,7
"
The Christmas Collection
","
Amy Grant
",61,41,10
"
Minutes To Midnight
","
Linkin Park
",95,1,84
"
Saving Abel
","
Saving Abel
",96,53,35
"
Live At Miles High Music Festival
","
Dave Matthews Band
",-,-,-
"
Road To Revolution: Live At Milton Keynes
","
Linkin Park
",89,41,4
"
The Best Of NOW That's What I Call Music! 10th Anniversary
","
Various Artists
",90,32,6
"
Safe Trip Home
","
Dido
",98,13,5
"
Good Time
","
Alan Jackson
 ",97,1,42
"
This Christmas
","
Aretha Franklin
",115,102,6
"
Revelation
","
Third Day
",132,6,21
"
Cinco Diablo
","
Saliva
",-,-,-
"
Daughtry
","
Daughtry
",104,1,109
"
The Greatest Journey: Essential Collection
","
Celtic Woman
",93,75,7
"
 Sugar Mountain - Live At Canterbury House 1968
","
Neil Young
",74,40,3
"
Hello Love
","
Chris Tomlin
",144,9,16
"
Cadillac Records
","
Soundtrack
",76,66,3
"
Startin' Fires
","
Blake Shelton
",111,34,5
"
The Recession
","
Young Jeezy
",101,1,16
"
Classic Christmas
","
George Strait
",86,86,6
"
Fearless
","
Jazmine Sullivan
",110,6,13
"
Something Else
","
Robin Thicke
",106,3,12
"
Swan Songs
","
Hollywood Undead
",112,22,16
"
 Greatest Hits: Limited Edition
","
Tim McGraw
",114,10,31
"
35 Biggest Hits
","
Toby Keith
",119,2,33
"
Fleet Foxes
","
Fleet Foxes
",181,67,25
"
Nightmare Revisited
","
Various Artists
",126,31,12
"
3 Doors Down
","
3 Doors Down
",127,1,31
"
A New Thought For Christmas
","
Melissa Etheridge
",135,113,6
"
Long Road Out Of Eden
","
Eagles
",133,1,60
"
Sleep Through The Static
","
Jack Johnson
",141,1,46
"
Mothership
","
Led Zeppelin
",137,7,58
"
Exclusive
","
Chris Brown
",123,4,59
"
Alvin And The Chipmunks
","
Soundtrack
",116,5,53
"
Scars & Souvenirs
","
Theory Of A Deadman
",124,26,38
"
 The Sound Of Madness
","
Shinedown
",118,8,26
"
The New Game
","
Mudvayne
",99,15,5
"
One World (Soundtrack)
","
The Cheetah Girls
",129,13,18
"
The Altar And The Door
","
Casting Crowns
",121,2,67
"
The Hotel Cafe Presents: Winter Songs
","
Various Artists
",105,103,5
"
Twilight: The Score (Carter Burwell)
","
Soundtrack
",77,77,4
"
Kidz Bop 14
","
Kidz Bop Kids
",125,8,21
"
The Ultimate Hits
","
Garth Brooks
",146,3,59
"
Songs For A Cause (EP)
","
Various Artists
",92,87,6
"
 The Sound
","
Mary Mary
",131,7,9
"
NOW 28
","
Various Artists
",117,2,29
"
Julianne Hough
","
Julianne Hough
",113,3,23
"
Kellie Pickler
","
Kellie Pickler
",140,9,12
"
The Definitive Rod Stewart
","
Rod Stewart
",136,70,5
"
Emeritus
","
Scarface
",82,24,3
"
Greatest Hits 3
","
Tim McGraw
",139,9,11
"
Primera Fila
","
Vicente Fernandez
",108,92,3
"
Oracular Spectacular
","
MGMT
",156,60,42
"
Christmas Holidays
","
The Starlight Orchestra And Singers
",102,97,7
