Song, Artist, Last Week, Peak Position, Weeks on Chart
"Supernatural","Santana",-,1,40
"
Unleash The Dragon
","
Sisqo
",6,2,16
"
Dr. Dre -- 2001
","
Dr. Dre
",4,2,18
"
On How Life Is
","
Macy Gray
",7,4,34
"
BTNHResurrection
","
Bone Thugs-N-Harmony
",5,2,3
"
Life Story
","
Black Rob
",3,3,2
"
The Writing's On The Wall
","
Destiny's Child
",10,6,34
"
Devil Without A Cause
","
Kid Rock
",9,4,64
"
Latest Greatest Straitest Hits
","
George Strait
",2,2,2
"
Christina Aguilera
","
Christina Aguilera
",11,1,30
"
...And Then There Was X
","
DMX
",12,1,13
"
Fly
","
Dixie Chicks
",13,1,29
"
G
","
Gerald Levert
",8,8,2
"
All The Way...A Decade Of Song
","
Celine Dion
",14,1,18
"
Millennium
","
Backstreet Boys
",17,1,44
"
Hooray For Boobies
","
Bloodhound Gang
",22,16,3
"
Europop
","
Eiffel 65
",16,4,16
"
Human Clay
","
Creed
",19,1,25
"
Two Against Nature
","
Steely Dan
",15,6,3
"
The Truth
","
Beanie Sigel
",18,5,3
"
Breathe
","
Faith Hill
",25,1,19
"
Stiff Upper Lip
","
AC/DC
",21,7,3
"
Marc Anthony
","
Marc Anthony
",26,8,25
"
Californication
","
Red Hot Chili Peppers
",28,3,41
"
Grammy Nominees 2000
","
Various Artists
",23,9,6
"
Voodoo
","
D'Angelo
",24,1,8
"
 Machina/The Machines Of God
","
The Smashing Pumpkins
",20,3,3
"
Now 3
","
Various Artists
",27,4,15
"
Significant Other
","
Limp Bizkit
",31,1,39
"
...Baby One More Time
 ","
Britney Spears
",29,1,62
"
Come On Over
","
Shania Twain
",30,2,124
"
Causin' Drama
","
Drama
",36,32,6
"
Enema Of The State
","
Blink-182
",35,9,42
"
Issues
","
Korn
",37,1,18
"
J.E. Heartbreak
 ","
Jagged Edge
",33,8,9
"
Affirmation
","
Savage Garden
",34,6,19
"
Lonely Grill
","
Lonestar
",39,28,42
"
Vol. 3... Life And Times Of S. Carter
","
JAY-Z
",32,1,12
"
Snoop Dogg Presents Tha Eastsidaz
","
Snoop Dogg & Tha Eastsidaz
",38,8,7
"
Let There Be... EVE--Ruff Ryders' First Lady
","
Eve
",42,1,27
