Song, Artist, Last Week, Peak Position, Weeks on Chart
"Watch The Throne","Jay Z Kanye West",-,1,2
"
21
","
Adele
",4,1,26
"
NOW 39
","
Various Artists
",3,3,2
"
Tailgates & Tanlines
","
Luke Bryan
",2,2,2
"
My Kinda Party
","
Jason Aldean
",6,2,42
"
Life At Best
","
 Eli Young Band
",-,-,-
"
Chief
","
Eric Church
",5,1,4
"
Any Man In America
","
Blue October
",-,-,-
"
4
","
Beyonce
",7,1,8
"
Kidz Bop 20
","
Kidz Bop Kids
",10,2,5
"
Torches
","
Foster The People
",15,8,13
"
Born This Way
","
Lady Gaga
",18,1,13
"
Hell: The Sequel (EP)
","
Bad Meets Evil
",11,1,10
"
Red River Blue
","
Blake Shelton
",14,1,6
"
Teenage Dream
","
Katy Perry
",23,1,52
"
When The Sun Goes Down
","
Selena Gomez & The Scene
",17,3,8
"
You Get What You Give
","
 Zac Brown Band
",19,1,48
"
Sigh No More
","
Mumford & Sons
",22,2,74
"
Dream With Me
","
Jackie Evancho
",9,2,10
"
Victorious: Music From The Hit TV Show
","
Soundtrack
",12,5,3
"
Proud To Be Here
","
Trace Adkins
",20,3,3
"
shaLLow bay: The Best Of Breaking Benjamin
","
Breaking Benjamin
",-,-,-
"
The Band Perry
","
The Band Perry
",34,4,45
"
Speak Now
","
Taylor Swift
",27,1,43
"
Jeff Bridges
","
Jeff Bridges
",-,-,-
"
This Is Country Music
","
Brad Paisley
",26,2,13
"
Here I Am
","
Kelly Rowland
",24,3,4
"
American Idol Season 10 Highlights: Scotty McCreery (EP)
","
Scotty McCreery
",29,10,8
"
19
","
Adele
",37,10,96
"
All Of You
","
Colbie Caillat
",31,6,6
"
Hands All Over
","
Maroon 5
",35,2,44
"
Outlaws Like Me
","
Justin Moore
",33,5,9
"
NOW 38
","
Various Artists
",28,2,16
"
Blood Sweat + Tears
","
Ace Hood
",8,8,2
"
Doo-Wops & Hooligans
","
Bruno Mars
",43,3,46
"
Glee: The 3D Concert Movie
","
Soundtrack
",16,16,2
"
Pink Friday
","
Nicki Minaj
",42,1,39
"
Loud
","
Rihanna
",50,3,40
"
Shake It Up: Break It Down
","
Soundtrack
",39,22,6
"
Neon
","
Chris Young
",36,4,6
"
Planet Pit
","
Pitbull
",47,7,9
"
The Light Of The Sun
","
Jill Scott
",44,1,9
"
Recovery
","
Eminem
",46,1,61
"
 Back To Black
","
Amy Winehouse
",32,2,83
"
Time Of My Life
","
3 Doors Down
",38,3,5
"
Need You Now
","
Lady Antebellum
",55,1,82
"
Finally Famous
","
Big Sean
",40,3,8
