Song, Artist, Last Week, Peak Position, Weeks on Chart
"Christmas","Michael Buble",-,1,9
"
21
","
Adele
",2,1,44
"
TM:103: Hustlerz Ambition
","
Young Jeezy
",-,-,-
"
Under The Mistletoe
","
Justin Bieber
",3,1,8
"
Take Care
","
Drake
",7,1,6
"
Own The Night
","
Lady Antebellum
",5,1,15
"
Talk That Talk
","
Rihanna
",14,3,5
"
Here And Now
","
Nickelback
",6,2,5
"
El Camino
","
The Black Keys
",4,2,3
"
NOW 40
","
Various Artists
",11,3,7
"
Clear As Day
","
Scotty McCreery
",9,1,12
"
Mylo Xyloto
","
Coldplay
",20,1,9
"
Concerto: One Night In Central Park
","
Andrea Bocelli
",8,4,6
"
My Kinda Party
","
Jason Aldean
",16,2,60
"
Lioness: Hidden Treasures
","
Amy Winehouse
",10,5,3
"
Sorry For Party Rocking
","
LMFAO
",24,12,27
"
19
","
Adele
",22,10,114
"
The Dreamer / The Believer
","
Common
",-,-,-
"
My Life II...The Journey Continues (Act 1)
","
Mary J. Blige
",26,5,5
"
Ceremonials
","
Florence + The Machine
",38,6,8
"
Break The Spell
","
Daughtry
",27,8,5
"
A Very She & Him Christmas
","
She & Him
",15,12,9
"
Tha Carter IV
","
Lil Wayne
",43,1,17
"
Duets II
","
Tony Bennett
",25,1,14
"
Someone To Watch Over Me
","
Susan Boyle
",17,4,8
"
Clancy's Tavern
","
Toby Keith
",28,5,9
"
Glee: The Music, The Christmas Album: Volume 2
","
Soundtrack
",13,6,6
"
Tailgates & Tanlines
","
Luke Bryan
",31,2,20
"
Born This Way
","
Lady Gaga
",35,1,31
"
Speak Now: World Tour Live CD + DVD
","
Taylor Swift
",21,11,5
"
The Band Perry
","
The Band Perry
",33,4,63
"
Speak Now
","
Taylor Swift
",30,1,61
"
4
","
Beyonce
",64,1,26
"
Four The Record
","
Miranda Lambert
",39,3,8
"
Torches
","
Foster The People
",50,8,31
"
My Christmas
","
Andrea Bocelli
",19,2,27
"
A Charlie Brown Christmas (Soundtrack)
 ","
Vince Guaraldi Trio
",23,23,21
"
Back To Love
","
Anthony Hamilton
",12,12,2
"
Stronger
","
Kelly Clarkson
",44,2,9
"
Heavenly Christmas
","
Jackie Evancho
",18,11,8
"
Hands All Over
","
Maroon 5
",49,2,62
"
The Twilight Saga: Breaking Dawn: Part 1
","
Soundtrack
",34,4,7
"
Watch The Throne
","
Jay Z Kanye West
",56,1,20
"
Teenage Dream
","
Katy Perry
",48,1,70
"
Glee: The Music, Season 3: Volume 7
","
Soundtrack
",37,9,3
