Song, Artist, Last Week, Peak Position, Weeks on Chart
"The Marshall Mathers LP 2","Eminem",-,1,3
"
The Wrong Side Of Heaven...Volume 2
","
Five Finger Death Punch
",-,-,-
"
NOW 48
","
Various Artists
",3,3,2
"
Duck The Halls: A Robertson Family Christmas
","
The Robertsons
",4,3,4
"
The Hunger Games: Catching Fire
","
Soundtrack
",-,-,-
"
Baptized
","
Daughtry
",-,-,-
"
I Am
","
Yo Gotti
",-,-,-
"
ARTPOP
","
Lady Gaga
",1,1,2
"
Wrapped In Red
","
Kelly Clarkson
",6,3,4
"
Cities 97 Sampler // Live From Studio C: Vol. 25
","
Various Artists
",-,-,-
"
PRISM
","
Katy Perry
",5,1,5
"
Pure Heroine
","
Lorde
",10,3,8
"
A Mary Christmas
","
Mary J. Blige
",22,13,6
"
Nothing Was The Same
","
Drake
",9,1,9
"
Crash My Party
","
Luke Bryan
",12,1,15
"
Bangerz
","
Miley Cyrus
",11,1,7
"
Night Visions
","
Imagine Dragons
",16,2,64
"
Here's To The Good Times
","
Florida Georgia Line
",14,4,51
"
Christmas
","
Michael Buble
",21,1,24
"
Home For Christmas
","
Susan Boyle
",23,19,4
"
The Best Of Nickelback: Volume 1
","
Nickelback
",-,-,-
"
The 20/20 Experience (2 Of 2)
","
Justin Timberlake
",17,1,8
"
The Best Man Holiday
","
Soundtrack
",32,23,4
"
A Charlie Brown Christmas (Soundtrack)
","
Vince Guaraldi Trio
",25,23,31
"
Eric Clapton Guitar Festival: Crossroads: Live: MSG, NY, April 2013
","
Various Artists
",-,-,-
"
Loved Me Back To Life
","
Celine Dion
",13,2,3
"
Savage Life 4
","
Webbie
",-,-,-
"
Reflektor
","
Arcade Fire
",18,1,4
"
On Air: Live At The BBC Volume 2
","
The Beatles
",7,7,2
"
Sail Out (EP)
","
Jhene Aiko
",8,8,2
"
Lightning Bolt
","
Pearl Jam
",28,1,6
"
Based On A True Story ...
","
Blake Shelton
",24,3,35
"
Clockwork Angels Tour
","
Rush
",-,-,-
"
Noel
","
Josh Groban
",57,1,47
"
NOW Christmas
","
Various Artists
",46,35,4
"
Closer To The Truth
","
Cher
",15,3,9
"
Christmas Symphony II
","
Mannheim Steamroller With Members Of The Czech Philharmonic Orchestra
",50,37,6
"
Three Sixty
","
A Perfect Circle
",-,-,-
"
Cheers, It's Christmas
","
Blake Shelton
",44,8,16
"
WOW Hits 2014
","
Various Artists
",31,25,9
"
Unorthodox Jukebox
","
Bruno Mars
",33,1,50
"
Native
","
OneRepublic
",40,4,35
"
Golden
","
Lady Antebellum
",29,1,29
"
Love In The Future
","
John Legend
",35,4,12
"
Homecoming (EP)
","
Sammy Adams
",-,-,-
"
Shangri La
","
Jake Bugg
",-,-,-
"
On This Winter's Night
","
Lady Antebellum
",60,8,13
"
'Tis The Season
","
Various Artists
",51,48,2
"
B.O.A.T.S. II #METIME
","
2 Chainz
",45,3,11
"
Merry Christmas, Baby
","
Rod Stewart
",77,3,13
"
All The Little Lights
","
Passenger
",39,28,17
"
The Heist
","
Macklemore & Ryan Lewis
",53,2,59
"
It's Christmas Time
","
Elvis Presley
",69,46,32
"
A Musical Affair: The Greatest Songs From The World's Favourite Musicals
","
Il Divo
",37,19,3
"
Red
","
Taylor Swift
",56,1,57
"
Yours Truly
","
Ariana Grande
",71,1,12
"
Night Train
","
Jason Aldean
",52,1,58
"
NOW That's What I Call Disney 2
","
Various Artists
",27,27,2
"
Days Are Gone
","
HAIM
",171,6,8
"
NOW 47
","
Various Artists
",47,2,16
"
Ellen's I'm Gonna Make You Dance Jams
","
Various Artists
",38,38,2
"
Hail To The King
","
Avenged Sevenfold
",54,1,13
"
See You Tonight
","
Scotty McCreery
",48,6,6
"
Avril Lavigne
","
Avril Lavigne
",26,5,3
"
It Goes Like This
","
Thomas Rhett
",41,6,4
"
Love And War
","
Tamar Braxton
",36,2,12
"
A Family Christmas
","
The Piano Guys
",87,63,5
"
The Wrong Side Of Heaven...Volume 1
","
Five Finger Death Punch
",92,2,17
"
The Woman I Am
","
Kellie Pickler
",19,19,2
"
Born To Die
","
Lana Del Rey
",59,2,95
"
Buon Natale: The Christmas Album
","
Il Volo
",89,55,5
"
How Great Is Our God: The Essential Collection
","
Chris Tomlin
",42,40,35
"
Drinks After Work
","
Toby Keith
",49,7,4
"
Blurred Lines
","
Robin Thicke
",62,1,17
"
The King's Gift: A Celtic Christmas Collection
","
Trace Adkins
",148,75,4
"
WOW Christmas (Blue)
","
Various Artists
",79,76,3
"
Direct Hits
","
The Killers
",20,20,2
"
Dreams Of Fireflies (On A Christmas Night) (EP)
","
Trans-Siberian Orchestra
",122,9,13
"
Bad Blood
","
Bastille
",78,11,12
"
Fuse
","
Keith Urban
",66,1,11
"
Withholding Nothing
","
William McDowell
",55,28,3
"
Stars Dance
","
Selena Gomez
",84,1,18
"
Frame By Frame
","
Cassadee Pope
",65,9,7
"
21
","
Adele
",82,1,144
"
 AM
","
Arctic Monkeys
",83,6,11
"
My Christmas
","
Andrea Bocelli
",129,2,37
"
If You Have Ghost (EP)
","
Ghost B.C.
",-,-,-
"
The 20/20 Experience
","
Justin Timberlake
",95,1,36
"
Magna Carta... Holy Grail
","
JAY-Z
",74,1,20
"
The Truth About Love
","
P!nk
",73,1,62
"
Take Me Home
","
One Direction
",121,1,54
"
Christmas
","
Francesca Battistelli
",-,69,7
"
Best Days
","
Tamela Mann
",109,14,63
"
New
","
Paul McCartney
",63,3,6
"
Babel
","
Mumford & Sons
",99,1,61
"
True Believers
","
Darius Rucker
",86,2,27
"
True
","
Avicii
 ",105,5,10
"
Sentimiento, Elegancia & Maldad
","
Arcangel
",-,-,-
"
To Be Loved
","
Michael Buble
",116,1,31
"
I Love You.
","
The Neighbourhood
",100,39,31
"
Lindsey Stirling
","
Lindsey Stirling
",81,23,52
"
Teen Beach Movie
","
Soundtrack
",115,3,19
"
Hunter Hayes
","
Hunter Hayes
",93,7,93
"
Megalithic Symphony
","
AWOLNATION
",-,84,104
"
Off The Beaten Path
","
Justin Moore
",85,2,10
"
51 Songs Kids Really Love To Sing
","
Kids Choir
",127,81,16
"
Glee: The Music: Seson 5: Movin' Out (EP)
","
Soundtrack
",-,-,-
"
Mechanical Bull
","
Kings Of Leon
",98,2,9
"
Elf
","
Soundtrack
",133,81,21
"
The Christmas Attic
 ","
Trans-Siberian Orchestra
",152,83,25
"
The Lumineers
","
The Lumineers
",125,2,86
"
Pitch Perfect
","
Soundtrack
 ",112,3,57
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",167,26,42
"
Restart
","
newsboys
",199,38,5
"
Merry Christmas
","
Mariah Carey
",186,3,39
"
Christmas With Scotty McCreery
","
Scotty McCreery
",137,4,14
