Song, Artist, Last Week, Peak Position, Weeks on Chart
"3 Doors Down","3 Doors Down",-,1,1
"
II Trill
","
Bun-B
",-,-,-
"
Julianne Hough
","
Julianne Hough
",-,-,-
"
Nothing But The Best
","
Frank Sinatra
",2,2,2
"
Narrow Stairs
","
Death Cab For Cutie
",1,1,2
"
Spirit
","
Leona Lewis
",5,1,7
"
E=MC2
","
Mariah Carey
",6,1,6
"
Rockferry
","
Duffy
",4,4,2
"
Hard Candy
","
Madonna
",8,1,4
"
Home Before Dark
","
Neil Diamond
",7,1,3
"
 We Sing. We Dance. We Steal Things.
","
Jason Mraz
",3,3,2
"
Taylor Swift
","
Taylor Swift
",11,5,83
"
35 Biggest Hits
","
Toby Keith
",9,2,3
"
Departure
","
Jesse McCartney
",-,-,-
"
Fight With Tools
","
Flobots
",183,15,3
"
Carnival Ride
","
Carrie Underwood
",24,1,31
"
Crayons
","
Donna Summer
",-,-,-
"
NOW 27
","
Various Artists
",13,2,11
"
Jordin Sparks
","
Jordin Sparks
",23,10,27
"
Daughtry
","
Daughtry
",30,1,79
"
Stop Drop And Roll!!!
","
Foxboro Hottubs
",-,-,-
"
Trilla
","
Rick Ross
",27,1,11
"
Juno
","
Soundtrack
",19,1,21
"
Dreaming Out Loud
","
OneRepublic
",88,14,27
"
Enjoy The Ride
","
Sugarland
",67,4,81
"
Rock N Roll Jesus
","
Kid Rock
",31,1,33
"
Sleep Through The Static
","
Jack Johnson
",20,1,16
"
Troubadour
","
George Strait
",29,1,8
"
Alvin And The Chipmunks
","
Soundtrack
",22,5,25
"
Just Who I Am: Poets & Pirates
","
Kenny Chesney
",47,3,37
"
The Chronicles Of Narnia: Prince Caspian
","
Soundtrack
",26,26,2
"
Coco
","
Colbie Caillat
",21,5,45
"
Disneymania 6: Music Stars Sing Disney... Their Way!
","
Various Artists
",-,-,-
"
Pocketful Of Sunshine
","
Natasha Bedingfield
",33,3,18
"
Sunset Man
","
James Otto
",25,3,7
"
The Ultimate Hits
","
Garth Brooks
",57,3,29
"
Lyfe Change
","
Lyfe Jennings
",17,4,4
"
Just Me
","
Keith Sweat
",10,10,2
"
Indiana Jones And The Kingdom Of The Crystal Skull
","
Soundtrack
",-,-,-
"
Greatest Hits // Every Mile A Memory 2003-2008
","
Dierks Bentley
",14,9,3
"
Awake Live
","
Josh Groban
",16,8,3
"
Gavin DeGraw
","
Gavin DeGraw
",15,7,3
"
5th Gear
","
Brad Paisley
",41,3,49
"
Hannah Montana/Miley Cyrus: Best Of Both Worlds Concert
","
Miley Cyrus
",32,3,11
"
Greatest Hits: Limited Edition
","
Tim McGraw
",39,10,4
"
Lady Antebellum
","
Lady Antebellum
",59,4,6
"
Jonas Brothers
","
Jonas Brothers
",51,5,42
"
On My Way Here
","
Clay Aiken
",18,4,3
"
Crazy Ex-Girlfriend
","
Miranda Lambert
",94,6,56
"
As I Am
","
Alicia Keys
",35,1,28
"
Division
","
10 Years
",12,12,2
"
Still Feels Good
","
Rascal Flatts
",53,1,35
"
Back To Black
","
Amy Winehouse
",45,2,63
"
Love/Hate
","
The-Dream
",73,30,24
"
Exclusive
","
Chris Brown
",52,4,29
"
Good Time
","
Alan Jackson
",43,1,12
"
In Rainbows
","
Radiohead
",50,1,22
"
Para Siempre
","
Vicente Fernandez
",54,38,26
"
Third
","
Portishead
",28,7,4
"
American Man: Greatest Hits Volume II
","
Trace Adkins
",62,22,25
"
Just Like You
","
Keyshia Cole
",49,2,35
"
Little Voice
","
Sara Bareilles
",55,7,34
"
Minutes To Midnight
","
Linkin Park
",63,1,54
"
Some Hearts
","
Carrie Underwood
",84,2,132
"
Flight Of The Conchords (Soundtrack)
","
Flight Of The Conchords
",36,3,5
"
Growing Pains
","
Mary J. Blige
",48,1,23
"
Rising Down
","
The Roots
",38,6,4
"
This Kind Of Love
","
Carly Simon
",37,15,4
"
Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus
","
Miley Cyrus
",66,1,48
"
The Second Wave
","
Various Artists
",42,42,2
"
All The Right Reasons
","
Nickelback
",75,1,138
"
Call Me Irresponsible
","
Michael Buble
",46,1,56
"
Pretty.Odd.
","
Panic! At The Disco
",76,2,9
"
Stand Out
","
Tye Tribbett & G.A.
",44,16,3
"
Thirsty
","
Marvin Sapp
",72,55,40
"
Arde El Cielo
","
Mana
",61,30,4
"
Complices
","
Luis Miguel
",34,10,3
"
Finding Beauty In Negative Spaces
","
Seether
",87,9,31
"
Good Girl Gone Bad
","
Rihanna
",68,2,51
"
One - X
","
Three Days Grace
",92,5,102
"
Long Road Out Of Eden
","
Eagles
",96,1,30
"
It Won't Be Soon Before Long
","
Maroon 5
",69,1,53
"
Mail On Sunday
 ","
Flo Rida
",79,4,10
"
Songs From The Sparkle Lounge
","
Def Leppard
",56,5,4
"
RIOT!
","
Paramore
",89,15,50
"
Welcome To The Dollhouse
","
Danity Kane
",64,1,10
"
Flyleaf
","
Flyleaf
",91,57,114
"
If You're Going Through Hell
","
Rodney Atkins
",155,3,97
"
15
","
Buckcherry
",86,39,110
"
Accelerate
","
R.E.M.
",74,2,8
"
Raising Sand
","
Robert Plant / Alison Krauss
",82,2,31
"
Nine Lives
","
Steve Winwood
",71,12,4
"
Mudcrutch
","
Mudcrutch
",70,8,4
"
No, Virginia...
","
The Dresden Dolls
",-,-,-
"
Consolers Of The Lonely
","
The Raconteurs
",77,7,9
"
When Life Gives You Lemons, You Paint That Shit Gold
","
Atmosphere
",65,5,5
"
Te Quiero
","
Flex
",118,70,18
"
TwentyFive
","
George Michael
",-,23,6
"
Metro Station
","
Metro Station
",120,99,5
"
Continuum
","
John Mayer
",99,2,89
"
Pure BS
","
Blake Shelton
",90,8,25
"
Ego Trippin
","
Snoop Dogg
",93,3,11
"
P.S. I Love You
","
Soundtrack
",81,60,8
"
The Dutchess
","
Fergie
",107,2,88
"
Saturday Nights & Sunday Mornings
","
Counting Crows
",95,3,9
"
95/08
","
Enrique Iglesias
",98,18,9
"
Vampire Weekend
","
Vampire Weekend
",103,17,17
"
11
","
Bryan Adams
",80,80,2
"
The Truth
","
Cherish
",40,40,2
"
Don't Look Away
","
Kate Voegele
",78,27,17
"
Across The Universe: Deluxe Edition
","
Soundtrack
",102,20,37
"
Famous
","
Puddle Of Mudd
",114,27,29
"
Shine
","
Estelle
",111,38,4
"
Still Da Baddest
","
Trina
",97,6,8
"
Bittersweet World
","
Ashlee Simpson
",100,4,5
"
Scream
","
Tokio Hotel
",101,39,3
"
Mothership
","
Led Zeppelin
",116,7,28
"
Lupe Fiasco's The Cool
","
Lupe Fiasco
",108,14,23
"
The Odd Couple
","
Gnarls Barkley
",104,12,10
"
Love Behind The Melody
","
Raheem DeVaughn
",110,5,19
"
Graduation
","
Kanye West
",126,1,37
"
Somewhere Back In Time: The Best Of: 1980-1989
","
Iron Maiden
",58,58,2
"
Reba Duets
","
Reba McEntire
",127,1,36
"
Once
","
Soundtrack
",106,7,43
"
Tell Me What You Know
","
Sara Groves
",105,72,5
"
Anywhere I Lay My Head
","
Scarlett Johansson
",-,-,-
"
Santogold
","
Santogold
",136,74,4
"
The Altar And The Door
","
Casting Crowns
",122,2,39
"
The Way Of The Fist
","
Five Finger Death Punch
",161,129,10
"
 Scars & Souvenirs
","
Theory Of A Deadman
",129,26,8
"
NOW 26
","
Various Artists
",128,3,28
"
Saving Abel
","
Saving Abel
",131,131,5
"
In The Ever
","
Mason Jennings
",-,-,-
"
Greatest Hits
","
Keith Urban
",138,11,27
"
Awake
","
Josh Groban
",121,2,69
"
 Attack & Release
","
The Black Keys
",124,14,8
"
New Amerykah: Part One (4th World War)
","
Erykah Badu
",109,2,13
"
Snacktime!
","
Barenaked Ladies
",112,61,3
"
Oracular Spectacular
","
MGMT
 ",148,129,12
"
Re-Arrange Us
","
Mates Of State
",-,-,-
"
Avenged Sevenfold
","
Avenged Sevenfold
",146,4,30
"
Radio Disney Jams 10
","
Various Artists
",154,18,18
"
August Rush
","
Soundtrack
",123,33,21
"
Can't Love Can't Hurt
","
Augustana
",115,21,4
"
XV
","
King's X
",-,-,-
"
Blackout
","
Britney Spears
",135,2,30
"
We Started Nothing
","
The Ting Tings
",-,-,-
"
souljaboytellem.com
","
Soulja Boy Tell'em
",160,4,34
"
Into The Wild (Soundtrack)
","
Eddie Vedder
",137,11,36
"
Love Forever Shines
","
Regina Belle
",119,119,2
"
High School Musical 2
","
Soundtrack
",172,1,41
"
The Bake Sale
","
The Cool Kids
",-,-,-
"
Who We Are
","
Lifehouse
",144,14,48
"
Let It Go
","
Tim McGraw
",132,1,61
"
Them Vs. You Vs. Me
","
Finger Eleven
",153,31,64
"
The Makings Of A Man
","
Jaheim
",143,11,23
"
Echoes, Silence, Patience & Grace
","
Foo Fighters
",167,3,35
"
Blame It On Gravity
","
Old 97's
",85,85,2
"
Everything Is Fine
","
Josh Turner
",147,5,30
"
When Angels & Serpents Dance
","
P.O.D.
",151,9,7
"
Vivere: Live In Tuscany
","
Andrea Bocelli
",157,22,17
"
VYP: Voice Of The Young People
","
Lil Mama
",142,25,4
"
Keep It Simple
","
Van Morrison
",130,10,8
"
Brooklyn's Don Diva
","
Foxy Brown
",83,83,2
"
All I Feel
","
Ray J
",139,7,7
"
Prayer Of A Common Man
","
Phil Vassar
",140,10,5
"
Anthems For The Damned
","
Filter
",60,60,2
"
WOW Hits 1
","
Various Artists
",134,99,7
"
La Mejor... Coleccion
","
Marco Antonio Solis
",173,92,50
"
Over And Underneath
 ","
Tenth Avenue North
",-,-,-
"
WIRES And The Concept Of Breathing
","
A Skylit Drive
",-,-,-
"
WOW Gospel 2008
","
Various Artists
",145,34,15
"
Units In The City
","
Shawty Lo
",156,13,13
"
Lost & Found
","
Ledisi
",180,78,20
"
Momofuku
","
Elvis Costello & The Imposters
",117,59,3
"
This Moment
","
Steven Curtis Chapman
",-,47,16
"
Rarities, B-Sides, And Other Stuff 2
","
Sarah McLachlan
",125,44,4
"
Konk
","
The Kooks
",170,41,6
"
Discipline
","
Janet
",152,1,13
"
If
","
Mindless Self Indulgence
",164,27,4
"
The Heroin Diaries Soundtrack
","
Sixx: A.M.
",176,62,32
"
Lead Sails Paper Anchor
","
Atreyu
",178,8,25
"
 22 More Hits
","
George Strait
",-,13,26
"
Formation Of Damnation
","
Testament
",162,59,4
"
Wisin Vs. Yandel: Los Extraterrestres
","
Wisin & Yandel
",189,14,28
"
Worlds Collide
","
Apocalyptica
",150,59,6
"
NOW That's What I Call The 80s
","
Various Artists
",168,11,11
"
WOW Hits 2008
","
Various Artists
",181,56,34
"
The Black Swan
","
Story Of The Year
",163,18,5
"
Ghosts I-IV
","
Nine Inch Nails
",149,14,7
"
Rough Around The Edges: Live From Madison Square Garden
","
Dane Cook
",-,11,22
"
Los Gabriel...Cantan A Mexico
","
Juan Gabriel & Ana Gabriel
",174,119,9
"
Exile On Mainstream
","
matchbox twenty
",179,3,34
"
Detours
","
Sheryl Crow
",159,2,16
"
Enchanted
","
Soundtrack
",194,39,25
"
I Don't Want To Go To School (Soundtrack)
","
The Naked Brothers Band
",169,23,6
"
Underdog Alma Mater
","
Forever The Sickest Kids
",185,45,4
"
Sweeney Todd: The Demon Barber Of Fleet Street
","
Soundtrack
",190,16,23
"
DAY26
","
DAY26
",165,1,9
"
Arm's Way
","
Islands
",-,-,-
