Song, Artist, Last Week, Peak Position, Weeks on Chart
"Hannah Montana: The Movie","Soundtrack",-,1,4
"
Forever In A Day
","
DAY26
",-,-,-
"
Unstoppable
","
Rascal Flatts
",1,1,2
"
Twilight
","
Soundtrack
",8,1,24
"
NOW 30
","
Various Artists
",5,1,4
"
The Last Kiss
","
Jadakiss
",3,3,2
"
Swoon
","
Silversun Pickups
",-,-,-
"
The Fame
","
Lady Gaga
",10,4,25
"
Wide Open
","
Jason Aldean
",4,4,2
"
Fearless
","
Taylor Swift
",6,1,23
"
Quiet Nights
","
Diana Krall
",11,3,3
"
Defying Gravity
","
Keith Urban
",7,1,3
"
In A Perfect World...
","
Keri Hilson
",15,4,4
"
Dark Horse
","
Nickelback
",13,2,22
"
Lotus Flow3r/MPLSoUND/Elix3r
","
Prince/Bria Valente
",9,2,3
"
No Line On The Horizon
","
U2
",14,1,7
"
Carnival Ride
","
Carrie Underwood
",16,1,78
"
Only By The Night
","
Kings Of Leon
",31,5,30
"
All I Ever Wanted
","
Kelly Clarkson
",12,1,6
"
Love V/S Money
","
The-Dream
",25,2,6
"
R.O.O.T.S. (Route Of Overcoming The Struggle)
","
Flo Rida
",17,8,3
"
I Am...Sasha Fierce
","
Beyonce
",24,1,22
"
Learn To Live
","
Darius Rucker
",34,5,31
"
Love On The Inside
","
Sugarland
",22,1,39
"
Intuition
","
Jamie Foxx
",27,3,18
"
The Foundation
","
Zac Brown Band
",26,17,22
"
It's Blitz!
","
Yeah Yeah Yeahs
",46,22,6
"
UGK 4 Life
","
UGK
",20,6,3
"
The Fray
","
The Fray
",23,1,11
"
TheOpenDoor EP
","
Death Cab For Cutie
",79,30,3
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",32,3,49
"
Paper Trail
","
T.I.
",30,1,29
"
Funhouse
","
P!nk
",35,2,25
"
Scars & Souvenirs
","
Theory Of A Deadman
",39,26,55
"
Taylor Swift
","
Taylor Swift
",21,5,130
"
Circus
","
Britney Spears
",38,1,20
"
10
","
MercyMe
",18,18,2
"
Swan Songs
","
Hollywood Undead
",65,22,33
"
Lady Antebellum
","
Lady Antebellum
",36,4,53
"
That Lonesome Song
","
Jamey Johnson
",33,28,37
"
Fork In The Road
","
Neil Young
",19,19,2
"
Jennifer Hudson
","
Jennifer Hudson
",103,2,29
"
The Sound Of Madness
","
Shinedown
",63,8,43
"
Want
","
3OH!3
",87,44,22
"
Slumdog Millionaire
","
Soundtrack
",44,4,17
"
Chris Botti: In Boston
","
Chris Botti
",37,13,3
"
David Cook
","
David Cook
",28,3,22
"
19
","
Adele
",54,10,45
"
Greatest Hits Volume 1
","
Rascal Flatts
",42,6,25
"
Son Of A Preacher Man
","
John Rich
",45,16,4
"
808s & Heartbreak
 ","
Kanye West
",56,1,21
"
Good Time
","
Alan Jackson
",76,1,59
"
Freedom
","
Akon
",64,7,20
"
Yanni Voices
","
Yanni
",77,20,4
"
Backwoods Barbie
","
Dolly Parton
",71,17,13
"
Metamorphosis
","
Papa Roach
",50,8,4
"
Tha Carter III
","
Lil Wayne
",66,1,45
"
iSouljaBoyTellem
","
Soulja Boy Tell'em
",78,43,18
"
When The World Comes Down
","
The All-American Rejects
",60,15,18
"
Uncle Charlie
","
Charlie Wilson
",84,2,9
"
Death Magnetic
","
Metallica
",61,1,32
"
A Different Me
","
Keyshia Cole
",70,2,18
"
Incredibad
","
The Lonely Island
",85,13,10
"
Rock N Roll Jesus
","
Kid Rock
",58,1,80
"
Viva La Vida or Death And All His Friends
","
Coldplay
",68,1,44
"
Boss Of All Bosses
","
Slim Thug
",62,15,4
"
Crack The Skye
","
Mastodon
",75,11,4
"
Testimony: Vol. 2, Love & Politics
","
India.Arie
",101,3,10
"
Year Of The Gentleman
","
Ne-Yo
",74,2,31
"
One Of The Boys
","
Katy Perry
",67,9,44
"
It's America
","
Rodney Atkins
",40,15,3
"
It's Not Me, It's You
","
Lily Allen
",95,5,10
"
New Jack City II
","
Bow Wow
",48,16,3
"
The Sound
","
Mary Mary
",107,7,26
"
Pray IV Reign
","
Jim Jones
",73,9,4
"
Fantasies
","
Metric
",-,76,2
"
Lucky Old Sun
","
Kenny Chesney
",99,1,27
"
Middle Cyclone
","
Neko Case
",136,3,7
"
Finding Beauty In Negative Spaces
","
Seether
",115,9,77
"
NOW That's What I Call Power Ballads
","
Various Artists
",72,30,4
"
Don't Feed Da Animals
","
Gorilla Zoe
",93,8,5
"
The Hazards Of Love
","
The Decemberists
",94,14,5
"
NOW 29
","
Various Artists
",51,3,23
"
Soul
","
Seal
",116,13,23
"
Shine
","
Martina McBride
",52,10,4
"
Don't Forget
","
Demi Lovato
",49,2,28
"
We All Are One (Live In Detroit)
","
Donnie McClurkin
",86,26,3
