Song, Artist, Last Week, Peak Position, Weeks on Chart
"Loyal To The Game","2Pac",-,1,1
"
Now 17
","
Various Artists
",5,1,7
"
Encore
","
Eminem
",3,1,6
"
Greatest Hits
","
Shania Twain
",6,2,6
"
How To Dismantle An Atomic Bomb
","
U2
",2,1,4
"
Destiny Fulfilled
","
Destiny's Child
",7,2,6
"
Concrete Rose
","
Ashanti
",-,-,-
"
Greatest Hits 2
","
Toby Keith
",8,3,6
"
Confessions
","
Usher
",11,1,39
"
MTV Ultimate Mash-Ups Presents: Collision Course
","
Jay-Z/Linkin Park
",9,1,3
"
Breakaway
","
Kelly Clarkson
",12,3,3
"
The Red Light District
","
Ludacris
",1,1,2
"
American Idiot
 ","
Green Day
",15,1,13
"
Speak
","
Lindsay Lohan
",4,4,2
"
Live Like You Were Dying
","
Tim McGraw
",18,1,17
"
Suit
","
Nelly
",17,1,14
"
Genius Loves Company
","
Ray Charles
",22,2,16
"
50 Number Ones
 ","
George Strait
",16,1,11
"
Crunk Juice
","
Lil Jon & The East Side Boyz
",14,3,6
"
Here For The Party
","
Gretchen Wilson
",23,2,32
"
Hilary Duff
","
Hilary Duff
",21,2,12
"
Love. Angel. Music. Baby.
","
Gwen Stefani
",19,7,4
"
Merry Christmas With Love
","
Clay Aiken
",10,4,5
"
Stardust... The Great American Songbook Vol. III
","
Rod Stewart
",26,1,9
"
 R&G (Rhythm & Gangsta): The Masterpiece
","
Snoop Dogg
",25,6,5
"
Feels Like Today
","
Rascal Flatts
",32,1,12
"
Songs About Jane
","
Maroon 5
",29,6,84
"
Under My Skin
","
Avril Lavigne
",35,1,30
"
Turning Point
","
Mario
",13,13,2
"
 Goodies
","
Ciara
",38,3,12
"
Christmas Celebration
","
Mannheim Steamroller
",24,19,10
"
Free Yourself
","
 Fantasia
",34,8,4
"
Horse Of A Different Color
","
Big & Rich
",43,6,33
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",30,26,10
"
Andrea
","
Andrea Bocelli
",42,16,6
"
Ray (Soundtrack)
","
Ray Charles
",36,9,9
"
 Live At The Greek
","
Josh Groban
",31,24,3
"
Greatest Hits
","
Creed
",39,15,4
"
Still Not Getting Any...
","
Simple Plan
",41,3,8
"
Autobiography
","
Ashlee Simpson
",33,1,22
"
Rejoyce: The Christmas Album
","
Jessica Simpson
",27,14,4
"
Greatest Hits: My Prerogative
","
Britney Spears
",40,4,6
