Song, Artist, Last Week, Peak Position, Weeks on Chart
"To The 5 Boroughs","Beastie Boys",-,1,1
"
Confessions
","
Usher
",2,1,13
"
Contraband
","
Velvet Revolver
",1,1,2
"
Here For The Party
","
Gretchen Wilson
",4,2,6
"
Under My Skin
","
Avril Lavigne
",3,1,4
"
Musicology
","
Prince
",5,3,9
"
The Reason
","
Hoobastank
",6,3,28
"
D12 World
","
D12
",9,1,8
"
Los Lonely Boys
","
Los Lonely Boys
",13,9,17
"
A New Day...Live In Las Vegas
","
Celine Dion
",-,-,-
"
Josh Gracin
","
Josh Gracin
",-,-,-
"
Shrek 2
","
Soundtrack
",11,8,6
"
Undermind
","
Phish
",-,-,-
"
It's About Time
","
Christina Milian
",-,-,-
"
Horse Of A Different Color
","
Big & Rich
",23,15,7
"
Vol. 3: (The Subliminal Verses)
","
Slipknot
",10,2,4
"
When The Sun Goes Down
","
Kenny Chesney
",22,1,20
"
Fallen
","
Evanescence
",17,3,68
"
Feels Like Home
","
Norah Jones
",19,1,19
"
Good News For People Who Love Bad News
","
Modest Mouse
",21,19,11
"
The College Dropout
","
Kanye West
",12,2,19
"
Speakerboxxx/The Love Below
","
OutKast
",18,1,39
"
Elephunk
","
The Black Eyed Peas
",14,14,52
"
In This Skin
","
Jessica Simpson
",28,2,44
"
Now 15
","
Various Artists
",15,2,13
"
Greatest Hits '93-'03
","
311
",7,7,2
"
Greatest Hits
","
Guns N' Roses
",20,3,13
"
Songs About Jane
","
Maroon 5
",37,7,58
"
The Girl In The Other Room
","
Diana Krall
",36,4,8
"
Tical 0: The Prequel
","
Method Man
",24,2,5
"
Shock'n Y'All
","
Toby Keith
",34,1,33
"
The Diary Of Alicia Keys
","
Alicia Keys
",31,1,29
"
Closer
","
Josh Groban
",41,1,32
"
Living Legends
","
8Ball & MJG
",27,3,6
"
Patience
","
George Michael
",49,12,5
"
Dino: The Essential Dean Martin
","
Dean Martin
",50,28,3
"
Catalyst
","
New Found Glory
",25,3,5
"
Juve The Great
","
Juvenile
",44,28,26
"
Franz Ferdinand
","
Franz Ferdinand
",43,39,13
"
The Black Album
","
JAY-Z
",30,1,32
"
Me And Mr Johnson
","
Eric Clapton
",79,6,12
"
Still Writing In My Diary: 2nd Entry
","
Petey Pablo
",33,4,7
"
Get Born
","
Jet
",42,26,37
"
The Beautiful Letdown
","
Switchfoot
 ",46,43,65
"
Sounds Of Summer:The Very Best Of The Beach Boys
","
The Beach Boys
",96,16,54
"
Ocean Avenue
","
Yellowcard
",39,23,45
"
So-Called Chaos
","
Alanis Morissette
",32,5,5
"
Vans Warped Tour 2004 Compilation
","
Various Artists
",8,8,2
"
Hurt No More
","
Mario Winans
",38,2,9
"
Golden Road
","
Keith Urban
",52,11,89
"
Kamikaze
","
Twista
",48,1,21
"
Mud On The Tires
","
Brad Paisley
",61,8,48
"
Disclaimer II
","
Seether
",-,-,-
"
The Long Road
","
Nickelback
",58,6,39
"
That's So Raven
","
Soundtrack
",47,44,5
"
Blink-182
","
Blink-182
",60,3,31
"
Greatest Hits Volume II
","
Alan Jackson
",65,19,27
"
In The Zone
","
Britney Spears
",53,1,31
"
Hot Fuss
","
The Killers
",-,-,-
"
Come Away With Me
","
Norah Jones
",69,1,121
"
The Very Best Of Sheryl Crow
","
Sheryl Crow
",56,2,33
"
Amar Sin Mentiras
","
Marc Anthony
",26,26,2
"
U Gotta Feel Me
","
Lil' Flip
",55,4,12
"
Reggae Gold 2004
","
Various Artists
",-,-,-
"
Patriotic Country
","
Various Artists
",-,-,-
"
Totally Hits 2004
","
Various Artists
",57,14,7
