Song, Artist, Last Week, Peak Position, Weeks on Chart
"Take Care","Drake",-,1,1
"
Christmas
","
Michael Buble
",2,2,4
"
21
","
Adele
",5,1,39
"
Concerto: One Night In Central Park
","
Andrea Bocelli
",-,-,-
"
Under The Mistletoe
","
Justin Bieber
",6,1,3
"
Glee: The Music, The Christmas Album: Volume 2
","
Soundtrack
",-,-,-
"
NOW 40
","
Various Artists
",3,3,2
"
The Twilight Saga: Breaking Dawn: Part 1
","
Soundtrack
",4,4,2
"
Mylo Xyloto
","
Coldplay
",8,1,4
"
Someone To Watch Over Me
","
Susan Boyle
",7,4,3
"
Camp
","
Childish Gambino
",-,-,-
"
Cities 97 Sampler: Live From Studio C: 23
","
Various Artists
",-,-,-
"
Clear As Day
","
Scotty McCreery
",14,1,7
"
Heavenly Christmas
","
Jackie Evancho
",16,14,3
"
Ceremonials
","
Florence + The Machine
 ",12,6,3
"
Own The Night
","
Lady Antebellum
",17,1,10
"
Savage Life 3
","
Webbie
",-,-,-
"
Ambition
","
Wale
",15,2,3
"
Formula: Vol. 1
","
Romeo Santos
",9,9,2
"
Four The Record
","
Miranda Lambert
",11,3,3
"
Wicked Game
","
Il Divo
",10,10,2
"
Stronger
","
Kelly Clarkson
",19,2,4
"
Sinatra: Best Of The Best
","
Frank Sinatra
",-,-,-
"
Blue Slide Park
","
Mac Miller
",1,1,2
"
Tha Carter IV
","
Lil Wayne
",22,1,12
"
Tailgates & Tanlines
","
Luke Bryan
",25,2,15
"
Duets II
 ","
Tony Bennett
",27,1,9
"
Open Invitation
","
Tyrese
",18,9,3
"
My Kinda Party
","
Jason Aldean
",20,2,55
"
Clancy's Tavern
","
Toby Keith
",24,5,4
"
Watch The Throne
","
Jay Z Kanye West
",30,1,15
"
The Gift
","
Susan Boyle
",36,1,16
"
Torches
","
Foster The People
",29,8,26
"
19
","
Adele
",41,10,109
"
Cole World: The Sideline Story
","
J. Cole
",32,1,8
"
My Christmas
","
Andrea Bocelli
",62,2,22
"
A Very She & Him Christmas
","
She & Him
",40,12,4
"
The Band Perry
","
The Band Perry
",26,4,58
"
WOW Hits 2012
","
Various Artists
",65,35,8
"
How Great Is Our God: The Essential Collection
","
Chris Tomlin
",-,-,-
"
Sorry For Party Rocking
","
LMFAO
",34,12,22
"
Christmas Symphony
","
Mannheim Steamroller With Members Of The Czech Philharmonic Orchestra
",69,42,5
"
Noel
","
Josh Groban
",75,1,31
"
Come To The Well
","
Casting Crowns
",31,2,5
"
Let It Snow
","
Various Artists
",-,-,-
"
NOW That's What I Call Christmas! 4
","
Various Artists
",64,28,13
"
Glory In The Highest: Christmas Songs Of Worship
","
Chris Tomlin
",42,19,25
"
4
","
Beyonce
",39,1,21
"
The Lost Children
","
Disturbed
",13,13,2
"
The Sound Of A Million Dreams
 ","
David Nail
",-,-,-
"
Speak Now
","
Taylor Swift
",51,1,56
"
Chief
","
Eric Church
",37,1,17
"
(Ahk-toong Bay-bi) Covered
","
Various Artists
",-,-,-
"
The Papercut Chronicles II
","
Gym Class Heroes
 ",-,-,-
"
 Part Lies Part Heart Part Truth Part Garbage: 1982-2011
","
R.E.M.
",-,-,-
"
Sigh No More
","
Mumford & Sons
",56,2,87
"
American Capitalist
","
Five Finger Death Punch
",45,3,6
"
NOW 39
","
Various Artists
",47,3,15
"
Joy To The World
","
Pink Martini
",-,35,7
"
O Holy Night (EP)
","
Jackie Evancho
",80,2,11
"
Red River Blue
","
Blake Shelton
",44,1,19
"
Positively Christmas
","
Various Artists
",53,46,3
"
God's Not Dead
","
newsboys
",-,-,-
"
Hands All Over
","
Maroon 5
",58,2,57
"
Evanescence
","
Evanescence
",46,1,6
"
Glee: The Music, The Christmas Album
","
Soundtrack
",77,3,10
"
Teenage Dream
","
Katy Perry
",73,1,65
"
Dream With Me
","
Jackie Evancho
",60,2,23
"
Halfway To Heaven
","
Brantley Gilbert
",59,4,14
"
When The Sun Goes Down
","
Selena Gomez & The Scene
",68,3,21
"
You Get What You Give
","
Zac Brown Band
",55,1,61
"
Born This Way
","
Lady Gaga
",70,1,26
"
Inni
","
Sigur Ros
",-,-,-
"
Here For A Good Time
","
George Strait
",71,3,11
"
WOW Christmas: 32 Christian Artists And Holiday Songs
","
Various Artists
",76,75,5
"
This Is Country Music
","
Brad Paisley
",52,2,26
"
Wildflower
","
Lauren Alaina
",49,5,6
"
It's Christmas Time
","
Elvis Presley
",82,78,14
"
The Goat Rodeo Sessions
","
Yo-Yo Ma/Stuart Duncan/Edgar Meyer/Chris Thile
",35,18,4
"
The Christmas Collection
","
Il Divo
",79,14,23
"
Bad As Me
","
Tom Waits
",48,6,4
"
A Holiday Carole
","
Carole King
",113,71,3
"
Hell On Heels
","
Pistol Annies
",74,5,13
"
Arise: The Live Worship Expierence
","
William McDowell
",63,63,2
"
The Taylor Swift Holiday Collection (EP)
","
Taylor Swift
",99,20,25
"
A Foot In The Door: The Best Of Pink Floyd
","
Pink Floyd
",50,50,2
"
Doo-Wops & Hooligans
","
Bruno Mars
",83,3,59
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",-,5,41
"
'Til The Morning
","
Keith Sweat
",38,38,2
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",131,26,27
"
Welcome To Strangeland
","
Tech N9ne Collabos
",21,21,2
"
#1 Girl
","
Mindless Behavior
",87,7,9
"
I'm With You
","
Red Hot Chili Peppers
",81,2,12
"
White Christmas
","
Martina McBride
",100,68,19
"
Lungs
","
Florence + The Machine
",84,14,77
"
Elvis Christmas
","
Elvis Presley
",109,69,21
"
 Pink Friday
","
Nicki Minaj
",90,1,52
"
Eleven
","
Martina McBride
",72,10,6
"
A Merry Little Christmas (EP)
","
Lady Antebellum
",127,12,15
"
Christmas Extraordinaire
","
Mannheim Steamroller
",117,5,12
"
Alvin And The Chipmunks: Chipwrecked
","
Soundtrack
",-,-,-
"
Scary Monsters And Nice Sprites (EP)
","
Skrillex
",91,69,24
"
Hell: The Sequel (EP)
","
Bad Meets Evil
",89,1,23
"
Number Ones
","
Michael Jackson
",159,13,136
"
Th1rt3en
","
Megadeth
",57,11,3
"
Footloose (2011)
","
Soundtrack
",67,14,8
"
Merry Christmas II You
","
Mariah Carey
",194,4,10
"
Christmas With The Chipmunks
","
The Chipmunks With David Seville
",158,64,13
"
Guitar Slinger
","
Vince Gill
",86,14,4
"
Quadrophenia
","
The Who
",-,2,57
"
A.N.T. Farm
","
Soundtrack
",85,29,6
"
Noel Gallagher's High Flying Birds
","
Noel Gallagher's High Flying Birds
",28,28,2
"
Need You Now
","
Lady Antebellum
",96,1,95
"
My World 2.0
","
Justin Bieber
",115,1,87
"
Christmas In Diverse City
","
tobyMac
",132,115,4
"
Get Along
","
Tegan And Sara
",-,-,-
"
 Shake It Up: Break It Down
","
Soundtrack
",101,22,19
"
Recovery
","
Eminem
",114,1,74
"
Merry Christmas
","
Mariah Carey
",142,3,25
"
Loud
 ","
Rihanna
",105,3,53
"
Wish You Were Here
","
Pink Floyd
",33,1,43
"
Kidz Bop 20
","
Kidz Bop Kids
",111,2,18
"
James Taylor At Christmas
","
James Taylor
",152,16,20
"
Christmas: 25th Anniversary Collection
","
Mannheim Steamroller
",200,29,21
"
The Greatest Holiday Classics
","
Kenny G
",145,39,13
"
A Charlie Brown Christmas (Soundtrack)
","
Vince Guaraldi Trio
",197,30,16
"
 Outlaws Like Me
","
Justin Moore
",116,5,22
"
Christmas Eve And Other Stories
","
Trans-Siberian Orchestra
",-,53,17
"
Oh For Joy (EP)
","
David Crowder Band
",190,82,4
"
Thank Me Later
","
Drake
",150,1,73
"
Holiday Collection
","
Kenny G
",143,85,16
"
Finally Famous
","
Big Sean
",129,3,21
"
The Dark Side Of The Moon
","
Pink Floyd
",95,1,788
"
A Christmas Celebration
","
 Celtic Woman
",176,35,25
"
Love Albums Parts One & Two
","
Angels & Airwaves
",43,43,3
"
The Foundation
","
Zac Brown Band
",103,9,157
"
Fearless
","
Taylor Swift
",137,1,158
"
Unbroken
","
Demi Lovato
",110,4,9
"
The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection
","
Lynyrd Skynyrd
",121,60,67
"
Neighborhoods
","
Blink-182
",107,2,8
"
Peace On Earth
","
Casting Crowns
",-,15,25
"
The Best Of Eric Clapton: 20th Century Masters The Millennium Collection
","
Eric Clapton
",126,66,43
"
NOW That's What I Call Country: Volume 4
","
Various Artists
",120,14,23
"
The Christmas Collection
","
Amy Grant
",198,41,24
"
Mi Amigo El Principe: La Historia Continua: Viva el Principe. Vol. II
","
Cristian Castro
",94,57,3
"
Fear Of God 2: Let Us Pray
","
Pusha T
",66,66,2
"
Victorious: Music From The Hit TV Show
","
Soundtrack
",139,5,16
"
Phineas And Ferb: Holiday Favorites
","
Soundtrack
",128,128,2
"
Nothing But The Beat
","
David Guetta
",133,5,12
"
Hurry Up, We're Dreaming.
","
M83.
",102,15,5
"
Blessings
","
Laura Story
",-,63,27
"
Megalithic Symphony
","
AWOLNATION
",173,112,14
"
The Awakening Of Le'Andria Johnson (EP)
","
Le'Andria Johnson
",134,24,11
"
These Are Special Times
","
Celine Dion
",-,2,26
"
Planet Pit
","
Pitbull
",146,7,22
"
An Afternoon In The Garden
","
Elvis Presley
",140,85,31
"
Hemingway's Whiskey
","
Kenny Chesney
",106,1,60
"
Barefoot Blue Jean Night
","
Jake Owen
",141,6,12
"
What If We Were Real
","
Mandisa
",123,66,12
"
F.A.M.E.
","
Chris Brown
",193,1,35
"
Ashes & Fire
","
Ryan Adams
",119,7,6
"
The Best Of Lionel Richie: 20th Century Masters The Millennium Collection
 ","
Lionel Richie
",135,127,21
"
Take A Back Road
","
Rodney Atkins
",108,8,7
"
Twenty
","
Boyz II Men
",104,20,4
"
The Whole Love
","
Wilco
",130,5,8
"
Beyond The Sun
","
Chris Isaak
",124,34,5
"
Neon
","
Chris Young
",122,4,19
"
Metals
","
Feist
",118,7,7
"
The Classic Christmas Album
 ","
Tony Bennett
",-,-,-
"
The Good, The Bad, The Sexy
","
Joe
",112,8,5
"
Seasons Greetings: A Jersey Boys Christmas
","
Various Artists
",-,-,-
"
lovestrong.
","
Christina Perri
",138,4,28
"
Wasting Light
","
Foo Fighters
",157,1,32
"
The Best Of Boyz II Men: 20th Century Masters The Millennium Collection
","
Boyz II Men
",149,70,29
"
Barton Hollow
","
The Civil Wars
",136,12,42
"
The Best Of Three Dog Night: 20th Century Masters...
","
Three Dog Night
",155,109,26
"
Elf
","
Soundtrack
",-,102,8
"
Life At Best
","
Eli Young Band
",148,6,14
"
Brothers
","
The Black Keys
",172,3,79
"
Tis The Season: Kids Christmas Sing-Along
","
Various Artists
",-,105,12
"
NOW That's What I Call A Country Christmas
","
Various Artists
",-,57,15
"
Decas
","
As I Lay Dying
",61,61,2
"
The Best Of Barry White: 20th Century Masters The Millennium Collection
","
Barry White
",156,100,34
"
Rolling Papers
","
Wiz Khalifa
",161,2,34
"
We Cry Out: The Worship Project
","
Jeremy Camp
",-,15,15
"
The Essential NOW That's What I Call Christmas
","
Various Artists
",-,30,23
"
Headfirst (EP)
","
Jillian Edwards
",-,-,-
"
The Fame
","
Lady Gaga
",-,2,159
