Song, Artist, Last Week, Peak Position, Weeks on Chart
"Battle Studies","John Mayer",-,1,1
"
My Christmas
","
Andrea Bocelli
",2,2,3
"
The Fall
","
Norah Jones
",-,-,-
"
Until The Whole World Hears
","
Casting Crowns
",-,-,-
"
Before I Self-Destruct
","
50 Cent
",-,-,-
"
My World (EP)
","
Justin Bieber
",-,-,-
"
Michael Jackson's This Is It (Soundtrack)
","
Michael Jackson
",4,1,4
"
The Twilight Saga: New Moon
","
Soundtrack
",10,1,6
"
Play On
","
Carrie Underwood
",3,1,3
"
Fearless
","
Taylor Swift
",5,1,54
"
Kris Allen
","
Kris Allen
",-,-,-
"
Them Crooked Vultures
","
Them Crooked Vultures
",-,-,-
"
Echo
","
Leona Lewis
",-,-,-
"
NOW 32
","
Various Artists
",6,5,3
"
Peace On Earth
","
Casting Crowns
",-,15,14
"
Good Evening New York City
","
Paul McCartney
",-,-,-
"
Crazy Love
","
Michael Buble
",7,1,7
"
Glee: Season One: The Music Volume 1
","
Soundtrack
",9,4,3
"
The Circle
","
Bon Jovi
",1,1,2
"
The Taylor Swift Holiday Collection (EP)
","
Taylor Swift
",-,20,5
"
Waking Up
","
OneRepublic
",-,-,-
"
Number Ones
","
Janet
",-,-,-
"
 Lady Antebellum
","
Lady Antebellum
",11,4,84
"
Noel
","
Josh Groban
",-,1,15
"
If On A Winter's Night...
","
Sting
",12,6,4
"
Night Castle
","
Trans-Siberian Orchestra
",26,5,4
"
Southern Voice
","
Tim McGraw
",14,2,5
"
The E.N.D.
","
The Black Eyed Peas
",20,1,24
"
The Time Of Our Lives (EP)
","
Miley Cyrus
",17,2,13
"
The Foundation
","
Zac Brown Band
",15,11,53
"
Christmas: 25th Anniversary Collection
","
 Mannheim Steamroller
",45,31,6
"
Cities 97 Sampler 21: Live From Studio C
","
Various Artists
",-,-,-
"
The Blueprint 3
","
JAY-Z
",16,1,11
"
The Fame
","
Lady Gaga
",24,4,56
"
Ocean Eyes
","
Owl City
",18,8,19
"
Gold And Green
","
Sugarland
",34,34,6
"
Number Ones
","
Michael Jackson
",-,13,32
"
Learn To Live
","
Darius Rucker
",27,5,62
"
Soulbook
","
Rod Stewart
",23,4,4
"
Memento Mori
","
Flyleaf
",8,8,2
"
Wide Open
","
Jason Aldean
",31,4,33
"
Full Circle
","
Creed
",25,2,4
"
Greatest Hits
","
Foo Fighters
",28,11,3
"
Christmas From The Heart
","
David Archuleta
",75,30,6
"
Making Merry
","
Various Artists
",-,-,-
"
Hannah Montana: The Movie
","
Soundtrack
",33,1,35
"
 Taylor Swift
","
Taylor Swift
",36,5,161
"
Revolution
","
Miranda Lambert
",30,8,8
"
Only By The Night
","
Kings Of Leon
",38,4,61
"
I Am...Sasha Fierce
 ","
Beyonce
",37,1,53
"
WOW Hits 2010
","
Various Artists
",40,33,7
"
Raditude
","
Weezer
",32,7,3
"
Let It Snow! (EP)
","
Michael Buble
",-,53,4
"
Dear Agony
","
Breaking Benjamin
",41,4,8
"
Heaven & Earth
","
Phil Wickham
",-,-,-
"
Glory In The Highest: Christmas Songs Of Worship
","
Chris Tomlin
",55,55,7
"
Twilight
","
Soundtrack
",81,1,55
"
Hello Hurricane
","
Switchfoot
",13,13,2
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",-,26,13
"
A Cherry Cherry Christmas
","
Neil Diamond
",101,60,6
"
American Ride
","
 Toby Keith
",47,3,7
"
I Look To You
","
Whitney Houston
",65,1,12
"
Christmas Cheers
","
Straight No Chaser
",99,63,3
"
Ready
","
Trey Songz
",49,3,12
"
NOW That's What I Call A Country Christmas
","
Various Artists
",79,65,4
"
Love Is The Answer
","
Barbra Streisand
",52,1,8
"
The Seventh Seal
","
Rakim
",-,-,-
"
Leave This Town
","
Daughtry
",46,1,19
"
Dark Horse
","
Nickelback
",60,2,53
"
The Essential Michael Jackson
","
Michael Jackson
",-,70,7
"
Love On The Inside
","
Sugarland
",43,1,70
"
Take One
","
Adam Lambert
",-,-,-
"
Christmas With The Chipmunks
","
The Chipmunks With David Seville
",-,-,-
"
 Joy To The World
","
Faith Hill
",-,13,15
"
The Bridge
","
Melanie Fiona
",57,57,3
"
Kiss And Tell
","
Selena Gomez & The Scene
",48,9,8
"
Believers Never Die: Greatest Hits
","
Fall Out Boy
",-,-,-
"
So Far Gone (EP)
","
Drake
",56,6,10
"
The Singles Collection
","
Britney Spears
",22,22,2
"
Black Gives Way To Blue
","
Alice In Chains
",64,5,8
"
 Brand New Eyes
","
Paramore
",59,2,8
"
A Christmas Celebration
","
Celtic Woman
",-,35,11
"
Funhouse
","
P!nk
",50,2,56
"
Christmas In The Heart
","
Bob Dylan
",95,23,6
"
Thriller
","
Michael Jackson
",-,1,123
"
Christmas Eve And Other Stories
","
Trans-Siberian Orchestra
",-,86,4
"
Your Songs
","
Harry Connick, Jr.
",87,8,9
"
Still
","
BeBe & CeCe Winans
 ",51,12,7
"
That Lonesome Song
","
Jamey Johnson
",42,28,68
"
Keep On Loving You
","
Reba
",62,1,14
"
Backspacer
","
Pearl Jam
 ",69,1,9
"
The Resistance
","
Muse
",71,3,10
"
Doin' My Thing
","
Luke Bryan
",67,6,7
"
Greatest Hits
","
Motley Crue
",-,-,-
"
Memoirs Of An Imperfect Angel
","
Mariah Carey
",58,3,8
"
World Painted Blood
","
Slayer
",44,12,3
"
Pretty Ricky
","
Pretty Ricky
",-,-,-
"
Twang
","
George Strait
",70,1,15
"
Beauty Will Rise
","
Steven Curtis Chapman
",72,27,3
"
Attention Deficit
","
Wale
",21,21,2
"
Alter The Ending
","
Dashboard Confessional
",19,19,2
"
Desperate Measures
","
Hollywood Undead
",29,29,2
"
NOW That's What I Call Christmas! 3
","
Various Artists
",-,10,13
"
Awake
","
Skillet
",85,2,13
"
En Concert
","
Jack Johnson
",76,11,4
"
BLACKsummers'night
","
Maxwell
",86,1,20
"
The Weekend: Friday (EP)
","
Forever The Sickest Kids
",-,-,-
"
Songs Of Love And Heartache
","
Alan Jackson
",73,34,3
"
Breakthrough
","
Colbie Caillat
 ",78,1,13
"
Defying Gravity
","
Keith Urban
",61,1,34
"
#1s ... And Then Some
","
Brooks & Dunn
",63,5,11
"
Life Starts Now
","
Three Days Grace
",77,3,9
"
Relapse
","
Eminem
",88,1,27
"
And Winter Came...
","
Enya
",-,8,17
"
NOW 31
","
Various Artists
",82,1,21
"
The Sound Of Madness
","
Shinedown
",92,8,74
"
Greatest Hits II
","
Kenny Chesney
",80,3,27
"
Abbey Road
","
The Beatles
",-,1,130
"
The Christmas Collection
","
Il Divo
",-,14,11
"
Chickenfoot
","
Chickenfoot
",83,4,24
"
 The Twilight Saga: New Moon: The Score
","
Soundtrack
",-,-,-
"
Elvis Christmas
","
Elvis Presley
",-,69,8
"
Cage The Elephant
","
Cage The Elephant
",109,67,32
"
Unstoppable
","
Rascal Flatts
",94,1,33
"
It's Christmas Time
","
Elvis Presley
",-,-,-
"
Save Me, San Francisco
","
Train
",89,17,4
"
It's Time
","
Michael Buble
",-,7,105
"
The Essential NOW That's What I Call Christmas
","
Various Artists
",-,30,11
"
The List
","
Rosanne Cash
",90,22,7
"
American Saturday Night
","
Brad Paisley
",68,2,21
"
Felt 3: A Tribute To Rosie Perez
","
Slug & Murs With Aesop Rock
",-,-,-
"
Ultimate Christmas Collection
","
Jackson 5
",130,130,4
"
The Man I Want To Be
","
Chris Young
",93,19,12
"
Call Me Irresponsible
","
Michael Buble
",-,1,82
"
The Christmas Collection
","
Amy Grant
",-,41,12
"
NOW That's What I Call Country Vol. 2
","
Various Artists
",96,10,13
"
Strict Joy
","
The Swell Season
",54,15,4
