Song, Artist, Last Week, Peak Position, Weeks on Chart
"M A N I A","Fall Out Boy",-,1,1
"
The Greatest Showman
","
Soundtrack
",2,1,7
"
÷ (Divide)
","
Ed Sheeran
",3,1,47
"
Camila
","
Camila Cabello
",1,1,2
"
Stoney
","
Post Malone
",4,4,59
"
DAMN.
","
Kendrick Lamar
",7,1,41
"
The Beautiful & Damned
","
G-Eazy
",6,3,6
"
Luv Is Rage 2
","
Lil Uzi Vert
",9,1,22
"
reputation
","
Taylor Swift
",5,1,11
"
24K Magic
","
Bruno Mars
",11,2,62
"
The Thrill Of It All
","
Sam Smith
",17,1,12
"
Life Of A Dark Rose
","
Lil Skies
",10,10,3
"
Evolve
","
Imagine Dragons
",13,2,31
"
Revival
","
Eminem
",8,1,6
"
American Teen
","
Khalid
",15,4,47
"
Kidz Bop 37
","
Kidz Bop Kids
",-,-,-
"
Huncho Jack, Jack Huncho
","
Huncho Jack
",12,3,5
"
Project Baby Two
","
Kodak Black
",19,2,23
"
Heartbreak On A Full Moon
","
Chris Brown
",20,3,13
"
Hallelujah Nights
","
LANCO
",-,-,-
"
More Life
","
Drake
",26,1,45
"
Ctrl
","
SZA
",21,3,33
"
Perception
","
NF
",27,1,16
"
Hamilton: An American Musical
","
Original Broadway Cast Recording
",24,3,122
"
Quality Control: Control The Streets, Vol. 1
","
Various Artists
",23,5,7
"
Without Warning
","
 21 Savage, Offset & Metro Boomin
",25,4,13
"
Tell Me You Love Me
","
Demi Lovato
",18,3,17
"
Kane Brown
","
Kane Brown
",31,5,60
"
Grimmest Hits
","
Black Label Society
",-,-,-
"
17
","
XXXTENTACION
",29,2,22
"
hopeless fountain kingdom
","
Halsey
",28,1,34
"
2018 Grammy Nominees
","
Various Artists
",22,22,2
"
Dua Lipa
","
Dua Lipa
",32,32,30
"
Vertigo
 ","
EDEN
",-,-,-
"
Red Pill Blues
","
Maroon 5
",37,2,12
"
Life Changes
","
Thomas Rhett
",34,1,20
"
Views
","
Drake
",41,1,91
"
Culture
","
Migos
",36,1,52
"
Hysteria
","
Def Leppard
",-,1,135
"
Lil Pump
","
Lil Pump
",33,3,16
"
Starboy
 ","
The Weeknd
",35,1,61
"
Take Care
","
Drake
",59,1,256
"
Beautiful Trauma
","
P!nk
",39,1,15
"
The Bigger Artist
","
A Boogie Wit da Hoodie
",38,4,17
"
Traveller
","
Chris Stapleton
",43,1,124
"
Moana
","
Soundtrack
",40,2,62
"
Ruins
","
 First Aid Kit
",-,-,-
"
Defy
","
Of Mice & Men
",-,-,-
"
War & Leisure
 ","
Miguel
",44,9,8
"
Dark Horse
","
Devin Dawson
",-,-,-
"
Still Striving
","
A$AP Ferg
",45,12,23
"
x
","
Ed Sheeran
",47,1,188
"
All Your Fault, Pt. 2 (EP)
","
Bebe Rexha
",50,45,19
"
What Makes You Country
","
Luke Bryan
",57,1,7
"
From A Room: Volume 2
","
Chris Stapleton
",46,2,8
"
Mr. Davis
","
Gucci Mane
",54,2,15
"
Curtain Call: The Hits
","
Eminem
",51,1,377
"
There's Really A Wolf
","
Russ
",55,7,38
"
Odisea
","
Ozuna
",56,22,22
"
Birds In The Trap Sing McKnight
","
Travis Scott
",53,1,73
"
P2
","
Dave East
",78,61,2
"
Issa Album
","
21 Savage
",52,2,29
"
Night Visions
","
Imagine Dragons
",76,2,278
"
A Love Letter To You
","
Trippie Redd
",64,64,23
"
This One's For You
","
Luke Combs
",70,5,34
"
In The Lonely Hour
","
Sam Smith
",72,2,189
