Song, Artist, Last Week, Peak Position, Weeks on Chart
"FutureSex/LoveSounds","Justin Timberlake",-,1,2
"
A Thousand Different Ways
","
Clay Aiken
",-,-,-
"
The Dutchess
","
Fergie
",-,-,-
"
LIVE: Live Those Songs Again
","
Kenny Chesney
 ",-,-,-
"
Continuum
","
John Mayer
",2,2,2
"
B'Day
","
Beyonce
",3,1,3
"
From This Moment On
","
Diana Krall
",-,-,-
"
Lupe Fiasco's Food & Liquor
","
Lupe Fiasco
",-,-,-
"
Hoodstar
","
Chingy
",-,-,-
"
Extreme Behavior
","
Hinder
",7,7,34
"
Face The Promise
","
Bob Seger
",4,4,2
"
Modern Times
 ","
Bob Dylan
",5,1,4
"
All The Right Reasons
","
Nickelback
",10,1,51
"
How To Save A Life
","
The Fray
",19,14,38
"
Right Where You Want Me
","
Jesse McCartney
",-,-,-
"
Danity Kane
","
Danity Kane
",8,1,5
"
The Cheetah Girls 2
","
Soundtrack
",11,5,6
"
The Captain & The Kid
","
Elton John
",-,-,-
"
Coming Home
","
New Found Glory
",-,-,-
"
Back To Basics
","
Christina Aguilera
",13,1,6
"
Coming Home
","
Lionel Richie
",6,6,2
"
Me And My Gang
","
Rascal Flatts
",18,1,25
"
NOW 22
","
Various Artists
",15,1,11
"
Grey's Anatomy: Volume 2
","
Soundtrack
",14,14,2
"
Thug Stories
","
Bone Thugs-N-Harmony
",-,-,-
"
Revelations
","
Audioslave
",12,2,3
"
 Some Hearts
","
Carrie Underwood
",27,2,45
"
Port Of Miami
","
Rick Ross
",20,1,7
"
Eyes Open
","
Snow Patrol
",31,29,20
"
Your Man
","
Josh Turner
",26,2,35
"
Ananda
","
Paulina Rubio
",-,-,-
"
PCD
","
The Pussycat Dolls
",23,5,54
"
High School Musical
","
 Soundtrack
",25,1,37
"
St. Elsewhere
","
Gnarls Barkley
",24,4,20
"
Turn Around
","
Jonny Lang
",-,-,-
"
A Fever You Can't Sweat Out
","
Panic! At The Disco
",29,13,42
"
Bring It On Home... The Soul Classics
","
Aaron Neville
",-,-,-
"
 Best Thang Smokin'
","
Young Dro
",28,3,4
