Song, Artist, Last Week, Peak Position, Weeks on Chart
"Night Train","Jason Aldean",-,1,1
"
Babel
","
Mumford & Sons
",1,1,4
"
Two Eleven
","
Brandy
",-,-,-
"
Christmas With Scotty McCreery
","
Scotty McCreery
",-,-,-
"
Living For A Song: A Tribute to Hank Cochran
","
Jamey Johnson
",-,-,-
"
The Truth About Love
","
P!nk
",8,1,5
"
Kaleidoscope Dream
","
Miguel
",11,3,3
"
Tornado
","
Little Big Town
",14,2,6
"
21
","
Adele
",15,1,87
"
Metalocalypse: Dethalbum III (Soundtrack)
","
Dethklok
",-,-,-
"
The Heist
","
Macklemore & Ryan Lewis
",2,2,2
"
Sunken Condos
","
Donald Fagen
",-,-,-
"
Pitch Perfect
","
Soundtrack
",12,12,4
"
Monster
","
KISS
",3,3,2
"
The Lumineers
","
The Lumineers
",28,11,29
"
Vital
","
Anberlin
",-,-,-
"
The 2nd Law
","
Muse
",10,2,3
"
Overexposed
","
Maroon 5
",18,2,17
"
Release Me
","
Barbra Streisand
",7,7,2
"
Sigh No More
","
 Mumford & Sons
",29,2,135
"
Up All Night
","
One Direction
",21,1,32
"
Lace Up
","
MGK
",4,4,2
"
Some Nights
","
fun.
",19,3,35
"
Believe
","
Justin Bieber
",30,1,18
"
Blown Away
","
Carrie Underwood
",32,1,25
"
Halcyon
","
Ellie Goulding
",9,9,2
"
Tailgates & Tanlines
","
 Luke Bryan
",33,2,63
"
Glad Rag Doll
","
Diana Krall
",17,6,3
"
Kanye West Presents GOOD Music Cruel Summer
","
Various Artists
",20,2,5
"
Songs From The Silver Screen
","
Jackie Evancho
",16,7,3
"
Hunter Hayes
","
Hunter Hayes
",43,18,36
"
Uno!
","
Green Day
",26,2,4
"
NOW 43
","
Various Artists
",24,1,11
"
Former Lives
","
Benjamin Gibbard
",-,-,-
"
Based On A T.R.U. Story
","
2 Chainz
",31,1,10
"
Away From The World
","
Dave Matthews Band
",27,1,6
"
Born To Sing : No Plan B
","
Van Morrison
",23,10,3
"
Chief
","
Eric Church
",41,1,65
"
Battle Born
","
The Killers
",38,3,5
"
The Afterman: Ascension
","
Coheed And Cambria
",5,5,2
"
WOW Hits 2013
","
Various Artists
",40,35,4
"
Night Visions
","
Imagine Dragons
",42,2,7
"
Transit Of Venus
","
Three Days Grace
",25,5,3
"
Uncaged
","
Zac Brown Band
",52,1,15
"
Allelujah! Don't Bend! Ascend!
","
Godspeed You! Black Emperor
",-,-,-
"
Push And Shove
","
No Doubt
",35,3,4
"
The Origin Of Love
","
MIKA
",-,-,-
"
Rock Of Ages
","
Soundtrack
",68,5,13
"
 Kiss
","
Carly Rae Jepsen
",45,6,5
"
My Head Is An Animal
","
Of Monsters And Men
",56,6,29
"
Traveler
","
Trey Anastasio
",-,-,-
"
Cheers, It's Christmas
","
Blake Shelton
",99,52,3
"
Americana
","
Neil Young With Crazy Horse
",195,4,15
"
Eye On It
","
tobyMac
",50,1,8
"
Tempest
","
Bob Dylan
",49,3,6
"
Teenage Dream
","
Katy Perry
",67,1,113
"
My Kinda Party
","
Jason Aldean
",83,2,103
"
Don't Panic
","
All Time Low
",6,6,2
"
The Carpenter
","
The Avett Brothers
",53,4,6
"
Chapter V
","
Trey Songz
",58,1,9
"
Album Title Goes Here
","
deadmau5
",47,6,4
"
Food & Liquor II: The Great American Rap Album Pt. 1
","
Lupe Fiasco
",37,5,4
"
Sticks & Stones
","
Cher Lloyd
",39,9,3
"
Journey's Greatest Hits
 ","
Journey
",162,10,237
"
#3
","
The Script
",13,13,2
"
El Camino
","
The Black Keys
",61,2,46
"
+
","
Ed Sheeran
",59,5,19
"
Coexist
","
The xx
",60,5,6
"
God Forgives, I Don't
","
Rick Ross
",65,1,12
"
Halfway To Heaven
","
Brantley Gilbert
",75,4,62
"
Information Retrieved
","
Pinback
",-,-,-
"
Til The Casket Drops
","
ZZ Ward
",-,-,-
"
Welcome To The Fishbowl
","
Kenny Chesney
",87,2,18
"
North
","
matchbox twenty
",55,1,7
"
Wild Ones
","
Flo Rida
",72,14,16
"
Speak Now
","
Taylor Swift
",95,1,104
"
Fortune
","
Chris Brown
",66,1,16
"
Fearless
","
Taylor Swift
",108,1,200
"
Freestyle (EP)
","
Bassnectar
",-,-,-
"
Born To Die
","
Lana Del Rey
",85,2,38
"
Channel Orange
","
Frank Ocean
",73,2,15
"
Living Things
","
Linkin Park
",74,1,17
"
Austin & Ally (Soundtrack)
","
Ross Lynch
",79,27,6
"
Best Days
","
Tamela Mann
",98,14,10
"
Come To The Well
","
Casting Crowns
",199,2,45
"
Cold Fact
","
Rodriguez
",91,86,3
"
 Hard 2 Love
","
Lee Brice
",107,5,26
"
Christmas With Earnest Pugh
","
Earnest Pugh
",-,-,-
"
California 37
","
Train
",84,4,27
"
Lonerism
","
Tame Impala
",34,34,2
"
Dusk Till Dawn
","
Bobby V
",-,-,-
"
Kidz Bop 22
","
Kidz Bop Kids
",89,3,14
"
All Over The Road
","
Easton Corbin
",92,11,5
"
19
","
Adele
",71,4,157
"
Up All Night
","
Kip Moore
",120,6,26
"
Ceremonials
","
Florence + The Machine
",93,6,51
"
Gravity
","
Lecrae
",94,3,7
"
A Very Merry Perri Christmas (EP)
","
Christina Perri
",-,-,-
"
Live In Brooklyn
","
JAY-Z
",36,36,2
"
La Futura
","
ZZ Top
",96,6,6
"
Searching For Sugar Man (Soundtrack)
","
Rodriguez
",76,76,4
