Song, Artist, Last Week, Peak Position, Weeks on Chart
"The Outsiders","Eric Church",-,1,1
"
Frozen
","
Soundtrack
",2,1,12
"
NOW 49
","
Various Artists
",1,1,2
"
Beyonce
","
Beyonce
",7,1,10
"
Unorthodox Jukebox
","
Bruno Mars
",3,1,62
"
Night Visions
","
Imagine Dragons
",12,2,76
"
Pure Heroine
","
Lorde
",8,3,20
"
Love, Marriage & Divorce
","
Toni Braxton & Babyface
",4,4,2
"
PRISM
","
Katy Perry
",10,1,17
"
Bangerz
","
Miley Cyrus
",18,1,19
"
2014 Grammy Nominees
","
Various Artists
",9,2,4
"
The Marshall Mathers LP 2
","
Eminem
",13,1,15
"
Love Death Immortality
","
The Glitch Mob
",-,-,-
"
Here's To The Good Times
","
Florida Georgia Line
",19,4,63
"
Bad Blood
","
Bastille
",27,11,24
"
Nothing Was The Same
","
Drake
",24,1,21
"
Love In The Future
","
John Legend
",29,4,24
"
Kidz Bop 25
","
Kidz Bop Kids
",15,3,5
"
Crash My Party
","
Luke Bryan
",20,1,27
"
1
","
The Beatles
",37,1,161
"
Midnight Memories
","
One Direction
",17,1,12
"
The 20/20 Experience (2 Of 2)
","
Justin Timberlake
",35,1,20
"
Black Panties
","
R. Kelly
",25,4,10
"
Thrive
","
Casting Crowns
",14,6,3
"
NOW 48
","
Various Artists
",22,3,14
"
+++
","
Crosses
",-,-,-
"
All The Little Lights
","
Passenger
",30,26,29
"
Doo-Wops & Hooligans
","
Bruno Mars
",11,3,173
"
Journey's Greatest Hits
","
Journey
",138,10,292
"
After The Disco
","
Broken Bells
",5,5,2
"
The Heist
","
Macklemore & Ryan Lewis
",21,2,71
"
Legend: The Best Of...
","
Bob Marley And The Wailers
",83,18,300
"
That Girl
","
Jennifer Nettles
",23,5,5
"
WOW Gospel 2014
","
Various Artists
",26,26,2
"
 Sunshine & Whiskey
","
Frankie Ballard
",-,-,-
"
AM
","
Arctic Monkeys
",38,6,23
"
Acoustic At The Ryman
","
Band Of Horses
",-,-,-
"
Salute
","
Little Mix
",6,6,2
"
Born To Die
","
Lana Del Rey
",56,2,107
"
Blame It All On My Roots: Five Decades Of Influences
","
Garth Brooks
",45,1,12
"
Sail Out (EP)
","
Jhene Aiko
",40,8,13
"
Random Access Memories
","
Daft Punk
",28,1,39
"
good kid, m.A.A.d city
","
Kendrick Lamar
",39,2,69
"
Same Trailer Different Park
","
Kacey Musgraves
",36,2,41
"
The Lego Movie
","
Soundtrack
",48,45,2
"
Based On A True Story ...
","
Blake Shelton
",52,3,47
"
High Hopes
","
Bruce Springsteen
",41,1,5
"
Native
","
OneRepublic
",42,4,47
"
Lent At Ephesus
","
Benedictines Of Mary, Queen Of Apostles
",-,-,-
"
Save Rock And Roll
","
Fall Out Boy
",67,1,44
"
Night Train
","
Jason Aldean
",53,1,70
"
WOW Hits 2014
","
Various Artists
",49,25,21
"
Restoring Force
","
Of Mice & Men
",33,4,3
"
The Truth About Love
","
P!nk
",44,1,74
"
Love And War
","
Tamar Braxton
",62,2,24
"
Blurred Lines
","
Robin Thicke
",70,1,29
"
 Is There Anybody Out There?
","
A Great Big World
",43,3,4
"
My Own Lane
","
Kid Ink
",55,3,6
"
NOW That's What I Call Country Ballads 2
","
Various Artists
",65,56,4
"
Between The Bars (EP)
","
The Civil Wars
",-,-,-
"
21
","
Adele
",68,1,156
"
Love
","
The Beatles
",191,4,84
"
Fuse
 ","
Keith Urban
",73,1,23
"
ARTPOP
","
Lady Gaga
",59,1,14
"
Sweetheart 2014
","
Various Artists
",-,-,-
"
Wicked
","
Original Broadway Cast Recording
",180,66,100
"
The Wrong Side Of Heaven...Volume 2
","
Five Finger Death Punch
",89,2,13
"
Ready To Fly
","
Jamie Grace
",64,32,3
"
Chief
","
 Eric Church
",120,1,122
"
To Be Loved
","
Michael Buble
",75,1,43
"
4 Album Collection
","
Eric Church
",-,-,-
"
Rebellious Soul
","
K. Michelle
",66,2,17
"
Hunter Hayes
","
Hunter Hayes
",84,7,105
"
Yours Truly
","
Ariana Grande
",86,1,24
"
Benji
","
Sun Kil Moon
",-,-,-
"
Because The Internet
","
Childish Gambino
",51,7,10
"
Bakersfield
","
Vince Gill & Paul Franklin
",47,25,7
"
The Legend Of Johnny Cash
","
Johnny Cash
",115,5,153
"
Hail To The King
","
Avenged Sevenfold
",87,1,25
"
I Am
","
Yo Gotti
",71,7,13
"
True
","
Avicii
",61,5,22
"
Abbey Road
","
The Beatles
",119,1,170
"
[Hybrid Theory]
","
Linkin Park
",91,2,124
"
Halcyon
","
Ellie Goulding
",77,9,60
"
It Goes Like This
","
Thomas Rhett
",102,6,16
"
All The Right Reasons
","
Nickelback
",93,1,180
"
Lindsey Stirling
","
Lindsey Stirling
",72,23,64
"
Golden
","
Lady Antebellum
",95,1,41
"
Red
","
Taylor Swift
",78,1,69
"
+
","
Ed Sheeran
",88,5,84
"
I Love You.
","
The Neighbourhood
",80,25,43
"
The Best Of Nickelback: Volume 1
","
Nickelback
",111,21,13
"
The River & The Thread
","
Rosanne Cash
",63,11,5
"
The Blessed Unrest
","
Sara Bareilles
",60,2,28
"
The 20/20 Experience
","
Justin Timberlake
",76,1,48
"
Off The Beaten Path
","
Justin Moore
",114,2,22
"
You're Gonna Miss It All
","
Modern Baseball
",-,-,-
"
Sgt. Pepper's Lonely Hearts Club Band
","
The Beatles
",132,1,188
"
Baptized
","
Daughtry
",94,6,13
"
Ledges
","
Noah Gundersen
",-,-,-
"
Disney Channel: Play It Loud
","
Various Artists
",-,-,-
"
The Eminem Show
","
Eminem
",108,1,152
"
Rubber Soul
","
The Beatles
",134,1,67
"
Babel
","
Mumford & Sons
",100,1,73
"
Glory
","
Kutless
",-,-,-
"
Unconditional Love
","
Ruben Studdard
",46,46,2
"
See You Tonight
","
Scotty McCreery
",133,6,18
"
Fading West (Soundtrack)
 ","
Switchfoot
",79,6,5
"
Hydra
","
Within Temptation
",16,16,2
"
Underground Luxury
","
B.o.B
",82,22,9
"
 Eric Paslay
","
Eric Paslay
",31,31,2
"
Pitch Perfect
","
Soundtrack
",104,3,69
"
Britney Jean
","
Britney Spears
",110,4,11
"
Magna Carta... Holy Grail
","
JAY-Z
",127,1,32
"
Women Of Jazz
","
Various Artists
",99,99,2
"
Mind Over Matter
","
Young The Giant
",90,7,4
"
Best Days
","
Tamela Mann
",103,14,75
"
Eye On It
","
tobyMac
",157,1,38
"
The Beatles [White Album]
","
The Beatles
",159,1,179
"
The College Dropout
","
Kanye West
",-,2,76
"
Redneck Crazy
","
Tyler Farr
",169,5,13
"
Uncaged
","
Zac Brown Band
",125,1,83
"
Rise
","
Skillet
",118,4,27
"
Opus Collection
","
Dusty Springfield
",96,96,2
"
Sinatra: Best Of The Best
","
 Frank Sinatra
",97,23,22
"
Girls: Volume 2: All Adventurous Women Do...
","
Soundtrack
",-,-,-
"
True Believers
","
Darius Rucker
",121,2,39
"
Days + Nights
","
Daley
",-,-,-
"
Teenage Dream
","
Katy Perry
",107,1,171
"
Dizzy HEIGHTS
","
Neil Finn
 ",-,-,-
"
Loved Me Back To Life
","
Celine Dion
",106,2,15
"
The Wrong Side Of Heaven...Volume 1
","
Five Finger Death Punch
",171,2,28
"
Grace (EP)
","
Tasha Cobbs
",109,61,38
"
The 1975
","
The 1975
",113,28,14
"
Satanist
","
Behemoth
",34,34,2
"
Inside Llewyn Davis
","
Soundtrack
",92,14,12
"
The Beatles 1967-1970
","
The Beatles
",-,1,181
"
Common Courtesy
","
A Day To Remember
",128,37,11
"
Juke Box Heroes
","
Foreigner
 ",-,109,23
"
Mechanical Bull
","
Kings Of Leon
",123,2,21
"
Three Kings
","
TGT
",179,3,19
"
Days Of Gold
","
Jake Owen
",197,15,10
"
Tailgates & Tanlines
","
Luke Bryan
",160,2,132
"
Croz
","
David Crosby
",74,36,3
"
On Air: Live At The BBC Volume 2
","
The Beatles
",-,7,11
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",172,18,129
"
Demi
","
Demi Lovato
",166,3,34
"
You Get What You Give
","
Zac Brown Band
",190,1,147
"
Stay Trippy
","
Juicy J
",165,4,21
"
A Hard Day's Night (Soundtrack)
","
The Beatles
",189,1,56
"
Ultimate Hits: Rock And Roll Never Forgets
","
Bob Seger & The Silver Bullet Band
",-,19,67
"
My Head Is An Animal
","
Of Monsters And Men
",129,6,98
"
Modern Vampires Of The City
","
Vampire Weekend
",122,1,37
"
The Beatles 1962-1966
","
The Beatles
",-,3,175
"
Restart
","
newsboys
",124,38,11
"
Revolver
","
The Beatles
",-,1,83
"
Greatest Hits
","
Guns N' Roses
",-,3,274
"
Small Town Heroes
","
Hurray For The Riff Raff
",-,-,-
"
Too Weird To Live, Too Rare To Die!
","
Panic! At The Disco
",148,2,19
"
Up All Night
","
One Direction
",150,1,98
"
Sigh No More
","
Mumford & Sons
",149,2,202
"
The Lumineers
","
The Lumineers
",139,2,98
"
Sun Structures
","
Temples
",-,-,-
"
Broods (EP)
","
Broods
",-,-,-
"
PTX: Vol. II
","
Pentatonix
",105,10,11
"
Metallica
","
Metallica
",137,1,293
"
Zion
","
 Hillsong UNITED
",156,5,17
"
Hotel Valentine
","
Cibo Matto
",-,-,-
"
Greatest Hits
","
Motley Crue
",145,94,52
"
Meet The Beatles!
","
The Beatles
",192,1,74
"
From Here To Now To You
","
Jack Johnson
",185,1,21
"
Give The People What They Want
","
Sharon Jones And The Dap-Kings
",131,22,5
"
Experience Hendrix: The Best Of Jimi Hendrix
","
Jimi Hendrix
",-,133,47
"
Take Me Home
","
One Direction
",173,1,66
"
Rocket Man: Number Ones
","
Elton John
",-,9,69
"
Greatest Hits
","
Queen
",-,11,250
"
NOW 47
 ","
Various Artists
",174,2,28
"
CrazySexyCool
","
TLC
",-,3,115
"
Early Morning Shakes
","
Whiskey Myers
",54,54,2
"
19
 ","
Adele
",130,4,188
"
Greatest Hits
","
James Taylor
",-,15,57
"
A.M.
","
Chris Young
",-,3,13
"
Frame By Frame
","
Cassadee Pope
",-,9,16
"
My Kinda Party
","
Jason Aldean
",-,2,156
"
Blood
","
In This Moment
",161,15,30
"
Hey Jude
","
The Beatles
",-,2,36
"
Halfway To Heaven
 ","
Brantley Gilbert
",-,4,111
"
Reflektor
","
Arcade Fire
",144,1,16
"
Hard 2 Love
","
Lee Brice
",-,5,78
"
Rumours
","
Fleetwood Mac
",-,1,173
"
Write You A Song
","
Jon Pardi
",136,14,5
"
Austin & Ally: Turn It Up
","
Soundtrack
",193,89,8
"
The Marshall Mathers LP
","
Eminem
",142,1,150
"
Chronicle The 20 Greatest Hits
","
Creedence Clearwater Revival Feat. John Fogerty
",164,22,175
"
Super Hits
","
 Willie Nelson
",-,98,78
"
Lightning Bolt
","
Pearl Jam
",-,1,16
"
The Hunger Games: Catching Fire
","
Soundtrack
",155,5,12
"
Licensed To Ill
","
Beastie Boys
",146,1,125
"
Sempiternal
","
Bring Me The Horizon
",194,11,31
"
Paradise (EP)
","
Lana Del Rey
",176,10,45
