Song, Artist, Last Week, Peak Position, Weeks on Chart
"Soldier Of Love","Sade",-,1,2
"
Need You Now
","
Lady Antebellum
",2,1,4
"
The E.N.D.
","
The Black Eyed Peas
",8,1,37
"
The Fame
","
Lady Gaga
",7,2,69
"
Rebirth
","
Lil Wayne
",4,2,3
"
I Dreamed A Dream
","
Susan Boyle
",9,1,13
"
The Element Of Freedom
","
Alicia Keys
",12,2,10
"
Another Round
","
Jaheim
",3,3,2
"
Haywire
","
Josh Turner
 ",5,5,2
"
Fearless
","
Taylor Swift
",10,1,67
"
The Fame Monster (EP)
","
Lady Gaga
",15,5,13
"
My World (EP)
","
Justin Bieber
",16,6,14
"
STRONGER withEach Tear
","
Mary J. Blige
",14,2,9
"
Animal
","
Ke$ha
",19,1,7
"
Crazy Love
","
Michael Buble
",11,1,20
"
Tonight
","
tobyMac
",6,6,2
"
The Foundation
","
Zac Brown Band
",13,10,66
"
Rated R
","
Rihanna
",35,4,13
"
Alvin And The Chipmunks: The Squeakquel
","
Soundtrack
",18,6,12
"
Play On
","
Carrie Underwood
",23,1,16
"
We Are Young Money
","
Young Money
",41,9,9
"
Crazy Heart
","
Soundtrack
",38,22,5
"
StarStruck
","
Soundtrack
",98,23,2
"
Valentine's Day
","
Soundtrack
",20,20,2
"
Funhouse
","
P!nk
",24,2,69
"
Lady Antebellum
","
Lady Antebellum
",30,4,97
"
Ocean Eyes
","
Owl City
",27,8,32
"
Ready
","
Trey Songz
",45,3,25
"
Kidz Bop 17
","
Kidz Bop Kids
",29,12,4
"
Wide Open
","
Jason Aldean
",32,4,46
"
The Bridge
","
Melanie Fiona
",36,31,16
"
The Blueprint 3
","
JAY-Z
",43,1,24
"
Kiss And Tell
","
Selena Gomez & The Scene
",34,9,21
"
The Sea
","
Corinne Bailey Rae
",31,7,4
"
 Michael Jackson's This Is It (Soundtrack)
","
Michael Jackson
",22,1,17
"
Recollection
","
k.d. lang
",77,36,2
"
Contra
","
Vampire Weekend
",51,1,6
"
The State Vs. Radric Davis
","
Gucci Mane
",57,10,11
"
Sex Therapy: The Session
","
Robin Thicke
",50,9,10
"
Battle Studies
","
John Mayer
",40,1,14
"
Only By The Night
","
Kings Of Leon
",42,4,74
"
The Constant
","
Story Of The Year
",-,-,-
"
NOW 32
","
Various Artists
",44,5,16
"
I Am...Sasha Fierce
","
Beyonce
",39,1,66
"
Relapse
","
Eminem
",49,1,40
"
2010 Grammy Nominees
","
Various Artists
",21,5,5
"
Dark Horse
","
Nickelback
",55,2,66
"
 Songs From The Heart
","
Celtic Woman
",52,9,4
"
The Canadian Tenors
","
The Canadian Tenors
",76,49,2
"
Number Ones
","
Michael Jackson
",47,13,45
"
WOW Gospel 2010
","
Various Artists
",62,40,4
"
Who I Am
","
Nick Jonas & The Administration
",28,3,3
"
Hellbilly Deluxe 2
","
Rob Zombie
",37,8,3
"
For Your Entertainment
","
Adam Lambert
",58,3,13
"
Nothing But The Best
","
Frank Sinatra
",154,2,84
"
Learn To Live
","
Darius Rucker
",48,5,75
"
Leave This Town
","
Daughtry
",54,1,32
"
Them Crooked Vultures
","
Them Crooked Vultures
",69,12,14
"
Malice N Wonderland
","
Snoop Dogg
",95,23,11
"
Revolution
","
Miranda Lambert
",65,8,21
"
Awake
","
Skillet
",89,2,26
"
Wolfgang Amadeus Phoenix
","
Phoenix
",88,37,40
"
The Stimulus Package
","
Freeway & Jake One
",-,-,-
"
Dejarte de Amar
","
Camila
",64,64,2
"
BLACKsummers'night
","
Maxwell
",59,1,33
"
Glee: Season One: The Music Volume 2
","
Soundtrack
",71,3,11
"
 The Time Of Our Lives (EP)
","
Miley Cyrus
",66,2,26
"
Live In Las Vegas
","
Dave Matthews & Tim Reynolds
",17,17,2
"
The Sound Of Madness
","
Shinedown
",73,8,87
"
Dear Agony
","
Breaking Benjamin
",84,4,21
"
Southern Voice
","
Tim McGraw
",60,2,18
"
The Fall
","
Norah Jones
",53,3,14
"
Until The Whole World Hears
","
Casting Crowns
",74,4,14
"
NOW That's What I Call Love
","
Various Artists
",33,32,4
