Song, Artist, Last Week, Peak Position, Weeks on Chart
"Sleep Through The Static","Jack Johnson",-,1,2
"
Back To Black
","
Amy Winehouse
",24,2,49
"
 As I Am
","
Alicia Keys
",3,1,14
"
2008 Grammy Nominees
","
Various Artists
",5,4,3
"
River: The Joni Letters
","
 Herbie Hancock
",159,5,4
"
Juno
","
Soundtrack
",6,1,7
"
Taylor Swift
","
Taylor Swift
",10,5,69
"
Detours
","
Sheryl Crow
",2,2,2
"
Growing Pains
","
Mary J. Blige
",7,1,9
"
Step Up 2: The Streets
","
Soundtrack
",13,10,2
"
Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus
","
Miley Cyrus
",9,1,34
"
Live From Philadelphia
","
John Legend
",62,7,5
"
Exclusive
","
Chris Brown
",12,4,15
"
Simple Plan
","
Simple Plan
",-,-,-
"
Daughtry
","
Daughtry
",18,1,65
"
Long Road Out Of Eden
","
Eagles
",26,1,16
"
It Is Time For A Love Revolution
","
Lenny Kravitz
",4,4,2
"
Just Like You
","
Keyshia Cole
",11,2,21
"
The Ultimate Hits
","
Garth Brooks
",16,3,15
"
Watershed
","
k.d. lang
",8,8,2
"
Little Voice
","
Sara Bareilles
",15,15,20
"
Echoes, Silence, Patience & Grace
","
Foo Fighters
",65,3,21
"
Raising Sand
","
Robert Plant / Alison Krauss
",41,2,17
"
Call Me Irresponsible
","
Michael Buble
",30,1,42
"
NOW 26
","
Various Artists
",17,3,14
"
Alvin And The Chipmunks
","
Soundtrack
",19,13,11
"
Coco
","
Colbie Caillat
",21,5,31
"
Carnival Ride
","
Carrie Underwood
",32,1,17
"
Rhythm & Romance
","
Kenny G
",14,14,2
"
Jonas Brothers
","
Jonas Brothers
",25,5,28
"
The Dutchess
","
Fergie
",27,2,74
"
Across The Universe: Deluxe Edition
","
Soundtrack
",38,24,23
"
Enjoy The Ride
","
Sugarland
",20,4,67
"
WOW Gospel 2008
","
Various Artists
",-,-,-
"
Good Girl Gone Bad
","
Rihanna
",46,2,37
"
Still Feels Good
","
Rascal Flatts
",31,1,21
"
In Rainbows
","
Radiohead
",23,1,8
"
Vivere: Live In Tuscany
","
Andrea Bocelli
",45,22,3
"
Hannah Montana 2: Non-Stop Dance Party
","
Hannah Montana
",22,7,3
"
Graduation
","
Kanye West
",64,1,23
"
It Won't Be Soon Before Long
","
Maroon 5
 ",42,1,39
"
Lupe Fiasco's The Cool
","
Lupe Fiasco
",54,14,9
"
Dreaming Out Loud
","
OneRepublic
",33,14,13
"
All The Right Reasons
","
Nickelback
",39,1,124
"
Radio Disney Jams 10
","
Various Artists
",49,18,4
"
 Love/Hate
","
The-Dream
",35,30,10
"
Some Hearts
","
Carrie Underwood
",56,2,118
"
The Makings Of A Man
","
Jaheim
",37,11,9
"
 Jordin Sparks
","
Jordin Sparks
",44,10,13
"
Symphony
","
Sarah Brightman
",28,13,3
"
Back Of My Lac'
","
J. Holiday
",34,5,20
"
Once
","
Soundtrack
",55,27,29
"
Minutes To Midnight
","
Linkin Park
",47,1,40
"
RIOT!
","
Paramore
",50,15,36
"
Taking Chances
","
Celine Dion
",100,3,14
"
souljaboytellem.com
","
Soulja Boy Tell'em
",36,4,20
"
Scream Aim Fire
","
Bullet For My Valentine
",29,4,3
"
Just Who I Am: Poets & Pirates
","
Kenny Chesney
",60,3,23
"
Hannah Montana
","
Soundtrack
",40,1,69
"
15
","
Buckcherry
",48,41,96
"
The Best Of Andrea Bocelli: Vivere
","
Andrea Bocelli
",75,9,16
"
High School Musical 2
","
Soundtrack
",52,1,27
