Song, Artist, Last Week, Peak Position, Weeks on Chart
"Confessions On A Dance Floor","Madonna",-,1,1
"
Some Hearts
","
Carrie Underwood
",-,-,-
"
The Road And The Radio
","
Kenny Chesney
",1,1,2
"
The Emancipation Of Mimi
","
Mariah Carey
",15,1,32
"
NOW 20
","
Various Artists
",3,1,3
"
Get Rich Or Die Tryin'
","
Soundtrack
 ",2,2,2
"
Comin' To Your City
","
Big & Rich
",-,-,-
"
Bullet In A Bible
","
Green Day
",-,-,-
"
All The Right Reasons
","
Nickelback
",5,1,7
"
Timeless
","
Martina McBride
",12,3,5
"
Monkey Business
","
The Black Eyed Peas
",6,2,24
"
Back II Da Basics
","
Ginuwine
",-,-,-
"
 Breakaway
","
Kelly Clarkson
",10,3,51
"
The Christmas Collection
","
Il Divo
",25,14,4
"
Feels Like Today
","
Rascal Flatts
",17,1,60
"
Be Here
","
Keith Urban
",41,3,61
"
All That I Am
","
Santana
",8,2,3
"
Born To Run: 30th Anniversary Edition
","
Bruce Springsteen
",-,-,-
"
Twice The Speed Of Life
","
Sugarland
",37,16,44
"
The Legend Of Johnny Cash
","
Johnny Cash
",27,11,4
"
Thanks For The Memory... The Great American Songbook Vol. IV
","
Rod Stewart
",11,2,5
"
#1's
","
Destiny's Child
",9,1,4
"
From Under The Cork Tree
","
Fall Out Boy
",14,9,29
"
Late Registration
","
Kanye West
",13,1,12
"
Money Is Still A Major Issue
","
Pitbull
",-,-,-
"
12 Songs
","
Neil Diamond
",4,4,2
"
Christmas Songs
","
Diana Krall Feat. The Clayton/Hamilton Jazz Orchestra
 ",24,23,3
"
PCD
","
The Pussycat Dolls
",21,5,10
"
American Idiot
","
Green Day
",18,1,61
"
All Jacked Up
","
Gretchen Wilson
",36,1,8
"
Let's Get It: Thug Motivation 101
","
Young Jeezy
",19,2,17
"
Most Wanted
","
Hilary Duff
",45,1,14
"
Fireflies
","
Faith Hill
",38,1,16
"
Demon Days
","
Gorillaz
",31,6,26
"
I Am Me
","
Ashlee Simpson
 ",16,1,5
"
Songs About Me
","
Trace Adkins
",29,11,35
"
Time Well Wasted
","
Brad Paisley
",79,2,14
"
Modern Day Drifter
","
Dierks Bentley
",58,6,28
"
Unplugged
","
Alicia Keys
",20,1,6
"
Flo' Ology
","
Floetry
",7,7,2
"
Live At Fenway Park
","
Jimmy Buffett
",-,-,-
"
Love. Angel. Music. Baby.
","
Gwen Stefani
",43,5,52
"
Real Fine Place
","
Sara Evans
",73,3,7
"
Hillbilly Deluxe
","
Brooks & Dunn
",132,3,12
"
Ten Thousand Fists
","
Disturbed
",34,1,9
"
Have A Nice Day
","
Bon Jovi
",59,2,9
