Song, Artist, Last Week, Peak Position, Weeks on Chart
"Minutes To Midnight","Linkin Park",-,1,1
"
Sex Love & Pain
","
Tank
",-,-,-
"
Call Me Irresponsible
","
Michael Buble
",1,1,3
"
Sky Blue Sky
","
Wilco
",-,-,-
"
One Of The Boys
","
Gretchen Wilson
",-,-,-
"
The Best Damn Thing
","
Avril Lavigne
",5,1,5
"
Because Of You
","
Ne-Yo
",4,1,3
"
United Abominations
","
Megadeth
",-,-,-
"
Strength & Loyalty
","
Bone Thugs-N-Harmony
",2,2,2
"
Daughtry
","
Daughtry
",6,1,26
"
Some Hearts
","
Carrie Underwood
",8,2,79
"
Back To Black
","
Amy Winehouse
",14,7,10
"
Taylor Swift
","
Taylor Swift
",15,13,30
"
Special Occasion
","
Bobby Valentino
",3,3,2
"
Konvicted
","
Akon
",12,2,27
"
NOW 24
","
Various Artists
",10,1,8
"
Let It Go
","
Tim McGraw
",11,1,8
"
The Dutchess
","
Fergie
",18,3,35
"
Me And My Gang
","
Rascal Flatts
",22,1,59
"
Elliott Yamin
","
Elliott Yamin
",67,3,9
"
The Evolution Of Robin Thicke
","
Robin Thicke
",16,5,33
"
All The Right Reasons
","
Nickelback
",17,1,85
"
Release The Stars
","
Rufus Wainwright
",-,-,-
"
FutureSex/LoveSounds
","
Justin Timberlake
",19,1,36
"
Waking Up Laughing
","
Martina McBride
",13,4,7
"
The Sweet Escape
","
Gwen Stefani
",21,3,24
"
B'Day
","
 Beyonce
",25,1,37
"
Year Zero
","
Nine Inch Nails
",23,2,5
"
Crazy Ex-Girlfriend
","
Miranda Lambert
",33,6,3
"
Hey Eugene!
","
Pink Martini
",-,-,-
"
 Extreme Behavior
","
Hinder
",36,6,68
"
Loose
","
Nelly Furtado
",29,1,48
"
Timbaland Presents Shock Value
","
Timbaland
",40,5,7
"
Live In Concert 2006
","
 Barbra Streisand
",7,7,2
"
Snakes & Arrows
","
Rush
",20,3,3
"
Infinity On High
","
Fall Out Boy
",45,1,15
"
Hannah Montana
","
 Soundtrack
",41,1,30
"
Volta
","
Bjork
",9,9,2
"
Ain't Nothing Like Me
","
Joe
",34,2,4
"
A Hundred Miles Or More: A Collection
","
Alison Krauss
",28,10,7
"
Corinne Bailey Rae
 ","
Corinne Bailey Rae
",37,4,48
"
Luvanmusiq
","
Musiq Soulchild
",30,1,10
"
Introducing Joss Stone
","
Joss Stone
",27,2,9
"
Shrek The Third
","
Soundtrack
",-,-,-
"
I'm Not Dead
","
P!nk
",38,6,44
"
Pure BS
","
Blake Shelton
",32,8,3
"
The Reminder
","
Feist
",35,16,3
"
Street Love
","
Lloyd
",46,2,10
"
Not Too Late
","
Norah Jones
",31,1,16
"
Awake
","
Josh Groban
",43,2,28
"
New Moon
","
Elliott Smith
",24,24,2
"
Enjoy The Ride
","
Sugarland
",48,4,28
"
Continuum
","
John Mayer
",47,2,36
"
Genesis
","
Job For A Cowboy
",-,-,-
"
Your Man
","
Josh Turner
",51,2,69
"
Bucky Covington
","
Bucky Covington
",44,4,5
"
Buck The World
","
Young Buck
",52,3,8
"
Djin Djin
","
Angelique Kidjo
",68,58,3
"
Phobia
","
Breaking Benjamin
",64,2,41
"
Get Money Stay True
","
Paul Wall
",50,8,7
"
As Cruel As School Children
","
Gym Class Heroes
",86,35,23
"
High School Musical: The Concert
","
Various Artists
",49,28,3
"
American Doll Posse
","
Tori Amos
",42,5,3
"
We Were Dead Before The Ship Even Sank
","
Modest Mouse
",65,1,9
"
How To Save A Life
","
The Fray
",57,14,72
"
Alright, Still...
","
Lily Allen
",69,20,16
"
It Just Comes Natural
","
George Strait
",106,3,33
"
Dignity
","
Hilary Duff
",53,3,7
"
Morning Constitutions
","
Larry The Cable Guy
",54,16,7
"
A Beautiful Lie
","
Thirty Seconds To Mars
",75,36,57
"
Love, Pain & The Whole Crazy Thing
","
Keith Urban
",56,3,28
"
Don't You Fake It
","
The Red Jumpsuit Apparatus
",72,25,44
"
Music Is My Savior
","
Mims
",71,4,8
"
One - X
","
Three Days Grace
",80,5,49
"
Time Well Wasted
","
Brad Paisley
",73,2,92
"
The Inspiration
","
Young Jeezy
",77,1,23
"
Are You Listening?
","
Dolores O'Riordan
",-,-,-
"
Sam's Town
","
The Killers
",78,2,33
"
Favourite Worst Nightmare
","
Arctic Monkeys
",62,7,4
"
15
","
Buckcherry
",88,41,58
"
A New Journey
","
Celtic Woman
",59,4,16
"
If You're Going Through Hell
","
Rodney Atkins
",99,3,44
"
Dreamgirls
","
Soundtrack
",39,1,24
"
Rocket Man: Number Ones
","
Elton John
",55,9,8
"
Every Second Counts
","
Plain White T's
",84,84,12
"
Greatest Hits
","
Gary Allan
",61,5,11
"
DukeDaGod Presents Dipset: More Than Music, Vol. 2
","
Dipset
",26,26,2
"
Doin' Somethin' Right
","
Billy Currington
",82,11,57
"
Cassadaga
","
Bright Eyes
",81,4,6
"
Vena Sera
","
Chevelle
",101,12,7
"
Fantasia
","
Fantasia
",93,19,23
"
 Ciara: The Evolution
","
Ciara
",89,1,24
"
Greatest Hits Vol 2: Reflected
","
Tim McGraw
",94,2,60
"
The Road To Here
","
Little Big Town
",130,51,81
"
 The Story
","
Brandi Carlile
",120,41,7
"
Rich Boy
","
Rich Boy
",92,3,10
"
Mas Flow: Los Benjamins
","
Luny Tunes & Tainy
",-,30,9
"
The Departed
","
Soundtrack
",-,-,-
"
Love
","
The Beatles
",90,4,26
"
Small Town Girl
","
Kellie Pickler
",109,9,29
"
Life In Cartoon Motion
","
MIKA
",107,29,8
"
For The Love
","
Tracy Lawrence
",103,53,16
"
Historia De Un Idolo
","
Vicente Fernandez
",98,81,7
"
The Black Parade
","
My Chemical Romance
",114,2,30
"
HellYeah
","
HellYeah
",112,9,6
"
Neon Bible
","
Arcade Fire
",95,2,11
"
Jason Aldean
","
Jason Aldean
",124,37,95
"
The Paramour Sessions
","
Papa Roach
",135,16,18
"
Stadium Arcadium
","
Red Hot Chili Peppers
",115,1,54
"
Across The Water
","
Baby Boy Da Prince
",119,26,9
"
The Open Door
","
Evanescence
",110,1,33
"
Taking The Long Way
","
Dixie Chicks
",79,1,52
"
Precious Memories
","
Alan Jackson
",91,4,64
"
La Mejor... Coleccion
","
Marco Antonio Solis
",-,-,-
"
Long Trip Alone
","
Dierks Bentley
",87,5,31
"
Carnavas
","
Silversun Pickups
",108,80,18
"
Hillbilly Deluxe
","
Brooks & Dunn
",134,3,90
"
(portable sounds)
","
tobyMac
",117,10,13
"
PCD
","
The Pussycat Dolls
",111,5,88
"
Live At Texas Stadium
 ","
Alan Jackson/George Strait/Jimmy Buffett
",76,11,7
"
Another Side
","
Corbin Bleu
",70,36,3
"
Spider-Man 3
","
Soundtrack
",83,33,3
"
Light Grenades
","
Incubus
",128,1,25
"
Southern Weather
","
The Almost
",118,39,7
"
Like Father, Like Son
","
Birdman & Lil Wayne
",156,3,29
"
High School Musical
","
Soundtrack
",129,1,71
"
Disneymania 5: Music Stars Sing Disney... Their Way!
","
Various Artists
",113,14,8
"
Back To Basics
","
Christina Aguilera
",102,1,40
"
Fall
","
Clay Walker
",85,15,5
"
WOW Gospel #1s: 30 Of The Greatest Gospel Hits Ever!
","
Various Artists
",74,74,2
"
Veteran
","
Marques Houston
",155,5,9
"
Once Again
","
John Legend
",127,3,30
"
Late Night Special
","
Pretty Ricky
",138,1,17
"
Emotionalism
","
The Avett Brothers
",-,-,-
"
Tales Don't Tell Themselves
","
Funeral For A Friend
",-,-,-
"
Cannibal
","
Static-X
",143,36,7
"
The Road And The Radio
","
Kenny Chesney
",139,1,78
"
Crystal Visions... The Very Best Of Stevie Nicks
","
Stevie Nicks
",116,21,8
"
Press Play
","
Diddy
 ",137,1,31
"
Music And Lyrics
","
Soundtrack
",172,63,9
"
Stand Still, Look Pretty
","
The Wreckers
",148,14,52
"
Eyes Open
","
Snow Patrol
",140,27,54
"
Because Of The Times
","
Kings Of Leon
",141,25,7
"
Live At Massey Hall 1971
","
Neil Young
",121,6,10
"
In My Songs
","
Gerald Levert
",104,2,14
"
Como Ama Una Mujer
","
Jennifer Lopez
",100,10,8
"
The Dio Years
","
Black Sabbath
",163,54,7
"
Siempre
","
Il Divo
",66,6,22
"
Wincing The Night Away
","
The Shins
",150,2,17
"
Grammy Nominees 2007
","
Various Artists
",147,3,17
"
Costello Music
","
The Fratellis
",190,48,10
"
Five Score And Seven Years Ago
","
Relient K
",154,6,11
"
K.O.B.: Live
","
Aventura
",167,124,21
"
Dangerous Man
","
Trace Adkins
",145,3,40
"
Red Gone Wild
","
Redman
",196,13,8
"
Them Vs. You Vs. Me
","
Finger Eleven
",186,31,11
"
Countrified
","
Emerson Drive
",173,157,2
"
Writer's Block
","
Peter Bjorn And John
",199,158,7
"
The Boy With No Name
","
Travis
",58,58,2
"
Boys Like Girls
","
Boys Like Girls
",142,142,5
"
Foiled
","
Blue October
",152,29,59
"
Baby 81
","
Black Rebel Motorcycle Club
",96,46,3
"
Begin To Hope
","
Regina Spektor
",153,20,28
"
Like Red On A Rose
","
Alan Jackson
",123,4,34
"
10,000 Days
","
Tool
",174,1,53
"
Move Along
","
The All-American Rejects
",-,6,92
"
Dusk And Summer
","
Dashboard Confessional
",177,2,17
"
The Best Of Me
","
Yolanda Adams
",60,60,2
"
Residente O Visitante
","
Calle 13
",160,52,4
"
Easy Money
","
John Anderson
",-,-,-
"
Masterpiece: Commemorative Edition
","
RKM & Ken-Y
",158,112,5
"
 Happy Feet
","
Soundtrack
",169,51,23
"
Beyond
","
Dinosaur Jr.
",151,69,3
"
Kidz Bop 11
","
Kidz Bop Kids
",192,4,13
"
Good Morning Revival
","
Good Charlotte
",175,7,8
"
Robbers & Cowards
","
Cold War Kids
",183,176,3
"
Da Baydestrian
","
Mistah F.A.B.
",-,-,-
"
The Price Of Fame
","
Bow Wow
",176,6,22
"
WOW Hits 2007
","
Various Artists
",131,38,33
"
We'll Never Turn Back
","
Mavis Staples
",-,-,-
"
Amar Es Combatir
","
Mana
",162,4,35
"
The Poison
","
Bullet For My Valentine
",194,128,20
"
Greatest Hits
","
The Notorious B.I.G.
",184,1,11
"
Flyleaf
","
Flyleaf
",-,60,61
"
Deeper Still
","
Rick James
",-,-,-
"
Katharine McPhee
","
Katharine McPhee
",149,2,16
"
Chronology: Volume One: 1996-2000
","
Third Day
",146,61,8
"
Jump In!
","
Soundtrack
",189,3,19
"
U218: Singles
","
U2
",198,12,22
"
 That's How They Do It In Dixie: The Essential Collection
","
Hank Williams Jr.
",182,16,40
"
Eye To The Telescope
","
KT Tunstall
",178,33,66
"
CeU
","
CeU
",144,57,7
