Song, Artist, Last Week, Peak Position, Weeks on Chart
"Relapse","Eminem",-,1,1
"
21st Century Breakdown
","
Green Day
",1,1,2
"
Greatest Hits II
","
Kenny Chesney
",-,-,-
"
ISolated INcident
","
Dane Cook
",-,-,-
"
Back On My B.S.
","
Busta Rhymes
",-,-,-
"
Hannah Montana: The Movie
","
Soundtrack
",2,1,9
"
Blackout! 2
","
Method Man & Redman
",-,-,-
"
The Fame
","
Lady Gaga
",4,4,30
"
Abnormally Attracted To Sin
","
Tori Amos
",-,-,-
"
A Fine Mess
","
Kate Voegele
",-,-,-
"
Fearless
","
Taylor Swift
",7,1,28
"
Unstoppable
","
Rascal Flatts
",5,1,7
"
City Of Black & White
","
Mat Kearney
",-,-,-
"
Live From Madison Square Garden
","
Eric Clapton And Steve Winwood
",-,-,-
"
Dark Horse
","
Nickelback
",13,2,27
"
NOW 30
","
Various Artists
",12,1,9
"
Together Through Life
","
Bob Dylan
",6,1,4
"
The Foundation
","
Zac Brown Band
",17,17,27
"
Twilight
","
Soundtrack
",11,1,29
"
Epiphany
","
Chrisette Michele
",8,1,3
"
Only By The Night
","
Kings Of Leon
",14,5,35
"
Deeper Than Rap
","
Rick Ross
",9,1,5
"
Wide Open
","
Jason Aldean
",18,4,7
"
Just Go
","
Lionel Richie
",-,-,-
"
Around The Well
","
Iron And Wine
",-,-,-
"
Gangsta Grillz: The Album Vol. 2
","
Drama
",-,-,-
"
Defying Gravity
","
Keith Urban
",26,1,8
"
In A Perfect World...
","
Keri Hilson
",16,4,9
"
David Cook
","
David Cook
",61,3,27
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",31,3,54
"
Funhouse
","
P!nk
",24,2,30
"
I Am...Sasha Fierce
","
Beyonce
",21,1,27
"
Season 8 Favorite Performances
","
Adam Lambert
",-,-,-
"
Fantasy Ride
","
Ciara
",10,3,3
"
Crime Pays
","
Cam'ron
",3,3,2
"
Love Is
","
Ruben Studdard
",-,-,-
"
The Sound Of Madness
","
Shinedown
",29,8,48
"
Intuition
","
Jamie Foxx
",22,3,23
"
Scars & Souvenirs
","
Theory Of A Deadman
",27,26,60
"
All I Ever Wanted
","
Kelly Clarkson
",20,1,11
"
Love On The Inside
","
Sugarland
",25,1,44
"
Learn To Live
","
Darius Rucker
",32,5,36
"
Lady Antebellum
","
Lady Antebellum
",35,4,58
"
Carnival Ride
","
Carrie Underwood
",33,1,83
"
Life Is Beautiful
","
Press Play
",-,-,-
"
Carver City
","
CKY
",-,-,-
"
The Last Kiss
","
Jadakiss
",34,3,7
"
Taylor Swift
","
Taylor Swift
",46,5,135
"
The Fray
","
The Fray
",42,1,16
"
Season 8 Favorite Performances
","
Kris Allen
",-,-,-
"
Manners
","
Passion Pit
",-,-,-
"
Playing For Change: Songs Around The World
","
Various Artists
",30,10,4
"
The Definitive Rod Stewart
","
Rod Stewart
",-,53,17
"
Good Time
","
Alan Jackson
",60,1,64
"
Swan Songs
","
Hollywood Undead
",45,22,38
"
No Line On The Horizon
","
U2
",43,1,12
"
Lotus Flow3r/MPLSoUND/Elix3r
","
Prince/Bria Valente
",55,2,8
"
Quiet Nights
","
Diana Krall
",37,3,8
"
That Lonesome Song
","
Jamey Johnson
",49,28,42
"
Love V/S Money
","
The-Dream
",41,2,11
"
One Of The Boys
","
Katy Perry
",54,9,49
"
Roadsinger
","
Yusuf
",44,41,3
"
Want
","
3OH!3
",50,44,27
"
R.O.O.T.S. (Route Of Overcoming The Struggle)
","
Flo Rida
",36,8,8
"
Fast Life
","
Paul Wall
",15,15,2
"
Asleep In The Bread Aisle
","
Asher Roth
",47,5,5
"
19
","
Adele
",48,10,50
"
Murder Was The Case
","
Gucci Mane
",23,23,2
"
Paper Trail
","
T.I.
",57,1,34
"
iSouljaBoyTellem
","
Soulja Boy Tell'em
",59,43,23
"
Incredibad
","
The Lonely Island
",64,13,15
"
It's All Crazy! It's All False! It's All A Dream! It's Alright
","
mewithoutYou
",-,-,-
"
Townes
","
Steve Earle
",19,19,2
"
808s & Heartbreak
","
Kanye West
",53,1,26
"
Soul
","
Seal
",28,13,28
"
Viva La Vida or Death And All His Friends
","
Coldplay
",65,1,49
"
The Boys Are Back
","
The Oak Ridge Boys
",-,-,-
"
White Lies For Dark Times
","
Ben Harper And Relentless7
",39,9,3
"
Rock N Roll Jesus
","
Kid Rock
",68,1,85
"
Sounds Of The Universe
","
Depeche Mode
",56,3,5
"
Swoon
","
Silversun Pickups
",63,7,6
"
Forever In A Day
","
DAY26
",52,2,6
"
Tha Carter III
","
Lil Wayne
",72,1,50
"
It's Blitz!
","
Yeah Yeah Yeahs
",70,22,11
"
Circus
","
Britney Spears
",67,1,25
"
A Different Me
 ","
Keyshia Cole
",71,2,23
"
When The World Comes Down
","
The All-American Rejects
",78,15,23
"
Finding Beauty In Negative Spaces
","
Seether
",77,9,82
"
Daughtry
","
 Daughtry
",66,1,131
"
Blackout!: 10th Anniversary Collector's Edition
","
Method Man & Redman
",-,-,-
"
Kellie Pickler
","
Kellie Pickler
",106,9,23
"
With Roots Above And Branches Below
","
The Devil Wears Prada
",51,11,3
"
Freedom
","
Akon
",81,7,25
"
Greatest Hits Volume 1
","
Rascal Flatts
",79,6,30
"
In The Hands Of God
","
newsboys
",75,28,3
"
The Sound
","
Mary Mary
",82,7,31
"
Saving Abel
","
Saving Abel
",109,49,57
"
Losing Sleep
","
Parachute
",40,40,2
"
Philadelphia Freeway 2
","
Freeway
",-,-,-
"
Cage The Elephant
","
Cage The Elephant
",101,100,6
"
Uncle Charlie
","
Charlie Wilson
",83,2,14
"
Star Trek
","
Soundtrack
",58,49,3
"
Growing Up Is Getting Old
","
Jason Michael Carroll
",125,28,4
"
Yanni Voices
","
Yanni
",103,20,9
"
True Blood: Music From The HBO Original Series
","
Soundtrack
",-,-,-
"
The Crow: New Songs For The Five-String Banjo
","
Steve Martin
",-,-,-
"
Oracular Spectacular
","
MGMT
",102,38,64
"
Lucky Old Sun
","
Kenny Chesney
",87,1,32
"
The Kingdom Vol. 1
","
Bishop Eddie Long & Friends Feat. GW's
",-,-,-
"
Year Of The Gentleman
","
Ne-Yo
",88,2,36
"
WOW Hits 2009
","
Various Artists
",104,31,33
"
Chris Botti: In Boston
","
Chris Botti
",89,13,8
"
The Airborne Toxic Event
","
The Airborne Toxic Event
",130,108,14
"
Little Bit Of Everything
","
Billy Currington
",119,13,15
"
The Point Of It All
","
Anthony Hamilton
",92,12,23
"
Yo No Canto, Pero Lo Intentamos
","
Espinoza Paz
",-,-,-
"
Death Magnetic
","
Metallica
",100,1,37
"
Slumdog Millionaire
","
Soundtrack
",85,4,22
"
Indestructible
","
Disturbed
",98,1,51
"
NOW 29
","
Various Artists
",115,3,28
"
Kidz Bop 15
","
Kidz Bop Kids
",107,7,16
"
Life On D-Block
","
Sheek Louch
",-,-,-
"
My Paper Heart
","
Francesca Battistelli
",111,91,13
"
UGK 4 Life
","
UGK
 ",90,6,8
"
All Hope Is Gone
","
Slipknot
",113,1,39
"
Ciclos
","
Luis Enrique
",-,-,-
"
Metamorphosis
","
Papa Roach
",105,8,9
"
Feel That Fire
","
Dierks Bentley
",121,3,16
"
Testimony: Vol. 2, Love & Politics
","
India.Arie
",93,3,15
"
Brushfire Records & Monotone Present: Zee Avi
","
Zee Avi
",-,-,-
"
The Devil You Know
","
Heaven & Hell
",80,8,4
"
Don't Feed Da Animals
","
Gorilla Zoe
",114,8,10
"
Mamma Mia!
","
Soundtrack
",97,1,46
"
Fight For Love
","
Elliott Yamin
",74,26,3
"
Jennifer Hudson
 ","
Jennifer Hudson
",96,2,34
"
Nothing Rhymes With Woman
","
Carbon Leaf
",-,-,-
"
The Script
","
The Script
",108,91,10
"
It's Not Me, It's You
","
Lily Allen
",116,5,15
"
This Is The One
","
Utada
",69,69,3
"
Coming To Terms
","
Carolina Liar
",157,140,6
"
Same As It Ever Was
","
Talking Heads
",73,73,2
"
The Voice
","
Mike Jones
",84,12,4
"
Shallow Life
","
Lacuna Coil
",91,16,5
"
idon
","
Don Omar
",110,32,4
"
 Day & Age
","
The Killers
",112,6,26
"
Sickology 101
","
Tech N9ne Collabos
",99,19,4
"
Crack The Skye
","
Mastodon
",118,11,9
"
Over And Underneath
","
Tenth Avenue North
 ",153,130,12
"
The Long Fall Back To Earth
","
Jars Of Clay
",124,29,5
"
Hello Love
","
Chris Tomlin
",137,9,38
"
onmyradio
","
Musiq Soulchild
",117,11,24
"
The Way I See It
","
Raphael Saadiq
",127,19,31
"
10
","
MercyMe
",122,18,7
"
Some Mad Hope
","
Matt Nathanson
",123,60,21
"
Further Complications
","
Jarvis Cocker
",-,-,-
