Song, Artist, Last Week, Peak Position, Weeks on Chart
"Untitled","Nas",-,1,1
"
Tha Carter III
","
Lil Wayne
",1,1,6
"
 Mamma Mia!
","
Soundtrack
",7,3,2
"
Viva La Vida or Death And All His Friends
","
Coldplay
",2,1,5
"
Camp Rock
","
Soundtrack
",3,3,5
"
Rock N Roll Jesus
","
Kid Rock
",5,1,41
"
Life Death Love And Freedom
","
John Mellencamp
",-,-,-
"
The Greatest Story Ever Told
","
David Banner
",-,-,-
"
Beautiful Eyes (EP)
","
Taylor Swift
",-,-,-
"
Good Girl Gone Bad
","
Rihanna
",8,2,59
"
NOW 28
 ","
Various Artists
",6,2,7
"
Taylor Swift
","
Taylor Swift
",14,5,91
"
All Sides
","
O.A.R.
",-,-,-
"
Around The Bend
","
Randy Travis
",-,-,-
"
One Of The Boys
","
Katy Perry
",12,9,5
"
Modern Guilt
","
Beck
",4,4,2
"
Indestructible
","
Disturbed
",13,1,7
"
Revelation
","
Journey
",18,5,7
"
Here I Stand
","
Usher
",11,1,8
"
The Dark Knight
","
Soundtrack
",-,-,-
"
Spirit
","
Leona Lewis
",15,1,15
"
Where The Light Is: John Mayer Live In Los Angeles
","
John Mayer
",10,5,3
"
Jonas Brothers
","
Jonas Brothers
",22,5,50
"
T*O*S (Terminate On Sight)
","
G Unit
",9,4,3
"
Rockferry
","
Duffy
",21,4,10
"
Definition Of Real
","
Plies
",17,2,6
"
3 Doors Down
","
3 Doors Down
",19,1,9
"
We Sing. We Dance. We Steal Things.
","
Jason Mraz
",28,3,10
"
Last 2 Walk
","
Three 6 Mafia
",16,5,4
"
Stay Positive
","
The Hold Steady
",-,30,2
"
Exclusive
 ","
Chris Brown
",27,4,37
"
Pocketful Of Sunshine
","
Natasha Bedingfield
",33,3,26
"
Good Time
","
Alan Jackson
",37,1,20
"
35 Biggest Hits
","
Toby Keith
",24,2,11
"
Saints Of Los Angeles
","
Motley Crue
",23,4,4
"
Sleep Through The Static
","
Jack Johnson
",32,1,24
"
Just Who I Am: Poets & Pirates
","
Kenny Chesney
",41,3,45
"
Thirsty
","
Marvin Sapp
",35,28,48
"
The Sound Of Madness
","
Shinedown
",29,8,4
"
Flavors Of Entanglement
","
Alanis Morissette
",58,8,6
"
It Won't Be Soon Before Long
","
Maroon 5
",25,1,61
"
Weezer
","
Weezer
",30,4,7
"
Carnival Ride
","
Carrie Underwood
",36,1,39
"
Greatest Hits: Limited Edition
","
Tim McGraw
",-,10,9
"
Si Tu Te Vas
","
Los Temerarios
",26,26,2
"
Enjoy The Ride
","
Sugarland
",38,4,89
"
E=MC2
","
Mariah Carey
",31,1,14
"
Magic Tour Highlights (EP)
","
Bruce Springsteen & The E Street Band
",-,-,-
"
 Two Men With The Blues
","
Willie Nelson Wynton Marsalis
",20,20,2
"
Metro Station
","
Metro Station
",43,43,13
"
Narrow Stairs
","
Death Cab For Cutie
",47,1,10
"
Fight With Tools
","
Flobots
",45,15,11
"
Nothing But The Best
","
Frank Sinatra
",46,2,10
"
Coco
","
Colbie Caillat
",44,5,53
"
The Ultimate Hits
","
Garth Brooks
",56,3,37
"
Vans Warped Tour '08
","
Various Artists
",54,35,7
"
Crazy Ex-Girlfriend
","
Miranda Lambert
",55,6,64
"
Trilla
","
Rick Ross
",52,1,19
"
Troubadour
","
George Strait
",50,1,16
"
5th Gear
","
Brad Paisley
",70,3,57
"
Dreaming Out Loud
","
OneRepublic
",42,14,35
"
It Is What It Is
","
ABN
",-,-,-
"
Identified
","
Vanessa Hudgens
",39,23,3
"
Alvin And The Chipmunks
","
Soundtrack
",48,5,33
"
Minutes To Midnight
","
Linkin Park
",64,1,62
"
Rise And Fall, Rage And Grace
","
The Offspring
",49,10,5
"
Hannah Montana/Miley Cyrus: Best Of Both Worlds Concert
","
Miley Cyrus
",68,3,19
