Song, Artist, Last Week, Peak Position, Weeks on Chart
"From Here To Now To You","Jack Johnson",-,1,1
"
Off The Beaten Path
","
Justin Moore
",-,-,-
"
A.M.
","
Chris Young
",-,-,-
"
Maybach Music Group Presents: Self Made, Vol. 3
","
Various Artists
",-,-,-
"
True
 ","
Avicii
",-,-,-
"
Crash My Party
","
Luke Bryan
",4,1,6
"
B.O.A.T.S. II #METIME
","
2 Chainz
",3,3,2
"
Fuse
","
Keith Urban
",1,1,2
"
Kiss Land
","
The Weeknd
",2,2,2
"
We Are Tonight
","
Billy Currington
",-,-,-
"
Love And War
","
Tamar Braxton
",8,2,3
"
Blurred Lines
","
Robin Thicke
",14,1,8
"
Love In The Future
","
John Legend
",10,4,3
"
MGMT
","
MGMT
",-,-,-
"
Yours Truly
","
Ariana Grande
",9,1,3
"
Wise Up Ghost And Other Songs 2013
","
Elvis Costello And The Roots
",-,-,-
"
Hail To The King
","
Avenged Sevenfold
",13,1,4
"
 Here's To The Good Times
","
Florida Georgia Line
",15,4,42
"
Sunshine Daydream: Veneta, Oregon August 27, 1972
","
Grateful Dead
",-,-,-
"
8:18
","
The Devil Wears Prada
",-,-,-
"
Spreading Rumours
","
Grouplove
",-,-,-
"
Magna Carta... Holy Grail
","
JAY-Z
",18,1,11
"
The Electric Lady
","
Janelle Monae
",5,5,2
"
Feels Like Home
","
Sheryl Crow
",7,7,2
"
Night Visions
","
Imagine Dragons
",23,2,55
"
The Love Club EP
","
Lorde
",24,23,15
"
Unorthodox Jukebox
","
Bruno Mars
",21,1,41
"
AM
","
Arctic Monkeys
",6,6,2
"
NOW 47
","
Various Artists
",22,2,7
"
Hesitation Marks
","
Nine Inch Nails
",12,3,3
"
Born To Die
","
Lana Del Rey
",32,2,86
"
Paradise Valley
","
John Mayer
",26,2,5
"
The 20/20 Experience
","
Justin Timberlake
",31,1,27
"
Teen Beach Movie
","
Soundtrack
",25,3,10
"
Appreciation Day
","
Jaheim
",17,6,3
