Song, Artist, Last Week, Peak Position, Weeks on Chart
"The Gift","Susan Boyle",-,1,2
"
O Holy Night (EP)
","
Jackie Evancho
",-,-,-
"
Loud
","
Rihanna
",-,-,-
"
Illuminations
","
Josh Groban
",-,-,-
"
Born Free
","
Kid Rock
",-,-,-
"
 Nothing Like This
","
Rascal Flatts
",-,-,-
"
Get Closer
","
Keith Urban
",-,-,-
"
Glee: The Music, The Christmas Album
","
Soundtrack
",-,-,-
"
Speak Now
","
Taylor Swift
",2,1,4
"
5.0
","
Nelly
",-,-,-
"
What Separates Me From You
","
A Day To Remember
",-,-,-
"
My Kinda Party
","
Jason Aldean
",6,2,3
"
NOW 36
","
Various Artists
",4,4,2
"
Greatest Hits... So Far!!!
","
P!nk
",-,-,-
"
The Incredible Machine
","
Sugarland
",8,1,5
"
The Promise
","
Bruce Springsteen
",-,-,-
"
And If Our God Is For Us...
","
Chris Tomlin
",-,-,-
"
Greatest Hits: The Ultimate Collection
","
Bon Jovi
",5,5,2
"
Live It Up
","
Lee DeWyze
",-,-,-
"
Glory In The Highest: Christmas Songs Of Worship
","
Chris Tomlin
",19,19,15
"
Man On The Moon II: The Legend Of Mr. Rager
","
Kid Cudi
",3,3,2
"
Merry Christmas II You
","
Mariah Carey
",12,4,3
"
Recovery
","
Eminem
",11,1,22
"
A Merry Little Christmas (EP)
","
Lady Antebellum
",39,17,6
"
Cities 97 Sampler 22: Live From Studio C
","
Various Artists
",-,-,-
"
Need You Now
","
Lady Antebellum
",13,1,43
"
The Promise: The Darkness On The Edge Of Town Story
","
Bruce Springsteen
",-,-,-
"
My Christmas
","
Andrea Bocelli
 ",30,2,13
"
...featuring
","
Norah Jones
",-,-,-
"
NOW That's What I Call Christmas! 4
","
Various Artists
",38,30,5
"
I Am Not A Human Being
","
Lil Wayne
",10,1,8
"
Noel
","
Josh Groban
",41,1,23
"
All The Women I Am
","
Reba
",7,7,2
"
 Teenage Dream
","
Katy Perry
",16,1,13
"
Joy To The World
","
Pink Martini
",-,-,-
"
My World 2.0
","
Justin Bieber
",25,1,35
"
Hemingway's Whiskey
","
Kenny Chesney
",18,1,8
"
Let It Snow! (EP)
","
Michael Buble
",58,32,12
"
The Lady Killer
","
Cee Lo Green
",9,9,2
"
The Taylor Swift Holiday Collection (EP)
","
Taylor Swift
",43,20,16
"
You Get What You Give
","
Zac Brown Band
",20,1,9
"
The Band Perry
","
The Band Perry
",27,4,6
"
A Year Without Rain
","
Selena Gomez & The Scene
",31,4,9
"
Sigh No More
","
Mumford & Sons
",28,16,35
"
Revolution
","
Miranda Lambert
",15,8,60
"
A Christmas Cornucopia
","
Annie Lennox
",-,-,-
"
Come Around Sundown
","
Kings Of Leon
",14,2,5
"
Abbey Road
","
The Beatles
",-,1,149
"
Passion, Pain & Pleasure
","
Trey Songz
",34,2,10
"
Doo-Wops & Hooligans
","
Bruno Mars
",35,3,7
"
Fly Me To The Moon... The Great American Songbook Volume V
","
Rod Stewart
",22,4,5
"
Loaded: The Best Of Blake Shelton
","
Blake Shelton
",24,24,2
"
WOW Hits 2011
","
Various Artists
",37,26,7
"
Charleston, SC 1966
","
Darius Rucker
",29,2,6
"
Hits Alive
","
Brad Paisley
",21,9,3
"
Hannah Montana Forever
","
Soundtrack
",33,11,5
"
Lungs
","
Florence + The Machine
",54,14,25
"
I Dreamed A Dream
","
Susan Boyle
",67,1,49
"
Sleigh Ride: Side By Side
","
Various Artists
",-,-,-
"
The Union
","
Elton John / Leon Russell
",32,3,5
"
The Beatles [White Album]
 ","
The Beatles
",-,1,169
"
Dreams
","
Neil Diamond
",26,8,3
"
A Thousand Suns
","
Linkin Park
",45,1,10
"
The Beatles In Stereo
","
The Beatles
",-,15,14
"
The Foundation
","
Zac Brown Band
",47,9,105
"
Sgt. Pepper's Lonely Hearts Club Band
","
The Beatles
",-,1,185
"
The Beatles 1967-1970
","
The Beatles
",-,1,173
"
BTR (Soundtrack)
","
 Big Time Rush
",50,3,6
"
Christmas: 25th Anniversary Collection
","
Mannheim Steamroller
",64,29,14
"
It's A Wonderful Christmas
","
Michael W. Smith
",56,54,18
"
Play On
","
Carrie Underwood
",52,1,55
"
Fearless
","
Taylor Swift
",55,1,106
"
NOW 35
","
Various Artists
",44,2,12
"
Harry Potter And The Deathly Hallows: Part 1
","
Soundtrack
",-,-,-
"
The Beatles 1962-1966
","
The Beatles
",-,3,168
"
Bullets In The Gun
","
Toby Keith
",51,1,7
"
The Lost Christmas Eve
 ","
Trans-Siberian Orchestra
",91,26,20
"
The Fame
","
Lady Gaga
",62,2,108
"
Hands All Over
","
Maroon 5
",53,2,9
"
Back To Me
","
Fantasia
",65,2,13
"
Thank Me Later
","
Drake
",61,1,23
"
Crazy Love
","
Michael Buble
",60,1,59
"
Joy To The World
","
Faith Hill
",-,13,21
"
Sale El Sol
","
Shakira
",57,7,5
"
Elvis Christmas
","
Elvis Presley
",92,69,14
"
Rubber Soul
","
The Beatles
",-,1,64
"
Teflon Don
","
Rick Ross
",59,2,18
"
Animal
","
Ke$ha
",70,1,46
"
Move
","
Third Day
",66,9,5
"
Coal Miner's Daughter: A Tribute to Loretta Lynn
","
Various Artists
",46,46,2
"
 Kidz Bop 18
","
Kidz Bop Kids
",79,5,18
"
A Christmas Celebration
","
Celtic Woman
",116,35,18
"
It's Christmas Time
","
Elvis Presley
",183,80,7
"
Enjoy Yourself
","
Billy Currington
",73,9,9
"
Christmas With The Chipmunks
","
The Chipmunks With David Seville
",120,64,7
"
Hollywood: The Deluxe (EP)
","
Michael Buble
",40,10,4
"
Brothers
","
The Black Keys
",75,3,27
