Song, Artist, Last Week, Peak Position, Weeks on Chart
"ANTI","Rihanna",-,1,8
"
25
","
Adele
",2,1,17
"
Purpose
","
Justin Bieber
",5,1,18
"
Hymns
","
Joey + Rory
",6,4,5
"
untitled unmastered.
","
Kendrick Lamar
",1,1,2
"
Incarnate
","
Killswitch Engage
",-,-,-
"
Traveller
","
Chris Stapleton
",7,1,27
"
Blurryface
","
twenty one pilots
",8,1,44
"
Islah
","
Kevin Gates
",10,2,7
"
3001: A Laced Odyssey
","
Flatbush Zombies
",-,-,-
"
T R A P S O U L
","
Bryson Tiller
",11,8,25
"
Have It All: Live At Bethel Church
","
Bethel Music
",-,-,-
"
Beauty Behind The Madness
","
The Weeknd
",9,1,29
"
Us And The Night
","
3 Doors Down
",-,-,-
"
Fired Up
","
Randy Houser
",-,-,-
"
When It's Dark Out
","
G-Eazy
",15,5,15
"
Nine Track Mind
","
Charlie Puth
",16,6,7
"
Fetty Wap
","
Fetty Wap
",20,1,25
"
Hamilton: An American Musical
","
Original Broadway Cast Recording
",30,12,25
"
My House (EP)
","
Flo Rida
",21,14,50
"
1989
","
Taylor Swift
",22,1,73
"
EVOL
","
Future
",18,1,6
"
NOW 57
","
Various Artists
",25,7,6
"
Blue Neighbourhood
","
Troye Sivan
",58,7,15
"
Revival
","
Selena Gomez
",23,1,23
"
Montevallo
","
Sam Hunt
",28,3,73
"
DS2
","
Future
",32,1,35
"
What A Time To Be Alive
","
Drake & Future
",27,1,26
"
ColleGrove
","
2 Chainz
",4,4,2
"
Painkillers
","
Brian Fallon
",-,-,-
"
Tangled Up
","
Thomas Rhett
",36,6,25
"
2014 Forest Hills Drive
","
J. Cole
",34,1,67
"
Death Of A Bachelor
","
Panic! At The Disco
",33,1,9
"
I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It
","
The 1975
",26,1,3
"
Royalty
","
Chris Brown
",35,3,13
"
The Art Of Hustle
","
Yo Gotti
",29,4,4
"
Immortalized
 ","
Disturbed
",50,1,30
"
A Head Full Of Dreams
","
Coldplay
",40,2,15
"
The Truth (EP)
","
Mike Posner
",48,39,8
"
If You're Reading This It's Too Late
","
Drake
",43,1,58
"
To Pimp A Butterfly
","
Kendrick Lamar
",37,1,53
"
American Idiot
","
Green Day
",41,1,132
"
21
","
Adele
",39,1,265
"
Handwritten
","
Shawn Mendes
",44,1,49
"
Title
","
Meghan Trainor
",45,1,62
"
x
","
Ed Sheeran
",42,1,91
"
 Made In The A.M.
","
One Direction
",46,2,18
"
Wide Awake
","
Parachute
",-,-,-
"
Chaos And The Calm
","
James Bay
",54,15,52
"
Know-It-All
","
Alessia Cara
",59,9,18
"
Badlands
","
Halsey
",53,2,29
"
Vessel
","
twenty one pilots
",51,21,83
"
Swaay (EP)
","
DNCE
",56,51,14
"
 This Is Acting
","
Sia
",52,4,7
"
How Can It Be
","
Lauren Daigle
",57,30,45
"
Kill The Lights
","
Luke Bryan
",64,1,32
"
 Late Nights: The Album
","
Jeremih
",60,42,15
"
You And I
","
Jeff Buckley
",-,-,-
"
Remington
","
Granger Smith
",12,12,2
"
Cry Baby
","
Melanie Martinez
",70,6,31
"
Bouquet (EP)
","
The Chainsmokers
",63,31,20
"
Reloaded: 20 #1 Hits
","
Blake Shelton
",61,5,21
"
ArrangingTime
","
Pete Yorn
 ",-,-,-
"
Dig In Deep
","
Bonnie Raitt
",38,11,3
"
This Unruly Mess I've Made
","
Macklemore & Ryan Lewis
",31,4,3
"
Wildfire
","
Rachel Platten
",66,5,11
"
good kid, m.A.A.d city
","
Kendrick Lamar
",62,2,177
"
Damn Country Music
","
Tim McGraw
",71,5,15
"
In The Lonely Hour
","
Sam Smith
",65,2,92
"
Take Care
","
Drake
",75,1,159
"
Full Circle
","
Loretta Lynn
",19,19,2
"
Delirium
","
Ellie Goulding
",67,3,19
"
Metallica
","
Metallica
",78,1,370
"
American Beauty / American Psycho
","
Fall Out Boy
",74,1,61
"
Storyteller
","
Carrie Underwood
",69,2,21
"
Unbreakable Smile
","
Tori Kelly
",112,2,30
"
These Things Happen
","
G-Eazy
",77,3,88
"
Love Riot
","
newsboys
",14,14,2
"
Piece By Piece
","
Kelly Clarkson
",24,1,29
"
Nothing Was The Same
","
Drake
",83,1,127
"
Beyonce
","
Beyonce
",91,1,114
"
I'm Comin' Over
","
Chris Young
",81,5,18
"
Love Stuff
 ","
Elle King
",55,26,47
"
Hozier
","
Hozier
",86,2,76
"
1
","
The Beatles
",84,1,216
"
Kidz Bop 31
","
Kidz Bop Kids
",92,6,9
"
Best Of Bowie
","
David Bowie
",79,4,33
"
Anything Goes
","
Florida Georgia Line
",89,1,75
"
Meat And Candy
","
Old Dominion
",95,16,19
"
Free TC
","
Ty Dolla $ign
",73,14,17
"
The Pinkprint
","
Nicki Minaj
",93,2,66
"
Good Grief
","
Lucius
",-,-,-
"
Illinois
","
Brett Eldredge
",104,3,22
"
Fallen
","
Evanescence
",-,3,113
"
 Legend: The Best Of...
","
Bob Marley And The Wailers
",105,5,409
"
Mr. Misunderstood
","
Eric Church
",96,2,20
"
Peace Is The Mission
","
Major Lazer
",109,12,41
"
JEKYLL + HYDE
","
Zac Brown Band
",98,1,47
"
Greatest Hits I II & III: The Platinum Collection
","
Queen
",97,48,29
"
Blackstar
","
David Bowie
",76,1,10
"
The Eminem Show
","
Eminem
",101,1,259
"
Dark Sky Paradise
","
Big Sean
",103,1,56
"
Renaissance
","
Polyphia
",-,-,-
"
Maren Morris (EP)
","
Maren Morris
",100,96,8
"
V
","
Maroon 5
",108,1,81
"
VHS
","
X Ambassadors
",85,7,38
"
Daya (EP)
","
Daya
",110,67,19
"
Rodeo
","
Travis Scott
",107,3,28
"
Greatest Hits
","
2Pac
",111,3,134
"
Journey's Greatest Hits
","
Journey
",115,10,400
"
[Hybrid Theory]
","
Linkin Park
",-,2,159
"
Curtain Call: The Hits
","
Eminem
",113,1,281
"
Lead Us Back: Songs Of Worship
","
Third Day
",-,20,16
"
Confident
","
Demi Lovato
",90,2,22
"
Nathaniel Rateliff & The Night Sweats
","
Nathaniel Rateliff & The Night Sweats
",106,17,30
"
OWSLA World Wide Broadcast
","
Various Artists
",140,116,3
"
Ouroboros
","
Ray LaMontagne
",13,13,2
"
SremmLife
","
Rae Sremmurd
",117,5,63
"
1000 Forms Of Fear
","
Sia
",134,1,84
"
Off The Wall
","
Michael Jackson
",102,3,177
"
Threat To Survival
","
Shinedown
",188,6,26
"
The Very Best Of The Eagles
","
Eagles
",68,3,159
"
2016 Grammy Nominees
","
Various Artists
",80,9,8
"
Got Your Six
","
Five Finger Death Punch
",124,2,28
"
Their Greatest Hits 1971-1975
","
Eagles
",-,1,185
"
Night Visions
","
Imagine Dragons
",82,2,185
"
Crash My Party
","
Luke Bryan
",136,1,136
"
Born To Die
","
Lana Del Rey
",125,2,216
"
Graduation
","
Kanye West
",189,1,74
"
Here's To The Good Times
","
Florida Georgia Line
",135,4,168
"
Trilogy
","
The Weeknd
",127,4,107
"
AT.LONG.LAST.A$AP
","
A$AP Rocky
",133,1,42
"
 19
","
Adele
",120,4,209
"
The Incredible True Story
","
Logic
",129,3,18
"
The Legend Of Johnny Cash
","
Johnny Cash
",170,5,221
"
Nevermind
","
Nirvana
",94,1,313
"
Sound & Color
","
Alabama Shakes
",122,1,42
"
Khalifa
","
Wiz Khalifa
",123,6,6
"
Greatest Hits: Decade #1
","
Carrie Underwood
",141,4,67
"
Greatest Hits So Far...
","
Zac Brown Band
",144,20,66
"
For All Kings
","
Anthrax
",72,9,3
"
Zootopia
","
Soundtrack
",121,121,2
"
My Everything
","
Ariana Grande
",-,1,74
"
Thriller
","
Michael Jackson
",143,1,258
"
Just As I Am
","
Brantley Gilbert
",137,2,94
"
Joey + Rory Inspired: Songs Of Faith & Family
","
Joey + Rory
",126,126,4
"
Greatest Hits
","
The Notorious B.I.G.
",152,1,51
"
Back In Black
","
AC/DC
",142,4,256
"
RUN WILD. LIVE FREE. LOVE STRONG.
","
for KING & COUNTRY
",156,13,26
