Song, Artist, Last Week, Peak Position, Weeks on Chart
"FOUR","One Direction",-,1,1
"
1989
","
Taylor Swift
",1,1,4
"
That's Christmas To Me
","
Pentatonix
",8,3,5
"
No Fixed Address
","
Nickelback
",-,-,-
"
Man Against Machine
","
Garth Brooks
",4,4,2
"
 The Endless River
","
Pink Floyd
",3,3,2
"
Sonic Highways (Soundtrack)
","
Foo Fighters
",2,2,2
"
Black Widow
","
In This Moment
",-,-,-
"
Christmas
","
Michael Buble
",13,1,33
"
Holiday Wishes
","
Idina Menzel
",16,10,6
"
In The Lonely Hour
","
Sam Smith
",9,2,23
"
NOW 52
","
Various Artists
",7,2,4
"
Frozen
","
Soundtrack
",18,1,52
"
Old Boots, New Dirt
","
Jason Aldean
",11,1,7
"
Partners
","
Barbra Streisand
",14,1,10
"
Frozen: The Songs
","
Soundtrack
",28,16,8
"
It's The Girls!
","
Bette Midler
",12,3,3
"
The Hunger Games: Mockingjay, Part I
","
Soundtrack
",-,-,-
"
Punk Goes Pop, Vol. 6
","
Various Artists
",-,-,-
"
Interstellar
","
Soundtrack
",-,-,-
"
Guardians Of The Galaxy: Awesome Mix Vol. 1
","
Soundtrack
",26,1,17
"
Seeds
","
TV On The Radio
",-,-,-
"
Anything Goes
","
Florida Georgia Line
",17,1,6
"
PTXmas (EP)
","
Pentatonix
",71,7,9
"
Hozier
","
Hozier
",25,2,7
"
The Cowboy Rides Away: Live From AT&T Stadium
","
George Strait
",10,4,10
"
The Art Of McCartney
","
Various Artists
",-,-,-
"
 x
","
Ed Sheeran
",27,1,22
"
My Dream Duets
","
Barry Manilow
",35,4,4
"
Home For The Holidays
","
Darius Rucker
",31,30,4
"
Montevallo
","
Sam Hunt
",22,3,4
"
V
","
Maroon 5
",24,1,12
"
PrizeFighter: Hit After Hit
","
 Trisha Yearwood
",-,-,-
"
 Disney Karaoke Series: Frozen (EP)
","
Various Artists
",48,17,32
"
Lost On The River
","
The New Basement Tapes
",23,23,2
"
Down Home Sessions (EP)
","
Cole Swindell
",-,-,-
"
Greatest Hits So Far...
","
Zac Brown Band
",20,20,2
"
Cheek To Cheek
","
Tony Bennett & Lady Gaga
",30,1,9
"
My Everything
","
Ariana Grande
",36,1,13
"
.5: The Gray Chapter
","
Slipknot
",29,1,5
"
I Will Trust
 ","
Fred Hammond
",-,-,-
"
Ellen's The Only Holiday Album You'll Ever Need - Volume 1
","
Various Artists
",42,42,3
"
Cadillactica
","
Big K.R.I.T.
",5,5,2
"
Christmas At Downton Abbey
","
Various Artists
",-,-,-
"
Live: Her Greatest Performances
","
Whitney Houston
",19,19,2
"
Alpha Mike Foxtrot: Rare Tracks 1994-2014
","
Wilco
",-,-,-
"
Melody Road
","
Neil Diamond
",33,3,5
"
Coming Home
","
Kristin Chenoweth
",-,-,-
"
Nick Jonas
","
Nick Jonas
",6,6,2
"
Paperwork
","
T.I.
",34,2,5
"
Noel
","
Josh Groban
",72,1,55
"
Crash My Party
","
Luke Bryan
",39,1,67
"
30/40
","
Mannheim Steamroller
",58,53,3
"
5 Seconds Of Summer
","
5 Seconds Of Summer
",45,1,18
"
Ride Out
 ","
Bob Seger
",37,3,6
"
Michael W. Smith & Friends: The Spirit Of Christmas
","
Michael W. Smith
",50,50,8
"
Nothing Has Changed.
","
David Bowie
",-,-,-
"
Cheers, It's Christmas
","
Blake Shelton
",63,8,24
"
WOW Hits 2015
","
Various Artists
",46,23,8
"
Positively Christmas 2014
","
Various Artists
",41,41,3
"
Campfire Christmas. Volume I
","
Rend Collective
",-,-,-
"
It's Christmas Time
","
Elvis Presley
",74,41,40
"
Dear Youth
","
The Ghost Inside
",-,-,-
"
Dream Your Life Away
","
Vance Joy
",57,17,11
"
Thrive
","
Casting Crowns
",82,6,42
"
The Christmas Attic
","
Trans-Siberian Orchestra
",116,66,32
"
BRINGING BACK THE SUNSHINE
","
Blake Shelton
",44,1,8
"
X
","
Chris Brown
",54,2,10
"
Love Ran Red
","
Chris Tomlin
",47,8,4
"
My Favourite Faded Fantasy
","
Damien Rice
",15,15,2
"
The Big Revival
","
Kenny Chesney
",51,2,9
"
Avonmore
","
Bryan Ferry
",-,-,-
"
Anomaly
","
Lecrae
",66,1,11
"
Duck The Halls: A Robertson Family Christmas
","
The Robertsons
",106,3,13
"
Wrapped In Red
","
Kelly Clarkson
",132,3,12
"
Merry & Bright
","
Various Artists
",97,76,2
"
Hope
","
Susan Boyle
",61,16,5
"
The Ultimate Hits
","
Garth Brooks
",55,3,105
"
Led Zeppelin IV
","
Led Zeppelin
",43,2,265
"
Pain Killer
","
Little Big Town
",49,7,5
"
Cities 97 Sampler: Live From Studio C, Volume 26
","
Various Artists
",-,-,-
"
The Album Collection, Vol. 1: 1973-1984
","
Bruce Springsteen
",-,-,-
"
747
","
Lady Antebellum
",59,2,8
"
NOW 51
","
Various Artists
",70,2,16
"
Home For Christmas
","
Susan Boyle
",95,17,12
"
NOW Christmas
","
Various Artists
",98,34,11
"
Sundown Heaven Town
","
Tim McGraw
",69,3,10
"
These Are Special Times
","
Celine Dion
",100,2,43
"
51 Songs Kids Really Love To Sing
","
Kids Choir
",94,81,25
"
Nashville Christmas
","
Various Artists
",135,90,2
"
The Lost Christmas Eve
","
Trans-Siberian Orchestra
",148,26,50
"
Greatest Hits
","
Fleetwood Mac
",142,14,60
"
Ixora
","
Copeland
",-,-,-
"
Platinum
","
Miranda Lambert
",52,1,25
"
This Is All Yours
","
alt-J
",78,4,9
"
A Charlie Brown Christmas (Soundtrack)
","
Vince Guaraldi Trio
",120,23,38
"
AM
","
Arctic Monkeys
",87,6,63
"
Nostalgia
","
Annie Lennox
",56,10,5
"
PTX: Vol. III (EP)
","
Pentatonix
",172,5,9
"
Rudolph The Red-Nosed Reindeer
","
Burl Ives
",112,100,12
"
The Outsiders
","
Eric Church
",85,1,41
"
Ghost Stories
","
Coldplay
",125,1,27
"
Promise To Love: Album IV
","
Kem
",83,3,13
"
Title (EP)
","
Meghan Trainor
",84,15,11
"
Merry Christmas
","
Mariah Carey
",162,3,46
"
The New Classic
","
Iggy Azalea
",104,3,31
"
Merry Christmas... Love, Elvis
","
Elvis Presley
",127,101,9
"
Motion
 ","
Calvin Harris
",40,5,3
"
Here's To The Good Times
","
Florida Georgia Line
",76,4,103
"
On This Winter's Night
","
Lady Antebellum
",129,8,20
"
Kidz Bop 26
","
Kidz Bop Kids
",134,4,19
"
Christmas With Nashville
","
Various Artists
",122,105,3
"
Seen It All: The Autobiography
","
Jeezy
",86,2,12
"
Just As I Am
","
Brantley Gilbert
",53,2,27
"
My Christmas
","
Andrea Bocelli
",178,2,44
"
Annie
","
Soundtrack
",-,-,-
"
A Family Christmas
","
The Piano Guys
",147,20,12
"
Pure Heroine
","
Lorde
",64,3,60
"
Bloodstone & Diamonds
","
Machine Head
",21,21,2
"
Christmas Songs By Sinatra
","
Frank Sinatra
",124,120,15
"
Native
","
OneRepublic
",60,4,87
"
Houses Of The Holy
","
Led Zeppelin
",67,1,103
"
Gold: A 50th Anniversary Christmas Celebration
","
Johnny Mathis
",144,114,9
"
Night Visions
","
Imagine Dragons
",89,2,116
"
Queen Of The Clouds
","
Tove Lo
",141,14,8
"
The 1975
","
The 1975
",165,28,50
"
Elf
","
Soundtrack
",136,81,27
"
The Classic Christmas Album
","
Elvis Presley
",155,90,14
"
The Legend Of Johnny Cash
","
Johnny Cash
",99,5,193
"
Songs Of Innocence
","
U2
",118,9,6
"
The Essential NOW That's What I Call Christmas
","
Various Artists
",-,25,40
"
Under Pressure
","
Logic
",73,4,5
"
White Christmas
","
Martina McBride
",137,64,31
"
Red
 ","
Taylor Swift
",68,1,84
"
At Christmas
","
Sara Evans
",-,-,-
