Song, Artist, Last Week, Peak Position, Weeks on Chart
"Now 4","Various Artists",-,1,1
"
Oops!...I Did It Again
","
Britney Spears
",2,1,10
"
The Marshall Mathers LP
","
Eminem
",1,1,9
"
Country Grammar
","
Nelly
",3,3,4
"
Infest
","
Papa Roach
",8,5,13
"
Human Clay
","
Creed
",6,1,43
"
No Strings Attached
","
'N Sync
",7,1,18
"
Nutty Professor II: The Klumps
","
Soundtrack
",4,4,2
"
The Better Life
","
3 Doors Down
 ",10,9,24
"
Ryde Or Die Vol. II
","
Various Artists
",5,2,3
"
Riding With The King
","
B.B. King & Eric Clapton
",11,3,6
"
The History Of Rock
","
Kid Rock
",12,2,8
"
The Writing's On The Wall
","
Destiny's Child
",15,5,52
"
 Dr. Dre -- 2001
","
Dr. Dre
",17,2,36
"
Songs From An American Movie Vol. One: Learning How To Smile
","
Everclear
",9,9,2
"
Brand New Day
","
Sting
",20,15,43
"
The Notorious KIM
","
Lil' Kim
",13,4,4
"
My Name Is Joe
","
Joe
",18,2,14
"
Mad Season
","
matchbox twenty
",14,3,9
"
Mirror Mirror
","
Kelly Price
",16,5,4
"
Californication
","
Red Hot Chili Peppers
",23,3,59
"
The Heat
","
Toni Braxton
",19,2,13
"
2000 B.C. (Before Can-I-Bus)
","
Canibus
",-,-,-
"
When The Smoke Clears Sixty 6, Sixty 1
","
Three 6 Mafia
",21,6,6
"
Sweet Kisses
","
Jessica Simpson
 ",26,25,35
"
Fly
","
Dixie Chicks
",25,1,47
"
...And Then There Was X
","
DMX
",27,1,31
"
Welcome II Nextasy
","
Next
",22,12,5
"
Supernatural
","
Santana
",28,1,58
"
Anarchy
","
Busta Rhymes
",31,4,5
"
Mission: Impossible 2
","
Soundtrack
",30,2,11
"
Crush
","
Bon Jovi
",33,9,6
"
One Voice
","
Billy Gilman
",34,33,5
"
Unleash The Dragon
","
Sisqo
",29,2,34
"
Breathe
","
Faith Hill
",40,1,37
"
I Got That Work
","
Big Tymers
",39,3,10
"
Totally Hits 2
","
Various Artists
",24,13,8
"
Christina Aguilera
","
Christina Aguilera
",35,1,48
"
White Pony
","
Deftones
",32,3,5
"
On How Life Is
","
Macy Gray
",37,4,52
"
Whitney: The Greatest Hits
","
Whitney Houston
",36,5,10
"
Vol. 3... Life And Times Of S. Carter
","
JAY-Z
",38,1,30
"
Marc Anthony
","
Marc Anthony
",43,8,43
"
I Hope You Dance
","
Lee Ann Womack
",45,17,9
"
Devil Without A Cause
","
Kid Rock
",44,4,82
"
Inside Job
","
Don Henley
",42,7,9
"
Mer De Noms
","
A Perfect Circle
",46,4,9
"
Sooner Or Later
","
BBMak
",57,48,10
"
Can't Take Me Home
","
P!nk
",48,26,16
"
Skull & Bones
","
Cypress Hill
",47,5,13
"
Mountain High...Valley Low
","
Yolanda Adams
",64,51,20
"
Millennium
","
Backstreet Boys
",51,1,62
"
From The Bottom To The Top
","
Sammie
",50,50,19
"
Significant Other
","
Limp Bizkit
",60,1,57
"
Goodfellas
","
504 Boyz
",52,2,12
"
I Wanna Be With You
","
Mandy Moore
",49,21,11
"
My Thoughts
","
Avant
",61,45,11
"
Play
","
Moby
",62,48,50
"
Enrique
","
Enrique Iglesias
",56,33,35
"
J.E. Heartbreak
","
Jagged Edge
",58,8,27
"
Shaft
","
Soundtrack
",55,1,66
"
...Baby One More Time
","
Britney Spears
",73,1,80
"
All The Way...A Decade Of Song
","
Celine Dion
",63,1,36
"
The Sickness
","
Disturbed
",67,64,13
"
Return Of Saturn
","
No Doubt
",59,2,15
"
Affirmation
","
Savage Garden
",69,6,37
"
Lucy Pearl
","
Lucy Pearl
",65,26,9
"
The Madding Crowd
","
Nine Days
",71,67,10
"
The Slim Shady LP
","
Eminem
",72,2,74
"
Like Water For Chocolate
","
Common
",88,16,17
"
Godsmack
","
Godsmack
",79,22,81
"
Unrestricted
","
Da Brat
",70,5,15
"
Come On Over
","
Shania Twain
",78,2,142
"
Emotional
","
Carl Thomas
",82,9,14
"
Art And Life
","
Beenie Man
",68,68,2
"
The Whole Shebang
","
SHeDAISY
",86,70,63
"
Where I Wanna Be
","
Donell Jones
",75,35,41
"
Thankful
","
Mary Mary
",89,59,12
"
New Tattoo
","
Motley Crue
",41,41,2
"
Enema Of The State
","
Blink-182
",81,9,60
"
Romeo Must Die -- The Album
","
Soundtrack
",77,3,17
"
Offerings: A Worship Album
","
Third Day
",66,66,2
"
Live At The Greek
","
 Jimmy Page & The Black Crowes
",74,64,3
"
Ideal
","
Ideal
",83,83,28
"
Lara Fabian
","
Lara Fabian
",112,85,8
"
No. 4
","
Stone Temple Pilots
",90,6,29
"
Make Yourself
","
Incubus
",92,62,34
"
High Society
","
Kottonmouth Kings
",107,65,4
"
Vitamin C
","
Vitamin C
",80,29,20
"
Everything You Want
","
Vertical Horizon
",87,40,29
"
Slipknot
","
Slipknot
",95,51,54
"
 Wide Open Spaces
","
Dixie Chicks
",100,4,130
"
Quality Control
","
Jurassic 5
",84,43,5
"
War & Peace Vol. 2 (The Peace Disc)
","
Ice Cube
",99,3,18
"
The Abba Generation
","
A*Teens
",76,71,10
"
A Place In The Sun
","
Tim McGraw
",96,1,64
"
Pokemon The Movie 2000: The Power Of One
","
Soundtrack
",-,-,-
"
Big Momma's House
","
Soundtrack
",91,41,8
