Song, Artist, Last Week, Peak Position, Weeks on Chart
"Daughtry","Daughtry",-,1,9
"
Dreamgirls
","
Soundtrack
",1,1,7
"
Jump In!
","
Soundtrack
",5,3,2
"
Corinne Bailey Rae
","
Corinne Bailey Rae
",32,4,31
"
 Konvicted
","
Akon
",2,2,10
"
FutureSex/LoveSounds
","
Justin Timberlake
",3,1,19
"
NOW 23
","
Various Artists
",7,1,11
"
All The Right Reasons
","
Nickelback
",10,1,68
"
Some Hearts
","
Carrie Underwood
",15,2,62
"
B'Day
","
Beyonce
",6,1,20
"
Hannah Montana
","
Soundtrack
",11,1,13
"
Loose
","
Nelly Furtado
",17,1,31
"
Me And My Gang
","
Rascal Flatts
",12,1,42
"
The Inspiration
","
Young Jeezy
",9,1,6
"
Love
","
The Beatles
",8,4,9
"
The Evolution Of Robin Thicke
","
Robin Thicke
",16,16,16
"
The Dutchess
","
Fergie
",24,3,18
"
Ciara: The Evolution
","
Ciara
",20,1,7
"
Reflections (A Retrospective)
","
Mary J. Blige
 ",25,9,6
"
Into White
","
Carly Simon
",13,13,3
"
Extreme Behavior
","
Hinder
",23,6,51
"
Hip Hop Is Dead
","
 Nas
",14,1,5
"
How To Save A Life
","
The Fray
",18,14,55
"
The Sweet Escape
","
Gwen Stefani
",21,3,7
"
Eminem Presents: The Re-Up
","
Various Artists
",22,2,7
"
The Black Parade
","
My Chemical Romance
 ",26,2,13
"
21
","
Omarion
",27,1,4
"
Tha Blue Carpet Treatment
","
Snoop Dogg
",30,5,9
"
Kingdom Come
","
JAY-Z
",29,1,9
"
Love, Pain & The Whole Crazy Thing
","
Keith Urban
",28,3,11
"
Continuum
","
John Mayer
",31,2,19
"
I Love You
","
Diana Ross
",-,-,-
"
If You're Going Through Hell
","
Rodney Atkins
",37,3,27
"
Begin To Hope
","
Regina Spektor
",70,34,11
"
The Open Door
","
Evanescence
",34,1,16
"
Romance: Songs From The Heart
","
Frank Sinatra
",-,-,-
"
Siempre
","
Il Divo
",19,6,9
"
Stadium Arcadium
","
Red Hot Chili Peppers
",36,1,37
"
Dreamgirls: Deluxe Edition
","
Soundtrack
",47,39,7
"
Time Well Wasted
","
Brad Paisley
",39,2,75
"
High School Musical
","
Soundtrack
",44,1,54
"
Taylor Swift
","
Taylor Swift
",46,19,13
"
Awake
","
Josh Groban
",33,2,11
"
Once Again
","
John Legend
",42,3,13
"
A Beautiful Lie
","
Thirty Seconds To Mars
",40,36,40
"
The Definitive Greatest Hits
","
Al Green
",-,-,-
"
U218: Singles
","
U2
",35,12,9
"
Like Father, Like Son
","
Birdman & Lil Wayne
",48,3,12
"
Enjoy The Ride
","
Sugarland
",43,4,11
"
Taylor Hicks
","
Taylor Hicks
",53,2,6
"
Small Town Girl
","
Kellie Pickler
",83,9,12
"
Here & Now
","
America
",-,-,-
"
Your Man
","
Josh Turner
",49,2,52
"
Alter Ego
","
Tyrese (AKA Black-Ty)
",57,23,6
"
The Price Of Fame
","
Bow Wow
",52,6,5
"
Move Along
","
The All-American Rejects
",51,6,80
"
Release Therapy
","
Ludacris
",55,1,17
"
Back To Basics
","
Christina Aguilera
",45,1,23
"
Eye To The Telescope
","
KT Tunstall
",71,33,50
"
Light Grenades
","
Incubus
",38,1,8
"
Doctor's Advocate
 ","
The Game
",54,1,10
"
Broken Bridges
","
Soundtrack
",41,35,14
"
Eyes Open
","
Snow Patrol
",50,27,37
"
One - X
","
Three Days Grace
",63,5,32
"
Back By Thug Demand
","
Trick Daddy
",60,48,5
"
Fantasia
","
Fantasia
",68,19,6
"
Duets: An American Classic
","
Tony Bennett
",59,3,17
"
PCD
","
The Pussycat Dolls
",61,5,71
"
V
","
Vanessa Hudgens
",95,24,17
"
Don't You Fake It
","
The Red Jumpsuit Apparatus
",72,25,27
"
9
","
Damien Rice
",56,22,10
"
Tyler Perry's Daddy's Little Girls
","
Soundtrack
",-,-,-
"
The Cheetah Girls 2
","
Soundtrack
",64,5,23
"
Sam's Town
","
The Killers
",62,2,16
"
The Road To Escondido
","
J.J. Cale & Eric Clapton
",65,23,11
"
Foiled
","
Blue October
",69,29,42
"
Under The Desert Sky
","
Andrea Bocelli
",66,11,11
"
Rebels
","
RBD
",67,40,5
